 Localitati ,Varste si grupe de varsta, Sexe, Judete, Ani, UM: Numar persoane, Valoare
 179677 CAMIN,0- 4 ani, Masculin, Satu Mare, Anul 2003, Numar persoane,27
 179677 CAMIN,0- 4 ani, Feminin, Satu Mare, Anul 2003, Numar persoane,30
 179677 CAMIN,5- 9 ani, Masculin, Satu Mare, Anul 2003, Numar persoane,42
 179677 CAMIN,5- 9 ani, Feminin, Satu Mare, Anul 2003, Numar persoane,30
 179677 CAMIN,10-14 ani, Masculin, Satu Mare, Anul 2003, Numar persoane,49
 179677 CAMIN,10-14 ani, Feminin, Satu Mare, Anul 2003, Numar persoane,41
 179677 CAMIN,15-19 ani, Masculin, Satu Mare, Anul 2003, Numar persoane,46
 179677 CAMIN,15-19 ani, Feminin, Satu Mare, Anul 2003, Numar persoane,44
 179677 CAMIN,20-24 ani, Masculin, Satu Mare, Anul 2003, Numar persoane,60
 179677 CAMIN,20-24 ani, Feminin, Satu Mare, Anul 2003, Numar persoane,55
 179677 CAMIN,25-29 ani, Masculin, Satu Mare, Anul 2003, Numar persoane,52
 179677 CAMIN,25-29 ani, Feminin, Satu Mare, Anul 2003, Numar persoane,64
 179677 CAMIN,30-34 ani, Masculin, Satu Mare, Anul 2003, Numar persoane,51
 179677 CAMIN,30-34 ani, Feminin, Satu Mare, Anul 2003, Numar persoane,65
 179677 CAMIN,35-39 ani, Masculin, Satu Mare, Anul 2003, Numar persoane,48
 179677 CAMIN,35-39 ani, Feminin, Satu Mare, Anul 2003, Numar persoane,47
 179677 CAMIN,40-44 ani, Masculin, Satu Mare, Anul 2003, Numar persoane,51
 179677 CAMIN,40-44 ani, Feminin, Satu Mare, Anul 2003, Numar persoane,42
 179677 CAMIN,45-49 ani, Masculin, Satu Mare, Anul 2003, Numar persoane,53
 179677 CAMIN,45-49 ani, Feminin, Satu Mare, Anul 2003, Numar persoane,38
 179677 CAMIN,50-54 ani, Masculin, Satu Mare, Anul 2003, Numar persoane,47
 179677 CAMIN,50-54 ani, Feminin, Satu Mare, Anul 2003, Numar persoane,55
 179677 CAMIN,55-59 ani, Masculin, Satu Mare, Anul 2003, Numar persoane,28
 179677 CAMIN,55-59 ani, Feminin, Satu Mare, Anul 2003, Numar persoane,37
 179677 CAMIN,60-64 ani, Masculin, Satu Mare, Anul 2003, Numar persoane,26
 179677 CAMIN,60-64 ani, Feminin, Satu Mare, Anul 2003, Numar persoane,35
 179677 CAMIN,65-69 ani, Masculin, Satu Mare, Anul 2003, Numar persoane,29
 179677 CAMIN,65-69 ani, Feminin, Satu Mare, Anul 2003, Numar persoane,44
 179677 CAMIN,70-74 ani, Masculin, Satu Mare, Anul 2003, Numar persoane,21
 179677 CAMIN,70-74 ani, Feminin, Satu Mare, Anul 2003, Numar persoane,44
 179677 CAMIN,75-79 ani, Masculin, Satu Mare, Anul 2003, Numar persoane,15
 179677 CAMIN,75-79 ani, Feminin, Satu Mare, Anul 2003, Numar persoane,24
 179677 CAMIN,80-84 ani, Masculin, Satu Mare, Anul 2003, Numar persoane,5
 179677 CAMIN,80-84 ani, Feminin, Satu Mare, Anul 2003, Numar persoane,19
 179677 CAMIN,85 ani si peste, Masculin, Satu Mare, Anul 2003, Numar persoane,3
 179677 CAMIN,85 ani si peste, Feminin, Satu Mare, Anul 2003, Numar persoane,9
 179677 CAMIN,0- 4 ani, Masculin, Satu Mare, Anul 2004, Numar persoane,23
 179677 CAMIN,0- 4 ani, Masculin, Satu Mare, Anul 2005, Numar persoane,27
 179677 CAMIN,0- 4 ani, Masculin, Satu Mare, Anul 2006, Numar persoane,26
 179677 CAMIN,0- 4 ani, Masculin, Satu Mare, Anul 2007, Numar persoane,31
 179677 CAMIN,0- 4 ani, Masculin, Satu Mare, Anul 2008, Numar persoane,34
 179677 CAMIN,0- 4 ani, Masculin, Satu Mare, Anul 2009, Numar persoane,39
 179677 CAMIN,0- 4 ani, Masculin, Satu Mare, Anul 2010, Numar persoane,37
 179677 CAMIN,0- 4 ani, Masculin, Satu Mare, Anul 2011, Numar persoane,43
 179677 CAMIN,0- 4 ani, Feminin, Satu Mare, Anul 2004, Numar persoane,25
 179677 CAMIN,0- 4 ani, Feminin, Satu Mare, Anul 2005, Numar persoane,25
 179677 CAMIN,0- 4 ani, Feminin, Satu Mare, Anul 2006, Numar persoane,27
 179677 CAMIN,0- 4 ani, Feminin, Satu Mare, Anul 2007, Numar persoane,27
 179677 CAMIN,0- 4 ani, Feminin, Satu Mare, Anul 2008, Numar persoane,28
 179677 CAMIN,0- 4 ani, Feminin, Satu Mare, Anul 2009, Numar persoane,28
 179677 CAMIN,0- 4 ani, Feminin, Satu Mare, Anul 2010, Numar persoane,27
 179677 CAMIN,0- 4 ani, Feminin, Satu Mare, Anul 2011, Numar persoane,30
 179677 CAMIN,5- 9 ani, Masculin, Satu Mare, Anul 2004, Numar persoane,41
 179677 CAMIN,5- 9 ani, Masculin, Satu Mare, Anul 2005, Numar persoane,40
 179677 CAMIN,5- 9 ani, Masculin, Satu Mare, Anul 2006, Numar persoane,37
 179677 CAMIN,5- 9 ani, Masculin, Satu Mare, Anul 2007, Numar persoane,29
 179677 CAMIN,5- 9 ani, Masculin, Satu Mare, Anul 2008, Numar persoane,27
 179677 CAMIN,5- 9 ani, Masculin, Satu Mare, Anul 2009, Numar persoane,23
 179677 CAMIN,5- 9 ani, Masculin, Satu Mare, Anul 2010, Numar persoane,30
 179677 CAMIN,5- 9 ani, Masculin, Satu Mare, Anul 2011, Numar persoane,29
 179677 CAMIN,5- 9 ani, Feminin, Satu Mare, Anul 2004, Numar persoane,33
 179677 CAMIN,5- 9 ani, Feminin, Satu Mare, Anul 2005, Numar persoane,34
 179677 CAMIN,5- 9 ani, Feminin, Satu Mare, Anul 2006, Numar persoane,30
 179677 CAMIN,5- 9 ani, Feminin, Satu Mare, Anul 2007, Numar persoane,31
 179677 CAMIN,5- 9 ani, Feminin, Satu Mare, Anul 2008, Numar persoane,32
 179677 CAMIN,5- 9 ani, Feminin, Satu Mare, Anul 2009, Numar persoane,28
 179677 CAMIN,5- 9 ani, Feminin, Satu Mare, Anul 2010, Numar persoane,30
 179677 CAMIN,5- 9 ani, Feminin, Satu Mare, Anul 2011, Numar persoane,31
 179677 CAMIN,10-14 ani, Masculin, Satu Mare, Anul 2004, Numar persoane,45
 179677 CAMIN,10-14 ani, Masculin, Satu Mare, Anul 2005, Numar persoane,43
 179677 CAMIN,10-14 ani, Masculin, Satu Mare, Anul 2006, Numar persoane,40
 179677 CAMIN,10-14 ani, Masculin, Satu Mare, Anul 2007, Numar persoane,41
 179677 CAMIN,10-14 ani, Masculin, Satu Mare, Anul 2008, Numar persoane,43
 179677 CAMIN,10-14 ani, Masculin, Satu Mare, Anul 2009, Numar persoane,42
 179677 CAMIN,10-14 ani, Masculin, Satu Mare, Anul 2010, Numar persoane,37
 179677 CAMIN,10-14 ani, Masculin, Satu Mare, Anul 2011, Numar persoane,36
 179677 CAMIN,10-14 ani, Feminin, Satu Mare, Anul 2004, Numar persoane,40
 179677 CAMIN,10-14 ani, Feminin, Satu Mare, Anul 2005, Numar persoane,38
 179677 CAMIN,10-14 ani, Feminin, Satu Mare, Anul 2006, Numar persoane,32
 179677 CAMIN,10-14 ani, Feminin, Satu Mare, Anul 2007, Numar persoane,29
 179677 CAMIN,10-14 ani, Feminin, Satu Mare, Anul 2008, Numar persoane,31
 179677 CAMIN,10-14 ani, Feminin, Satu Mare, Anul 2009, Numar persoane,35
 179677 CAMIN,10-14 ani, Feminin, Satu Mare, Anul 2010, Numar persoane,34
 179677 CAMIN,10-14 ani, Feminin, Satu Mare, Anul 2011, Numar persoane,32
 179677 CAMIN,15-19 ani, Masculin, Satu Mare, Anul 2004, Numar persoane,51
 179677 CAMIN,15-19 ani, Masculin, Satu Mare, Anul 2005, Numar persoane,45
 179677 CAMIN,15-19 ani, Masculin, Satu Mare, Anul 2006, Numar persoane,52
 179677 CAMIN,15-19 ani, Masculin, Satu Mare, Anul 2007, Numar persoane,50
 179677 CAMIN,15-19 ani, Masculin, Satu Mare, Anul 2008, Numar persoane,50
 179677 CAMIN,15-19 ani, Masculin, Satu Mare, Anul 2009, Numar persoane,48
 179677 CAMIN,15-19 ani, Masculin, Satu Mare, Anul 2010, Numar persoane,49
 179677 CAMIN,15-19 ani, Masculin, Satu Mare, Anul 2011, Numar persoane,45
 179677 CAMIN,15-19 ani, Feminin, Satu Mare, Anul 2004, Numar persoane,48
 179677 CAMIN,15-19 ani, Feminin, Satu Mare, Anul 2005, Numar persoane,50
 179677 CAMIN,15-19 ani, Feminin, Satu Mare, Anul 2006, Numar persoane,49
 179677 CAMIN,15-19 ani, Feminin, Satu Mare, Anul 2007, Numar persoane,47
 179677 CAMIN,15-19 ani, Feminin, Satu Mare, Anul 2008, Numar persoane,42
 179677 CAMIN,15-19 ani, Feminin, Satu Mare, Anul 2009, Numar persoane,42
 179677 CAMIN,15-19 ani, Feminin, Satu Mare, Anul 2010, Numar persoane,39
 179677 CAMIN,15-19 ani, Feminin, Satu Mare, Anul 2011, Numar persoane,33
 179677 CAMIN,20-24 ani, Masculin, Satu Mare, Anul 2004, Numar persoane,53
 179677 CAMIN,20-24 ani, Masculin, Satu Mare, Anul 2005, Numar persoane,52
 179677 CAMIN,20-24 ani, Masculin, Satu Mare, Anul 2006, Numar persoane,50
 179677 CAMIN,20-24 ani, Masculin, Satu Mare, Anul 2007, Numar persoane,51
 179677 CAMIN,20-24 ani, Masculin, Satu Mare, Anul 2008, Numar persoane,45
 179677 CAMIN,20-24 ani, Masculin, Satu Mare, Anul 2009, Numar persoane,53
 179677 CAMIN,20-24 ani, Masculin, Satu Mare, Anul 2010, Numar persoane,49
 179677 CAMIN,20-24 ani, Masculin, Satu Mare, Anul 2011, Numar persoane,53
 179677 CAMIN,20-24 ani, Feminin, Satu Mare, Anul 2004, Numar persoane,46
 179677 CAMIN,20-24 ani, Feminin, Satu Mare, Anul 2005, Numar persoane,47
 179677 CAMIN,20-24 ani, Feminin, Satu Mare, Anul 2006, Numar persoane,49
 179677 CAMIN,20-24 ani, Feminin, Satu Mare, Anul 2007, Numar persoane,51
 179677 CAMIN,20-24 ani, Feminin, Satu Mare, Anul 2008, Numar persoane,46
 179677 CAMIN,20-24 ani, Feminin, Satu Mare, Anul 2009, Numar persoane,48
 179677 CAMIN,20-24 ani, Feminin, Satu Mare, Anul 2010, Numar persoane,51
 179677 CAMIN,20-24 ani, Feminin, Satu Mare, Anul 2011, Numar persoane,54
 179677 CAMIN,25-29 ani, Masculin, Satu Mare, Anul 2004, Numar persoane,59
 179677 CAMIN,25-29 ani, Masculin, Satu Mare, Anul 2005, Numar persoane,63
 179677 CAMIN,25-29 ani, Masculin, Satu Mare, Anul 2006, Numar persoane,55
 179677 CAMIN,25-29 ani, Masculin, Satu Mare, Anul 2007, Numar persoane,58
 179677 CAMIN,25-29 ani, Masculin, Satu Mare, Anul 2008, Numar persoane,67
 179677 CAMIN,25-29 ani, Masculin, Satu Mare, Anul 2009, Numar persoane,60
 179677 CAMIN,25-29 ani, Masculin, Satu Mare, Anul 2010, Numar persoane,59
 179677 CAMIN,25-29 ani, Masculin, Satu Mare, Anul 2011, Numar persoane,55
 179677 CAMIN,25-29 ani, Feminin, Satu Mare, Anul 2004, Numar persoane,69
 179677 CAMIN,25-29 ani, Feminin, Satu Mare, Anul 2005, Numar persoane,59
 179677 CAMIN,25-29 ani, Feminin, Satu Mare, Anul 2006, Numar persoane,60
 179677 CAMIN,25-29 ani, Feminin, Satu Mare, Anul 2007, Numar persoane,56
 179677 CAMIN,25-29 ani, Feminin, Satu Mare, Anul 2008, Numar persoane,51
 179677 CAMIN,25-29 ani, Feminin, Satu Mare, Anul 2009, Numar persoane,46
 179677 CAMIN,25-29 ani, Feminin, Satu Mare, Anul 2010, Numar persoane,52
 179677 CAMIN,25-29 ani, Feminin, Satu Mare, Anul 2011, Numar persoane,59
 179677 CAMIN,30-34 ani, Masculin, Satu Mare, Anul 2004, Numar persoane,52
 179677 CAMIN,30-34 ani, Masculin, Satu Mare, Anul 2005, Numar persoane,50
 179677 CAMIN,30-34 ani, Masculin, Satu Mare, Anul 2006, Numar persoane,55
 179677 CAMIN,30-34 ani, Masculin, Satu Mare, Anul 2007, Numar persoane,56
 179677 CAMIN,30-34 ani, Masculin, Satu Mare, Anul 2008, Numar persoane,53
 179677 CAMIN,30-34 ani, Masculin, Satu Mare, Anul 2009, Numar persoane,56
 179677 CAMIN,30-34 ani, Masculin, Satu Mare, Anul 2010, Numar persoane,65
 179677 CAMIN,30-34 ani, Masculin, Satu Mare, Anul 2011, Numar persoane,61
 179677 CAMIN,30-34 ani, Feminin, Satu Mare, Anul 2004, Numar persoane,61
 179677 CAMIN,30-34 ani, Feminin, Satu Mare, Anul 2005, Numar persoane,60
 179677 CAMIN,30-34 ani, Feminin, Satu Mare, Anul 2006, Numar persoane,58
 179677 CAMIN,30-34 ani, Feminin, Satu Mare, Anul 2007, Numar persoane,56
 179677 CAMIN,30-34 ani, Feminin, Satu Mare, Anul 2008, Numar persoane,67
 179677 CAMIN,30-34 ani, Feminin, Satu Mare, Anul 2009, Numar persoane,67
 179677 CAMIN,30-34 ani, Feminin, Satu Mare, Anul 2010, Numar persoane,59
 179677 CAMIN,30-34 ani, Feminin, Satu Mare, Anul 2011, Numar persoane,55
 179677 CAMIN,35-39 ani, Masculin, Satu Mare, Anul 2004, Numar persoane,48
 179677 CAMIN,35-39 ani, Masculin, Satu Mare, Anul 2005, Numar persoane,52
 179677 CAMIN,35-39 ani, Masculin, Satu Mare, Anul 2006, Numar persoane,52
 179677 CAMIN,35-39 ani, Masculin, Satu Mare, Anul 2007, Numar persoane,50
 179677 CAMIN,35-39 ani, Masculin, Satu Mare, Anul 2008, Numar persoane,52
 179677 CAMIN,35-39 ani, Masculin, Satu Mare, Anul 2009, Numar persoane,54
 179677 CAMIN,35-39 ani, Masculin, Satu Mare, Anul 2010, Numar persoane,52
 179677 CAMIN,35-39 ani, Masculin, Satu Mare, Anul 2011, Numar persoane,59
 179677 CAMIN,35-39 ani, Feminin, Satu Mare, Anul 2004, Numar persoane,47
 179677 CAMIN,35-39 ani, Feminin, Satu Mare, Anul 2005, Numar persoane,53
 179677 CAMIN,35-39 ani, Feminin, Satu Mare, Anul 2006, Numar persoane,55
 179677 CAMIN,35-39 ani, Feminin, Satu Mare, Anul 2007, Numar persoane,66
 179677 CAMIN,35-39 ani, Feminin, Satu Mare, Anul 2008, Numar persoane,66
 179677 CAMIN,35-39 ani, Feminin, Satu Mare, Anul 2009, Numar persoane,61
 179677 CAMIN,35-39 ani, Feminin, Satu Mare, Anul 2010, Numar persoane,60
 179677 CAMIN,35-39 ani, Feminin, Satu Mare, Anul 2011, Numar persoane,63
 179677 CAMIN,40-44 ani, Masculin, Satu Mare, Anul 2004, Numar persoane,48
 179677 CAMIN,40-44 ani, Masculin, Satu Mare, Anul 2005, Numar persoane,45
 179677 CAMIN,40-44 ani, Masculin, Satu Mare, Anul 2006, Numar persoane,43
 179677 CAMIN,40-44 ani, Masculin, Satu Mare, Anul 2007, Numar persoane,50
 179677 CAMIN,40-44 ani, Masculin, Satu Mare, Anul 2008, Numar persoane,49
 179677 CAMIN,40-44 ani, Masculin, Satu Mare, Anul 2009, Numar persoane,49
 179677 CAMIN,40-44 ani, Masculin, Satu Mare, Anul 2010, Numar persoane,51
 179677 CAMIN,40-44 ani, Masculin, Satu Mare, Anul 2011, Numar persoane,52
 179677 CAMIN,40-44 ani, Feminin, Satu Mare, Anul 2004, Numar persoane,42
 179677 CAMIN,40-44 ani, Feminin, Satu Mare, Anul 2005, Numar persoane,39
 179677 CAMIN,40-44 ani, Feminin, Satu Mare, Anul 2006, Numar persoane,40
 179677 CAMIN,40-44 ani, Feminin, Satu Mare, Anul 2007, Numar persoane,39
 179677 CAMIN,40-44 ani, Feminin, Satu Mare, Anul 2008, Numar persoane,47
 179677 CAMIN,40-44 ani, Feminin, Satu Mare, Anul 2009, Numar persoane,48
 179677 CAMIN,40-44 ani, Feminin, Satu Mare, Anul 2010, Numar persoane,51
 179677 CAMIN,40-44 ani, Feminin, Satu Mare, Anul 2011, Numar persoane,53
 179677 CAMIN,45-49 ani, Masculin, Satu Mare, Anul 2004, Numar persoane,50
 179677 CAMIN,45-49 ani, Masculin, Satu Mare, Anul 2005, Numar persoane,50
 179677 CAMIN,45-49 ani, Masculin, Satu Mare, Anul 2006, Numar persoane,47
 179677 CAMIN,45-49 ani, Masculin, Satu Mare, Anul 2007, Numar persoane,49
 179677 CAMIN,45-49 ani, Masculin, Satu Mare, Anul 2008, Numar persoane,50
 179677 CAMIN,45-49 ani, Masculin, Satu Mare, Anul 2009, Numar persoane,46
 179677 CAMIN,45-49 ani, Masculin, Satu Mare, Anul 2010, Numar persoane,44
 179677 CAMIN,45-49 ani, Masculin, Satu Mare, Anul 2011, Numar persoane,40
 179677 CAMIN,45-49 ani, Feminin, Satu Mare, Anul 2004, Numar persoane,41
 179677 CAMIN,45-49 ani, Feminin, Satu Mare, Anul 2005, Numar persoane,50
 179677 CAMIN,45-49 ani, Feminin, Satu Mare, Anul 2006, Numar persoane,51
 179677 CAMIN,45-49 ani, Feminin, Satu Mare, Anul 2007, Numar persoane,46
