 Localitati ,Varste si grupe de varsta, Sexe, Judete, Ani, UM: Numar persoane, Valoare
 26699 ORAS ALESD,0- 4 ani, Masculin, Bihor, Anul 1992, Numar persoane,495
 26699 ORAS ALESD,0- 4 ani, Masculin, Bihor, Anul 1993, Numar persoane,470
 26699 ORAS ALESD,0- 4 ani, Masculin, Bihor, Anul 1994, Numar persoane,440
 26699 ORAS ALESD,0- 4 ani, Masculin, Bihor, Anul 1995, Numar persoane,424
 26699 ORAS ALESD,0- 4 ani, Masculin, Bihor, Anul 1996, Numar persoane,400
 26699 ORAS ALESD,0- 4 ani, Masculin, Bihor, Anul 1997, Numar persoane,387
 26699 ORAS ALESD,0- 4 ani, Masculin, Bihor, Anul 1998, Numar persoane,378
 26699 ORAS ALESD,0- 4 ani, Masculin, Bihor, Anul 1999, Numar persoane,358
 26699 ORAS ALESD,0- 4 ani, Feminin, Bihor, Anul 1992, Numar persoane,481
 26699 ORAS ALESD,0- 4 ani, Feminin, Bihor, Anul 1993, Numar persoane,461
 26699 ORAS ALESD,0- 4 ani, Feminin, Bihor, Anul 1994, Numar persoane,436
 26699 ORAS ALESD,0- 4 ani, Feminin, Bihor, Anul 1995, Numar persoane,405
 26699 ORAS ALESD,0- 4 ani, Feminin, Bihor, Anul 1996, Numar persoane,386
 26699 ORAS ALESD,0- 4 ani, Feminin, Bihor, Anul 1997, Numar persoane,365
 26699 ORAS ALESD,0- 4 ani, Feminin, Bihor, Anul 1998, Numar persoane,351
 26699 ORAS ALESD,0- 4 ani, Feminin, Bihor, Anul 1999, Numar persoane,336
 26699 ORAS ALESD,5- 9 ani, Masculin, Bihor, Anul 1992, Numar persoane,481
 26699 ORAS ALESD,5- 9 ani, Masculin, Bihor, Anul 1993, Numar persoane,482
 26699 ORAS ALESD,5- 9 ani, Masculin, Bihor, Anul 1994, Numar persoane,528
 26699 ORAS ALESD,5- 9 ani, Masculin, Bihor, Anul 1995, Numar persoane,519
 26699 ORAS ALESD,5- 9 ani, Masculin, Bihor, Anul 1996, Numar persoane,509
 26699 ORAS ALESD,5- 9 ani, Masculin, Bihor, Anul 1997, Numar persoane,487
 26699 ORAS ALESD,5- 9 ani, Masculin, Bihor, Anul 1998, Numar persoane,465
 26699 ORAS ALESD,5- 9 ani, Masculin, Bihor, Anul 1999, Numar persoane,430
 26699 ORAS ALESD,5- 9 ani, Feminin, Bihor, Anul 1992, Numar persoane,442
 26699 ORAS ALESD,5- 9 ani, Feminin, Bihor, Anul 1993, Numar persoane,454
 26699 ORAS ALESD,5- 9 ani, Feminin, Bihor, Anul 1994, Numar persoane,476
 26699 ORAS ALESD,5- 9 ani, Feminin, Bihor, Anul 1995, Numar persoane,487
 26699 ORAS ALESD,5- 9 ani, Feminin, Bihor, Anul 1996, Numar persoane,476
 26699 ORAS ALESD,5- 9 ani, Feminin, Bihor, Anul 1997, Numar persoane,473
 26699 ORAS ALESD,5- 9 ani, Feminin, Bihor, Anul 1998, Numar persoane,446
 26699 ORAS ALESD,5- 9 ani, Feminin, Bihor, Anul 1999, Numar persoane,417
 26699 ORAS ALESD,10-14 ani, Masculin, Bihor, Anul 1992, Numar persoane,534
 26699 ORAS ALESD,10-14 ani, Masculin, Bihor, Anul 1993, Numar persoane,504
 26699 ORAS ALESD,10-14 ani, Masculin, Bihor, Anul 1994, Numar persoane,465
 26699 ORAS ALESD,10-14 ani, Masculin, Bihor, Anul 1995, Numar persoane,459
 26699 ORAS ALESD,10-14 ani, Masculin, Bihor, Anul 1996, Numar persoane,479
 26699 ORAS ALESD,10-14 ani, Masculin, Bihor, Anul 1997, Numar persoane,470
 26699 ORAS ALESD,10-14 ani, Masculin, Bihor, Anul 1998, Numar persoane,467
 26699 ORAS ALESD,10-14 ani, Masculin, Bihor, Anul 1999, Numar persoane,514
 26699 ORAS ALESD,10-14 ani, Feminin, Bihor, Anul 1992, Numar persoane,592
 26699 ORAS ALESD,10-14 ani, Feminin, Bihor, Anul 1993, Numar persoane,565
 26699 ORAS ALESD,10-14 ani, Feminin, Bihor, Anul 1994, Numar persoane,544
 26699 ORAS ALESD,10-14 ani, Feminin, Bihor, Anul 1995, Numar persoane,491
 26699 ORAS ALESD,10-14 ani, Feminin, Bihor, Anul 1996, Numar persoane,453
 26699 ORAS ALESD,10-14 ani, Feminin, Bihor, Anul 1997, Numar persoane,438
 26699 ORAS ALESD,10-14 ani, Feminin, Bihor, Anul 1998, Numar persoane,444
 26699 ORAS ALESD,10-14 ani, Feminin, Bihor, Anul 1999, Numar persoane,467
 26699 ORAS ALESD,15-19 ani, Masculin, Bihor, Anul 1992, Numar persoane,551
 26699 ORAS ALESD,15-19 ani, Masculin, Bihor, Anul 1993, Numar persoane,563
 26699 ORAS ALESD,15-19 ani, Masculin, Bihor, Anul 1994, Numar persoane,590
 26699 ORAS ALESD,15-19 ani, Masculin, Bihor, Anul 1995, Numar persoane,565
 26699 ORAS ALESD,15-19 ani, Masculin, Bihor, Anul 1996, Numar persoane,534
 26699 ORAS ALESD,15-19 ani, Masculin, Bihor, Anul 1997, Numar persoane,531
 26699 ORAS ALESD,15-19 ani, Masculin, Bihor, Anul 1998, Numar persoane,497
 26699 ORAS ALESD,15-19 ani, Masculin, Bihor, Anul 1999, Numar persoane,462
 26699 ORAS ALESD,15-19 ani, Feminin, Bihor, Anul 1992, Numar persoane,566
 26699 ORAS ALESD,15-19 ani, Feminin, Bihor, Anul 1993, Numar persoane,572
 26699 ORAS ALESD,15-19 ani, Feminin, Bihor, Anul 1994, Numar persoane,558
 26699 ORAS ALESD,15-19 ani, Feminin, Bihor, Anul 1995, Numar persoane,563
 26699 ORAS ALESD,15-19 ani, Feminin, Bihor, Anul 1996, Numar persoane,574
 26699 ORAS ALESD,15-19 ani, Feminin, Bihor, Anul 1997, Numar persoane,576
 26699 ORAS ALESD,15-19 ani, Feminin, Bihor, Anul 1998, Numar persoane,557
 26699 ORAS ALESD,15-19 ani, Feminin, Bihor, Anul 1999, Numar persoane,532
 26699 ORAS ALESD,20-24 ani, Masculin, Bihor, Anul 1992, Numar persoane,525
 26699 ORAS ALESD,20-24 ani, Masculin, Bihor, Anul 1993, Numar persoane,543
 26699 ORAS ALESD,20-24 ani, Masculin, Bihor, Anul 1994, Numar persoane,510
 26699 ORAS ALESD,20-24 ani, Masculin, Bihor, Anul 1995, Numar persoane,527
 26699 ORAS ALESD,20-24 ani, Masculin, Bihor, Anul 1996, Numar persoane,528
 26699 ORAS ALESD,20-24 ani, Masculin, Bihor, Anul 1997, Numar persoane,527
 26699 ORAS ALESD,20-24 ani, Masculin, Bihor, Anul 1998, Numar persoane,543
 26699 ORAS ALESD,20-24 ani, Masculin, Bihor, Anul 1999, Numar persoane,556
 26699 ORAS ALESD,20-24 ani, Feminin, Bihor, Anul 1992, Numar persoane,568
 26699 ORAS ALESD,20-24 ani, Feminin, Bihor, Anul 1993, Numar persoane,579
 26699 ORAS ALESD,20-24 ani, Feminin, Bihor, Anul 1994, Numar persoane,561
 26699 ORAS ALESD,20-24 ani, Feminin, Bihor, Anul 1995, Numar persoane,549
 26699 ORAS ALESD,20-24 ani, Feminin, Bihor, Anul 1996, Numar persoane,543
 26699 ORAS ALESD,20-24 ani, Feminin, Bihor, Anul 1997, Numar persoane,531
 26699 ORAS ALESD,20-24 ani, Feminin, Bihor, Anul 1998, Numar persoane,536
 26699 ORAS ALESD,20-24 ani, Feminin, Bihor, Anul 1999, Numar persoane,524
 26699 ORAS ALESD,25-29 ani, Masculin, Bihor, Anul 1992, Numar persoane,336
 26699 ORAS ALESD,25-29 ani, Masculin, Bihor, Anul 1993, Numar persoane,377
 26699 ORAS ALESD,25-29 ani, Masculin, Bihor, Anul 1994, Numar persoane,423
 26699 ORAS ALESD,25-29 ani, Masculin, Bihor, Anul 1995, Numar persoane,447
 26699 ORAS ALESD,25-29 ani, Masculin, Bihor, Anul 1996, Numar persoane,470
 26699 ORAS ALESD,25-29 ani, Masculin, Bihor, Anul 1997, Numar persoane,503
 26699 ORAS ALESD,25-29 ani, Masculin, Bihor, Anul 1998, Numar persoane,515
 26699 ORAS ALESD,25-29 ani, Masculin, Bihor, Anul 1999, Numar persoane,478
 26699 ORAS ALESD,25-29 ani, Feminin, Bihor, Anul 1992, Numar persoane,320
 26699 ORAS ALESD,25-29 ani, Feminin, Bihor, Anul 1993, Numar persoane,374
 26699 ORAS ALESD,25-29 ani, Feminin, Bihor, Anul 1994, Numar persoane,450
 26699 ORAS ALESD,25-29 ani, Feminin, Bihor, Anul 1995, Numar persoane,508
 26699 ORAS ALESD,25-29 ani, Feminin, Bihor, Anul 1996, Numar persoane,535
 26699 ORAS ALESD,25-29 ani, Feminin, Bihor, Anul 1997, Numar persoane,574
 26699 ORAS ALESD,25-29 ani, Feminin, Bihor, Anul 1998, Numar persoane,561
 26699 ORAS ALESD,25-29 ani, Feminin, Bihor, Anul 1999, Numar persoane,523
 26699 ORAS ALESD,30-34 ani, Masculin, Bihor, Anul 1992, Numar persoane,392
 26699 ORAS ALESD,30-34 ani, Masculin, Bihor, Anul 1993, Numar persoane,370
 26699 ORAS ALESD,30-34 ani, Masculin, Bihor, Anul 1994, Numar persoane,390
 26699 ORAS ALESD,30-34 ani, Masculin, Bihor, Anul 1995, Numar persoane,375
 26699 ORAS ALESD,30-34 ani, Masculin, Bihor, Anul 1996, Numar persoane,378
 26699 ORAS ALESD,30-34 ani, Masculin, Bihor, Anul 1997, Numar persoane,357
 26699 ORAS ALESD,30-34 ani, Masculin, Bihor, Anul 1998, Numar persoane,385
 26699 ORAS ALESD,30-34 ani, Masculin, Bihor, Anul 1999, Numar persoane,417
 26699 ORAS ALESD,30-34 ani, Feminin, Bihor, Anul 1992, Numar persoane,452
 26699 ORAS ALESD,30-34 ani, Feminin, Bihor, Anul 1993, Numar persoane,417
 26699 ORAS ALESD,30-34 ani, Feminin, Bihor, Anul 1994, Numar persoane,394
 26699 ORAS ALESD,30-34 ani, Feminin, Bihor, Anul 1995, Numar persoane,378
 26699 ORAS ALESD,30-34 ani, Feminin, Bihor, Anul 1996, Numar persoane,360
 26699 ORAS ALESD,30-34 ani, Feminin, Bihor, Anul 1997, Numar persoane,336
 26699 ORAS ALESD,30-34 ani, Feminin, Bihor, Anul 1998, Numar persoane,378
 26699 ORAS ALESD,30-34 ani, Feminin, Bihor, Anul 1999, Numar persoane,439
 26699 ORAS ALESD,35-39 ani, Masculin, Bihor, Anul 1992, Numar persoane,471
 26699 ORAS ALESD,35-39 ani, Masculin, Bihor, Anul 1993, Numar persoane,462
 26699 ORAS ALESD,35-39 ani, Masculin, Bihor, Anul 1994, Numar persoane,436
 26699 ORAS ALESD,35-39 ani, Masculin, Bihor, Anul 1995, Numar persoane,435
 26699 ORAS ALESD,35-39 ani, Masculin, Bihor, Anul 1996, Numar persoane,390
 26699 ORAS ALESD,35-39 ani, Masculin, Bihor, Anul 1997, Numar persoane,395
 26699 ORAS ALESD,35-39 ani, Masculin, Bihor, Anul 1998, Numar persoane,371
 26699 ORAS ALESD,35-39 ani, Masculin, Bihor, Anul 1999, Numar persoane,382
 26699 ORAS ALESD,35-39 ani, Feminin, Bihor, Anul 1992, Numar persoane,451
 26699 ORAS ALESD,35-39 ani, Feminin, Bihor, Anul 1993, Numar persoane,473
 26699 ORAS ALESD,35-39 ani, Feminin, Bihor, Anul 1994, Numar persoane,488
 26699 ORAS ALESD,35-39 ani, Feminin, Bihor, Anul 1995, Numar persoane,474
 26699 ORAS ALESD,35-39 ani, Feminin, Bihor, Anul 1996, Numar persoane,438
 26699 ORAS ALESD,35-39 ani, Feminin, Bihor, Anul 1997, Numar persoane,455
 26699 ORAS ALESD,35-39 ani, Feminin, Bihor, Anul 1998, Numar persoane,414
 26699 ORAS ALESD,35-39 ani, Feminin, Bihor, Anul 1999, Numar persoane,386
 26699 ORAS ALESD,40-44 ani, Masculin, Bihor, Anul 1992, Numar persoane,462
 26699 ORAS ALESD,40-44 ani, Masculin, Bihor, Anul 1993, Numar persoane,486
 26699 ORAS ALESD,40-44 ani, Masculin, Bihor, Anul 1994, Numar persoane,477
 26699 ORAS ALESD,40-44 ani, Masculin, Bihor, Anul 1995, Numar persoane,468
 26699 ORAS ALESD,40-44 ani, Masculin, Bihor, Anul 1996, Numar persoane,479
 26699 ORAS ALESD,40-44 ani, Masculin, Bihor, Anul 1997, Numar persoane,448
 26699 ORAS ALESD,40-44 ani, Masculin, Bihor, Anul 1998, Numar persoane,425
 26699 ORAS ALESD,40-44 ani, Masculin, Bihor, Anul 1999, Numar persoane,408
 26699 ORAS ALESD,40-44 ani, Feminin, Bihor, Anul 1992, Numar persoane,430
 26699 ORAS ALESD,40-44 ani, Feminin, Bihor, Anul 1993, Numar persoane,426
 26699 ORAS ALESD,40-44 ani, Feminin, Bihor, Anul 1994, Numar persoane,419
 26699 ORAS ALESD,40-44 ani, Feminin, Bihor, Anul 1995, Numar persoane,439
 26699 ORAS ALESD,40-44 ani, Feminin, Bihor, Anul 1996, Numar persoane,460
 26699 ORAS ALESD,40-44 ani, Feminin, Bihor, Anul 1997, Numar persoane,439
 26699 ORAS ALESD,40-44 ani, Feminin, Bihor, Anul 1998, Numar persoane,451
 26699 ORAS ALESD,40-44 ani, Feminin, Bihor, Anul 1999, Numar persoane,464
 26699 ORAS ALESD,45-49 ani, Masculin, Bihor, Anul 1992, Numar persoane,341
 26699 ORAS ALESD,45-49 ani, Masculin, Bihor, Anul 1993, Numar persoane,337
 26699 ORAS ALESD,45-49 ani, Masculin, Bihor, Anul 1994, Numar persoane,371
 26699 ORAS ALESD,45-49 ani, Masculin, Bihor, Anul 1995, Numar persoane,396
 26699 ORAS ALESD,45-49 ani, Masculin, Bihor, Anul 1996, Numar persoane,419
 26699 ORAS ALESD,45-49 ani, Masculin, Bihor, Anul 1997, Numar persoane,440
 26699 ORAS ALESD,45-49 ani, Masculin, Bihor, Anul 1998, Numar persoane,465
 26699 ORAS ALESD,45-49 ani, Masculin, Bihor, Anul 1999, Numar persoane,443
 26699 ORAS ALESD,45-49 ani, Feminin, Bihor, Anul 1992, Numar persoane,338
 26699 ORAS ALESD,45-49 ani, Feminin, Bihor, Anul 1993, Numar persoane,375
 26699 ORAS ALESD,45-49 ani, Feminin, Bihor, Anul 1994, Numar persoane,390
 26699 ORAS ALESD,45-49 ani, Feminin, Bihor, Anul 1995, Numar persoane,380
 26699 ORAS ALESD,45-49 ani, Feminin, Bihor, Anul 1996, Numar persoane,394
 26699 ORAS ALESD,45-49 ani, Feminin, Bihor, Anul 1997, Numar persoane,414
 26699 ORAS ALESD,45-49 ani, Feminin, Bihor, Anul 1998, Numar persoane,410
 26699 ORAS ALESD,45-49 ani, Feminin, Bihor, Anul 1999, Numar persoane,404
 26699 ORAS ALESD,50-54 ani, Masculin, Bihor, Anul 1992, Numar persoane,299
 26699 ORAS ALESD,50-54 ani, Masculin, Bihor, Anul 1993, Numar persoane,304
 26699 ORAS ALESD,50-54 ani, Masculin, Bihor, Anul 1994, Numar persoane,276
