 Localitati ,Varste si grupe de varsta, Sexe, Judete, Ani, UM: Numar persoane, Valoare
 26840 ORAS STEI,0- 4 ani, Masculin, Bihor, Anul 1992, Numar persoane,359
 26840 ORAS STEI,0- 4 ani, Masculin, Bihor, Anul 1993, Numar persoane,315
 26840 ORAS STEI,0- 4 ani, Masculin, Bihor, Anul 1994, Numar persoane,277
 26840 ORAS STEI,0- 4 ani, Masculin, Bihor, Anul 1995, Numar persoane,256
 26840 ORAS STEI,0- 4 ani, Masculin, Bihor, Anul 1996, Numar persoane,221
 26840 ORAS STEI,0- 4 ani, Masculin, Bihor, Anul 1997, Numar persoane,217
 26840 ORAS STEI,0- 4 ani, Masculin, Bihor, Anul 1998, Numar persoane,213
 26840 ORAS STEI,0- 4 ani, Masculin, Bihor, Anul 1999, Numar persoane,204
 26840 ORAS STEI,0- 4 ani, Feminin, Bihor, Anul 1992, Numar persoane,347
 26840 ORAS STEI,0- 4 ani, Feminin, Bihor, Anul 1993, Numar persoane,328
 26840 ORAS STEI,0- 4 ani, Feminin, Bihor, Anul 1994, Numar persoane,287
 26840 ORAS STEI,0- 4 ani, Feminin, Bihor, Anul 1995, Numar persoane,270
 26840 ORAS STEI,0- 4 ani, Feminin, Bihor, Anul 1996, Numar persoane,245
 26840 ORAS STEI,0- 4 ani, Feminin, Bihor, Anul 1997, Numar persoane,228
 26840 ORAS STEI,0- 4 ani, Feminin, Bihor, Anul 1998, Numar persoane,212
 26840 ORAS STEI,0- 4 ani, Feminin, Bihor, Anul 1999, Numar persoane,192
 26840 ORAS STEI,5- 9 ani, Masculin, Bihor, Anul 1992, Numar persoane,466
 26840 ORAS STEI,5- 9 ani, Masculin, Bihor, Anul 1993, Numar persoane,442
 26840 ORAS STEI,5- 9 ani, Masculin, Bihor, Anul 1994, Numar persoane,450
 26840 ORAS STEI,5- 9 ani, Masculin, Bihor, Anul 1995, Numar persoane,424
 26840 ORAS STEI,5- 9 ani, Masculin, Bihor, Anul 1996, Numar persoane,397
 26840 ORAS STEI,5- 9 ani, Masculin, Bihor, Anul 1997, Numar persoane,362
 26840 ORAS STEI,5- 9 ani, Masculin, Bihor, Anul 1998, Numar persoane,321
 26840 ORAS STEI,5- 9 ani, Masculin, Bihor, Anul 1999, Numar persoane,279
 26840 ORAS STEI,5- 9 ani, Feminin, Bihor, Anul 1992, Numar persoane,455
 26840 ORAS STEI,5- 9 ani, Feminin, Bihor, Anul 1993, Numar persoane,418
 26840 ORAS STEI,5- 9 ani, Feminin, Bihor, Anul 1994, Numar persoane,415
 26840 ORAS STEI,5- 9 ani, Feminin, Bihor, Anul 1995, Numar persoane,407
 26840 ORAS STEI,5- 9 ani, Feminin, Bihor, Anul 1996, Numar persoane,381
 26840 ORAS STEI,5- 9 ani, Feminin, Bihor, Anul 1997, Numar persoane,360
 26840 ORAS STEI,5- 9 ani, Feminin, Bihor, Anul 1998, Numar persoane,322
 26840 ORAS STEI,5- 9 ani, Feminin, Bihor, Anul 1999, Numar persoane,284
 26840 ORAS STEI,10-14 ani, Masculin, Bihor, Anul 1992, Numar persoane,432
 26840 ORAS STEI,10-14 ani, Masculin, Bihor, Anul 1993, Numar persoane,458
 26840 ORAS STEI,10-14 ani, Masculin, Bihor, Anul 1994, Numar persoane,451
 26840 ORAS STEI,10-14 ani, Masculin, Bihor, Anul 1995, Numar persoane,443
 26840 ORAS STEI,10-14 ani, Masculin, Bihor, Anul 1996, Numar persoane,449
 26840 ORAS STEI,10-14 ani, Masculin, Bihor, Anul 1997, Numar persoane,437
 26840 ORAS STEI,10-14 ani, Masculin, Bihor, Anul 1998, Numar persoane,423
 26840 ORAS STEI,10-14 ani, Masculin, Bihor, Anul 1999, Numar persoane,431
 26840 ORAS STEI,10-14 ani, Feminin, Bihor, Anul 1992, Numar persoane,428
 26840 ORAS STEI,10-14 ani, Feminin, Bihor, Anul 1993, Numar persoane,454
 26840 ORAS STEI,10-14 ani, Feminin, Bihor, Anul 1994, Numar persoane,467
 26840 ORAS STEI,10-14 ani, Feminin, Bihor, Anul 1995, Numar persoane,461
 26840 ORAS STEI,10-14 ani, Feminin, Bihor, Anul 1996, Numar persoane,441
 26840 ORAS STEI,10-14 ani, Feminin, Bihor, Anul 1997, Numar persoane,438
 26840 ORAS STEI,10-14 ani, Feminin, Bihor, Anul 1998, Numar persoane,408
 26840 ORAS STEI,10-14 ani, Feminin, Bihor, Anul 1999, Numar persoane,410
 26840 ORAS STEI,15-19 ani, Masculin, Bihor, Anul 1992, Numar persoane,351
 26840 ORAS STEI,15-19 ani, Masculin, Bihor, Anul 1993, Numar persoane,355
 26840 ORAS STEI,15-19 ani, Masculin, Bihor, Anul 1994, Numar persoane,377
 26840 ORAS STEI,15-19 ani, Masculin, Bihor, Anul 1995, Numar persoane,397
 26840 ORAS STEI,15-19 ani, Masculin, Bihor, Anul 1996, Numar persoane,415
 26840 ORAS STEI,15-19 ani, Masculin, Bihor, Anul 1997, Numar persoane,427
 26840 ORAS STEI,15-19 ani, Masculin, Bihor, Anul 1998, Numar persoane,444
 26840 ORAS STEI,15-19 ani, Masculin, Bihor, Anul 1999, Numar persoane,439
 26840 ORAS STEI,15-19 ani, Feminin, Bihor, Anul 1992, Numar persoane,331
 26840 ORAS STEI,15-19 ani, Feminin, Bihor, Anul 1993, Numar persoane,351
 26840 ORAS STEI,15-19 ani, Feminin, Bihor, Anul 1994, Numar persoane,364
 26840 ORAS STEI,15-19 ani, Feminin, Bihor, Anul 1995, Numar persoane,370
 26840 ORAS STEI,15-19 ani, Feminin, Bihor, Anul 1996, Numar persoane,395
 26840 ORAS STEI,15-19 ani, Feminin, Bihor, Anul 1997, Numar persoane,415
 26840 ORAS STEI,15-19 ani, Feminin, Bihor, Anul 1998, Numar persoane,435
 26840 ORAS STEI,15-19 ani, Feminin, Bihor, Anul 1999, Numar persoane,446
 26840 ORAS STEI,20-24 ani, Masculin, Bihor, Anul 1992, Numar persoane,362
 26840 ORAS STEI,20-24 ani, Masculin, Bihor, Anul 1993, Numar persoane,349
 26840 ORAS STEI,20-24 ani, Masculin, Bihor, Anul 1994, Numar persoane,305
 26840 ORAS STEI,20-24 ani, Masculin, Bihor, Anul 1995, Numar persoane,309
 26840 ORAS STEI,20-24 ani, Masculin, Bihor, Anul 1996, Numar persoane,319
 26840 ORAS STEI,20-24 ani, Masculin, Bihor, Anul 1997, Numar persoane,329
 26840 ORAS STEI,20-24 ani, Masculin, Bihor, Anul 1998, Numar persoane,337
 26840 ORAS STEI,20-24 ani, Masculin, Bihor, Anul 1999, Numar persoane,359
 26840 ORAS STEI,20-24 ani, Feminin, Bihor, Anul 1992, Numar persoane,339
 26840 ORAS STEI,20-24 ani, Feminin, Bihor, Anul 1993, Numar persoane,307
 26840 ORAS STEI,20-24 ani, Feminin, Bihor, Anul 1994, Numar persoane,289
 26840 ORAS STEI,20-24 ani, Feminin, Bihor, Anul 1995, Numar persoane,292
 26840 ORAS STEI,20-24 ani, Feminin, Bihor, Anul 1996, Numar persoane,325
 26840 ORAS STEI,20-24 ani, Feminin, Bihor, Anul 1997, Numar persoane,337
