 Localitati ,Varste si grupe de varsta, Sexe, Judete, Ani, UM: Numar persoane, Valoare
 27212 AUSEU,0- 4 ani, Masculin, Bihor, Anul 1992, Numar persoane,111
 27212 AUSEU,0- 4 ani, Masculin, Bihor, Anul 1993, Numar persoane,107
 27212 AUSEU,0- 4 ani, Masculin, Bihor, Anul 1994, Numar persoane,112
 27212 AUSEU,0- 4 ani, Masculin, Bihor, Anul 1995, Numar persoane,119
 27212 AUSEU,0- 4 ani, Masculin, Bihor, Anul 1996, Numar persoane,115
 27212 AUSEU,0- 4 ani, Masculin, Bihor, Anul 1997, Numar persoane,126
 27212 AUSEU,0- 4 ani, Masculin, Bihor, Anul 1998, Numar persoane,122
 27212 AUSEU,0- 4 ani, Masculin, Bihor, Anul 1999, Numar persoane,123
 27212 AUSEU,0- 4 ani, Feminin, Bihor, Anul 1992, Numar persoane,98
 27212 AUSEU,0- 4 ani, Feminin, Bihor, Anul 1993, Numar persoane,101
 27212 AUSEU,0- 4 ani, Feminin, Bihor, Anul 1994, Numar persoane,95
 27212 AUSEU,0- 4 ani, Feminin, Bihor, Anul 1995, Numar persoane,96
 27212 AUSEU,0- 4 ani, Feminin, Bihor, Anul 1996, Numar persoane,106
 27212 AUSEU,0- 4 ani, Feminin, Bihor, Anul 1997, Numar persoane,115
 27212 AUSEU,0- 4 ani, Feminin, Bihor, Anul 1998, Numar persoane,107
 27212 AUSEU,0- 4 ani, Feminin, Bihor, Anul 1999, Numar persoane,115
 27212 AUSEU,5- 9 ani, Masculin, Bihor, Anul 1992, Numar persoane,107
 27212 AUSEU,5- 9 ani, Masculin, Bihor, Anul 1993, Numar persoane,112
 27212 AUSEU,5- 9 ani, Masculin, Bihor, Anul 1994, Numar persoane,111
 27212 AUSEU,5- 9 ani, Masculin, Bihor, Anul 1995, Numar persoane,116
 27212 AUSEU,5- 9 ani, Masculin, Bihor, Anul 1996, Numar persoane,110
 27212 AUSEU,5- 9 ani, Masculin, Bihor, Anul 1997, Numar persoane,108
