 Localitati ,Varste si grupe de varsta, Sexe, Judete, Ani, UM: Numar persoane, Valoare
 27686 BRATCA,0- 4 ani, Masculin, Bihor, Anul 1992, Numar persoane,174
 27686 BRATCA,0- 4 ani, Masculin, Bihor, Anul 1993, Numar persoane,158
 27686 BRATCA,0- 4 ani, Masculin, Bihor, Anul 1994, Numar persoane,153
 27686 BRATCA,0- 4 ani, Masculin, Bihor, Anul 1995, Numar persoane,158
 27686 BRATCA,0- 4 ani, Masculin, Bihor, Anul 1996, Numar persoane,160
 27686 BRATCA,0- 4 ani, Masculin, Bihor, Anul 1997, Numar persoane,164
 27686 BRATCA,0- 4 ani, Masculin, Bihor, Anul 1998, Numar persoane,167
 27686 BRATCA,0- 4 ani, Masculin, Bihor, Anul 1999, Numar persoane,163
 27686 BRATCA,0- 4 ani, Feminin, Bihor, Anul 1992, Numar persoane,180
 27686 BRATCA,0- 4 ani, Feminin, Bihor, Anul 1993, Numar persoane,175
 27686 BRATCA,0- 4 ani, Feminin, Bihor, Anul 1994, Numar persoane,170
 27686 BRATCA,0- 4 ani, Feminin, Bihor, Anul 1995, Numar persoane,162
 27686 BRATCA,0- 4 ani, Feminin, Bihor, Anul 1996, Numar persoane,157
 27686 BRATCA,0- 4 ani, Feminin, Bihor, Anul 1997, Numar persoane,165
 27686 BRATCA,0- 4 ani, Feminin, Bihor, Anul 1998, Numar persoane,171
 27686 BRATCA,0- 4 ani, Feminin, Bihor, Anul 1999, Numar persoane,169
 27686 BRATCA,5- 9 ani, Masculin, Bihor, Anul 1992, Numar persoane,203
 27686 BRATCA,5- 9 ani, Masculin, Bihor, Anul 1993, Numar persoane,211
 27686 BRATCA,5- 9 ani, Masculin, Bihor, Anul 1994, Numar persoane,202
 27686 BRATCA,5- 9 ani, Masculin, Bihor, Anul 1995, Numar persoane,187
 27686 BRATCA,5- 9 ani, Masculin, Bihor, Anul 1996, Numar persoane,168
 27686 BRATCA,5- 9 ani, Masculin, Bihor, Anul 1997, Numar persoane,156
 27686 BRATCA,5- 9 ani, Masculin, Bihor, Anul 1998, Numar persoane,150
 27686 BRATCA,5- 9 ani, Masculin, Bihor, Anul 1999, Numar persoane,154
 27686 BRATCA,5- 9 ani, Feminin, Bihor, Anul 1992, Numar persoane,188
 27686 BRATCA,5- 9 ani, Feminin, Bihor, Anul 1993, Numar persoane,190
 27686 BRATCA,5- 9 ani, Feminin, Bihor, Anul 1994, Numar persoane,176
 27686 BRATCA,5- 9 ani, Feminin, Bihor, Anul 1995, Numar persoane,175
 27686 BRATCA,5- 9 ani, Feminin, Bihor, Anul 1996, Numar persoane,166
 27686 BRATCA,5- 9 ani, Feminin, Bihor, Anul 1997, Numar persoane,168
 27686 BRATCA,5- 9 ani, Feminin, Bihor, Anul 1998, Numar persoane,171
 27686 BRATCA,5- 9 ani, Feminin, Bihor, Anul 1999, Numar persoane,168
 27686 BRATCA,10-14 ani, Masculin, Bihor, Anul 1992, Numar persoane,201
 27686 BRATCA,10-14 ani, Masculin, Bihor, Anul 1993, Numar persoane,185
 27686 BRATCA,10-14 ani, Masculin, Bihor, Anul 1994, Numar persoane,170
 27686 BRATCA,10-14 ani, Masculin, Bihor, Anul 1995, Numar persoane,183
 27686 BRATCA,10-14 ani, Masculin, Bihor, Anul 1996, Numar persoane,187
 27686 BRATCA,10-14 ani, Masculin, Bihor, Anul 1997, Numar persoane,194
 27686 BRATCA,10-14 ani, Masculin, Bihor, Anul 1998, Numar persoane,202
 27686 BRATCA,10-14 ani, Masculin, Bihor, Anul 1999, Numar persoane,199
 27686 BRATCA,10-14 ani, Feminin, Bihor, Anul 1992, Numar persoane,215
 27686 BRATCA,10-14 ani, Feminin, Bihor, Anul 1993, Numar persoane,206
 27686 BRATCA,10-14 ani, Feminin, Bihor, Anul 1994, Numar persoane,206
 27686 BRATCA,10-14 ani, Feminin, Bihor, Anul 1995, Numar persoane,207
 27686 BRATCA,10-14 ani, Feminin, Bihor, Anul 1996, Numar persoane,192
 27686 BRATCA,10-14 ani, Feminin, Bihor, Anul 1997, Numar persoane,183
 27686 BRATCA,10-14 ani, Feminin, Bihor, Anul 1998, Numar persoane,187
 27686 BRATCA,10-14 ani, Feminin, Bihor, Anul 1999, Numar persoane,173
 27686 BRATCA,15-19 ani, Masculin, Bihor, Anul 1992, Numar persoane,256
 27686 BRATCA,15-19 ani, Masculin, Bihor, Anul 1993, Numar persoane,249
 27686 BRATCA,15-19 ani, Masculin, Bihor, Anul 1994, Numar persoane,254
 27686 BRATCA,15-19 ani, Masculin, Bihor, Anul 1995, Numar persoane,245
 27686 BRATCA,15-19 ani, Masculin, Bihor, Anul 1996, Numar persoane,215
 27686 BRATCA,15-19 ani, Masculin, Bihor, Anul 1997, Numar persoane,198
 27686 BRATCA,15-19 ani, Masculin, Bihor, Anul 1998, Numar persoane,182
 27686 BRATCA,15-19 ani, Masculin, Bihor, Anul 1999, Numar persoane,171
 27686 BRATCA,15-19 ani, Feminin, Bihor, Anul 1992, Numar persoane,254
 27686 BRATCA,15-19 ani, Feminin, Bihor, Anul 1993, Numar persoane,240
 27686 BRATCA,15-19 ani, Feminin, Bihor, Anul 1994, Numar persoane,223
 27686 BRATCA,15-19 ani, Feminin, Bihor, Anul 1995, Numar persoane,217
 27686 BRATCA,15-19 ani, Feminin, Bihor, Anul 1996, Numar persoane,217
 27686 BRATCA,15-19 ani, Feminin, Bihor, Anul 1997, Numar persoane,211
 27686 BRATCA,15-19 ani, Feminin, Bihor, Anul 1998, Numar persoane,202
 27686 BRATCA,15-19 ani, Feminin, Bihor, Anul 1999, Numar persoane,202
 27686 BRATCA,20-24 ani, Masculin, Bihor, Anul 1992, Numar persoane,295
 27686 BRATCA,20-24 ani, Masculin, Bihor, Anul 1993, Numar persoane,285
 27686 BRATCA,20-24 ani, Masculin, Bihor, Anul 1994, Numar persoane,265
 27686 BRATCA,20-24 ani, Masculin, Bihor, Anul 1995, Numar persoane,243
 27686 BRATCA,20-24 ani, Masculin, Bihor, Anul 1996, Numar persoane,256
 27686 BRATCA,20-24 ani, Masculin, Bihor, Anul 1997, Numar persoane,247
 27686 BRATCA,20-24 ani, Masculin, Bihor, Anul 1998, Numar persoane,241
 27686 BRATCA,20-24 ani, Masculin, Bihor, Anul 1999, Numar persoane,239
 27686 BRATCA,20-24 ani, Feminin, Bihor, Anul 1992, Numar persoane,258
 27686 BRATCA,20-24 ani, Feminin, Bihor, Anul 1993, Numar persoane,253
 27686 BRATCA,20-24 ani, Feminin, Bihor, Anul 1994, Numar persoane,232
 27686 BRATCA,20-24 ani, Feminin, Bihor, Anul 1995, Numar persoane,236
 27686 BRATCA,20-24 ani, Feminin, Bihor, Anul 1996, Numar persoane,225
 27686 BRATCA,20-24 ani, Feminin, Bihor, Anul 1997, Numar persoane,211
 27686 BRATCA,20-24 ani, Feminin, Bihor, Anul 1998, Numar persoane,205
