 Localitati ,Varste si grupe de varsta, Sexe, Judete, Ani, UM: Numar persoane, Valoare
 27971 BUNTESTI,0- 4 ani, Masculin, Bihor, Anul 1992, Numar persoane,180
 27971 BUNTESTI,0- 4 ani, Masculin, Bihor, Anul 1993, Numar persoane,187
 27971 BUNTESTI,0- 4 ani, Masculin, Bihor, Anul 1994, Numar persoane,176
 27971 BUNTESTI,0- 4 ani, Masculin, Bihor, Anul 1995, Numar persoane,166
 27971 BUNTESTI,0- 4 ani, Masculin, Bihor, Anul 1996, Numar persoane,160
 27971 BUNTESTI,0- 4 ani, Masculin, Bihor, Anul 1997, Numar persoane,152
 27971 BUNTESTI,0- 4 ani, Masculin, Bihor, Anul 1998, Numar persoane,137
 27971 BUNTESTI,0- 4 ani, Masculin, Bihor, Anul 1999, Numar persoane,139
 27971 BUNTESTI,0- 4 ani, Feminin, Bihor, Anul 1992, Numar persoane,163
 27971 BUNTESTI,0- 4 ani, Feminin, Bihor, Anul 1993, Numar persoane,155
 27971 BUNTESTI,0- 4 ani, Feminin, Bihor, Anul 1994, Numar persoane,145
 27971 BUNTESTI,0- 4 ani, Feminin, Bihor, Anul 1995, Numar persoane,128
 27971 BUNTESTI,0- 4 ani, Feminin, Bihor, Anul 1996, Numar persoane,122
 27971 BUNTESTI,0- 4 ani, Feminin, Bihor, Anul 1997, Numar persoane,119
 27971 BUNTESTI,0- 4 ani, Feminin, Bihor, Anul 1998, Numar persoane,113
 27971 BUNTESTI,0- 4 ani, Feminin, Bihor, Anul 1999, Numar persoane,112
 27971 BUNTESTI,5- 9 ani, Masculin, Bihor, Anul 1992, Numar persoane,164
 27971 BUNTESTI,5- 9 ani, Masculin, Bihor, Anul 1993, Numar persoane,160
 27971 BUNTESTI,5- 9 ani, Masculin, Bihor, Anul 1994, Numar persoane,156
 27971 BUNTESTI,5- 9 ani, Masculin, Bihor, Anul 1995, Numar persoane,172
 27971 BUNTESTI,5- 9 ani, Masculin, Bihor, Anul 1996, Numar persoane,178
 27971 BUNTESTI,5- 9 ani, Masculin, Bihor, Anul 1997, Numar persoane,178
 27971 BUNTESTI,5- 9 ani, Masculin, Bihor, Anul 1998, Numar persoane,184
 27971 BUNTESTI,5- 9 ani, Masculin, Bihor, Anul 1999, Numar persoane,178
 27971 BUNTESTI,5- 9 ani, Feminin, Bihor, Anul 1992, Numar persoane,158
 27971 BUNTESTI,5- 9 ani, Feminin, Bihor, Anul 1993, Numar persoane,163
 27971 BUNTESTI,5- 9 ani, Feminin, Bihor, Anul 1994, Numar persoane,168
 27971 BUNTESTI,5- 9 ani, Feminin, Bihor, Anul 1995, Numar persoane,167
 27971 BUNTESTI,5- 9 ani, Feminin, Bihor, Anul 1996, Numar persoane,166
 27971 BUNTESTI,5- 9 ani, Feminin, Bihor, Anul 1997, Numar persoane,168
 27971 BUNTESTI,5- 9 ani, Feminin, Bihor, Anul 1998, Numar persoane,161
 27971 BUNTESTI,5- 9 ani, Feminin, Bihor, Anul 1999, Numar persoane,150
 27971 BUNTESTI,10-14 ani, Masculin, Bihor, Anul 1992, Numar persoane,180
 27971 BUNTESTI,10-14 ani, Masculin, Bihor, Anul 1993, Numar persoane,182
 27971 BUNTESTI,10-14 ani, Masculin, Bihor, Anul 1994, Numar persoane,180
 27971 BUNTESTI,10-14 ani, Masculin, Bihor, Anul 1995, Numar persoane,177
 27971 BUNTESTI,10-14 ani, Masculin, Bihor, Anul 1996, Numar persoane,172
 27971 BUNTESTI,10-14 ani, Masculin, Bihor, Anul 1997, Numar persoane,173
 27971 BUNTESTI,10-14 ani, Masculin, Bihor, Anul 1998, Numar persoane,167
 27971 BUNTESTI,10-14 ani, Masculin, Bihor, Anul 1999, Numar persoane,159
 27971 BUNTESTI,10-14 ani, Feminin, Bihor, Anul 1992, Numar persoane,184
 27971 BUNTESTI,10-14 ani, Feminin, Bihor, Anul 1993, Numar persoane,177
 27971 BUNTESTI,10-14 ani, Feminin, Bihor, Anul 1994, Numar persoane,158
 27971 BUNTESTI,10-14 ani, Feminin, Bihor, Anul 1995, Numar persoane,163
 27971 BUNTESTI,10-14 ani, Feminin, Bihor, Anul 1996, Numar persoane,167
 27971 BUNTESTI,10-14 ani, Feminin, Bihor, Anul 1997, Numar persoane,163
 27971 BUNTESTI,10-14 ani, Feminin, Bihor, Anul 1998, Numar persoane,166
 27971 BUNTESTI,10-14 ani, Feminin, Bihor, Anul 1999, Numar persoane,170
 27971 BUNTESTI,15-19 ani, Masculin, Bihor, Anul 1992, Numar persoane,209
 27971 BUNTESTI,15-19 ani, Masculin, Bihor, Anul 1993, Numar persoane,212
 27971 BUNTESTI,15-19 ani, Masculin, Bihor, Anul 1994, Numar persoane,202
 27971 BUNTESTI,15-19 ani, Masculin, Bihor, Anul 1995, Numar persoane,192
 27971 BUNTESTI,15-19 ani, Masculin, Bihor, Anul 1996, Numar persoane,189
 27971 BUNTESTI,15-19 ani, Masculin, Bihor, Anul 1997, Numar persoane,187
 27971 BUNTESTI,15-19 ani, Masculin, Bihor, Anul 1998, Numar persoane,187
 27971 BUNTESTI,15-19 ani, Masculin, Bihor, Anul 1999, Numar persoane,184
 27971 BUNTESTI,15-19 ani, Feminin, Bihor, Anul 1992, Numar persoane,187
