 Localitati ,Varste si grupe de varsta, Sexe, Judete, Ani, UM: Numar persoane, Valoare
 28139 CAPILNA,0- 4 ani, Masculin, Bihor, Anul 1992, Numar persoane,43
 28139 CAPILNA,0- 4 ani, Masculin, Bihor, Anul 1993, Numar persoane,41
 28139 CAPILNA,0- 4 ani, Masculin, Bihor, Anul 1994, Numar persoane,34
 28139 CAPILNA,0- 4 ani, Masculin, Bihor, Anul 1995, Numar persoane,33
 28139 CAPILNA,0- 4 ani, Masculin, Bihor, Anul 1996, Numar persoane,34
 28139 CAPILNA,0- 4 ani, Masculin, Bihor, Anul 1997, Numar persoane,39
 28139 CAPILNA,0- 4 ani, Masculin, Bihor, Anul 1998, Numar persoane,32
 28139 CAPILNA,0- 4 ani, Masculin, Bihor, Anul 1999, Numar persoane,32
 28139 CAPILNA,0- 4 ani, Feminin, Bihor, Anul 1992, Numar persoane,35
 28139 CAPILNA,0- 4 ani, Feminin, Bihor, Anul 1993, Numar persoane,30
 28139 CAPILNA,0- 4 ani, Feminin, Bihor, Anul 1994, Numar persoane,32
 28139 CAPILNA,0- 4 ani, Feminin, Bihor, Anul 1995, Numar persoane,32
 28139 CAPILNA,0- 4 ani, Feminin, Bihor, Anul 1996, Numar persoane,27
 28139 CAPILNA,0- 4 ani, Feminin, Bihor, Anul 1997, Numar persoane,29
 28139 CAPILNA,0- 4 ani, Feminin, Bihor, Anul 1998, Numar persoane,33
 28139 CAPILNA,0- 4 ani, Feminin, Bihor, Anul 1999, Numar persoane,22
 28139 CAPILNA,5- 9 ani, Masculin, Bihor, Anul 1992, Numar persoane,41
 28139 CAPILNA,5- 9 ani, Masculin, Bihor, Anul 1993, Numar persoane,42
 28139 CAPILNA,5- 9 ani, Masculin, Bihor, Anul 1994, Numar persoane,47
 28139 CAPILNA,5- 9 ani, Masculin, Bihor, Anul 1995, Numar persoane,50
 28139 CAPILNA,5- 9 ani, Masculin, Bihor, Anul 1996, Numar persoane,49
 28139 CAPILNA,5- 9 ani, Masculin, Bihor, Anul 1997, Numar persoane,41
 28139 CAPILNA,5- 9 ani, Masculin, Bihor, Anul 1998, Numar persoane,40
 28139 CAPILNA,5- 9 ani, Masculin, Bihor, Anul 1999, Numar persoane,38
 28139 CAPILNA,5- 9 ani, Feminin, Bihor, Anul 1992, Numar persoane,32
 28139 CAPILNA,5- 9 ani, Feminin, Bihor, Anul 1993, Numar persoane,34
 28139 CAPILNA,5- 9 ani, Feminin, Bihor, Anul 1994, Numar persoane,35
 28139 CAPILNA,5- 9 ani, Feminin, Bihor, Anul 1995, Numar persoane,40
 28139 CAPILNA,5- 9 ani, Feminin, Bihor, Anul 1996, Numar persoane,39
 28139 CAPILNA,5- 9 ani, Feminin, Bihor, Anul 1997, Numar persoane,34
 28139 CAPILNA,5- 9 ani, Feminin, Bihor, Anul 1998, Numar persoane,28
 28139 CAPILNA,5- 9 ani, Feminin, Bihor, Anul 1999, Numar persoane,36
 28139 CAPILNA,10-14 ani, Masculin, Bihor, Anul 1992, Numar persoane,40
 28139 CAPILNA,10-14 ani, Masculin, Bihor, Anul 1993, Numar persoane,42
 28139 CAPILNA,10-14 ani, Masculin, Bihor, Anul 1994, Numar persoane,39
 28139 CAPILNA,10-14 ani, Masculin, Bihor, Anul 1995, Numar persoane,37
 28139 CAPILNA,10-14 ani, Masculin, Bihor, Anul 1996, Numar persoane,36
 28139 CAPILNA,10-14 ani, Masculin, Bihor, Anul 1997, Numar persoane,41
 28139 CAPILNA,10-14 ani, Masculin, Bihor, Anul 1998, Numar persoane,41
 28139 CAPILNA,10-14 ani, Masculin, Bihor, Anul 1999, Numar persoane,47
 28139 CAPILNA,10-14 ani, Feminin, Bihor, Anul 1992, Numar persoane,47
 28139 CAPILNA,10-14 ani, Feminin, Bihor, Anul 1993, Numar persoane,47
 28139 CAPILNA,10-14 ani, Feminin, Bihor, Anul 1994, Numar persoane,45
 28139 CAPILNA,10-14 ani, Feminin, Bihor, Anul 1995, Numar persoane,39
 28139 CAPILNA,10-14 ani, Feminin, Bihor, Anul 1996, Numar persoane,35
 28139 CAPILNA,10-14 ani, Feminin, Bihor, Anul 1997, Numar persoane,39
 28139 CAPILNA,10-14 ani, Feminin, Bihor, Anul 1998, Numar persoane,39
 28139 CAPILNA,10-14 ani, Feminin, Bihor, Anul 1999, Numar persoane,37
 28139 CAPILNA,15-19 ani, Masculin, Bihor, Anul 1992, Numar persoane,67
 28139 CAPILNA,15-19 ani, Masculin, Bihor, Anul 1993, Numar persoane,57
 28139 CAPILNA,15-19 ani, Masculin, Bihor, Anul 1994, Numar persoane,48
 28139 CAPILNA,15-19 ani, Masculin, Bihor, Anul 1995, Numar persoane,40
 28139 CAPILNA,15-19 ani, Masculin, Bihor, Anul 1996, Numar persoane,44
 28139 CAPILNA,15-19 ani, Masculin, Bihor, Anul 1997, Numar persoane,46
 28139 CAPILNA,15-19 ani, Masculin, Bihor, Anul 1998, Numar persoane,48
 28139 CAPILNA,15-19 ani, Masculin, Bihor, Anul 1999, Numar persoane,45
 28139 CAPILNA,15-19 ani, Feminin, Bihor, Anul 1992, Numar persoane,64
 28139 CAPILNA,15-19 ani, Feminin, Bihor, Anul 1993, Numar persoane,58
 28139 CAPILNA,15-19 ani, Feminin, Bihor, Anul 1994, Numar persoane,53
 28139 CAPILNA,15-19 ani, Feminin, Bihor, Anul 1995, Numar persoane,49
 28139 CAPILNA,15-19 ani, Feminin, Bihor, Anul 1996, Numar persoane,54
 28139 CAPILNA,15-19 ani, Feminin, Bihor, Anul 1997, Numar persoane,50
 28139 CAPILNA,15-19 ani, Feminin, Bihor, Anul 1998, Numar persoane,50
 28139 CAPILNA,15-19 ani, Feminin, Bihor, Anul 1999, Numar persoane,52
 28139 CAPILNA,20-24 ani, Masculin, Bihor, Anul 1992, Numar persoane,91
 28139 CAPILNA,20-24 ani, Masculin, Bihor, Anul 1993, Numar persoane,84
 28139 CAPILNA,20-24 ani, Masculin, Bihor, Anul 1994, Numar persoane,79
 28139 CAPILNA,20-24 ani, Masculin, Bihor, Anul 1995, Numar persoane,78
 28139 CAPILNA,20-24 ani, Masculin, Bihor, Anul 1996, Numar persoane,73
 28139 CAPILNA,20-24 ani, Masculin, Bihor, Anul 1997, Numar persoane,62
 28139 CAPILNA,20-24 ani, Masculin, Bihor, Anul 1998, Numar persoane,54
 28139 CAPILNA,20-24 ani, Masculin, Bihor, Anul 1999, Numar persoane,46
 28139 CAPILNA,20-24 ani, Feminin, Bihor, Anul 1992, Numar persoane,74
 28139 CAPILNA,20-24 ani, Feminin, Bihor, Anul 1993, Numar persoane,72
 28139 CAPILNA,20-24 ani, Feminin, Bihor, Anul 1994, Numar persoane,72
 28139 CAPILNA,20-24 ani, Feminin, Bihor, Anul 1995, Numar persoane,63
 28139 CAPILNA,20-24 ani, Feminin, Bihor, Anul 1996, Numar persoane,56
 28139 CAPILNA,20-24 ani, Feminin, Bihor, Anul 1997, Numar persoane,50
 28139 CAPILNA,20-24 ani, Feminin, Bihor, Anul 1998, Numar persoane,49
 28139 CAPILNA,20-24 ani, Feminin, Bihor, Anul 1999, Numar persoane,46
 28139 CAPILNA,25-29 ani, Masculin, Bihor, Anul 1992, Numar persoane,37
 28139 CAPILNA,25-29 ani, Masculin, Bihor, Anul 1993, Numar persoane,49
 28139 CAPILNA,25-29 ani, Masculin, Bihor, Anul 1994, Numar persoane,56
 28139 CAPILNA,25-29 ani, Masculin, Bihor, Anul 1995, Numar persoane,65
 28139 CAPILNA,25-29 ani, Masculin, Bihor, Anul 1996, Numar persoane,72
 28139 CAPILNA,25-29 ani, Masculin, Bihor, Anul 1997, Numar persoane,81
 28139 CAPILNA,25-29 ani, Masculin, Bihor, Anul 1998, Numar persoane,75
 28139 CAPILNA,25-29 ani, Masculin, Bihor, Anul 1999, Numar persoane,74
 28139 CAPILNA,25-29 ani, Feminin, Bihor, Anul 1992, Numar persoane,25
 28139 CAPILNA,25-29 ani, Feminin, Bihor, Anul 1993, Numar persoane,24
 28139 CAPILNA,25-29 ani, Feminin, Bihor, Anul 1994, Numar persoane,28
 28139 CAPILNA,25-29 ani, Feminin, Bihor, Anul 1995, Numar persoane,43
 28139 CAPILNA,25-29 ani, Feminin, Bihor, Anul 1996, Numar persoane,51
 28139 CAPILNA,25-29 ani, Feminin, Bihor, Anul 1997, Numar persoane,54
 28139 CAPILNA,25-29 ani, Feminin, Bihor, Anul 1998, Numar persoane,59
 28139 CAPILNA,25-29 ani, Feminin, Bihor, Anul 1999, Numar persoane,62
 28139 CAPILNA,30-34 ani, Masculin, Bihor, Anul 1992, Numar persoane,46
 28139 CAPILNA,30-34 ani, Masculin, Bihor, Anul 1993, Numar persoane,41
 28139 CAPILNA,30-34 ani, Masculin, Bihor, Anul 1994, Numar persoane,36
 28139 CAPILNA,30-34 ani, Masculin, Bihor, Anul 1995, Numar persoane,33
 28139 CAPILNA,30-34 ani, Masculin, Bihor, Anul 1996, Numar persoane,32
 28139 CAPILNA,30-34 ani, Masculin, Bihor, Anul 1997, Numar persoane,31
 28139 CAPILNA,30-34 ani, Masculin, Bihor, Anul 1998, Numar persoane,43
 28139 CAPILNA,30-34 ani, Masculin, Bihor, Anul 1999, Numar persoane,55
 28139 CAPILNA,30-34 ani, Feminin, Bihor, Anul 1992, Numar persoane,33
 28139 CAPILNA,30-34 ani, Feminin, Bihor, Anul 1993, Numar persoane,32
 28139 CAPILNA,30-34 ani, Feminin, Bihor, Anul 1994, Numar persoane,30
 28139 CAPILNA,30-34 ani, Feminin, Bihor, Anul 1995, Numar persoane,25
 28139 CAPILNA,30-34 ani, Feminin, Bihor, Anul 1996, Numar persoane,21
 28139 CAPILNA,30-34 ani, Feminin, Bihor, Anul 1997, Numar persoane,21
 28139 CAPILNA,30-34 ani, Feminin, Bihor, Anul 1998, Numar persoane,21
 28139 CAPILNA,30-34 ani, Feminin, Bihor, Anul 1999, Numar persoane,23
 28139 CAPILNA,35-39 ani, Masculin, Bihor, Anul 1992, Numar persoane,50
 28139 CAPILNA,35-39 ani, Masculin, Bihor, Anul 1993, Numar persoane,52
 28139 CAPILNA,35-39 ani, Masculin, Bihor, Anul 1994, Numar persoane,54
 28139 CAPILNA,35-39 ani, Masculin, Bihor, Anul 1995, Numar persoane,51
 28139 CAPILNA,35-39 ani, Masculin, Bihor, Anul 1996, Numar persoane,49
 28139 CAPILNA,35-39 ani, Masculin, Bihor, Anul 1997, Numar persoane,45
 28139 CAPILNA,35-39 ani, Masculin, Bihor, Anul 1998, Numar persoane,41
 28139 CAPILNA,35-39 ani, Masculin, Bihor, Anul 1999, Numar persoane,34
 28139 CAPILNA,35-39 ani, Feminin, Bihor, Anul 1992, Numar persoane,43
 28139 CAPILNA,35-39 ani, Feminin, Bihor, Anul 1993, Numar persoane,37
 28139 CAPILNA,35-39 ani, Feminin, Bihor, Anul 1994, Numar persoane,34
 28139 CAPILNA,35-39 ani, Feminin, Bihor, Anul 1995, Numar persoane,36
 28139 CAPILNA,35-39 ani, Feminin, Bihor, Anul 1996, Numar persoane,34
 28139 CAPILNA,35-39 ani, Feminin, Bihor, Anul 1997, Numar persoane,32
 28139 CAPILNA,35-39 ani, Feminin, Bihor, Anul 1998, Numar persoane,30
 28139 CAPILNA,35-39 ani, Feminin, Bihor, Anul 1999, Numar persoane,31
 28139 CAPILNA,40-44 ani, Masculin, Bihor, Anul 1992, Numar persoane,68
 28139 CAPILNA,40-44 ani, Masculin, Bihor, Anul 1993, Numar persoane,54
 28139 CAPILNA,40-44 ani, Masculin, Bihor, Anul 1994, Numar persoane,56
 28139 CAPILNA,40-44 ani, Masculin, Bihor, Anul 1995, Numar persoane,47
 28139 CAPILNA,40-44 ani, Masculin, Bihor, Anul 1996, Numar persoane,48
 28139 CAPILNA,40-44 ani, Masculin, Bihor, Anul 1997, Numar persoane,47
 28139 CAPILNA,40-44 ani, Masculin, Bihor, Anul 1998, Numar persoane,48
 28139 CAPILNA,40-44 ani, Masculin, Bihor, Anul 1999, Numar persoane,52
 28139 CAPILNA,40-44 ani, Feminin, Bihor, Anul 1992, Numar persoane,56
 28139 CAPILNA,40-44 ani, Feminin, Bihor, Anul 1993, Numar persoane,52
 28139 CAPILNA,40-44 ani, Feminin, Bihor, Anul 1994, Numar persoane,48
