 Localitati ,Varste si grupe de varsta, Sexe, Judete, Ani, UM: Numar persoane, Valoare
 28246 CEFA,0- 4 ani, Masculin, Bihor, Anul 1992, Numar persoane,227
 28246 CEFA,0- 4 ani, Masculin, Bihor, Anul 1993, Numar persoane,234
 28246 CEFA,0- 4 ani, Masculin, Bihor, Anul 1994, Numar persoane,205
 28246 CEFA,0- 4 ani, Masculin, Bihor, Anul 1995, Numar persoane,192
 28246 CEFA,0- 4 ani, Masculin, Bihor, Anul 1996, Numar persoane,173
 28246 CEFA,0- 4 ani, Masculin, Bihor, Anul 1997, Numar persoane,169
 28246 CEFA,0- 4 ani, Masculin, Bihor, Anul 1998, Numar persoane,165
 28246 CEFA,0- 4 ani, Masculin, Bihor, Anul 1999, Numar persoane,194
 28246 CEFA,0- 4 ani, Feminin, Bihor, Anul 1992, Numar persoane,184
 28246 CEFA,0- 4 ani, Feminin, Bihor, Anul 1993, Numar persoane,181
 28246 CEFA,0- 4 ani, Feminin, Bihor, Anul 1994, Numar persoane,170
 28246 CEFA,0- 4 ani, Feminin, Bihor, Anul 1995, Numar persoane,164
 28246 CEFA,0- 4 ani, Feminin, Bihor, Anul 1996, Numar persoane,157
 28246 CEFA,0- 4 ani, Feminin, Bihor, Anul 1997, Numar persoane,146
 28246 CEFA,0- 4 ani, Feminin, Bihor, Anul 1998, Numar persoane,152
 28246 CEFA,0- 4 ani, Feminin, Bihor, Anul 1999, Numar persoane,164
 28246 CEFA,5- 9 ani, Masculin, Bihor, Anul 1992, Numar persoane,181
 28246 CEFA,5- 9 ani, Masculin, Bihor, Anul 1993, Numar persoane,177
 28246 CEFA,5- 9 ani, Masculin, Bihor, Anul 1994, Numar persoane,205
 28246 CEFA,5- 9 ani, Masculin, Bihor, Anul 1995, Numar persoane,225
 28246 CEFA,5- 9 ani, Masculin, Bihor, Anul 1996, Numar persoane,242
 28246 CEFA,5- 9 ani, Masculin, Bihor, Anul 1997, Numar persoane,234
 28246 CEFA,5- 9 ani, Masculin, Bihor, Anul 1998, Numar persoane,248
 28246 CEFA,5- 9 ani, Masculin, Bihor, Anul 1999, Numar persoane,224
 28246 CEFA,5- 9 ani, Feminin, Bihor, Anul 1992, Numar persoane,182
 28246 CEFA,5- 9 ani, Feminin, Bihor, Anul 1993, Numar persoane,204
 28246 CEFA,5- 9 ani, Feminin, Bihor, Anul 1994, Numar persoane,198
 28246 CEFA,5- 9 ani, Feminin, Bihor, Anul 1995, Numar persoane,199
 28246 CEFA,5- 9 ani, Feminin, Bihor, Anul 1996, Numar persoane,197
 28246 CEFA,5- 9 ani, Feminin, Bihor, Anul 1997, Numar persoane,187
 28246 CEFA,5- 9 ani, Feminin, Bihor, Anul 1998, Numar persoane,178
 28246 CEFA,5- 9 ani, Feminin, Bihor, Anul 1999, Numar persoane,178
 28246 CEFA,10-14 ani, Masculin, Bihor, Anul 1992, Numar persoane,218
 28246 CEFA,10-14 ani, Masculin, Bihor, Anul 1993, Numar persoane,200
 28246 CEFA,10-14 ani, Masculin, Bihor, Anul 1994, Numar persoane,186
 28246 CEFA,10-14 ani, Masculin, Bihor, Anul 1995, Numar persoane,172
 28246 CEFA,10-14 ani, Masculin, Bihor, Anul 1996, Numar persoane,175
 28246 CEFA,10-14 ani, Masculin, Bihor, Anul 1997, Numar persoane,187
 28246 CEFA,10-14 ani, Masculin, Bihor, Anul 1998, Numar persoane,184
 28246 CEFA,10-14 ani, Masculin, Bihor, Anul 1999, Numar persoane,217
 28246 CEFA,10-14 ani, Feminin, Bihor, Anul 1992, Numar persoane,188
