 Localitati ,Varste si grupe de varsta, Sexe, Judete, Ani, UM: Numar persoane, Valoare
 29001 CURTUISENI,0- 4 ani, Masculin, Bihor, Anul 1992, Numar persoane,185
 29001 CURTUISENI,0- 4 ani, Masculin, Bihor, Anul 1993, Numar persoane,181
 29001 CURTUISENI,0- 4 ani, Masculin, Bihor, Anul 1994, Numar persoane,179
 29001 CURTUISENI,0- 4 ani, Masculin, Bihor, Anul 1995, Numar persoane,172
 29001 CURTUISENI,0- 4 ani, Masculin, Bihor, Anul 1996, Numar persoane,148
 29001 CURTUISENI,0- 4 ani, Masculin, Bihor, Anul 1997, Numar persoane,146
 29001 CURTUISENI,0- 4 ani, Masculin, Bihor, Anul 1998, Numar persoane,136
 29001 CURTUISENI,0- 4 ani, Masculin, Bihor, Anul 1999, Numar persoane,137
 29001 CURTUISENI,0- 4 ani, Feminin, Bihor, Anul 1992, Numar persoane,204
 29001 CURTUISENI,0- 4 ani, Feminin, Bihor, Anul 1993, Numar persoane,189
 29001 CURTUISENI,0- 4 ani, Feminin, Bihor, Anul 1994, Numar persoane,171
 29001 CURTUISENI,0- 4 ani, Feminin, Bihor, Anul 1995, Numar persoane,152
 29001 CURTUISENI,0- 4 ani, Feminin, Bihor, Anul 1996, Numar persoane,148
 29001 CURTUISENI,0- 4 ani, Feminin, Bihor, Anul 1997, Numar persoane,149
 29001 CURTUISENI,0- 4 ani, Feminin, Bihor, Anul 1998, Numar persoane,151
 29001 CURTUISENI,0- 4 ani, Feminin, Bihor, Anul 1999, Numar persoane,151
 29001 CURTUISENI,5- 9 ani, Masculin, Bihor, Anul 1992, Numar persoane,154
 29001 CURTUISENI,5- 9 ani, Masculin, Bihor, Anul 1993, Numar persoane,170
 29001 CURTUISENI,5- 9 ani, Masculin, Bihor, Anul 1994, Numar persoane,173
 29001 CURTUISENI,5- 9 ani, Masculin, Bihor, Anul 1995, Numar persoane,179
 29001 CURTUISENI,5- 9 ani, Masculin, Bihor, Anul 1996, Numar persoane,171
 29001 CURTUISENI,5- 9 ani, Masculin, Bihor, Anul 1997, Numar persoane,177
 29001 CURTUISENI,5- 9 ani, Masculin, Bihor, Anul 1998, Numar persoane,166
 29001 CURTUISENI,5- 9 ani, Masculin, Bihor, Anul 1999, Numar persoane,170
 29001 CURTUISENI,5- 9 ani, Feminin, Bihor, Anul 1992, Numar persoane,152
 29001 CURTUISENI,5- 9 ani, Feminin, Bihor, Anul 1993, Numar persoane,160
 29001 CURTUISENI,5- 9 ani, Feminin, Bihor, Anul 1994, Numar persoane,163
 29001 CURTUISENI,5- 9 ani, Feminin, Bihor, Anul 1995, Numar persoane,183
 29001 CURTUISENI,5- 9 ani, Feminin, Bihor, Anul 1996, Numar persoane,187
 29001 CURTUISENI,5- 9 ani, Feminin, Bihor, Anul 1997, Numar persoane,195
 29001 CURTUISENI,5- 9 ani, Feminin, Bihor, Anul 1998, Numar persoane,176
