 Localitati ,Varste si grupe de varsta, Sexe, Judete, Ani, UM: Numar persoane, Valoare
 29154 DOBRESTI,0- 4 ani, Masculin, Bihor, Anul 1992, Numar persoane,226
 29154 DOBRESTI,0- 4 ani, Masculin, Bihor, Anul 1993, Numar persoane,231
 29154 DOBRESTI,0- 4 ani, Masculin, Bihor, Anul 1994, Numar persoane,237
 29154 DOBRESTI,0- 4 ani, Masculin, Bihor, Anul 1995, Numar persoane,257
 29154 DOBRESTI,0- 4 ani, Masculin, Bihor, Anul 1996, Numar persoane,263
 29154 DOBRESTI,0- 4 ani, Masculin, Bihor, Anul 1997, Numar persoane,262
 29154 DOBRESTI,0- 4 ani, Masculin, Bihor, Anul 1998, Numar persoane,253
 29154 DOBRESTI,0- 4 ani, Masculin, Bihor, Anul 1999, Numar persoane,244
 29154 DOBRESTI,0- 4 ani, Feminin, Bihor, Anul 1992, Numar persoane,235
 29154 DOBRESTI,0- 4 ani, Feminin, Bihor, Anul 1993, Numar persoane,218
 29154 DOBRESTI,0- 4 ani, Feminin, Bihor, Anul 1994, Numar persoane,218
 29154 DOBRESTI,0- 4 ani, Feminin, Bihor, Anul 1995, Numar persoane,216
 29154 DOBRESTI,0- 4 ani, Feminin, Bihor, Anul 1996, Numar persoane,211
 29154 DOBRESTI,0- 4 ani, Feminin, Bihor, Anul 1997, Numar persoane,232
 29154 DOBRESTI,0- 4 ani, Feminin, Bihor, Anul 1998, Numar persoane,253
 29154 DOBRESTI,0- 4 ani, Feminin, Bihor, Anul 1999, Numar persoane,243
 29154 DOBRESTI,5- 9 ani, Masculin, Bihor, Anul 1992, Numar persoane,216
 29154 DOBRESTI,5- 9 ani, Masculin, Bihor, Anul 1993, Numar persoane,221
 29154 DOBRESTI,5- 9 ani, Masculin, Bihor, Anul 1994, Numar persoane,237
 29154 DOBRESTI,5- 9 ani, Masculin, Bihor, Anul 1995, Numar persoane,230
 29154 DOBRESTI,5- 9 ani, Masculin, Bihor, Anul 1996, Numar persoane,231
 29154 DOBRESTI,5- 9 ani, Masculin, Bihor, Anul 1997, Numar persoane,243
 29154 DOBRESTI,5- 9 ani, Masculin, Bihor, Anul 1998, Numar persoane,256
 29154 DOBRESTI,5- 9 ani, Masculin, Bihor, Anul 1999, Numar persoane,259
 29154 DOBRESTI,5- 9 ani, Feminin, Bihor, Anul 1992, Numar persoane,243
 29154 DOBRESTI,5- 9 ani, Feminin, Bihor, Anul 1993, Numar persoane,251
 29154 DOBRESTI,5- 9 ani, Feminin, Bihor, Anul 1994, Numar persoane,239
 29154 DOBRESTI,5- 9 ani, Feminin, Bihor, Anul 1995, Numar persoane,247
 29154 DOBRESTI,5- 9 ani, Feminin, Bihor, Anul 1996, Numar persoane,253
 29154 DOBRESTI,5- 9 ani, Feminin, Bihor, Anul 1997, Numar persoane,244
 29154 DOBRESTI,5- 9 ani, Feminin, Bihor, Anul 1998, Numar persoane,223
 29154 DOBRESTI,5- 9 ani, Feminin, Bihor, Anul 1999, Numar persoane,220
 29154 DOBRESTI,10-14 ani, Masculin, Bihor, Anul 1992, Numar persoane,254
 29154 DOBRESTI,10-14 ani, Masculin, Bihor, Anul 1993, Numar persoane,247
 29154 DOBRESTI,10-14 ani, Masculin, Bihor, Anul 1994, Numar persoane,227
 29154 DOBRESTI,10-14 ani, Masculin, Bihor, Anul 1995, Numar persoane,218
 29154 DOBRESTI,10-14 ani, Masculin, Bihor, Anul 1996, Numar persoane,226
 29154 DOBRESTI,10-14 ani, Masculin, Bihor, Anul 1997, Numar persoane,228
 29154 DOBRESTI,10-14 ani, Masculin, Bihor, Anul 1998, Numar persoane,233
 29154 DOBRESTI,10-14 ani, Masculin, Bihor, Anul 1999, Numar persoane,247
 29154 DOBRESTI,10-14 ani, Feminin, Bihor, Anul 1992, Numar persoane,225
 29154 DOBRESTI,10-14 ani, Feminin, Bihor, Anul 1993, Numar persoane,222
 29154 DOBRESTI,10-14 ani, Feminin, Bihor, Anul 1994, Numar persoane,245
 29154 DOBRESTI,10-14 ani, Feminin, Bihor, Anul 1995, Numar persoane,234
 29154 DOBRESTI,10-14 ani, Feminin, Bihor, Anul 1996, Numar persoane,245
 29154 DOBRESTI,10-14 ani, Feminin, Bihor, Anul 1997, Numar persoane,248
 29154 DOBRESTI,10-14 ani, Feminin, Bihor, Anul 1998, Numar persoane,263
 29154 DOBRESTI,10-14 ani, Feminin, Bihor, Anul 1999, Numar persoane,247
 29154 DOBRESTI,15-19 ani, Masculin, Bihor, Anul 1992, Numar persoane,278
 29154 DOBRESTI,15-19 ani, Masculin, Bihor, Anul 1993, Numar persoane,268
 29154 DOBRESTI,15-19 ani, Masculin, Bihor, Anul 1994, Numar persoane,279
 29154 DOBRESTI,15-19 ani, Masculin, Bihor, Anul 1995, Numar persoane,263
 29154 DOBRESTI,15-19 ani, Masculin, Bihor, Anul 1996, Numar persoane,245
 29154 DOBRESTI,15-19 ani, Masculin, Bihor, Anul 1997, Numar persoane,253
 29154 DOBRESTI,15-19 ani, Masculin, Bihor, Anul 1998, Numar persoane,243
 29154 DOBRESTI,15-19 ani, Masculin, Bihor, Anul 1999, Numar persoane,226
 29154 DOBRESTI,15-19 ani, Feminin, Bihor, Anul 1992, Numar persoane,265
 29154 DOBRESTI,15-19 ani, Feminin, Bihor, Anul 1993, Numar persoane,247
 29154 DOBRESTI,15-19 ani, Feminin, Bihor, Anul 1994, Numar persoane,234
 29154 DOBRESTI,15-19 ani, Feminin, Bihor, Anul 1995, Numar persoane,236
 29154 DOBRESTI,15-19 ani, Feminin, Bihor, Anul 1996, Numar persoane,221
 29154 DOBRESTI,15-19 ani, Feminin, Bihor, Anul 1997, Numar persoane,225
 29154 DOBRESTI,15-19 ani, Feminin, Bihor, Anul 1998, Numar persoane,217
 29154 DOBRESTI,15-19 ani, Feminin, Bihor, Anul 1999, Numar persoane,239
 29154 DOBRESTI,20-24 ani, Masculin, Bihor, Anul 1992, Numar persoane,292
 29154 DOBRESTI,20-24 ani, Masculin, Bihor, Anul 1993, Numar persoane,277
 29154 DOBRESTI,20-24 ani, Masculin, Bihor, Anul 1994, Numar persoane,267
 29154 DOBRESTI,20-24 ani, Masculin, Bihor, Anul 1995, Numar persoane,279
 29154 DOBRESTI,20-24 ani, Masculin, Bihor, Anul 1996, Numar persoane,284
 29154 DOBRESTI,20-24 ani, Masculin, Bihor, Anul 1997, Numar persoane,267
 29154 DOBRESTI,20-24 ani, Masculin, Bihor, Anul 1998, Numar persoane,257
 29154 DOBRESTI,20-24 ani, Masculin, Bihor, Anul 1999, Numar persoane,264
 29154 DOBRESTI,20-24 ani, Feminin, Bihor, Anul 1992, Numar persoane,244
 29154 DOBRESTI,20-24 ani, Feminin, Bihor, Anul 1993, Numar persoane,233
 29154 DOBRESTI,20-24 ani, Feminin, Bihor, Anul 1994, Numar persoane,232
 29154 DOBRESTI,20-24 ani, Feminin, Bihor, Anul 1995, Numar persoane,238
 29154 DOBRESTI,20-24 ani, Feminin, Bihor, Anul 1996, Numar persoane,246
 29154 DOBRESTI,20-24 ani, Feminin, Bihor, Anul 1997, Numar persoane,235
 29154 DOBRESTI,20-24 ani, Feminin, Bihor, Anul 1998, Numar persoane,215
 29154 DOBRESTI,20-24 ani, Feminin, Bihor, Anul 1999, Numar persoane,191
 29154 DOBRESTI,25-29 ani, Masculin, Bihor, Anul 1992, Numar persoane,167
 29154 DOBRESTI,25-29 ani, Masculin, Bihor, Anul 1993, Numar persoane,196
 29154 DOBRESTI,25-29 ani, Masculin, Bihor, Anul 1994, Numar persoane,216
 29154 DOBRESTI,25-29 ani, Masculin, Bihor, Anul 1995, Numar persoane,242
 29154 DOBRESTI,25-29 ani, Masculin, Bihor, Anul 1996, Numar persoane,231
 29154 DOBRESTI,25-29 ani, Masculin, Bihor, Anul 1997, Numar persoane,255
 29154 DOBRESTI,25-29 ani, Masculin, Bihor, Anul 1998, Numar persoane,247
 29154 DOBRESTI,25-29 ani, Masculin, Bihor, Anul 1999, Numar persoane,240
 29154 DOBRESTI,25-29 ani, Feminin, Bihor, Anul 1992, Numar persoane,133
 29154 DOBRESTI,25-29 ani, Feminin, Bihor, Anul 1993, Numar persoane,158
 29154 DOBRESTI,25-29 ani, Feminin, Bihor, Anul 1994, Numar persoane,172
 29154 DOBRESTI,25-29 ani, Feminin, Bihor, Anul 1995, Numar persoane,194
 29154 DOBRESTI,25-29 ani, Feminin, Bihor, Anul 1996, Numar persoane,203
 29154 DOBRESTI,25-29 ani, Feminin, Bihor, Anul 1997, Numar persoane,225
 29154 DOBRESTI,25-29 ani, Feminin, Bihor, Anul 1998, Numar persoane,222
 29154 DOBRESTI,25-29 ani, Feminin, Bihor, Anul 1999, Numar persoane,226
 29154 DOBRESTI,30-34 ani, Masculin, Bihor, Anul 1992, Numar persoane,151
 29154 DOBRESTI,30-34 ani, Masculin, Bihor, Anul 1993, Numar persoane,138
 29154 DOBRESTI,30-34 ani, Masculin, Bihor, Anul 1994, Numar persoane,126
 29154 DOBRESTI,30-34 ani, Masculin, Bihor, Anul 1995, Numar persoane,127
 29154 DOBRESTI,30-34 ani, Masculin, Bihor, Anul 1996, Numar persoane,153
 29154 DOBRESTI,30-34 ani, Masculin, Bihor, Anul 1997, Numar persoane,160
 29154 DOBRESTI,30-34 ani, Masculin, Bihor, Anul 1998, Numar persoane,184
 29154 DOBRESTI,30-34 ani, Masculin, Bihor, Anul 1999, Numar persoane,201
 29154 DOBRESTI,30-34 ani, Feminin, Bihor, Anul 1992, Numar persoane,130
 29154 DOBRESTI,30-34 ani, Feminin, Bihor, Anul 1993, Numar persoane,124
 29154 DOBRESTI,30-34 ani, Feminin, Bihor, Anul 1994, Numar persoane,121
 29154 DOBRESTI,30-34 ani, Feminin, Bihor, Anul 1995, Numar persoane,121
 29154 DOBRESTI,30-34 ani, Feminin, Bihor, Anul 1996, Numar persoane,126
 29154 DOBRESTI,30-34 ani, Feminin, Bihor, Anul 1997, Numar persoane,123
 29154 DOBRESTI,30-34 ani, Feminin, Bihor, Anul 1998, Numar persoane,153
 29154 DOBRESTI,30-34 ani, Feminin, Bihor, Anul 1999, Numar persoane,161
 29154 DOBRESTI,35-39 ani, Masculin, Bihor, Anul 1992, Numar persoane,151
 29154 DOBRESTI,35-39 ani, Masculin, Bihor, Anul 1993, Numar persoane,145
 29154 DOBRESTI,35-39 ani, Masculin, Bihor, Anul 1994, Numar persoane,155
