 Localitati ,Varste si grupe de varsta, Sexe, Judete, Ani, UM: Numar persoane, Valoare
 29403 FINIS,0- 4 ani, Masculin, Bihor, Anul 1992, Numar persoane,148
 29403 FINIS,0- 4 ani, Masculin, Bihor, Anul 1993, Numar persoane,131
 29403 FINIS,0- 4 ani, Masculin, Bihor, Anul 1994, Numar persoane,118
 29403 FINIS,0- 4 ani, Masculin, Bihor, Anul 1995, Numar persoane,108
 29403 FINIS,0- 4 ani, Masculin, Bihor, Anul 1996, Numar persoane,103
 29403 FINIS,0- 4 ani, Masculin, Bihor, Anul 1997, Numar persoane,112
 29403 FINIS,0- 4 ani, Masculin, Bihor, Anul 1998, Numar persoane,120
 29403 FINIS,0- 4 ani, Masculin, Bihor, Anul 1999, Numar persoane,140
 29403 FINIS,0- 4 ani, Feminin, Bihor, Anul 1992, Numar persoane,120
 29403 FINIS,0- 4 ani, Feminin, Bihor, Anul 1993, Numar persoane,118
 29403 FINIS,0- 4 ani, Feminin, Bihor, Anul 1994, Numar persoane,104
 29403 FINIS,0- 4 ani, Feminin, Bihor, Anul 1995, Numar persoane,101
 29403 FINIS,0- 4 ani, Feminin, Bihor, Anul 1996, Numar persoane,99
 29403 FINIS,0- 4 ani, Feminin, Bihor, Anul 1997, Numar persoane,101
 29403 FINIS,0- 4 ani, Feminin, Bihor, Anul 1998, Numar persoane,109
 29403 FINIS,0- 4 ani, Feminin, Bihor, Anul 1999, Numar persoane,121
 29403 FINIS,5- 9 ani, Masculin, Bihor, Anul 1992, Numar persoane,131
 29403 FINIS,5- 9 ani, Masculin, Bihor, Anul 1993, Numar persoane,141
 29403 FINIS,5- 9 ani, Masculin, Bihor, Anul 1994, Numar persoane,151
 29403 FINIS,5- 9 ani, Masculin, Bihor, Anul 1995, Numar persoane,152
 29403 FINIS,5- 9 ani, Masculin, Bihor, Anul 1996, Numar persoane,155
 29403 FINIS,5- 9 ani, Masculin, Bihor, Anul 1997, Numar persoane,151
