 Localitati ,Varste si grupe de varsta, Sexe, Judete, Ani, UM: Numar persoane, Valoare
 29467 GIRISU DE CRIS,0- 4 ani, Masculin, Bihor, Anul 1992, Numar persoane,190
 29467 GIRISU DE CRIS,0- 4 ani, Masculin, Bihor, Anul 1993, Numar persoane,182
 29467 GIRISU DE CRIS,0- 4 ani, Masculin, Bihor, Anul 1994, Numar persoane,177
 29467 GIRISU DE CRIS,0- 4 ani, Masculin, Bihor, Anul 1995, Numar persoane,168
 29467 GIRISU DE CRIS,0- 4 ani, Masculin, Bihor, Anul 1996, Numar persoane,167
 29467 GIRISU DE CRIS,0- 4 ani, Masculin, Bihor, Anul 1997, Numar persoane,158
 29467 GIRISU DE CRIS,0- 4 ani, Masculin, Bihor, Anul 1998, Numar persoane,152
 29467 GIRISU DE CRIS,0- 4 ani, Masculin, Bihor, Anul 1999, Numar persoane,150
 29467 GIRISU DE CRIS,0- 4 ani, Feminin, Bihor, Anul 1992, Numar persoane,165
 29467 GIRISU DE CRIS,0- 4 ani, Feminin, Bihor, Anul 1993, Numar persoane,163
 29467 GIRISU DE CRIS,0- 4 ani, Feminin, Bihor, Anul 1994, Numar persoane,150
 29467 GIRISU DE CRIS,0- 4 ani, Feminin, Bihor, Anul 1995, Numar persoane,150
 29467 GIRISU DE CRIS,0- 4 ani, Feminin, Bihor, Anul 1996, Numar persoane,141
 29467 GIRISU DE CRIS,0- 4 ani, Feminin, Bihor, Anul 1997, Numar persoane,138
 29467 GIRISU DE CRIS,0- 4 ani, Feminin, Bihor, Anul 1998, Numar persoane,128
 29467 GIRISU DE CRIS,0- 4 ani, Feminin, Bihor, Anul 1999, Numar persoane,128
 29467 GIRISU DE CRIS,5- 9 ani, Masculin, Bihor, Anul 1992, Numar persoane,177
 29467 GIRISU DE CRIS,5- 9 ani, Masculin, Bihor, Anul 1993, Numar persoane,185
 29467 GIRISU DE CRIS,5- 9 ani, Masculin, Bihor, Anul 1994, Numar persoane,188
 29467 GIRISU DE CRIS,5- 9 ani, Masculin, Bihor, Anul 1995, Numar persoane,190
 29467 GIRISU DE CRIS,5- 9 ani, Masculin, Bihor, Anul 1996, Numar persoane,190
 29467 GIRISU DE CRIS,5- 9 ani, Masculin, Bihor, Anul 1997, Numar persoane,190
 29467 GIRISU DE CRIS,5- 9 ani, Masculin, Bihor, Anul 1998, Numar persoane,184
 29467 GIRISU DE CRIS,5- 9 ani, Masculin, Bihor, Anul 1999, Numar persoane,183
 29467 GIRISU DE CRIS,5- 9 ani, Feminin, Bihor, Anul 1992, Numar persoane,145
 29467 GIRISU DE CRIS,5- 9 ani, Feminin, Bihor, Anul 1993, Numar persoane,146
 29467 GIRISU DE CRIS,5- 9 ani, Feminin, Bihor, Anul 1994, Numar persoane,161
 29467 GIRISU DE CRIS,5- 9 ani, Feminin, Bihor, Anul 1995, Numar persoane,171
 29467 GIRISU DE CRIS,5- 9 ani, Feminin, Bihor, Anul 1996, Numar persoane,182
 29467 GIRISU DE CRIS,5- 9 ani, Feminin, Bihor, Anul 1997, Numar persoane,177
 29467 GIRISU DE CRIS,5- 9 ani, Feminin, Bihor, Anul 1998, Numar persoane,175
 29467 GIRISU DE CRIS,5- 9 ani, Feminin, Bihor, Anul 1999, Numar persoane,162
 29467 GIRISU DE CRIS,10-14 ani, Masculin, Bihor, Anul 1992, Numar persoane,190
 29467 GIRISU DE CRIS,10-14 ani, Masculin, Bihor, Anul 1993, Numar persoane,178
 29467 GIRISU DE CRIS,10-14 ani, Masculin, Bihor, Anul 1994, Numar persoane,177
 29467 GIRISU DE CRIS,10-14 ani, Masculin, Bihor, Anul 1995, Numar persoane,182
 29467 GIRISU DE CRIS,10-14 ani, Masculin, Bihor, Anul 1996, Numar persoane,181
 29467 GIRISU DE CRIS,10-14 ani, Masculin, Bihor, Anul 1997, Numar persoane,177
 29467 GIRISU DE CRIS,10-14 ani, Masculin, Bihor, Anul 1998, Numar persoane,191
 29467 GIRISU DE CRIS,10-14 ani, Masculin, Bihor, Anul 1999, Numar persoane,196
 29467 GIRISU DE CRIS,10-14 ani, Feminin, Bihor, Anul 1992, Numar persoane,167
 29467 GIRISU DE CRIS,10-14 ani, Feminin, Bihor, Anul 1993, Numar persoane,174
 29467 GIRISU DE CRIS,10-14 ani, Feminin, Bihor, Anul 1994, Numar persoane,165
 29467 GIRISU DE CRIS,10-14 ani, Feminin, Bihor, Anul 1995, Numar persoane,150
 29467 GIRISU DE CRIS,10-14 ani, Feminin, Bihor, Anul 1996, Numar persoane,145
 29467 GIRISU DE CRIS,10-14 ani, Feminin, Bihor, Anul 1997, Numar persoane,152
 29467 GIRISU DE CRIS,10-14 ani, Feminin, Bihor, Anul 1998, Numar persoane,151
 29467 GIRISU DE CRIS,10-14 ani, Feminin, Bihor, Anul 1999, Numar persoane,169
 29467 GIRISU DE CRIS,15-19 ani, Masculin, Bihor, Anul 1992, Numar persoane,226
 29467 GIRISU DE CRIS,15-19 ani, Masculin, Bihor, Anul 1993, Numar persoane,230
 29467 GIRISU DE CRIS,15-19 ani, Masculin, Bihor, Anul 1994, Numar persoane,215
 29467 GIRISU DE CRIS,15-19 ani, Masculin, Bihor, Anul 1995, Numar persoane,198
 29467 GIRISU DE CRIS,15-19 ani, Masculin, Bihor, Anul 1996, Numar persoane,191
 29467 GIRISU DE CRIS,15-19 ani, Masculin, Bihor, Anul 1997, Numar persoane,195
 29467 GIRISU DE CRIS,15-19 ani, Masculin, Bihor, Anul 1998, Numar persoane,182
 29467 GIRISU DE CRIS,15-19 ani, Masculin, Bihor, Anul 1999, Numar persoane,177
 29467 GIRISU DE CRIS,15-19 ani, Feminin, Bihor, Anul 1992, Numar persoane,194
 29467 GIRISU DE CRIS,15-19 ani, Feminin, Bihor, Anul 1993, Numar persoane,181
 29467 GIRISU DE CRIS,15-19 ani, Feminin, Bihor, Anul 1994, Numar persoane,196
 29467 GIRISU DE CRIS,15-19 ani, Feminin, Bihor, Anul 1995, Numar persoane,187
 29467 GIRISU DE CRIS,15-19 ani, Feminin, Bihor, Anul 1996, Numar persoane,177
 29467 GIRISU DE CRIS,15-19 ani, Feminin, Bihor, Anul 1997, Numar persoane,166
 29467 GIRISU DE CRIS,15-19 ani, Feminin, Bihor, Anul 1998, Numar persoane,177
