 Localitati ,Varste si grupe de varsta, Sexe, Judete, Ani, UM: Numar persoane, Valoare
 29724 INEU,0- 4 ani, Masculin, Bihor, Anul 1992, Numar persoane,173
 29724 INEU,0- 4 ani, Masculin, Bihor, Anul 1993, Numar persoane,162
 29724 INEU,0- 4 ani, Masculin, Bihor, Anul 1994, Numar persoane,164
 29724 INEU,0- 4 ani, Masculin, Bihor, Anul 1995, Numar persoane,157
 29724 INEU,0- 4 ani, Masculin, Bihor, Anul 1996, Numar persoane,160
 29724 INEU,0- 4 ani, Masculin, Bihor, Anul 1997, Numar persoane,156
 29724 INEU,0- 4 ani, Masculin, Bihor, Anul 1998, Numar persoane,157
 29724 INEU,0- 4 ani, Masculin, Bihor, Anul 1999, Numar persoane,161
 29724 INEU,0- 4 ani, Feminin, Bihor, Anul 1992, Numar persoane,169
 29724 INEU,0- 4 ani, Feminin, Bihor, Anul 1993, Numar persoane,164
 29724 INEU,0- 4 ani, Feminin, Bihor, Anul 1994, Numar persoane,152
 29724 INEU,0- 4 ani, Feminin, Bihor, Anul 1995, Numar persoane,151
 29724 INEU,0- 4 ani, Feminin, Bihor, Anul 1996, Numar persoane,136
 29724 INEU,0- 4 ani, Feminin, Bihor, Anul 1997, Numar persoane,163
 29724 INEU,0- 4 ani, Feminin, Bihor, Anul 1998, Numar persoane,177
 29724 INEU,0- 4 ani, Feminin, Bihor, Anul 1999, Numar persoane,192
 29724 INEU,5- 9 ani, Masculin, Bihor, Anul 1992, Numar persoane,173
 29724 INEU,5- 9 ani, Masculin, Bihor, Anul 1993, Numar persoane,175
 29724 INEU,5- 9 ani, Masculin, Bihor, Anul 1994, Numar persoane,180
 29724 INEU,5- 9 ani, Masculin, Bihor, Anul 1995, Numar persoane,176
 29724 INEU,5- 9 ani, Masculin, Bihor, Anul 1996, Numar persoane,172
 29724 INEU,5- 9 ani, Masculin, Bihor, Anul 1997, Numar persoane,177
 29724 INEU,5- 9 ani, Masculin, Bihor, Anul 1998, Numar persoane,165
 29724 INEU,5- 9 ani, Masculin, Bihor, Anul 1999, Numar persoane,171
 29724 INEU,5- 9 ani, Feminin, Bihor, Anul 1992, Numar persoane,144
 29724 INEU,5- 9 ani, Feminin, Bihor, Anul 1993, Numar persoane,149
 29724 INEU,5- 9 ani, Feminin, Bihor, Anul 1994, Numar persoane,152
 29724 INEU,5- 9 ani, Feminin, Bihor, Anul 1995, Numar persoane,160
 29724 INEU,5- 9 ani, Feminin, Bihor, Anul 1996, Numar persoane,164
 29724 INEU,5- 9 ani, Feminin, Bihor, Anul 1997, Numar persoane,164
 29724 INEU,5- 9 ani, Feminin, Bihor, Anul 1998, Numar persoane,153
 29724 INEU,5- 9 ani, Feminin, Bihor, Anul 1999, Numar persoane,143
 29724 INEU,10-14 ani, Masculin, Bihor, Anul 1992, Numar persoane,153
 29724 INEU,10-14 ani, Masculin, Bihor, Anul 1993, Numar persoane,149
 29724 INEU,10-14 ani, Masculin, Bihor, Anul 1994, Numar persoane,148
 29724 INEU,10-14 ani, Masculin, Bihor, Anul 1995, Numar persoane,169
 29724 INEU,10-14 ani, Masculin, Bihor, Anul 1996, Numar persoane,181
 29724 INEU,10-14 ani, Masculin, Bihor, Anul 1997, Numar persoane,175
 29724 INEU,10-14 ani, Masculin, Bihor, Anul 1998, Numar persoane,176
 29724 INEU,10-14 ani, Masculin, Bihor, Anul 1999, Numar persoane,183
 29724 INEU,10-14 ani, Feminin, Bihor, Anul 1992, Numar persoane,145
 29724 INEU,10-14 ani, Feminin, Bihor, Anul 1993, Numar persoane,136
 29724 INEU,10-14 ani, Feminin, Bihor, Anul 1994, Numar persoane,134
 29724 INEU,10-14 ani, Feminin, Bihor, Anul 1995, Numar persoane,131
 29724 INEU,10-14 ani, Feminin, Bihor, Anul 1996, Numar persoane,127
 29724 INEU,10-14 ani, Feminin, Bihor, Anul 1997, Numar persoane,128
 29724 INEU,10-14 ani, Feminin, Bihor, Anul 1998, Numar persoane,134
 29724 INEU,10-14 ani, Feminin, Bihor, Anul 1999, Numar persoane,143
 29724 INEU,15-19 ani, Masculin, Bihor, Anul 1992, Numar persoane,160
 29724 INEU,15-19 ani, Masculin, Bihor, Anul 1993, Numar persoane,164
 29724 INEU,15-19 ani, Masculin, Bihor, Anul 1994, Numar persoane,155
