 Localitati ,Varste si grupe de varsta, Sexe, Judete, Ani, UM: Numar persoane, Valoare
 30568 POPESTI,0- 4 ani, Masculin, Bihor, Anul 1992, Numar persoane,379
 30568 POPESTI,0- 4 ani, Masculin, Bihor, Anul 1993, Numar persoane,378
 30568 POPESTI,0- 4 ani, Masculin, Bihor, Anul 1994, Numar persoane,361
 30568 POPESTI,0- 4 ani, Masculin, Bihor, Anul 1995, Numar persoane,356
 30568 POPESTI,0- 4 ani, Masculin, Bihor, Anul 1996, Numar persoane,355
 30568 POPESTI,0- 4 ani, Masculin, Bihor, Anul 1997, Numar persoane,336
 30568 POPESTI,0- 4 ani, Masculin, Bihor, Anul 1998, Numar persoane,322
 30568 POPESTI,0- 4 ani, Masculin, Bihor, Anul 1999, Numar persoane,315
 30568 POPESTI,0- 4 ani, Feminin, Bihor, Anul 1992, Numar persoane,383
 30568 POPESTI,0- 4 ani, Feminin, Bihor, Anul 1993, Numar persoane,372
 30568 POPESTI,0- 4 ani, Feminin, Bihor, Anul 1994, Numar persoane,355
 30568 POPESTI,0- 4 ani, Feminin, Bihor, Anul 1995, Numar persoane,341
 30568 POPESTI,0- 4 ani, Feminin, Bihor, Anul 1996, Numar persoane,327
 30568 POPESTI,0- 4 ani, Feminin, Bihor, Anul 1997, Numar persoane,309
 30568 POPESTI,0- 4 ani, Feminin, Bihor, Anul 1998, Numar persoane,308
 30568 POPESTI,0- 4 ani, Feminin, Bihor, Anul 1999, Numar persoane,300
 30568 POPESTI,5- 9 ani, Masculin, Bihor, Anul 1992, Numar persoane,362
 30568 POPESTI,5- 9 ani, Masculin, Bihor, Anul 1993, Numar persoane,392
 30568 POPESTI,5- 9 ani, Masculin, Bihor, Anul 1994, Numar persoane,404
 30568 POPESTI,5- 9 ani, Masculin, Bihor, Anul 1995, Numar persoane,405
 30568 POPESTI,5- 9 ani, Masculin, Bihor, Anul 1996, Numar persoane,391
 30568 POPESTI,5- 9 ani, Masculin, Bihor, Anul 1997, Numar persoane,381
 30568 POPESTI,5- 9 ani, Masculin, Bihor, Anul 1998, Numar persoane,386
 30568 POPESTI,5- 9 ani, Masculin, Bihor, Anul 1999, Numar persoane,372
 30568 POPESTI,5- 9 ani, Feminin, Bihor, Anul 1992, Numar persoane,332
 30568 POPESTI,5- 9 ani, Feminin, Bihor, Anul 1993, Numar persoane,347
 30568 POPESTI,5- 9 ani, Feminin, Bihor, Anul 1994, Numar persoane,366
 30568 POPESTI,5- 9 ani, Feminin, Bihor, Anul 1995, Numar persoane,386
 30568 POPESTI,5- 9 ani, Feminin, Bihor, Anul 1996, Numar persoane,385
 30568 POPESTI,5- 9 ani, Feminin, Bihor, Anul 1997, Numar persoane,387
 30568 POPESTI,5- 9 ani, Feminin, Bihor, Anul 1998, Numar persoane,378
 30568 POPESTI,5- 9 ani, Feminin, Bihor, Anul 1999, Numar persoane,351
 30568 POPESTI,10-14 ani, Masculin, Bihor, Anul 1992, Numar persoane,376
 30568 POPESTI,10-14 ani, Masculin, Bihor, Anul 1993, Numar persoane,354
 30568 POPESTI,10-14 ani, Masculin, Bihor, Anul 1994, Numar persoane,349
 30568 POPESTI,10-14 ani, Masculin, Bihor, Anul 1995, Numar persoane,362
 30568 POPESTI,10-14 ani, Masculin, Bihor, Anul 1996, Numar persoane,369
 30568 POPESTI,10-14 ani, Masculin, Bihor, Anul 1997, Numar persoane,385
