 Localitati ,Varste si grupe de varsta, Sexe, Judete, Ani, UM: Numar persoane, Valoare
 30719 REMETEA,0- 4 ani, Masculin, Bihor, Anul 1992, Numar persoane,84
 30719 REMETEA,0- 4 ani, Masculin, Bihor, Anul 1993, Numar persoane,76
 30719 REMETEA,0- 4 ani, Masculin, Bihor, Anul 1994, Numar persoane,73
 30719 REMETEA,0- 4 ani, Masculin, Bihor, Anul 1995, Numar persoane,91
 30719 REMETEA,0- 4 ani, Masculin, Bihor, Anul 1996, Numar persoane,87
 30719 REMETEA,0- 4 ani, Masculin, Bihor, Anul 1997, Numar persoane,82
 30719 REMETEA,0- 4 ani, Masculin, Bihor, Anul 1998, Numar persoane,83
 30719 REMETEA,0- 4 ani, Masculin, Bihor, Anul 1999, Numar persoane,99
 30719 REMETEA,0- 4 ani, Feminin, Bihor, Anul 1992, Numar persoane,98
 30719 REMETEA,0- 4 ani, Feminin, Bihor, Anul 1993, Numar persoane,92
 30719 REMETEA,0- 4 ani, Feminin, Bihor, Anul 1994, Numar persoane,97
 30719 REMETEA,0- 4 ani, Feminin, Bihor, Anul 1995, Numar persoane,89
 30719 REMETEA,0- 4 ani, Feminin, Bihor, Anul 1996, Numar persoane,83
 30719 REMETEA,0- 4 ani, Feminin, Bihor, Anul 1997, Numar persoane,72
 30719 REMETEA,0- 4 ani, Feminin, Bihor, Anul 1998, Numar persoane,74
 30719 REMETEA,0- 4 ani, Feminin, Bihor, Anul 1999, Numar persoane,77
 30719 REMETEA,5- 9 ani, Masculin, Bihor, Anul 1992, Numar persoane,101
 30719 REMETEA,5- 9 ani, Masculin, Bihor, Anul 1993, Numar persoane,103
 30719 REMETEA,5- 9 ani, Masculin, Bihor, Anul 1994, Numar persoane,99
 30719 REMETEA,5- 9 ani, Masculin, Bihor, Anul 1995, Numar persoane,81
 30719 REMETEA,5- 9 ani, Masculin, Bihor, Anul 1996, Numar persoane,89
 30719 REMETEA,5- 9 ani, Masculin, Bihor, Anul 1997, Numar persoane,85
 30719 REMETEA,5- 9 ani, Masculin, Bihor, Anul 1998, Numar persoane,83
 30719 REMETEA,5- 9 ani, Masculin, Bihor, Anul 1999, Numar persoane,74
 30719 REMETEA,5- 9 ani, Feminin, Bihor, Anul 1992, Numar persoane,110
 30719 REMETEA,5- 9 ani, Feminin, Bihor, Anul 1993, Numar persoane,110
 30719 REMETEA,5- 9 ani, Feminin, Bihor, Anul 1994, Numar persoane,97
 30719 REMETEA,5- 9 ani, Feminin, Bihor, Anul 1995, Numar persoane,98
 30719 REMETEA,5- 9 ani, Feminin, Bihor, Anul 1996, Numar persoane,94
 30719 REMETEA,5- 9 ani, Feminin, Bihor, Anul 1997, Numar persoane,87
 30719 REMETEA,5- 9 ani, Feminin, Bihor, Anul 1998, Numar persoane,79
 30719 REMETEA,5- 9 ani, Feminin, Bihor, Anul 1999, Numar persoane,87
 30719 REMETEA,10-14 ani, Masculin, Bihor, Anul 1992, Numar persoane,111
 30719 REMETEA,10-14 ani, Masculin, Bihor, Anul 1993, Numar persoane,111
 30719 REMETEA,10-14 ani, Masculin, Bihor, Anul 1994, Numar persoane,96
 30719 REMETEA,10-14 ani, Masculin, Bihor, Anul 1995, Numar persoane,101
 30719 REMETEA,10-14 ani, Masculin, Bihor, Anul 1996, Numar persoane,96
 30719 REMETEA,10-14 ani, Masculin, Bihor, Anul 1997, Numar persoane,103
