 Localitati ,Varste si grupe de varsta, Sexe, Judete, Ani, UM: Numar persoane, Valoare
 30773 RIENI,0- 4 ani, Masculin, Bihor, Anul 1992, Numar persoane,105
 30773 RIENI,0- 4 ani, Masculin, Bihor, Anul 1993, Numar persoane,112
 30773 RIENI,0- 4 ani, Masculin, Bihor, Anul 1994, Numar persoane,114
 30773 RIENI,0- 4 ani, Masculin, Bihor, Anul 1995, Numar persoane,98
 30773 RIENI,0- 4 ani, Masculin, Bihor, Anul 1996, Numar persoane,86
 30773 RIENI,0- 4 ani, Masculin, Bihor, Anul 1997, Numar persoane,92
 30773 RIENI,0- 4 ani, Masculin, Bihor, Anul 1998, Numar persoane,83
 30773 RIENI,0- 4 ani, Masculin, Bihor, Anul 1999, Numar persoane,91
 30773 RIENI,0- 4 ani, Feminin, Bihor, Anul 1992, Numar persoane,102
 30773 RIENI,0- 4 ani, Feminin, Bihor, Anul 1993, Numar persoane,104
 30773 RIENI,0- 4 ani, Feminin, Bihor, Anul 1994, Numar persoane,91
 30773 RIENI,0- 4 ani, Feminin, Bihor, Anul 1995, Numar persoane,88
 30773 RIENI,0- 4 ani, Feminin, Bihor, Anul 1996, Numar persoane,88
 30773 RIENI,0- 4 ani, Feminin, Bihor, Anul 1997, Numar persoane,84
 30773 RIENI,0- 4 ani, Feminin, Bihor, Anul 1998, Numar persoane,84
 30773 RIENI,0- 4 ani, Feminin, Bihor, Anul 1999, Numar persoane,93
 30773 RIENI,5- 9 ani, Masculin, Bihor, Anul 1992, Numar persoane,95
 30773 RIENI,5- 9 ani, Masculin, Bihor, Anul 1993, Numar persoane,101
 30773 RIENI,5- 9 ani, Masculin, Bihor, Anul 1994, Numar persoane,102
 30773 RIENI,5- 9 ani, Masculin, Bihor, Anul 1995, Numar persoane,101
 30773 RIENI,5- 9 ani, Masculin, Bihor, Anul 1996, Numar persoane,108
 30773 RIENI,5- 9 ani, Masculin, Bihor, Anul 1997, Numar persoane,102
 30773 RIENI,5- 9 ani, Masculin, Bihor, Anul 1998, Numar persoane,104
 30773 RIENI,5- 9 ani, Masculin, Bihor, Anul 1999, Numar persoane,96
 30773 RIENI,5- 9 ani, Feminin, Bihor, Anul 1992, Numar persoane,90
 30773 RIENI,5- 9 ani, Feminin, Bihor, Anul 1993, Numar persoane,91
 30773 RIENI,5- 9 ani, Feminin, Bihor, Anul 1994, Numar persoane,101
 30773 RIENI,5- 9 ani, Feminin, Bihor, Anul 1995, Numar persoane,95
 30773 RIENI,5- 9 ani, Feminin, Bihor, Anul 1996, Numar persoane,103
 30773 RIENI,5- 9 ani, Feminin, Bihor, Anul 1997, Numar persoane,99
