 Localitati ,Varste si grupe de varsta, Sexe, Judete, Ani, UM: Numar persoane, Valoare
 30844 ROSIA,0- 4 ani, Masculin, Bihor, Anul 1992, Numar persoane,95
 30844 ROSIA,0- 4 ani, Masculin, Bihor, Anul 1993, Numar persoane,97
 30844 ROSIA,0- 4 ani, Masculin, Bihor, Anul 1994, Numar persoane,98
 30844 ROSIA,0- 4 ani, Masculin, Bihor, Anul 1995, Numar persoane,98
 30844 ROSIA,0- 4 ani, Masculin, Bihor, Anul 1996, Numar persoane,93
 30844 ROSIA,0- 4 ani, Masculin, Bihor, Anul 1997, Numar persoane,89
 30844 ROSIA,0- 4 ani, Masculin, Bihor, Anul 1998, Numar persoane,89
 30844 ROSIA,0- 4 ani, Masculin, Bihor, Anul 1999, Numar persoane,94
 30844 ROSIA,0- 4 ani, Feminin, Bihor, Anul 1992, Numar persoane,95
 30844 ROSIA,0- 4 ani, Feminin, Bihor, Anul 1993, Numar persoane,85
 30844 ROSIA,0- 4 ani, Feminin, Bihor, Anul 1994, Numar persoane,79
 30844 ROSIA,0- 4 ani, Feminin, Bihor, Anul 1995, Numar persoane,71
 30844 ROSIA,0- 4 ani, Feminin, Bihor, Anul 1996, Numar persoane,69
 30844 ROSIA,0- 4 ani, Feminin, Bihor, Anul 1997, Numar persoane,76
 30844 ROSIA,0- 4 ani, Feminin, Bihor, Anul 1998, Numar persoane,76
 30844 ROSIA,0- 4 ani, Feminin, Bihor, Anul 1999, Numar persoane,81
 30844 ROSIA,5- 9 ani, Masculin, Bihor, Anul 1992, Numar persoane,103
 30844 ROSIA,5- 9 ani, Masculin, Bihor, Anul 1993, Numar persoane,93
 30844 ROSIA,5- 9 ani, Masculin, Bihor, Anul 1994, Numar persoane,98
 30844 ROSIA,5- 9 ani, Masculin, Bihor, Anul 1995, Numar persoane,92
 30844 ROSIA,5- 9 ani, Masculin, Bihor, Anul 1996, Numar persoane,102
 30844 ROSIA,5- 9 ani, Masculin, Bihor, Anul 1997, Numar persoane,99
 30844 ROSIA,5- 9 ani, Masculin, Bihor, Anul 1998, Numar persoane,96
 30844 ROSIA,5- 9 ani, Masculin, Bihor, Anul 1999, Numar persoane,96
 30844 ROSIA,5- 9 ani, Feminin, Bihor, Anul 1992, Numar persoane,115
 30844 ROSIA,5- 9 ani, Feminin, Bihor, Anul 1993, Numar persoane,109
 30844 ROSIA,5- 9 ani, Feminin, Bihor, Anul 1994, Numar persoane,111
 30844 ROSIA,5- 9 ani, Feminin, Bihor, Anul 1995, Numar persoane,105
 30844 ROSIA,5- 9 ani, Feminin, Bihor, Anul 1996, Numar persoane,100
 30844 ROSIA,5- 9 ani, Feminin, Bihor, Anul 1997, Numar persoane,91
 30844 ROSIA,5- 9 ani, Feminin, Bihor, Anul 1998, Numar persoane,80
 30844 ROSIA,5- 9 ani, Feminin, Bihor, Anul 1999, Numar persoane,72
 30844 ROSIA,10-14 ani, Masculin, Bihor, Anul 1992, Numar persoane,132
 30844 ROSIA,10-14 ani, Masculin, Bihor, Anul 1993, Numar persoane,129
 30844 ROSIA,10-14 ani, Masculin, Bihor, Anul 1994, Numar persoane,112
 30844 ROSIA,10-14 ani, Masculin, Bihor, Anul 1995, Numar persoane,110
 30844 ROSIA,10-14 ani, Masculin, Bihor, Anul 1996, Numar persoane,99
 30844 ROSIA,10-14 ani, Masculin, Bihor, Anul 1997, Numar persoane,104
 30844 ROSIA,10-14 ani, Masculin, Bihor, Anul 1998, Numar persoane,97
 30844 ROSIA,10-14 ani, Masculin, Bihor, Anul 1999, Numar persoane,102
 30844 ROSIA,10-14 ani, Feminin, Bihor, Anul 1992, Numar persoane,113
 30844 ROSIA,10-14 ani, Feminin, Bihor, Anul 1993, Numar persoane,112
 30844 ROSIA,10-14 ani, Feminin, Bihor, Anul 1994, Numar persoane,112
 30844 ROSIA,10-14 ani, Feminin, Bihor, Anul 1995, Numar persoane,112
 30844 ROSIA,10-14 ani, Feminin, Bihor, Anul 1996, Numar persoane,111
 30844 ROSIA,10-14 ani, Feminin, Bihor, Anul 1997, Numar persoane,116
 30844 ROSIA,10-14 ani, Feminin, Bihor, Anul 1998, Numar persoane,111
 30844 ROSIA,10-14 ani, Feminin, Bihor, Anul 1999, Numar persoane,109
 30844 ROSIA,15-19 ani, Masculin, Bihor, Anul 1992, Numar persoane,127
 30844 ROSIA,15-19 ani, Masculin, Bihor, Anul 1993, Numar persoane,120
 30844 ROSIA,15-19 ani, Masculin, Bihor, Anul 1994, Numar persoane,118
 30844 ROSIA,15-19 ani, Masculin, Bihor, Anul 1995, Numar persoane,120
 30844 ROSIA,15-19 ani, Masculin, Bihor, Anul 1996, Numar persoane,125
 30844 ROSIA,15-19 ani, Masculin, Bihor, Anul 1997, Numar persoane,128
 30844 ROSIA,15-19 ani, Masculin, Bihor, Anul 1998, Numar persoane,129
 30844 ROSIA,15-19 ani, Masculin, Bihor, Anul 1999, Numar persoane,111
 30844 ROSIA,15-19 ani, Feminin, Bihor, Anul 1992, Numar persoane,122
 30844 ROSIA,15-19 ani, Feminin, Bihor, Anul 1993, Numar persoane,122
 30844 ROSIA,15-19 ani, Feminin, Bihor, Anul 1994, Numar persoane,104
 30844 ROSIA,15-19 ani, Feminin, Bihor, Anul 1995, Numar persoane,116
 30844 ROSIA,15-19 ani, Feminin, Bihor, Anul 1996, Numar persoane,118
 30844 ROSIA,15-19 ani, Feminin, Bihor, Anul 1997, Numar persoane,108
 30844 ROSIA,15-19 ani, Feminin, Bihor, Anul 1998, Numar persoane,104
 30844 ROSIA,15-19 ani, Feminin, Bihor, Anul 1999, Numar persoane,110
 30844 ROSIA,20-24 ani, Masculin, Bihor, Anul 1992, Numar persoane,141
 30844 ROSIA,20-24 ani, Masculin, Bihor, Anul 1993, Numar persoane,150
 30844 ROSIA,20-24 ani, Masculin, Bihor, Anul 1994, Numar persoane,144
 30844 ROSIA,20-24 ani, Masculin, Bihor, Anul 1995, Numar persoane,143
 30844 ROSIA,20-24 ani, Masculin, Bihor, Anul 1996, Numar persoane,135
 30844 ROSIA,20-24 ani, Masculin, Bihor, Anul 1997, Numar persoane,118
 30844 ROSIA,20-24 ani, Masculin, Bihor, Anul 1998, Numar persoane,112
 30844 ROSIA,20-24 ani, Masculin, Bihor, Anul 1999, Numar persoane,112
 30844 ROSIA,20-24 ani, Feminin, Bihor, Anul 1992, Numar persoane,118
 30844 ROSIA,20-24 ani, Feminin, Bihor, Anul 1993, Numar persoane,121
 30844 ROSIA,20-24 ani, Feminin, Bihor, Anul 1994, Numar persoane,125
 30844 ROSIA,20-24 ani, Feminin, Bihor, Anul 1995, Numar persoane,104
 30844 ROSIA,20-24 ani, Feminin, Bihor, Anul 1996, Numar persoane,88
 30844 ROSIA,20-24 ani, Feminin, Bihor, Anul 1997, Numar persoane,101
 30844 ROSIA,20-24 ani, Feminin, Bihor, Anul 1998, Numar persoane,107
 30844 ROSIA,20-24 ani, Feminin, Bihor, Anul 1999, Numar persoane,90
 30844 ROSIA,25-29 ani, Masculin, Bihor, Anul 1992, Numar persoane,70
 30844 ROSIA,25-29 ani, Masculin, Bihor, Anul 1993, Numar persoane,77
 30844 ROSIA,25-29 ani, Masculin, Bihor, Anul 1994, Numar persoane,89
 30844 ROSIA,25-29 ani, Masculin, Bihor, Anul 1995, Numar persoane,98
 30844 ROSIA,25-29 ani, Masculin, Bihor, Anul 1996, Numar persoane,109
 30844 ROSIA,25-29 ani, Masculin, Bihor, Anul 1997, Numar persoane,130
 30844 ROSIA,25-29 ani, Masculin, Bihor, Anul 1998, Numar persoane,136
 30844 ROSIA,25-29 ani, Masculin, Bihor, Anul 1999, Numar persoane,123
 30844 ROSIA,25-29 ani, Feminin, Bihor, Anul 1992, Numar persoane,44
 30844 ROSIA,25-29 ani, Feminin, Bihor, Anul 1993, Numar persoane,50
 30844 ROSIA,25-29 ani, Feminin, Bihor, Anul 1994, Numar persoane,73
 30844 ROSIA,25-29 ani, Feminin, Bihor, Anul 1995, Numar persoane,93
 30844 ROSIA,25-29 ani, Feminin, Bihor, Anul 1996, Numar persoane,105
 30844 ROSIA,25-29 ani, Feminin, Bihor, Anul 1997, Numar persoane,110
 30844 ROSIA,25-29 ani, Feminin, Bihor, Anul 1998, Numar persoane,104
 30844 ROSIA,25-29 ani, Feminin, Bihor, Anul 1999, Numar persoane,103
 30844 ROSIA,30-34 ani, Masculin, Bihor, Anul 1992, Numar persoane,82
 30844 ROSIA,30-34 ani, Masculin, Bihor, Anul 1993, Numar persoane,69
 30844 ROSIA,30-34 ani, Masculin, Bihor, Anul 1994, Numar persoane,77
 30844 ROSIA,30-34 ani, Masculin, Bihor, Anul 1995, Numar persoane,70
 30844 ROSIA,30-34 ani, Masculin, Bihor, Anul 1996, Numar persoane,65
 30844 ROSIA,30-34 ani, Masculin, Bihor, Anul 1997, Numar persoane,58
 30844 ROSIA,30-34 ani, Masculin, Bihor, Anul 1998, Numar persoane,69
 30844 ROSIA,30-34 ani, Masculin, Bihor, Anul 1999, Numar persoane,86
 30844 ROSIA,30-34 ani, Feminin, Bihor, Anul 1992, Numar persoane,87
 30844 ROSIA,30-34 ani, Feminin, Bihor, Anul 1993, Numar persoane,74
 30844 ROSIA,30-34 ani, Feminin, Bihor, Anul 1994, Numar persoane,60
 30844 ROSIA,30-34 ani, Feminin, Bihor, Anul 1995, Numar persoane,51
 30844 ROSIA,30-34 ani, Feminin, Bihor, Anul 1996, Numar persoane,46
 30844 ROSIA,30-34 ani, Feminin, Bihor, Anul 1997, Numar persoane,41
 30844 ROSIA,30-34 ani, Feminin, Bihor, Anul 1998, Numar persoane,50
 30844 ROSIA,30-34 ani, Feminin, Bihor, Anul 1999, Numar persoane,69
 30844 ROSIA,35-39 ani, Masculin, Bihor, Anul 1992, Numar persoane,85
 30844 ROSIA,35-39 ani, Masculin, Bihor, Anul 1993, Numar persoane,93
 30844 ROSIA,35-39 ani, Masculin, Bihor, Anul 1994, Numar persoane,89
 30844 ROSIA,35-39 ani, Masculin, Bihor, Anul 1995, Numar persoane,85
 30844 ROSIA,35-39 ani, Masculin, Bihor, Anul 1996, Numar persoane,85
 30844 ROSIA,35-39 ani, Masculin, Bihor, Anul 1997, Numar persoane,81
 30844 ROSIA,35-39 ani, Masculin, Bihor, Anul 1998, Numar persoane,70
 30844 ROSIA,35-39 ani, Masculin, Bihor, Anul 1999, Numar persoane,74
 30844 ROSIA,35-39 ani, Feminin, Bihor, Anul 1992, Numar persoane,91
