 Localitati ,Varste si grupe de varsta, Sexe, Judete, Ani, UM: Numar persoane, Valoare
 31379 SINTEU,0- 4 ani, Masculin, Bihor, Anul 1992, Numar persoane,81
 31379 SINTEU,0- 4 ani, Masculin, Bihor, Anul 1993, Numar persoane,80
 31379 SINTEU,0- 4 ani, Masculin, Bihor, Anul 1994, Numar persoane,76
 31379 SINTEU,0- 4 ani, Masculin, Bihor, Anul 1995, Numar persoane,70
 31379 SINTEU,0- 4 ani, Masculin, Bihor, Anul 1996, Numar persoane,70
 31379 SINTEU,0- 4 ani, Masculin, Bihor, Anul 1997, Numar persoane,67
 31379 SINTEU,0- 4 ani, Masculin, Bihor, Anul 1998, Numar persoane,58
 31379 SINTEU,0- 4 ani, Masculin, Bihor, Anul 1999, Numar persoane,51
 31379 SINTEU,0- 4 ani, Feminin, Bihor, Anul 1992, Numar persoane,77
 31379 SINTEU,0- 4 ani, Feminin, Bihor, Anul 1993, Numar persoane,67
 31379 SINTEU,0- 4 ani, Feminin, Bihor, Anul 1994, Numar persoane,64
 31379 SINTEU,0- 4 ani, Feminin, Bihor, Anul 1995, Numar persoane,58
 31379 SINTEU,0- 4 ani, Feminin, Bihor, Anul 1996, Numar persoane,52
 31379 SINTEU,0- 4 ani, Feminin, Bihor, Anul 1997, Numar persoane,52
 31379 SINTEU,0- 4 ani, Feminin, Bihor, Anul 1998, Numar persoane,47
 31379 SINTEU,0- 4 ani, Feminin, Bihor, Anul 1999, Numar persoane,42
 31379 SINTEU,5- 9 ani, Masculin, Bihor, Anul 1992, Numar persoane,92
 31379 SINTEU,5- 9 ani, Masculin, Bihor, Anul 1993, Numar persoane,90
 31379 SINTEU,5- 9 ani, Masculin, Bihor, Anul 1994, Numar persoane,91
 31379 SINTEU,5- 9 ani, Masculin, Bihor, Anul 1995, Numar persoane,90
 31379 SINTEU,5- 9 ani, Masculin, Bihor, Anul 1996, Numar persoane,84
 31379 SINTEU,5- 9 ani, Masculin, Bihor, Anul 1997, Numar persoane,75
 31379 SINTEU,5- 9 ani, Masculin, Bihor, Anul 1998, Numar persoane,72
 31379 SINTEU,5- 9 ani, Masculin, Bihor, Anul 1999, Numar persoane,69
 31379 SINTEU,5- 9 ani, Feminin, Bihor, Anul 1992, Numar persoane,61
 31379 SINTEU,5- 9 ani, Feminin, Bihor, Anul 1993, Numar persoane,71
 31379 SINTEU,5- 9 ani, Feminin, Bihor, Anul 1994, Numar persoane,69
 31379 SINTEU,5- 9 ani, Feminin, Bihor, Anul 1995, Numar persoane,64
 31379 SINTEU,5- 9 ani, Feminin, Bihor, Anul 1996, Numar persoane,67
 31379 SINTEU,5- 9 ani, Feminin, Bihor, Anul 1997, Numar persoane,68
 31379 SINTEU,5- 9 ani, Feminin, Bihor, Anul 1998, Numar persoane,60
 31379 SINTEU,5- 9 ani, Feminin, Bihor, Anul 1999, Numar persoane,58
 31379 SINTEU,10-14 ani, Masculin, Bihor, Anul 1992, Numar persoane,71
 31379 SINTEU,10-14 ani, Masculin, Bihor, Anul 1993, Numar persoane,66
 31379 SINTEU,10-14 ani, Masculin, Bihor, Anul 1994, Numar persoane,73
