 Localitati ,Varste si grupe de varsta, Sexe, Judete, Ani, UM: Numar persoane, Valoare
 31789 TINCA,0- 4 ani, Masculin, Bihor, Anul 1992, Numar persoane,302
 31789 TINCA,0- 4 ani, Masculin, Bihor, Anul 1993, Numar persoane,304
 31789 TINCA,0- 4 ani, Masculin, Bihor, Anul 1994, Numar persoane,300
 31789 TINCA,0- 4 ani, Masculin, Bihor, Anul 1995, Numar persoane,278
 31789 TINCA,0- 4 ani, Masculin, Bihor, Anul 1996, Numar persoane,271
 31789 TINCA,0- 4 ani, Masculin, Bihor, Anul 1997, Numar persoane,273
 31789 TINCA,0- 4 ani, Masculin, Bihor, Anul 1998, Numar persoane,278
 31789 TINCA,0- 4 ani, Masculin, Bihor, Anul 1999, Numar persoane,276
 31789 TINCA,0- 4 ani, Feminin, Bihor, Anul 1992, Numar persoane,271
 31789 TINCA,0- 4 ani, Feminin, Bihor, Anul 1993, Numar persoane,268
 31789 TINCA,0- 4 ani, Feminin, Bihor, Anul 1994, Numar persoane,270
 31789 TINCA,0- 4 ani, Feminin, Bihor, Anul 1995, Numar persoane,246
 31789 TINCA,0- 4 ani, Feminin, Bihor, Anul 1996, Numar persoane,240
 31789 TINCA,0- 4 ani, Feminin, Bihor, Anul 1997, Numar persoane,246
 31789 TINCA,0- 4 ani, Feminin, Bihor, Anul 1998, Numar persoane,244
 31789 TINCA,0- 4 ani, Feminin, Bihor, Anul 1999, Numar persoane,267
 31789 TINCA,5- 9 ani, Masculin, Bihor, Anul 1992, Numar persoane,302
 31789 TINCA,5- 9 ani, Masculin, Bihor, Anul 1993, Numar persoane,314
 31789 TINCA,5- 9 ani, Masculin, Bihor, Anul 1994, Numar persoane,312
 31789 TINCA,5- 9 ani, Masculin, Bihor, Anul 1995, Numar persoane,321
 31789 TINCA,5- 9 ani, Masculin, Bihor, Anul 1996, Numar persoane,318
 31789 TINCA,5- 9 ani, Masculin, Bihor, Anul 1997, Numar persoane,329
 31789 TINCA,5- 9 ani, Masculin, Bihor, Anul 1998, Numar persoane,321
 31789 TINCA,5- 9 ani, Masculin, Bihor, Anul 1999, Numar persoane,303
 31789 TINCA,5- 9 ani, Feminin, Bihor, Anul 1992, Numar persoane,265
 31789 TINCA,5- 9 ani, Feminin, Bihor, Anul 1993, Numar persoane,270
 31789 TINCA,5- 9 ani, Feminin, Bihor, Anul 1994, Numar persoane,277
 31789 TINCA,5- 9 ani, Feminin, Bihor, Anul 1995, Numar persoane,288
 31789 TINCA,5- 9 ani, Feminin, Bihor, Anul 1996, Numar persoane,289
 31789 TINCA,5- 9 ani, Feminin, Bihor, Anul 1997, Numar persoane,270
 31789 TINCA,5- 9 ani, Feminin, Bihor, Anul 1998, Numar persoane,270
 31789 TINCA,5- 9 ani, Feminin, Bihor, Anul 1999, Numar persoane,260
 31789 TINCA,10-14 ani, Masculin, Bihor, Anul 1992, Numar persoane,338
