 Localitati ,Varste si grupe de varsta, Sexe, Judete, Ani, UM: Numar persoane, Valoare
 31841 TULCA,0- 4 ani, Masculin, Bihor, Anul 1992, Numar persoane,107
 31841 TULCA,0- 4 ani, Masculin, Bihor, Anul 1993, Numar persoane,93
 31841 TULCA,0- 4 ani, Masculin, Bihor, Anul 1994, Numar persoane,86
 31841 TULCA,0- 4 ani, Masculin, Bihor, Anul 1995, Numar persoane,86
 31841 TULCA,0- 4 ani, Masculin, Bihor, Anul 1996, Numar persoane,89
 31841 TULCA,0- 4 ani, Masculin, Bihor, Anul 1997, Numar persoane,90
 31841 TULCA,0- 4 ani, Masculin, Bihor, Anul 1998, Numar persoane,86
 31841 TULCA,0- 4 ani, Masculin, Bihor, Anul 1999, Numar persoane,82
 31841 TULCA,0- 4 ani, Feminin, Bihor, Anul 1992, Numar persoane,63
 31841 TULCA,0- 4 ani, Feminin, Bihor, Anul 1993, Numar persoane,68
 31841 TULCA,0- 4 ani, Feminin, Bihor, Anul 1994, Numar persoane,75
 31841 TULCA,0- 4 ani, Feminin, Bihor, Anul 1995, Numar persoane,73
 31841 TULCA,0- 4 ani, Feminin, Bihor, Anul 1996, Numar persoane,74
 31841 TULCA,0- 4 ani, Feminin, Bihor, Anul 1997, Numar persoane,80
 31841 TULCA,0- 4 ani, Feminin, Bihor, Anul 1998, Numar persoane,85
 31841 TULCA,0- 4 ani, Feminin, Bihor, Anul 1999, Numar persoane,85
 31841 TULCA,5- 9 ani, Masculin, Bihor, Anul 1992, Numar persoane,68
 31841 TULCA,5- 9 ani, Masculin, Bihor, Anul 1993, Numar persoane,80
 31841 TULCA,5- 9 ani, Masculin, Bihor, Anul 1994, Numar persoane,88
 31841 TULCA,5- 9 ani, Masculin, Bihor, Anul 1995, Numar persoane,99
 31841 TULCA,5- 9 ani, Masculin, Bihor, Anul 1996, Numar persoane,97
 31841 TULCA,5- 9 ani, Masculin, Bihor, Anul 1997, Numar persoane,101
 31841 TULCA,5- 9 ani, Masculin, Bihor, Anul 1998, Numar persoane,92
 31841 TULCA,5- 9 ani, Masculin, Bihor, Anul 1999, Numar persoane,88
 31841 TULCA,5- 9 ani, Feminin, Bihor, Anul 1992, Numar persoane,96
 31841 TULCA,5- 9 ani, Feminin, Bihor, Anul 1993, Numar persoane,90
 31841 TULCA,5- 9 ani, Feminin, Bihor, Anul 1994, Numar persoane,90
 31841 TULCA,5- 9 ani, Feminin, Bihor, Anul 1995, Numar persoane,82
