 Localitati ,Varste si grupe de varsta, Sexe, Judete, Ani, UM: Numar persoane, Valoare
 31921 UILEACU DE BEIUS,0- 4 ani, Masculin, Bihor, Anul 1992, Numar persoane,68
 31921 UILEACU DE BEIUS,0- 4 ani, Masculin, Bihor, Anul 1993, Numar persoane,63
 31921 UILEACU DE BEIUS,0- 4 ani, Masculin, Bihor, Anul 1994, Numar persoane,47
 31921 UILEACU DE BEIUS,0- 4 ani, Masculin, Bihor, Anul 1995, Numar persoane,50
 31921 UILEACU DE BEIUS,0- 4 ani, Masculin, Bihor, Anul 1996, Numar persoane,55
 31921 UILEACU DE BEIUS,0- 4 ani, Masculin, Bihor, Anul 1997, Numar persoane,58
 31921 UILEACU DE BEIUS,0- 4 ani, Masculin, Bihor, Anul 1998, Numar persoane,59
 31921 UILEACU DE BEIUS,0- 4 ani, Masculin, Bihor, Anul 1999, Numar persoane,65
 31921 UILEACU DE BEIUS,0- 4 ani, Feminin, Bihor, Anul 1992, Numar persoane,56
 31921 UILEACU DE BEIUS,0- 4 ani, Feminin, Bihor, Anul 1993, Numar persoane,64
 31921 UILEACU DE BEIUS,0- 4 ani, Feminin, Bihor, Anul 1994, Numar persoane,63
 31921 UILEACU DE BEIUS,0- 4 ani, Feminin, Bihor, Anul 1995, Numar persoane,62
 31921 UILEACU DE BEIUS,0- 4 ani, Feminin, Bihor, Anul 1996, Numar persoane,65
 31921 UILEACU DE BEIUS,0- 4 ani, Feminin, Bihor, Anul 1997, Numar persoane,63
 31921 UILEACU DE BEIUS,0- 4 ani, Feminin, Bihor, Anul 1998, Numar persoane,63
 31921 UILEACU DE BEIUS,0- 4 ani, Feminin, Bihor, Anul 1999, Numar persoane,65
 31921 UILEACU DE BEIUS,5- 9 ani, Masculin, Bihor, Anul 1992, Numar persoane,68
 31921 UILEACU DE BEIUS,5- 9 ani, Masculin, Bihor, Anul 1993, Numar persoane,65
 31921 UILEACU DE BEIUS,5- 9 ani, Masculin, Bihor, Anul 1994, Numar persoane,87
 31921 UILEACU DE BEIUS,5- 9 ani, Masculin, Bihor, Anul 1995, Numar persoane,82
 31921 UILEACU DE BEIUS,5- 9 ani, Masculin, Bihor, Anul 1996, Numar persoane,70
 31921 UILEACU DE BEIUS,5- 9 ani, Masculin, Bihor, Anul 1997, Numar persoane,64
 31921 UILEACU DE BEIUS,5- 9 ani, Masculin, Bihor, Anul 1998, Numar persoane,58
 31921 UILEACU DE BEIUS,5- 9 ani, Masculin, Bihor, Anul 1999, Numar persoane,43
 31921 UILEACU DE BEIUS,5- 9 ani, Feminin, Bihor, Anul 1992, Numar persoane,61
 31921 UILEACU DE BEIUS,5- 9 ani, Feminin, Bihor, Anul 1993, Numar persoane,59
 31921 UILEACU DE BEIUS,5- 9 ani, Feminin, Bihor, Anul 1994, Numar persoane,61
 31921 UILEACU DE BEIUS,5- 9 ani, Feminin, Bihor, Anul 1995, Numar persoane,69
 31921 UILEACU DE BEIUS,5- 9 ani, Feminin, Bihor, Anul 1996, Numar persoane,64
 31921 UILEACU DE BEIUS,5- 9 ani, Feminin, Bihor, Anul 1997, Numar persoane,58
 31921 UILEACU DE BEIUS,5- 9 ani, Feminin, Bihor, Anul 1998, Numar persoane,63
 31921 UILEACU DE BEIUS,5- 9 ani, Feminin, Bihor, Anul 1999, Numar persoane,64
 31921 UILEACU DE BEIUS,10-14 ani, Masculin, Bihor, Anul 1992, Numar persoane,67
 31921 UILEACU DE BEIUS,10-14 ani, Masculin, Bihor, Anul 1993, Numar persoane,69
 31921 UILEACU DE BEIUS,10-14 ani, Masculin, Bihor, Anul 1994, Numar persoane,62
 31921 UILEACU DE BEIUS,10-14 ani, Masculin, Bihor, Anul 1995, Numar persoane,72
 31921 UILEACU DE BEIUS,10-14 ani, Masculin, Bihor, Anul 1996, Numar persoane,68
 31921 UILEACU DE BEIUS,10-14 ani, Masculin, Bihor, Anul 1997, Numar persoane,68
 31921 UILEACU DE BEIUS,10-14 ani, Masculin, Bihor, Anul 1998, Numar persoane,68
 31921 UILEACU DE BEIUS,10-14 ani, Masculin, Bihor, Anul 1999, Numar persoane,87
 31921 UILEACU DE BEIUS,10-14 ani, Feminin, Bihor, Anul 1992, Numar persoane,83
 31921 UILEACU DE BEIUS,10-14 ani, Feminin, Bihor, Anul 1993, Numar persoane,81
 31921 UILEACU DE BEIUS,10-14 ani, Feminin, Bihor, Anul 1994, Numar persoane,68
 31921 UILEACU DE BEIUS,10-14 ani, Feminin, Bihor, Anul 1995, Numar persoane,72
 31921 UILEACU DE BEIUS,10-14 ani, Feminin, Bihor, Anul 1996, Numar persoane,68
 31921 UILEACU DE BEIUS,10-14 ani, Feminin, Bihor, Anul 1997, Numar persoane,64
 31921 UILEACU DE BEIUS,10-14 ani, Feminin, Bihor, Anul 1998, Numar persoane,66
 31921 UILEACU DE BEIUS,10-14 ani, Feminin, Bihor, Anul 1999, Numar persoane,62
 31921 UILEACU DE BEIUS,15-19 ani, Masculin, Bihor, Anul 1992, Numar persoane,101
 31921 UILEACU DE BEIUS,15-19 ani, Masculin, Bihor, Anul 1993, Numar persoane,99
 31921 UILEACU DE BEIUS,15-19 ani, Masculin, Bihor, Anul 1994, Numar persoane,91
 31921 UILEACU DE BEIUS,15-19 ani, Masculin, Bihor, Anul 1995, Numar persoane,74
 31921 UILEACU DE BEIUS,15-19 ani, Masculin, Bihor, Anul 1996, Numar persoane,74
 31921 UILEACU DE BEIUS,15-19 ani, Masculin, Bihor, Anul 1997, Numar persoane,70
 31921 UILEACU DE BEIUS,15-19 ani, Masculin, Bihor, Anul 1998, Numar persoane,72
 31921 UILEACU DE BEIUS,15-19 ani, Masculin, Bihor, Anul 1999, Numar persoane,65
 31921 UILEACU DE BEIUS,15-19 ani, Feminin, Bihor, Anul 1992, Numar persoane,116
 31921 UILEACU DE BEIUS,15-19 ani, Feminin, Bihor, Anul 1993, Numar persoane,103
 31921 UILEACU DE BEIUS,15-19 ani, Feminin, Bihor, Anul 1994, Numar persoane,99
 31921 UILEACU DE BEIUS,15-19 ani, Feminin, Bihor, Anul 1995, Numar persoane,89
 31921 UILEACU DE BEIUS,15-19 ani, Feminin, Bihor, Anul 1996, Numar persoane,76
 31921 UILEACU DE BEIUS,15-19 ani, Feminin, Bihor, Anul 1997, Numar persoane,83
 31921 UILEACU DE BEIUS,15-19 ani, Feminin, Bihor, Anul 1998, Numar persoane,78
 31921 UILEACU DE BEIUS,15-19 ani, Feminin, Bihor, Anul 1999, Numar persoane,67
 31921 UILEACU DE BEIUS,20-24 ani, Masculin, Bihor, Anul 1992, Numar persoane,115
 31921 UILEACU DE BEIUS,20-24 ani, Masculin, Bihor, Anul 1993, Numar persoane,110
