 Localitati ,Varste si grupe de varsta, Sexe, Judete, Ani, UM: Numar persoane, Valoare
 32195 GEPIU,0- 4 ani, Masculin, Bihor, Anul 2004, Numar persoane,52
 32195 GEPIU,0- 4 ani, Masculin, Bihor, Anul 2005, Numar persoane,61
 32195 GEPIU,0- 4 ani, Masculin, Bihor, Anul 2006, Numar persoane,68
 32195 GEPIU,0- 4 ani, Feminin, Bihor, Anul 2004, Numar persoane,38
 32195 GEPIU,0- 4 ani, Feminin, Bihor, Anul 2005, Numar persoane,49
 32195 GEPIU,0- 4 ani, Feminin, Bihor, Anul 2006, Numar persoane,48
 32195 GEPIU,5- 9 ani, Masculin, Bihor, Anul 2004, Numar persoane,52
 32195 GEPIU,5- 9 ani, Masculin, Bihor, Anul 2005, Numar persoane,53
 32195 GEPIU,5- 9 ani, Masculin, Bihor, Anul 2006, Numar persoane,53
 32195 GEPIU,5- 9 ani, Feminin, Bihor, Anul 2004, Numar persoane,41
 32195 GEPIU,5- 9 ani, Feminin, Bihor, Anul 2005, Numar persoane,42
 32195 GEPIU,5- 9 ani, Feminin, Bihor, Anul 2006, Numar persoane,47
 32195 GEPIU,10-14 ani, Masculin, Bihor, Anul 2004, Numar persoane,48
 32195 GEPIU,10-14 ani, Masculin, Bihor, Anul 2005, Numar persoane,53
 32195 GEPIU,10-14 ani, Masculin, Bihor, Anul 2006, Numar persoane,50
 32195 GEPIU,10-14 ani, Feminin, Bihor, Anul 2004, Numar persoane,39
 32195 GEPIU,10-14 ani, Feminin, Bihor, Anul 2005, Numar persoane,40
 32195 GEPIU,10-14 ani, Feminin, Bihor, Anul 2006, Numar persoane,45
 32195 GEPIU,15-19 ani, Masculin, Bihor, Anul 2004, Numar persoane,60
 32195 GEPIU,15-19 ani, Masculin, Bihor, Anul 2005, Numar persoane,66
 32195 GEPIU,15-19 ani, Masculin, Bihor, Anul 2006, Numar persoane,67
 32195 GEPIU,15-19 ani, Feminin, Bihor, Anul 2004, Numar persoane,35
 32195 GEPIU,15-19 ani, Feminin, Bihor, Anul 2005, Numar persoane,48
 32195 GEPIU,15-19 ani, Feminin, Bihor, Anul 2006, Numar persoane,50
 32195 GEPIU,20-24 ani, Masculin, Bihor, Anul 2004, Numar persoane,44
 32195 GEPIU,20-24 ani, Masculin, Bihor, Anul 2005, Numar persoane,40
 32195 GEPIU,20-24 ani, Masculin, Bihor, Anul 2006, Numar persoane,55
 32195 GEPIU,20-24 ani, Feminin, Bihor, Anul 2004, Numar persoane,46
 32195 GEPIU,20-24 ani, Feminin, Bihor, Anul 2005, Numar persoane,42
 32195 GEPIU,20-24 ani, Feminin, Bihor, Anul 2006, Numar persoane,44
 32195 GEPIU,25-29 ani, Masculin, Bihor, Anul 2004, Numar persoane,56
 32195 GEPIU,25-29 ani, Masculin, Bihor, Anul 2005, Numar persoane,61
 32195 GEPIU,25-29 ani, Masculin, Bihor, Anul 2006, Numar persoane,47
 32195 GEPIU,25-29 ani, Feminin, Bihor, Anul 2004, Numar persoane,43
 32195 GEPIU,25-29 ani, Feminin, Bihor, Anul 2005, Numar persoane,54
 32195 GEPIU,25-29 ani, Feminin, Bihor, Anul 2006, Numar persoane,58
 32195 GEPIU,30-34 ani, Masculin, Bihor, Anul 2004, Numar persoane,69
 32195 GEPIU,30-34 ani, Masculin, Bihor, Anul 2005, Numar persoane,67
 32195 GEPIU,30-34 ani, Masculin, Bihor, Anul 2006, Numar persoane,69
 32195 GEPIU,30-34 ani, Feminin, Bihor, Anul 2004, Numar persoane,51
 32195 GEPIU,30-34 ani, Feminin, Bihor, Anul 2005, Numar persoane,50
 32195 GEPIU,30-34 ani, Feminin, Bihor, Anul 2006, Numar persoane,49
 32195 GEPIU,35-39 ani, Masculin, Bihor, Anul 2004, Numar persoane,49
 32195 GEPIU,35-39 ani, Masculin, Bihor, Anul 2005, Numar persoane,58
 32195 GEPIU,35-39 ani, Masculin, Bihor, Anul 2006, Numar persoane,63
 32195 GEPIU,35-39 ani, Feminin, Bihor, Anul 2004, Numar persoane,34
 32195 GEPIU,35-39 ani, Feminin, Bihor, Anul 2005, Numar persoane,41
 32195 GEPIU,35-39 ani, Feminin, Bihor, Anul 2006, Numar persoane,45
 32195 GEPIU,40-44 ani, Masculin, Bihor, Anul 2004, Numar persoane,31
 32195 GEPIU,40-44 ani, Masculin, Bihor, Anul 2005, Numar persoane,34
 32195 GEPIU,40-44 ani, Masculin, Bihor, Anul 2006, Numar persoane,35
 32195 GEPIU,40-44 ani, Feminin, Bihor, Anul 2004, Numar persoane,44
 32195 GEPIU,40-44 ani, Feminin, Bihor, Anul 2005, Numar persoane,35
 32195 GEPIU,40-44 ani, Feminin, Bihor, Anul 2006, Numar persoane,33
 32195 GEPIU,45-49 ani, Masculin, Bihor, Anul 2004, Numar persoane,34
 32195 GEPIU,45-49 ani, Masculin, Bihor, Anul 2005, Numar persoane,37
 32195 GEPIU,45-49 ani, Masculin, Bihor, Anul 2006, Numar persoane,39
 32195 GEPIU,45-49 ani, Feminin, Bihor, Anul 2004, Numar persoane,24
 32195 GEPIU,45-49 ani, Feminin, Bihor, Anul 2005, Numar persoane,32
 32195 GEPIU,45-49 ani, Feminin, Bihor, Anul 2006, Numar persoane,40
 32195 GEPIU,50-54 ani, Masculin, Bihor, Anul 2004, Numar persoane,30
 32195 GEPIU,50-54 ani, Masculin, Bihor, Anul 2005, Numar persoane,36
 32195 GEPIU,50-54 ani, Masculin, Bihor, Anul 2006, Numar persoane,42
 32195 GEPIU,50-54 ani, Feminin, Bihor, Anul 2004, Numar persoane,37
 32195 GEPIU,50-54 ani, Feminin, Bihor, Anul 2005, Numar persoane,37
 32195 GEPIU,50-54 ani, Feminin, Bihor, Anul 2006, Numar persoane,29
 32195 GEPIU,55-59 ani, Masculin, Bihor, Anul 2004, Numar persoane,30
 32195 GEPIU,55-59 ani, Masculin, Bihor, Anul 2005, Numar persoane,25
 32195 GEPIU,55-59 ani, Masculin, Bihor, Anul 2006, Numar persoane,22
 32195 GEPIU,55-59 ani, Feminin, Bihor, Anul 2004, Numar persoane,38
 32195 GEPIU,55-59 ani, Feminin, Bihor, Anul 2005, Numar persoane,41
 32195 GEPIU,55-59 ani, Feminin, Bihor, Anul 2006, Numar persoane,45
 32195 GEPIU,60-64 ani, Masculin, Bihor, Anul 2004, Numar persoane,26
 32195 GEPIU,60-64 ani, Masculin, Bihor, Anul 2005, Numar persoane,31
 32195 GEPIU,60-64 ani, Masculin, Bihor, Anul 2006, Numar persoane,32
 32195 GEPIU,60-64 ani, Feminin, Bihor, Anul 2004, Numar persoane,50
 32195 GEPIU,60-64 ani, Feminin, Bihor, Anul 2005, Numar persoane,46
 32195 GEPIU,60-64 ani, Feminin, Bihor, Anul 2006, Numar persoane,45
 32195 GEPIU,65-69 ani, Masculin, Bihor, Anul 2004, Numar persoane,41
 32195 GEPIU,65-69 ani, Masculin, Bihor, Anul 2005, Numar persoane,40
 32195 GEPIU,65-69 ani, Masculin, Bihor, Anul 2006, Numar persoane,37
 32195 GEPIU,65-69 ani, Feminin, Bihor, Anul 2004, Numar persoane,54
