 Localitati ,Varste si grupe de varsta, Sexe, Judete, Ani, UM: Numar persoane, Valoare
 40438 MUNICIPIUL SACELE,0- 4 ani, Masculin, Brasov, Anul 1992, Numar persoane,1268
 40438 MUNICIPIUL SACELE,0- 4 ani, Masculin, Brasov, Anul 1993, Numar persoane,1142
 40438 MUNICIPIUL SACELE,0- 4 ani, Masculin, Brasov, Anul 1994, Numar persoane,1010
 40438 MUNICIPIUL SACELE,0- 4 ani, Masculin, Brasov, Anul 1995, Numar persoane,933
 40438 MUNICIPIUL SACELE,0- 4 ani, Masculin, Brasov, Anul 1996, Numar persoane,865
 40438 MUNICIPIUL SACELE,0- 4 ani, Masculin, Brasov, Anul 1997, Numar persoane,820
 40438 MUNICIPIUL SACELE,0- 4 ani, Masculin, Brasov, Anul 1998, Numar persoane,844
 40438 MUNICIPIUL SACELE,0- 4 ani, Masculin, Brasov, Anul 1999, Numar persoane,881
 40438 MUNICIPIUL SACELE,0- 4 ani, Masculin, Brasov, Anul 2000, Numar persoane,927
 40438 MUNICIPIUL SACELE,0- 4 ani, Masculin, Brasov, Anul 2001, Numar persoane,945
 40438 MUNICIPIUL SACELE,0- 4 ani, Masculin, Brasov, Anul 2002, Numar persoane,989
 40438 MUNICIPIUL SACELE,0- 4 ani, Masculin, Brasov, Anul 2003, Numar persoane,999
 40438 MUNICIPIUL SACELE,0- 4 ani, Masculin, Brasov, Anul 2004, Numar persoane,1044
 40438 MUNICIPIUL SACELE,0- 4 ani, Feminin, Brasov, Anul 1992, Numar persoane,1206
 40438 MUNICIPIUL SACELE,0- 4 ani, Feminin, Brasov, Anul 1993, Numar persoane,1046
 40438 MUNICIPIUL SACELE,0- 4 ani, Feminin, Brasov, Anul 1994, Numar persoane,960
 40438 MUNICIPIUL SACELE,0- 4 ani, Feminin, Brasov, Anul 1995, Numar persoane,795
 40438 MUNICIPIUL SACELE,0- 4 ani, Feminin, Brasov, Anul 1996, Numar persoane,745
 40438 MUNICIPIUL SACELE,0- 4 ani, Feminin, Brasov, Anul 1997, Numar persoane,746
 40438 MUNICIPIUL SACELE,0- 4 ani, Feminin, Brasov, Anul 1998, Numar persoane,760
 40438 MUNICIPIUL SACELE,0- 4 ani, Feminin, Brasov, Anul 1999, Numar persoane,780
 40438 MUNICIPIUL SACELE,0- 4 ani, Feminin, Brasov, Anul 2000, Numar persoane,806
 40438 MUNICIPIUL SACELE,0- 4 ani, Feminin, Brasov, Anul 2001, Numar persoane,847
 40438 MUNICIPIUL SACELE,0- 4 ani, Feminin, Brasov, Anul 2002, Numar persoane,882
 40438 MUNICIPIUL SACELE,0- 4 ani, Feminin, Brasov, Anul 2003, Numar persoane,940
 40438 MUNICIPIUL SACELE,0- 4 ani, Feminin, Brasov, Anul 2004, Numar persoane,1015
 40438 MUNICIPIUL SACELE,5- 9 ani, Masculin, Brasov, Anul 1992, Numar persoane,1326
 40438 MUNICIPIUL SACELE,5- 9 ani, Masculin, Brasov, Anul 1993, Numar persoane,1282
 40438 MUNICIPIUL SACELE,5- 9 ani, Masculin, Brasov, Anul 1994, Numar persoane,1329
 40438 MUNICIPIUL SACELE,5- 9 ani, Masculin, Brasov, Anul 1995, Numar persoane,1298
 40438 MUNICIPIUL SACELE,5- 9 ani, Masculin, Brasov, Anul 1996, Numar persoane,1278
 40438 MUNICIPIUL SACELE,5- 9 ani, Masculin, Brasov, Anul 1997, Numar persoane,1238
 40438 MUNICIPIUL SACELE,5- 9 ani, Masculin, Brasov, Anul 1998, Numar persoane,1125
 40438 MUNICIPIUL SACELE,5- 9 ani, Masculin, Brasov, Anul 1999, Numar persoane,999
 40438 MUNICIPIUL SACELE,5- 9 ani, Masculin, Brasov, Anul 2000, Numar persoane,923
 40438 MUNICIPIUL SACELE,5- 9 ani, Masculin, Brasov, Anul 2001, Numar persoane,858
 40438 MUNICIPIUL SACELE,5- 9 ani, Masculin, Brasov, Anul 2002, Numar persoane,826
 40438 MUNICIPIUL SACELE,5- 9 ani, Masculin, Brasov, Anul 2003, Numar persoane,855
 40438 MUNICIPIUL SACELE,5- 9 ani, Masculin, Brasov, Anul 2004, Numar persoane,897
 40438 MUNICIPIUL SACELE,5- 9 ani, Feminin, Brasov, Anul 1992, Numar persoane,1317
 40438 MUNICIPIUL SACELE,5- 9 ani, Feminin, Brasov, Anul 1993, Numar persoane,1362
 40438 MUNICIPIUL SACELE,5- 9 ani, Feminin, Brasov, Anul 1994, Numar persoane,1347
 40438 MUNICIPIUL SACELE,5- 9 ani, Feminin, Brasov, Anul 1995, Numar persoane,1365
 40438 MUNICIPIUL SACELE,5- 9 ani, Feminin, Brasov, Anul 1996, Numar persoane,1274
 40438 MUNICIPIUL SACELE,5- 9 ani, Feminin, Brasov, Anul 1997, Numar persoane,1184
 40438 MUNICIPIUL SACELE,5- 9 ani, Feminin, Brasov, Anul 1998, Numar persoane,1035
 40438 MUNICIPIUL SACELE,5- 9 ani, Feminin, Brasov, Anul 1999, Numar persoane,949
 40438 MUNICIPIUL SACELE,5- 9 ani, Feminin, Brasov, Anul 2000, Numar persoane,788
 40438 MUNICIPIUL SACELE,5- 9 ani, Feminin, Brasov, Anul 2001, Numar persoane,742
 40438 MUNICIPIUL SACELE,5- 9 ani, Feminin, Brasov, Anul 2002, Numar persoane,750
 40438 MUNICIPIUL SACELE,5- 9 ani, Feminin, Brasov, Anul 2003, Numar persoane,759
 40438 MUNICIPIUL SACELE,5- 9 ani, Feminin, Brasov, Anul 2004, Numar persoane,781
 40438 MUNICIPIUL SACELE,10-14 ani, Masculin, Brasov, Anul 1992, Numar persoane,1562
 40438 MUNICIPIUL SACELE,10-14 ani, Masculin, Brasov, Anul 1993, Numar persoane,1533
 40438 MUNICIPIUL SACELE,10-14 ani, Masculin, Brasov, Anul 1994, Numar persoane,1445
 40438 MUNICIPIUL SACELE,10-14 ani, Masculin, Brasov, Anul 1995, Numar persoane,1402
 40438 MUNICIPIUL SACELE,10-14 ani, Masculin, Brasov, Anul 1996, Numar persoane,1335
 40438 MUNICIPIUL SACELE,10-14 ani, Masculin, Brasov, Anul 1997, Numar persoane,1300
 40438 MUNICIPIUL SACELE,10-14 ani, Masculin, Brasov, Anul 1998, Numar persoane,1265
 40438 MUNICIPIUL SACELE,10-14 ani, Masculin, Brasov, Anul 1999, Numar persoane,1313
 40438 MUNICIPIUL SACELE,10-14 ani, Masculin, Brasov, Anul 2000, Numar persoane,1288
 40438 MUNICIPIUL SACELE,10-14 ani, Masculin, Brasov, Anul 2001, Numar persoane,1273
 40438 MUNICIPIUL SACELE,10-14 ani, Masculin, Brasov, Anul 2002, Numar persoane,1222
 40438 MUNICIPIUL SACELE,10-14 ani, Masculin, Brasov, Anul 2003, Numar persoane,1118
 40438 MUNICIPIUL SACELE,10-14 ani, Masculin, Brasov, Anul 2004, Numar persoane,1007
 40438 MUNICIPIUL SACELE,10-14 ani, Feminin, Brasov, Anul 1992, Numar persoane,1505
