 Localitati ,Varste si grupe de varsta, Sexe, Judete, Ani, UM: Numar persoane, Valoare
 40820 CINCU,0- 4 ani, Masculin, Brasov, Anul 1992, Numar persoane,74
 40820 CINCU,0- 4 ani, Masculin, Brasov, Anul 1993, Numar persoane,58
 40820 CINCU,0- 4 ani, Masculin, Brasov, Anul 1994, Numar persoane,47
 40820 CINCU,0- 4 ani, Masculin, Brasov, Anul 1995, Numar persoane,48
 40820 CINCU,0- 4 ani, Masculin, Brasov, Anul 1996, Numar persoane,51
 40820 CINCU,0- 4 ani, Masculin, Brasov, Anul 1997, Numar persoane,58
 40820 CINCU,0- 4 ani, Masculin, Brasov, Anul 1998, Numar persoane,69
 40820 CINCU,0- 4 ani, Masculin, Brasov, Anul 1999, Numar persoane,69
 40820 CINCU,0- 4 ani, Masculin, Brasov, Anul 2000, Numar persoane,69
 40820 CINCU,0- 4 ani, Masculin, Brasov, Anul 2001, Numar persoane,72
 40820 CINCU,0- 4 ani, Masculin, Brasov, Anul 2002, Numar persoane,72
 40820 CINCU,0- 4 ani, Masculin, Brasov, Anul 2003, Numar persoane,66
 40820 CINCU,0- 4 ani, Masculin, Brasov, Anul 2004, Numar persoane,72
 40820 CINCU,0- 4 ani, Feminin, Brasov, Anul 1992, Numar persoane,84
 40820 CINCU,0- 4 ani, Feminin, Brasov, Anul 1993, Numar persoane,71
 40820 CINCU,0- 4 ani, Feminin, Brasov, Anul 1994, Numar persoane,65
 40820 CINCU,0- 4 ani, Feminin, Brasov, Anul 1995, Numar persoane,64
 40820 CINCU,0- 4 ani, Feminin, Brasov, Anul 1996, Numar persoane,60
 40820 CINCU,0- 4 ani, Feminin, Brasov, Anul 1997, Numar persoane,61
 40820 CINCU,0- 4 ani, Feminin, Brasov, Anul 1998, Numar persoane,66
 40820 CINCU,0- 4 ani, Feminin, Brasov, Anul 1999, Numar persoane,70
 40820 CINCU,0- 4 ani, Feminin, Brasov, Anul 2000, Numar persoane,62
 40820 CINCU,0- 4 ani, Feminin, Brasov, Anul 2001, Numar persoane,60
 40820 CINCU,0- 4 ani, Feminin, Brasov, Anul 2002, Numar persoane,58
 40820 CINCU,0- 4 ani, Feminin, Brasov, Anul 2003, Numar persoane,59
 40820 CINCU,0- 4 ani, Feminin, Brasov, Anul 2004, Numar persoane,54
 40820 CINCU,5- 9 ani, Masculin, Brasov, Anul 1992, Numar persoane,73
 40820 CINCU,5- 9 ani, Masculin, Brasov, Anul 1993, Numar persoane,75
 40820 CINCU,5- 9 ani, Masculin, Brasov, Anul 1994, Numar persoane,83
 40820 CINCU,5- 9 ani, Masculin, Brasov, Anul 1995, Numar persoane,81
 40820 CINCU,5- 9 ani, Masculin, Brasov, Anul 1996, Numar persoane,83
 40820 CINCU,5- 9 ani, Masculin, Brasov, Anul 1997, Numar persoane,84
 40820 CINCU,5- 9 ani, Masculin, Brasov, Anul 1998, Numar persoane,72
 40820 CINCU,5- 9 ani, Masculin, Brasov, Anul 1999, Numar persoane,59
 40820 CINCU,5- 9 ani, Masculin, Brasov, Anul 2000, Numar persoane,57
 40820 CINCU,5- 9 ani, Masculin, Brasov, Anul 2001, Numar persoane,55
 40820 CINCU,5- 9 ani, Masculin, Brasov, Anul 2002, Numar persoane,59
 40820 CINCU,5- 9 ani, Masculin, Brasov, Anul 2003, Numar persoane,68
 40820 CINCU,5- 9 ani, Masculin, Brasov, Anul 2004, Numar persoane,69
 40820 CINCU,5- 9 ani, Feminin, Brasov, Anul 1992, Numar persoane,74
 40820 CINCU,5- 9 ani, Feminin, Brasov, Anul 1993, Numar persoane,87
 40820 CINCU,5- 9 ani, Feminin, Brasov, Anul 1994, Numar persoane,92
 40820 CINCU,5- 9 ani, Feminin, Brasov, Anul 1995, Numar persoane,93
 40820 CINCU,5- 9 ani, Feminin, Brasov, Anul 1996, Numar persoane,87
 40820 CINCU,5- 9 ani, Feminin, Brasov, Anul 1997, Numar persoane,102
 40820 CINCU,5- 9 ani, Feminin, Brasov, Anul 1998, Numar persoane,96
 40820 CINCU,5- 9 ani, Feminin, Brasov, Anul 1999, Numar persoane,88
 40820 CINCU,5- 9 ani, Feminin, Brasov, Anul 2000, Numar persoane,86
 40820 CINCU,5- 9 ani, Feminin, Brasov, Anul 2001, Numar persoane,73
 40820 CINCU,5- 9 ani, Feminin, Brasov, Anul 2002, Numar persoane,70
 40820 CINCU,5- 9 ani, Feminin, Brasov, Anul 2003, Numar persoane,68
 40820 CINCU,5- 9 ani, Feminin, Brasov, Anul 2004, Numar persoane,72
 40820 CINCU,10-14 ani, Masculin, Brasov, Anul 1992, Numar persoane,86
 40820 CINCU,10-14 ani, Masculin, Brasov, Anul 1993, Numar persoane,89
 40820 CINCU,10-14 ani, Masculin, Brasov, Anul 1994, Numar persoane,77
 40820 CINCU,10-14 ani, Masculin, Brasov, Anul 1995, Numar persoane,75
 40820 CINCU,10-14 ani, Masculin, Brasov, Anul 1996, Numar persoane,65
 40820 CINCU,10-14 ani, Masculin, Brasov, Anul 1997, Numar persoane,78
 40820 CINCU,10-14 ani, Masculin, Brasov, Anul 1998, Numar persoane,90
 40820 CINCU,10-14 ani, Masculin, Brasov, Anul 1999, Numar persoane,100
 40820 CINCU,10-14 ani, Masculin, Brasov, Anul 2000, Numar persoane,99
 40820 CINCU,10-14 ani, Masculin, Brasov, Anul 2001, Numar persoane,103
 40820 CINCU,10-14 ani, Masculin, Brasov, Anul 2002, Numar persoane,89
 40820 CINCU,10-14 ani, Masculin, Brasov, Anul 2003, Numar persoane,74
 40820 CINCU,10-14 ani, Masculin, Brasov, Anul 2004, Numar persoane,61
 40820 CINCU,10-14 ani, Feminin, Brasov, Anul 1992, Numar persoane,73
 40820 CINCU,10-14 ani, Feminin, Brasov, Anul 1993, Numar persoane,76
 40820 CINCU,10-14 ani, Feminin, Brasov, Anul 1994, Numar persoane,75
 40820 CINCU,10-14 ani, Feminin, Brasov, Anul 1995, Numar persoane,66
 40820 CINCU,10-14 ani, Feminin, Brasov, Anul 1996, Numar persoane,73
 40820 CINCU,10-14 ani, Feminin, Brasov, Anul 1997, Numar persoane,76
 40820 CINCU,10-14 ani, Feminin, Brasov, Anul 1998, Numar persoane,91
 40820 CINCU,10-14 ani, Feminin, Brasov, Anul 1999, Numar persoane,100
 40820 CINCU,10-14 ani, Feminin, Brasov, Anul 2000, Numar persoane,105
 40820 CINCU,10-14 ani, Feminin, Brasov, Anul 2001, Numar persoane,109
 40820 CINCU,10-14 ani, Feminin, Brasov, Anul 2002, Numar persoane,112
 40820 CINCU,10-14 ani, Feminin, Brasov, Anul 2003, Numar persoane,96
 40820 CINCU,10-14 ani, Feminin, Brasov, Anul 2004, Numar persoane,86
 40820 CINCU,15-19 ani, Masculin, Brasov, Anul 1992, Numar persoane,73
 40820 CINCU,15-19 ani, Masculin, Brasov, Anul 1993, Numar persoane,72
 40820 CINCU,15-19 ani, Masculin, Brasov, Anul 1994, Numar persoane,82
 40820 CINCU,15-19 ani, Masculin, Brasov, Anul 1995, Numar persoane,77
 40820 CINCU,15-19 ani, Masculin, Brasov, Anul 1996, Numar persoane,80
 40820 CINCU,15-19 ani, Masculin, Brasov, Anul 1997, Numar persoane,83
 40820 CINCU,15-19 ani, Masculin, Brasov, Anul 1998, Numar persoane,82
 40820 CINCU,15-19 ani, Masculin, Brasov, Anul 1999, Numar persoane,74
 40820 CINCU,15-19 ani, Masculin, Brasov, Anul 2000, Numar persoane,79
 40820 CINCU,15-19 ani, Masculin, Brasov, Anul 2001, Numar persoane,73
 40820 CINCU,15-19 ani, Masculin, Brasov, Anul 2002, Numar persoane,84
 40820 CINCU,15-19 ani, Masculin, Brasov, Anul 2003, Numar persoane,94
 40820 CINCU,15-19 ani, Masculin, Brasov, Anul 2004, Numar persoane,110
 40820 CINCU,15-19 ani, Feminin, Brasov, Anul 1992, Numar persoane,74
 40820 CINCU,15-19 ani, Feminin, Brasov, Anul 1993, Numar persoane,74
 40820 CINCU,15-19 ani, Feminin, Brasov, Anul 1994, Numar persoane,69
 40820 CINCU,15-19 ani, Feminin, Brasov, Anul 1995, Numar persoane,73
 40820 CINCU,15-19 ani, Feminin, Brasov, Anul 1996, Numar persoane,63
 40820 CINCU,15-19 ani, Feminin, Brasov, Anul 1997, Numar persoane,74
 40820 CINCU,15-19 ani, Feminin, Brasov, Anul 1998, Numar persoane,82
 40820 CINCU,15-19 ani, Feminin, Brasov, Anul 1999, Numar persoane,85
 40820 CINCU,15-19 ani, Feminin, Brasov, Anul 2000, Numar persoane,78
 40820 CINCU,15-19 ani, Feminin, Brasov, Anul 2001, Numar persoane,81
 40820 CINCU,15-19 ani, Feminin, Brasov, Anul 2002, Numar persoane,76
 40820 CINCU,15-19 ani, Feminin, Brasov, Anul 2003, Numar persoane,90
 40820 CINCU,15-19 ani, Feminin, Brasov, Anul 2004, Numar persoane,103
 40820 CINCU,20-24 ani, Masculin, Brasov, Anul 1992, Numar persoane,90
 40820 CINCU,20-24 ani, Masculin, Brasov, Anul 1993, Numar persoane,101
 40820 CINCU,20-24 ani, Masculin, Brasov, Anul 1994, Numar persoane,86
 40820 CINCU,20-24 ani, Masculin, Brasov, Anul 1995, Numar persoane,89
 40820 CINCU,20-24 ani, Masculin, Brasov, Anul 1996, Numar persoane,75
 40820 CINCU,20-24 ani, Masculin, Brasov, Anul 1997, Numar persoane,73
 40820 CINCU,20-24 ani, Masculin, Brasov, Anul 1998, Numar persoane,73
 40820 CINCU,20-24 ani, Masculin, Brasov, Anul 1999, Numar persoane,86
 40820 CINCU,20-24 ani, Masculin, Brasov, Anul 2000, Numar persoane,75
 40820 CINCU,20-24 ani, Masculin, Brasov, Anul 2001, Numar persoane,81
 40820 CINCU,20-24 ani, Masculin, Brasov, Anul 2002, Numar persoane,84
 40820 CINCU,20-24 ani, Masculin, Brasov, Anul 2003, Numar persoane,81
 40820 CINCU,20-24 ani, Masculin, Brasov, Anul 2004, Numar persoane,76
 40820 CINCU,20-24 ani, Feminin, Brasov, Anul 1992, Numar persoane,72
 40820 CINCU,20-24 ani, Feminin, Brasov, Anul 1993, Numar persoane,64
 40820 CINCU,20-24 ani, Feminin, Brasov, Anul 1994, Numar persoane,59
 40820 CINCU,20-24 ani, Feminin, Brasov, Anul 1995, Numar persoane,61
 40820 CINCU,20-24 ani, Feminin, Brasov, Anul 1996, Numar persoane,71
 40820 CINCU,20-24 ani, Feminin, Brasov, Anul 1997, Numar persoane,69
 40820 CINCU,20-24 ani, Feminin, Brasov, Anul 1998, Numar persoane,71
 40820 CINCU,20-24 ani, Feminin, Brasov, Anul 1999, Numar persoane,72
 40820 CINCU,20-24 ani, Feminin, Brasov, Anul 2000, Numar persoane,79
