 Localitati ,Varste si grupe de varsta, Sexe, Judete, Ani, UM: Numar persoane, Valoare
 41033 HALCHIU,0- 4 ani, Masculin, Brasov, Anul 1992, Numar persoane,251
 41033 HALCHIU,0- 4 ani, Masculin, Brasov, Anul 1993, Numar persoane,235
 41033 HALCHIU,0- 4 ani, Masculin, Brasov, Anul 1994, Numar persoane,236
 41033 HALCHIU,0- 4 ani, Masculin, Brasov, Anul 1995, Numar persoane,221
 41033 HALCHIU,0- 4 ani, Masculin, Brasov, Anul 1996, Numar persoane,200
 41033 HALCHIU,0- 4 ani, Masculin, Brasov, Anul 1997, Numar persoane,200
 41033 HALCHIU,0- 4 ani, Masculin, Brasov, Anul 1998, Numar persoane,218
 41033 HALCHIU,0- 4 ani, Masculin, Brasov, Anul 1999, Numar persoane,210
 41033 HALCHIU,0- 4 ani, Masculin, Brasov, Anul 2000, Numar persoane,236
 41033 HALCHIU,0- 4 ani, Masculin, Brasov, Anul 2001, Numar persoane,239
 41033 HALCHIU,0- 4 ani, Masculin, Brasov, Anul 2002, Numar persoane,247
 41033 HALCHIU,0- 4 ani, Masculin, Brasov, Anul 2003, Numar persoane,138
 41033 HALCHIU,0- 4 ani, Masculin, Brasov, Anul 2004, Numar persoane,135
 41033 HALCHIU,0- 4 ani, Feminin, Brasov, Anul 1992, Numar persoane,242
 41033 HALCHIU,0- 4 ani, Feminin, Brasov, Anul 1993, Numar persoane,237
 41033 HALCHIU,0- 4 ani, Feminin, Brasov, Anul 1994, Numar persoane,233
 41033 HALCHIU,0- 4 ani, Feminin, Brasov, Anul 1995, Numar persoane,211
 41033 HALCHIU,0- 4 ani, Feminin, Brasov, Anul 1996, Numar persoane,216
 41033 HALCHIU,0- 4 ani, Feminin, Brasov, Anul 1997, Numar persoane,202
 41033 HALCHIU,0- 4 ani, Feminin, Brasov, Anul 1998, Numar persoane,199
 41033 HALCHIU,0- 4 ani, Feminin, Brasov, Anul 1999, Numar persoane,196
 41033 HALCHIU,0- 4 ani, Feminin, Brasov, Anul 2000, Numar persoane,213
 41033 HALCHIU,0- 4 ani, Feminin, Brasov, Anul 2001, Numar persoane,219
 41033 HALCHIU,0- 4 ani, Feminin, Brasov, Anul 2002, Numar persoane,240
 41033 HALCHIU,0- 4 ani, Feminin, Brasov, Anul 2003, Numar persoane,117
 41033 HALCHIU,0- 4 ani, Feminin, Brasov, Anul 2004, Numar persoane,125
 41033 HALCHIU,5- 9 ani, Masculin, Brasov, Anul 1992, Numar persoane,227
