 Localitati ,Varste si grupe de varsta, Sexe, Judete, Ani, UM: Numar persoane, Valoare
 41113 HARSENI,0- 4 ani, Masculin, Brasov, Anul 1992, Numar persoane,91
 41113 HARSENI,0- 4 ani, Masculin, Brasov, Anul 1993, Numar persoane,82
 41113 HARSENI,0- 4 ani, Masculin, Brasov, Anul 1994, Numar persoane,62
 41113 HARSENI,0- 4 ani, Masculin, Brasov, Anul 1995, Numar persoane,54
 41113 HARSENI,0- 4 ani, Masculin, Brasov, Anul 1996, Numar persoane,57
 41113 HARSENI,0- 4 ani, Masculin, Brasov, Anul 1997, Numar persoane,45
 41113 HARSENI,0- 4 ani, Masculin, Brasov, Anul 1998, Numar persoane,48
 41113 HARSENI,0- 4 ani, Masculin, Brasov, Anul 1999, Numar persoane,49
 41113 HARSENI,0- 4 ani, Masculin, Brasov, Anul 2000, Numar persoane,41
 41113 HARSENI,0- 4 ani, Masculin, Brasov, Anul 2001, Numar persoane,35
 41113 HARSENI,0- 4 ani, Masculin, Brasov, Anul 2002, Numar persoane,53
 41113 HARSENI,0- 4 ani, Masculin, Brasov, Anul 2003, Numar persoane,53
 41113 HARSENI,0- 4 ani, Masculin, Brasov, Anul 2004, Numar persoane,68
 41113 HARSENI,0- 4 ani, Feminin, Brasov, Anul 1992, Numar persoane,73
 41113 HARSENI,0- 4 ani, Feminin, Brasov, Anul 1993, Numar persoane,58
 41113 HARSENI,0- 4 ani, Feminin, Brasov, Anul 1994, Numar persoane,62
 41113 HARSENI,0- 4 ani, Feminin, Brasov, Anul 1995, Numar persoane,63
 41113 HARSENI,0- 4 ani, Feminin, Brasov, Anul 1996, Numar persoane,55
 41113 HARSENI,0- 4 ani, Feminin, Brasov, Anul 1997, Numar persoane,44
 41113 HARSENI,0- 4 ani, Feminin, Brasov, Anul 1998, Numar persoane,49
 41113 HARSENI,0- 4 ani, Feminin, Brasov, Anul 1999, Numar persoane,47
 41113 HARSENI,0- 4 ani, Feminin, Brasov, Anul 2000, Numar persoane,48
 41113 HARSENI,0- 4 ani, Feminin, Brasov, Anul 2001, Numar persoane,49
 41113 HARSENI,0- 4 ani, Feminin, Brasov, Anul 2002, Numar persoane,51
 41113 HARSENI,0- 4 ani, Feminin, Brasov, Anul 2003, Numar persoane,57
 41113 HARSENI,0- 4 ani, Feminin, Brasov, Anul 2004, Numar persoane,66
 41113 HARSENI,5- 9 ani, Masculin, Brasov, Anul 1992, Numar persoane,76
 41113 HARSENI,5- 9 ani, Masculin, Brasov, Anul 1993, Numar persoane,75
 41113 HARSENI,5- 9 ani, Masculin, Brasov, Anul 1994, Numar persoane,79
 41113 HARSENI,5- 9 ani, Masculin, Brasov, Anul 1995, Numar persoane,90
 41113 HARSENI,5- 9 ani, Masculin, Brasov, Anul 1996, Numar persoane,81
 41113 HARSENI,5- 9 ani, Masculin, Brasov, Anul 1997, Numar persoane,77
 41113 HARSENI,5- 9 ani, Masculin, Brasov, Anul 1998, Numar persoane,70
 41113 HARSENI,5- 9 ani, Masculin, Brasov, Anul 1999, Numar persoane,56
 41113 HARSENI,5- 9 ani, Masculin, Brasov, Anul 2000, Numar persoane,50
 41113 HARSENI,5- 9 ani, Masculin, Brasov, Anul 2001, Numar persoane,52
 41113 HARSENI,5- 9 ani, Masculin, Brasov, Anul 2002, Numar persoane,40
 41113 HARSENI,5- 9 ani, Masculin, Brasov, Anul 2003, Numar persoane,42
 41113 HARSENI,5- 9 ani, Masculin, Brasov, Anul 2004, Numar persoane,43
 41113 HARSENI,5- 9 ani, Feminin, Brasov, Anul 1992, Numar persoane,84
 41113 HARSENI,5- 9 ani, Feminin, Brasov, Anul 1993, Numar persoane,88
 41113 HARSENI,5- 9 ani, Feminin, Brasov, Anul 1994, Numar persoane,85
 41113 HARSENI,5- 9 ani, Feminin, Brasov, Anul 1995, Numar persoane,74
 41113 HARSENI,5- 9 ani, Feminin, Brasov, Anul 1996, Numar persoane,79
