 Localitati ,Varste si grupe de varsta, Sexe, Judete, Ani, UM: Numar persoane, Valoare
 41284 JIBERT,0- 4 ani, Masculin, Brasov, Anul 1992, Numar persoane,118
 41284 JIBERT,0- 4 ani, Masculin, Brasov, Anul 1993, Numar persoane,98
 41284 JIBERT,0- 4 ani, Masculin, Brasov, Anul 1994, Numar persoane,85
 41284 JIBERT,0- 4 ani, Masculin, Brasov, Anul 1995, Numar persoane,73
 41284 JIBERT,0- 4 ani, Masculin, Brasov, Anul 1996, Numar persoane,72
 41284 JIBERT,0- 4 ani, Masculin, Brasov, Anul 1997, Numar persoane,70
 41284 JIBERT,0- 4 ani, Masculin, Brasov, Anul 1998, Numar persoane,85
 41284 JIBERT,0- 4 ani, Masculin, Brasov, Anul 1999, Numar persoane,90
 41284 JIBERT,0- 4 ani, Masculin, Brasov, Anul 2000, Numar persoane,93
 41284 JIBERT,0- 4 ani, Masculin, Brasov, Anul 2001, Numar persoane,96
 41284 JIBERT,0- 4 ani, Masculin, Brasov, Anul 2002, Numar persoane,104
 41284 JIBERT,0- 4 ani, Masculin, Brasov, Anul 2003, Numar persoane,93
 41284 JIBERT,0- 4 ani, Masculin, Brasov, Anul 2004, Numar persoane,94
 41284 JIBERT,0- 4 ani, Feminin, Brasov, Anul 1992, Numar persoane,90
 41284 JIBERT,0- 4 ani, Feminin, Brasov, Anul 1993, Numar persoane,93
 41284 JIBERT,0- 4 ani, Feminin, Brasov, Anul 1994, Numar persoane,86
 41284 JIBERT,0- 4 ani, Feminin, Brasov, Anul 1995, Numar persoane,86
 41284 JIBERT,0- 4 ani, Feminin, Brasov, Anul 1996, Numar persoane,91
 41284 JIBERT,0- 4 ani, Feminin, Brasov, Anul 1997, Numar persoane,93
 41284 JIBERT,0- 4 ani, Feminin, Brasov, Anul 1998, Numar persoane,94
 41284 JIBERT,0- 4 ani, Feminin, Brasov, Anul 1999, Numar persoane,95
 41284 JIBERT,0- 4 ani, Feminin, Brasov, Anul 2000, Numar persoane,96
 41284 JIBERT,0- 4 ani, Feminin, Brasov, Anul 2001, Numar persoane,91
 41284 JIBERT,0- 4 ani, Feminin, Brasov, Anul 2002, Numar persoane,92
 41284 JIBERT,0- 4 ani, Feminin, Brasov, Anul 2003, Numar persoane,88
 41284 JIBERT,0- 4 ani, Feminin, Brasov, Anul 2004, Numar persoane,81
 41284 JIBERT,5- 9 ani, Masculin, Brasov, Anul 1992, Numar persoane,72
 41284 JIBERT,5- 9 ani, Masculin, Brasov, Anul 1993, Numar persoane,86
 41284 JIBERT,5- 9 ani, Masculin, Brasov, Anul 1994, Numar persoane,100
 41284 JIBERT,5- 9 ani, Masculin, Brasov, Anul 1995, Numar persoane,106
 41284 JIBERT,5- 9 ani, Masculin, Brasov, Anul 1996, Numar persoane,117
 41284 JIBERT,5- 9 ani, Masculin, Brasov, Anul 1997, Numar persoane,121
 41284 JIBERT,5- 9 ani, Masculin, Brasov, Anul 1998, Numar persoane,103
 41284 JIBERT,5- 9 ani, Masculin, Brasov, Anul 1999, Numar persoane,91
 41284 JIBERT,5- 9 ani, Masculin, Brasov, Anul 2000, Numar persoane,82
 41284 JIBERT,5- 9 ani, Masculin, Brasov, Anul 2001, Numar persoane,79
 41284 JIBERT,5- 9 ani, Masculin, Brasov, Anul 2002, Numar persoane,74
 41284 JIBERT,5- 9 ani, Masculin, Brasov, Anul 2003, Numar persoane,85
 41284 JIBERT,5- 9 ani, Masculin, Brasov, Anul 2004, Numar persoane,87
 41284 JIBERT,5- 9 ani, Feminin, Brasov, Anul 1992, Numar persoane,80
 41284 JIBERT,5- 9 ani, Feminin, Brasov, Anul 1993, Numar persoane,84
 41284 JIBERT,5- 9 ani, Feminin, Brasov, Anul 1994, Numar persoane,93
 41284 JIBERT,5- 9 ani, Feminin, Brasov, Anul 1995, Numar persoane,97
 41284 JIBERT,5- 9 ani, Feminin, Brasov, Anul 1996, Numar persoane,95
 41284 JIBERT,5- 9 ani, Feminin, Brasov, Anul 1997, Numar persoane,95
 41284 JIBERT,5- 9 ani, Feminin, Brasov, Anul 1998, Numar persoane,101
 41284 JIBERT,5- 9 ani, Feminin, Brasov, Anul 1999, Numar persoane,93
 41284 JIBERT,5- 9 ani, Feminin, Brasov, Anul 2000, Numar persoane,93
 41284 JIBERT,5- 9 ani, Feminin, Brasov, Anul 2001, Numar persoane,99
 41284 JIBERT,5- 9 ani, Feminin, Brasov, Anul 2002, Numar persoane,100
 41284 JIBERT,5- 9 ani, Feminin, Brasov, Anul 2003, Numar persoane,100
 41284 JIBERT,5- 9 ani, Feminin, Brasov, Anul 2004, Numar persoane,105
 41284 JIBERT,10-14 ani, Masculin, Brasov, Anul 1992, Numar persoane,98
 41284 JIBERT,10-14 ani, Masculin, Brasov, Anul 1993, Numar persoane,93
 41284 JIBERT,10-14 ani, Masculin, Brasov, Anul 1994, Numar persoane,92
 41284 JIBERT,10-14 ani, Masculin, Brasov, Anul 1995, Numar persoane,88
 41284 JIBERT,10-14 ani, Masculin, Brasov, Anul 1996, Numar persoane,72
 41284 JIBERT,10-14 ani, Masculin, Brasov, Anul 1997, Numar persoane,71
 41284 JIBERT,10-14 ani, Masculin, Brasov, Anul 1998, Numar persoane,91
