 Localitati ,Varste si grupe de varsta, Sexe, Judete, Ani, UM: Numar persoane, Valoare
 41346 LISA,0- 4 ani, Masculin, Brasov, Anul 1992, Numar persoane,89
 41346 LISA,0- 4 ani, Masculin, Brasov, Anul 1993, Numar persoane,84
 41346 LISA,0- 4 ani, Masculin, Brasov, Anul 1994, Numar persoane,75
 41346 LISA,0- 4 ani, Masculin, Brasov, Anul 1995, Numar persoane,71
 41346 LISA,0- 4 ani, Masculin, Brasov, Anul 1996, Numar persoane,64
 41346 LISA,0- 4 ani, Masculin, Brasov, Anul 1997, Numar persoane,67
 41346 LISA,0- 4 ani, Masculin, Brasov, Anul 1998, Numar persoane,58
 41346 LISA,0- 4 ani, Masculin, Brasov, Anul 1999, Numar persoane,54
 41346 LISA,0- 4 ani, Masculin, Brasov, Anul 2000, Numar persoane,46
 41346 LISA,0- 4 ani, Masculin, Brasov, Anul 2001, Numar persoane,54
 41346 LISA,0- 4 ani, Masculin, Brasov, Anul 2002, Numar persoane,48
 41346 LISA,0- 4 ani, Masculin, Brasov, Anul 2003, Numar persoane,57
 41346 LISA,0- 4 ani, Masculin, Brasov, Anul 2004, Numar persoane,60
 41346 LISA,0- 4 ani, Feminin, Brasov, Anul 1992, Numar persoane,80
 41346 LISA,0- 4 ani, Feminin, Brasov, Anul 1993, Numar persoane,76
 41346 LISA,0- 4 ani, Feminin, Brasov, Anul 1994, Numar persoane,67
 41346 LISA,0- 4 ani, Feminin, Brasov, Anul 1995, Numar persoane,59
 41346 LISA,0- 4 ani, Feminin, Brasov, Anul 1996, Numar persoane,48
 41346 LISA,0- 4 ani, Feminin, Brasov, Anul 1997, Numar persoane,56
 41346 LISA,0- 4 ani, Feminin, Brasov, Anul 1998, Numar persoane,49
 41346 LISA,0- 4 ani, Feminin, Brasov, Anul 1999, Numar persoane,45
 41346 LISA,0- 4 ani, Feminin, Brasov, Anul 2000, Numar persoane,46
 41346 LISA,0- 4 ani, Feminin, Brasov, Anul 2001, Numar persoane,49
 41346 LISA,0- 4 ani, Feminin, Brasov, Anul 2002, Numar persoane,41
 41346 LISA,0- 4 ani, Feminin, Brasov, Anul 2003, Numar persoane,45
 41346 LISA,0- 4 ani, Feminin, Brasov, Anul 2004, Numar persoane,54
 41346 LISA,5- 9 ani, Masculin, Brasov, Anul 1992, Numar persoane,59
 41346 LISA,5- 9 ani, Masculin, Brasov, Anul 1993, Numar persoane,62
 41346 LISA,5- 9 ani, Masculin, Brasov, Anul 1994, Numar persoane,77
 41346 LISA,5- 9 ani, Masculin, Brasov, Anul 1995, Numar persoane,79
 41346 LISA,5- 9 ani, Masculin, Brasov, Anul 1996, Numar persoane,82
 41346 LISA,5- 9 ani, Masculin, Brasov, Anul 1997, Numar persoane,84
 41346 LISA,5- 9 ani, Masculin, Brasov, Anul 1998, Numar persoane,80
 41346 LISA,5- 9 ani, Masculin, Brasov, Anul 1999, Numar persoane,69
 41346 LISA,5- 9 ani, Masculin, Brasov, Anul 2000, Numar persoane,61
 41346 LISA,5- 9 ani, Masculin, Brasov, Anul 2001, Numar persoane,56
 41346 LISA,5- 9 ani, Masculin, Brasov, Anul 2002, Numar persoane,55
 41346 LISA,5- 9 ani, Masculin, Brasov, Anul 2003, Numar persoane,48
 41346 LISA,5- 9 ani, Masculin, Brasov, Anul 2004, Numar persoane,44
 41346 LISA,5- 9 ani, Feminin, Brasov, Anul 1992, Numar persoane,58
 41346 LISA,5- 9 ani, Feminin, Brasov, Anul 1993, Numar persoane,55
 41346 LISA,5- 9 ani, Feminin, Brasov, Anul 1994, Numar persoane,64
 41346 LISA,5- 9 ani, Feminin, Brasov, Anul 1995, Numar persoane,67
 41346 LISA,5- 9 ani, Feminin, Brasov, Anul 1996, Numar persoane,77
 41346 LISA,5- 9 ani, Feminin, Brasov, Anul 1997, Numar persoane,75
 41346 LISA,5- 9 ani, Feminin, Brasov, Anul 1998, Numar persoane,72
 41346 LISA,5- 9 ani, Feminin, Brasov, Anul 1999, Numar persoane,63
 41346 LISA,5- 9 ani, Feminin, Brasov, Anul 2000, Numar persoane,51
 41346 LISA,5- 9 ani, Feminin, Brasov, Anul 2001, Numar persoane,37
 41346 LISA,5- 9 ani, Feminin, Brasov, Anul 2002, Numar persoane,48
 41346 LISA,5- 9 ani, Feminin, Brasov, Anul 2003, Numar persoane,44
 41346 LISA,5- 9 ani, Feminin, Brasov, Anul 2004, Numar persoane,40
 41346 LISA,10-14 ani, Masculin, Brasov, Anul 1992, Numar persoane,79
 41346 LISA,10-14 ani, Masculin, Brasov, Anul 1993, Numar persoane,77
 41346 LISA,10-14 ani, Masculin, Brasov, Anul 1994, Numar persoane,71
 41346 LISA,10-14 ani, Masculin, Brasov, Anul 1995, Numar persoane,60
 41346 LISA,10-14 ani, Masculin, Brasov, Anul 1996, Numar persoane,59
 41346 LISA,10-14 ani, Masculin, Brasov, Anul 1997, Numar persoane,58
 41346 LISA,10-14 ani, Masculin, Brasov, Anul 1998, Numar persoane,60
 41346 LISA,10-14 ani, Masculin, Brasov, Anul 1999, Numar persoane,73
 41346 LISA,10-14 ani, Masculin, Brasov, Anul 2000, Numar persoane,73
 41346 LISA,10-14 ani, Masculin, Brasov, Anul 2001, Numar persoane,72
 41346 LISA,10-14 ani, Masculin, Brasov, Anul 2002, Numar persoane,74
 41346 LISA,10-14 ani, Masculin, Brasov, Anul 2003, Numar persoane,71
 41346 LISA,10-14 ani, Masculin, Brasov, Anul 2004, Numar persoane,58
 41346 LISA,10-14 ani, Feminin, Brasov, Anul 1992, Numar persoane,78
 41346 LISA,10-14 ani, Feminin, Brasov, Anul 1993, Numar persoane,69
 41346 LISA,10-14 ani, Feminin, Brasov, Anul 1994, Numar persoane,68
 41346 LISA,10-14 ani, Feminin, Brasov, Anul 1995, Numar persoane,65
 41346 LISA,10-14 ani, Feminin, Brasov, Anul 1996, Numar persoane,53
 41346 LISA,10-14 ani, Feminin, Brasov, Anul 1997, Numar persoane,52
 41346 LISA,10-14 ani, Feminin, Brasov, Anul 1998, Numar persoane,51
 41346 LISA,10-14 ani, Feminin, Brasov, Anul 1999, Numar persoane,61
 41346 LISA,10-14 ani, Feminin, Brasov, Anul 2000, Numar persoane,63
 41346 LISA,10-14 ani, Feminin, Brasov, Anul 2001, Numar persoane,73
 41346 LISA,10-14 ani, Feminin, Brasov, Anul 2002, Numar persoane,66
 41346 LISA,10-14 ani, Feminin, Brasov, Anul 2003, Numar persoane,66
 41346 LISA,10-14 ani, Feminin, Brasov, Anul 2004, Numar persoane,60
 41346 LISA,15-19 ani, Masculin, Brasov, Anul 1992, Numar persoane,52
 41346 LISA,15-19 ani, Masculin, Brasov, Anul 1993, Numar persoane,49
 41346 LISA,15-19 ani, Masculin, Brasov, Anul 1994, Numar persoane,58
 41346 LISA,15-19 ani, Masculin, Brasov, Anul 1995, Numar persoane,70
 41346 LISA,15-19 ani, Masculin, Brasov, Anul 1996, Numar persoane,78
 41346 LISA,15-19 ani, Masculin, Brasov, Anul 1997, Numar persoane,78
 41346 LISA,15-19 ani, Masculin, Brasov, Anul 1998, Numar persoane,74
 41346 LISA,15-19 ani, Masculin, Brasov, Anul 1999, Numar persoane,69
 41346 LISA,15-19 ani, Masculin, Brasov, Anul 2000, Numar persoane,61
 41346 LISA,15-19 ani, Masculin, Brasov, Anul 2001, Numar persoane,57
 41346 LISA,15-19 ani, Masculin, Brasov, Anul 2002, Numar persoane,56
 41346 LISA,15-19 ani, Masculin, Brasov, Anul 2003, Numar persoane,53
 41346 LISA,15-19 ani, Masculin, Brasov, Anul 2004, Numar persoane,67
 41346 LISA,15-19 ani, Feminin, Brasov, Anul 1992, Numar persoane,81
 41346 LISA,15-19 ani, Feminin, Brasov, Anul 1993, Numar persoane,77
 41346 LISA,15-19 ani, Feminin, Brasov, Anul 1994, Numar persoane,73
 41346 LISA,15-19 ani, Feminin, Brasov, Anul 1995, Numar persoane,72
 41346 LISA,15-19 ani, Feminin, Brasov, Anul 1996, Numar persoane,76
 41346 LISA,15-19 ani, Feminin, Brasov, Anul 1997, Numar persoane,79
 41346 LISA,15-19 ani, Feminin, Brasov, Anul 1998, Numar persoane,65
 41346 LISA,15-19 ani, Feminin, Brasov, Anul 1999, Numar persoane,63
 41346 LISA,15-19 ani, Feminin, Brasov, Anul 2000, Numar persoane,60
 41346 LISA,15-19 ani, Feminin, Brasov, Anul 2001, Numar persoane,50
 41346 LISA,15-19 ani, Feminin, Brasov, Anul 2002, Numar persoane,52
 41346 LISA,15-19 ani, Feminin, Brasov, Anul 2003, Numar persoane,50
 41346 LISA,15-19 ani, Feminin, Brasov, Anul 2004, Numar persoane,56
 41346 LISA,20-24 ani, Masculin, Brasov, Anul 1992, Numar persoane,106
 41346 LISA,20-24 ani, Masculin, Brasov, Anul 1993, Numar persoane,87
 41346 LISA,20-24 ani, Masculin, Brasov, Anul 1994, Numar persoane,73
 41346 LISA,20-24 ani, Masculin, Brasov, Anul 1995, Numar persoane,63
 41346 LISA,20-24 ani, Masculin, Brasov, Anul 1996, Numar persoane,56
 41346 LISA,20-24 ani, Masculin, Brasov, Anul 1997, Numar persoane,48
 41346 LISA,20-24 ani, Masculin, Brasov, Anul 1998, Numar persoane,48
 41346 LISA,20-24 ani, Masculin, Brasov, Anul 1999, Numar persoane,56
 41346 LISA,20-24 ani, Masculin, Brasov, Anul 2000, Numar persoane,71
 41346 LISA,20-24 ani, Masculin, Brasov, Anul 2001, Numar persoane,77
 41346 LISA,20-24 ani, Masculin, Brasov, Anul 2002, Numar persoane,78
 41346 LISA,20-24 ani, Masculin, Brasov, Anul 2003, Numar persoane,77
 41346 LISA,20-24 ani, Masculin, Brasov, Anul 2004, Numar persoane,71
 41346 LISA,20-24 ani, Feminin, Brasov, Anul 1992, Numar persoane,61
 41346 LISA,20-24 ani, Feminin, Brasov, Anul 1993, Numar persoane,71
 41346 LISA,20-24 ani, Feminin, Brasov, Anul 1994, Numar persoane,72
 41346 LISA,20-24 ani, Feminin, Brasov, Anul 1995, Numar persoane,71
 41346 LISA,20-24 ani, Feminin, Brasov, Anul 1996, Numar persoane,78
 41346 LISA,20-24 ani, Feminin, Brasov, Anul 1997, Numar persoane,76
 41346 LISA,20-24 ani, Feminin, Brasov, Anul 1998, Numar persoane,73
 41346 LISA,20-24 ani, Feminin, Brasov, Anul 1999, Numar persoane,67
 41346 LISA,20-24 ani, Feminin, Brasov, Anul 2000, Numar persoane,64
 41346 LISA,20-24 ani, Feminin, Brasov, Anul 2001, Numar persoane,62
 41346 LISA,20-24 ani, Feminin, Brasov, Anul 2002, Numar persoane,68
 41346 LISA,20-24 ani, Feminin, Brasov, Anul 2003, Numar persoane,60
 41346 LISA,20-24 ani, Feminin, Brasov, Anul 2004, Numar persoane,55
 41346 LISA,25-29 ani, Masculin, Brasov, Anul 1992, Numar persoane,57
 41346 LISA,25-29 ani, Masculin, Brasov, Anul 1993, Numar persoane,74
 41346 LISA,25-29 ani, Masculin, Brasov, Anul 1994, Numar persoane,79
 41346 LISA,25-29 ani, Masculin, Brasov, Anul 1995, Numar persoane,85
 41346 LISA,25-29 ani, Masculin, Brasov, Anul 1996, Numar persoane,82
 41346 LISA,25-29 ani, Masculin, Brasov, Anul 1997, Numar persoane,89
 41346 LISA,25-29 ani, Masculin, Brasov, Anul 1998, Numar persoane,75
 41346 LISA,25-29 ani, Masculin, Brasov, Anul 1999, Numar persoane,66
 41346 LISA,25-29 ani, Masculin, Brasov, Anul 2000, Numar persoane,56
 41346 LISA,25-29 ani, Masculin, Brasov, Anul 2001, Numar persoane,56
 41346 LISA,25-29 ani, Masculin, Brasov, Anul 2002, Numar persoane,48
 41346 LISA,25-29 ani, Masculin, Brasov, Anul 2003, Numar persoane,49
 41346 LISA,25-29 ani, Masculin, Brasov, Anul 2004, Numar persoane,55
 41346 LISA,25-29 ani, Feminin, Brasov, Anul 1992, Numar persoane,41
 41346 LISA,25-29 ani, Feminin, Brasov, Anul 1993, Numar persoane,40
 41346 LISA,25-29 ani, Feminin, Brasov, Anul 1994, Numar persoane,47
 41346 LISA,25-29 ani, Feminin, Brasov, Anul 1995, Numar persoane,51
 41346 LISA,25-29 ani, Feminin, Brasov, Anul 1996, Numar persoane,51
 41346 LISA,25-29 ani, Feminin, Brasov, Anul 1997, Numar persoane,52
 41346 LISA,25-29 ani, Feminin, Brasov, Anul 1998, Numar persoane,62
 41346 LISA,25-29 ani, Feminin, Brasov, Anul 1999, Numar persoane,61
 41346 LISA,25-29 ani, Feminin, Brasov, Anul 2000, Numar persoane,63
 41346 LISA,25-29 ani, Feminin, Brasov, Anul 2001, Numar persoane,64
 41346 LISA,25-29 ani, Feminin, Brasov, Anul 2002, Numar persoane,59
 41346 LISA,25-29 ani, Feminin, Brasov, Anul 2003, Numar persoane,56
 41346 LISA,25-29 ani, Feminin, Brasov, Anul 2004, Numar persoane,57
 41346 LISA,30-34 ani, Masculin, Brasov, Anul 1992, Numar persoane,44
 41346 LISA,30-34 ani, Masculin, Brasov, Anul 1993, Numar persoane,43
 41346 LISA,30-34 ani, Masculin, Brasov, Anul 1994, Numar persoane,46
 41346 LISA,30-34 ani, Masculin, Brasov, Anul 1995, Numar persoane,44
 41346 LISA,30-34 ani, Masculin, Brasov, Anul 1996, Numar persoane,49
 41346 LISA,30-34 ani, Masculin, Brasov, Anul 1997, Numar persoane,49
 41346 LISA,30-34 ani, Masculin, Brasov, Anul 1998, Numar persoane,61
 41346 LISA,30-34 ani, Masculin, Brasov, Anul 1999, Numar persoane,68
 41346 LISA,30-34 ani, Masculin, Brasov, Anul 2000, Numar persoane,75
 41346 LISA,30-34 ani, Masculin, Brasov, Anul 2001, Numar persoane,78
 41346 LISA,30-34 ani, Masculin, Brasov, Anul 2002, Numar persoane,84
 41346 LISA,30-34 ani, Masculin, Brasov, Anul 2003, Numar persoane,72
 41346 LISA,30-34 ani, Masculin, Brasov, Anul 2004, Numar persoane,62
 41346 LISA,30-34 ani, Feminin, Brasov, Anul 1992, Numar persoane,39
 41346 LISA,30-34 ani, Feminin, Brasov, Anul 1993, Numar persoane,39
 41346 LISA,30-34 ani, Feminin, Brasov, Anul 1994, Numar persoane,34
 41346 LISA,30-34 ani, Feminin, Brasov, Anul 1995, Numar persoane,38
 41346 LISA,30-34 ani, Feminin, Brasov, Anul 1996, Numar persoane,40
 41346 LISA,30-34 ani, Feminin, Brasov, Anul 1997, Numar persoane,33
 41346 LISA,30-34 ani, Feminin, Brasov, Anul 1998, Numar persoane,33
 41346 LISA,30-34 ani, Feminin, Brasov, Anul 1999, Numar persoane,39
 41346 LISA,30-34 ani, Feminin, Brasov, Anul 2000, Numar persoane,43
 41346 LISA,30-34 ani, Feminin, Brasov, Anul 2001, Numar persoane,48
 41346 LISA,30-34 ani, Feminin, Brasov, Anul 2002, Numar persoane,51
 41346 LISA,30-34 ani, Feminin, Brasov, Anul 2003, Numar persoane,59
 41346 LISA,30-34 ani, Feminin, Brasov, Anul 2004, Numar persoane,54
 41346 LISA,35-39 ani, Masculin, Brasov, Anul 1992, Numar persoane,61
 41346 LISA,35-39 ani, Masculin, Brasov, Anul 1993, Numar persoane,61
 41346 LISA,35-39 ani, Masculin, Brasov, Anul 1994, Numar persoane,59
 41346 LISA,35-39 ani, Masculin, Brasov, Anul 1995, Numar persoane,53
 41346 LISA,35-39 ani, Masculin, Brasov, Anul 1996, Numar persoane,41
 41346 LISA,35-39 ani, Masculin, Brasov, Anul 1997, Numar persoane,38
 41346 LISA,35-39 ani, Masculin, Brasov, Anul 1998, Numar persoane,36
 41346 LISA,35-39 ani, Masculin, Brasov, Anul 1999, Numar persoane,39
 41346 LISA,35-39 ani, Masculin, Brasov, Anul 2000, Numar persoane,44
 41346 LISA,35-39 ani, Masculin, Brasov, Anul 2001, Numar persoane,46
 41346 LISA,35-39 ani, Masculin, Brasov, Anul 2002, Numar persoane,48
 41346 LISA,35-39 ani, Masculin, Brasov, Anul 2003, Numar persoane,60
 41346 LISA,35-39 ani, Masculin, Brasov, Anul 2004, Numar persoane,64
 41346 LISA,35-39 ani, Feminin, Brasov, Anul 1992, Numar persoane,42
 41346 LISA,35-39 ani, Feminin, Brasov, Anul 1993, Numar persoane,37
 41346 LISA,35-39 ani, Feminin, Brasov, Anul 1994, Numar persoane,37
 41346 LISA,35-39 ani, Feminin, Brasov, Anul 1995, Numar persoane,33
 41346 LISA,35-39 ani, Feminin, Brasov, Anul 1996, Numar persoane,37
