 Localitati ,Varste si grupe de varsta, Sexe, Judete, Ani, UM: Numar persoane, Valoare
 41417 MANDRA,0- 4 ani, Masculin, Brasov, Anul 1992, Numar persoane,55
 41417 MANDRA,0- 4 ani, Masculin, Brasov, Anul 1993, Numar persoane,57
 41417 MANDRA,0- 4 ani, Masculin, Brasov, Anul 1994, Numar persoane,63
 41417 MANDRA,0- 4 ani, Masculin, Brasov, Anul 1995, Numar persoane,60
 41417 MANDRA,0- 4 ani, Masculin, Brasov, Anul 1996, Numar persoane,59
 41417 MANDRA,0- 4 ani, Masculin, Brasov, Anul 1997, Numar persoane,58
 41417 MANDRA,0- 4 ani, Masculin, Brasov, Anul 1998, Numar persoane,67
 41417 MANDRA,0- 4 ani, Masculin, Brasov, Anul 1999, Numar persoane,56
 41417 MANDRA,0- 4 ani, Masculin, Brasov, Anul 2000, Numar persoane,55
 41417 MANDRA,0- 4 ani, Masculin, Brasov, Anul 2001, Numar persoane,53
 41417 MANDRA,0- 4 ani, Masculin, Brasov, Anul 2002, Numar persoane,60
 41417 MANDRA,0- 4 ani, Masculin, Brasov, Anul 2003, Numar persoane,56
 41417 MANDRA,0- 4 ani, Masculin, Brasov, Anul 2004, Numar persoane,61
 41417 MANDRA,0- 4 ani, Feminin, Brasov, Anul 1992, Numar persoane,62
 41417 MANDRA,0- 4 ani, Feminin, Brasov, Anul 1993, Numar persoane,60
 41417 MANDRA,0- 4 ani, Feminin, Brasov, Anul 1994, Numar persoane,61
 41417 MANDRA,0- 4 ani, Feminin, Brasov, Anul 1995, Numar persoane,50
 41417 MANDRA,0- 4 ani, Feminin, Brasov, Anul 1996, Numar persoane,50
 41417 MANDRA,0- 4 ani, Feminin, Brasov, Anul 1997, Numar persoane,51
 41417 MANDRA,0- 4 ani, Feminin, Brasov, Anul 1998, Numar persoane,53
 41417 MANDRA,0- 4 ani, Feminin, Brasov, Anul 1999, Numar persoane,41
 41417 MANDRA,0- 4 ani, Feminin, Brasov, Anul 2000, Numar persoane,49
 41417 MANDRA,0- 4 ani, Feminin, Brasov, Anul 2001, Numar persoane,50
 41417 MANDRA,0- 4 ani, Feminin, Brasov, Anul 2002, Numar persoane,56
 41417 MANDRA,0- 4 ani, Feminin, Brasov, Anul 2003, Numar persoane,62
 41417 MANDRA,0- 4 ani, Feminin, Brasov, Anul 2004, Numar persoane,67
 41417 MANDRA,5- 9 ani, Masculin, Brasov, Anul 1992, Numar persoane,60
 41417 MANDRA,5- 9 ani, Masculin, Brasov, Anul 1993, Numar persoane,55
 41417 MANDRA,5- 9 ani, Masculin, Brasov, Anul 1994, Numar persoane,55
 41417 MANDRA,5- 9 ani, Masculin, Brasov, Anul 1995, Numar persoane,62
 41417 MANDRA,5- 9 ani, Masculin, Brasov, Anul 1996, Numar persoane,63
 41417 MANDRA,5- 9 ani, Masculin, Brasov, Anul 1997, Numar persoane,57
 41417 MANDRA,5- 9 ani, Masculin, Brasov, Anul 1998, Numar persoane,60
 41417 MANDRA,5- 9 ani, Masculin, Brasov, Anul 1999, Numar persoane,62
 41417 MANDRA,5- 9 ani, Masculin, Brasov, Anul 2000, Numar persoane,64
 41417 MANDRA,5- 9 ani, Masculin, Brasov, Anul 2001, Numar persoane,67
 41417 MANDRA,5- 9 ani, Masculin, Brasov, Anul 2002, Numar persoane,69
 41417 MANDRA,5- 9 ani, Masculin, Brasov, Anul 2003, Numar persoane,76
 41417 MANDRA,5- 9 ani, Masculin, Brasov, Anul 2004, Numar persoane,69
 41417 MANDRA,5- 9 ani, Feminin, Brasov, Anul 1992, Numar persoane,58
 41417 MANDRA,5- 9 ani, Feminin, Brasov, Anul 1993, Numar persoane,65
 41417 MANDRA,5- 9 ani, Feminin, Brasov, Anul 1994, Numar persoane,73
 41417 MANDRA,5- 9 ani, Feminin, Brasov, Anul 1995, Numar persoane,78
 41417 MANDRA,5- 9 ani, Feminin, Brasov, Anul 1996, Numar persoane,73
 41417 MANDRA,5- 9 ani, Feminin, Brasov, Anul 1997, Numar persoane,68
 41417 MANDRA,5- 9 ani, Feminin, Brasov, Anul 1998, Numar persoane,64
 41417 MANDRA,5- 9 ani, Feminin, Brasov, Anul 1999, Numar persoane,63
 41417 MANDRA,5- 9 ani, Feminin, Brasov, Anul 2000, Numar persoane,55
 41417 MANDRA,5- 9 ani, Feminin, Brasov, Anul 2001, Numar persoane,55
 41417 MANDRA,5- 9 ani, Feminin, Brasov, Anul 2002, Numar persoane,54
 41417 MANDRA,5- 9 ani, Feminin, Brasov, Anul 2003, Numar persoane,51
 41417 MANDRA,5- 9 ani, Feminin, Brasov, Anul 2004, Numar persoane,48
 41417 MANDRA,10-14 ani, Masculin, Brasov, Anul 1992, Numar persoane,58
 41417 MANDRA,10-14 ani, Masculin, Brasov, Anul 1993, Numar persoane,62
 41417 MANDRA,10-14 ani, Masculin, Brasov, Anul 1994, Numar persoane,62
 41417 MANDRA,10-14 ani, Masculin, Brasov, Anul 1995, Numar persoane,60
 41417 MANDRA,10-14 ani, Masculin, Brasov, Anul 1996, Numar persoane,58
 41417 MANDRA,10-14 ani, Masculin, Brasov, Anul 1997, Numar persoane,59
 41417 MANDRA,10-14 ani, Masculin, Brasov, Anul 1998, Numar persoane,55
 41417 MANDRA,10-14 ani, Masculin, Brasov, Anul 1999, Numar persoane,62
 41417 MANDRA,10-14 ani, Masculin, Brasov, Anul 2000, Numar persoane,66
 41417 MANDRA,10-14 ani, Masculin, Brasov, Anul 2001, Numar persoane,68
 41417 MANDRA,10-14 ani, Masculin, Brasov, Anul 2002, Numar persoane,69
 41417 MANDRA,10-14 ani, Masculin, Brasov, Anul 2003, Numar persoane,73
 41417 MANDRA,10-14 ani, Masculin, Brasov, Anul 2004, Numar persoane,67
 41417 MANDRA,10-14 ani, Feminin, Brasov, Anul 1992, Numar persoane,69
 41417 MANDRA,10-14 ani, Feminin, Brasov, Anul 1993, Numar persoane,69
 41417 MANDRA,10-14 ani, Feminin, Brasov, Anul 1994, Numar persoane,66
 41417 MANDRA,10-14 ani, Feminin, Brasov, Anul 1995, Numar persoane,63
 41417 MANDRA,10-14 ani, Feminin, Brasov, Anul 1996, Numar persoane,66
 41417 MANDRA,10-14 ani, Feminin, Brasov, Anul 1997, Numar persoane,67
 41417 MANDRA,10-14 ani, Feminin, Brasov, Anul 1998, Numar persoane,74
 41417 MANDRA,10-14 ani, Feminin, Brasov, Anul 1999, Numar persoane,80
 41417 MANDRA,10-14 ani, Feminin, Brasov, Anul 2000, Numar persoane,87
 41417 MANDRA,10-14 ani, Feminin, Brasov, Anul 2001, Numar persoane,87
 41417 MANDRA,10-14 ani, Feminin, Brasov, Anul 2002, Numar persoane,85
 41417 MANDRA,10-14 ani, Feminin, Brasov, Anul 2003, Numar persoane,82
 41417 MANDRA,10-14 ani, Feminin, Brasov, Anul 2004, Numar persoane,78
 41417 MANDRA,15-19 ani, Masculin, Brasov, Anul 1992, Numar persoane,101
 41417 MANDRA,15-19 ani, Masculin, Brasov, Anul 1993, Numar persoane,80
 41417 MANDRA,15-19 ani, Masculin, Brasov, Anul 1994, Numar persoane,81
 41417 MANDRA,15-19 ani, Masculin, Brasov, Anul 1995, Numar persoane,75
 41417 MANDRA,15-19 ani, Masculin, Brasov, Anul 1996, Numar persoane,65
 41417 MANDRA,15-19 ani, Masculin, Brasov, Anul 1997, Numar persoane,60
 41417 MANDRA,15-19 ani, Masculin, Brasov, Anul 1998, Numar persoane,64
 41417 MANDRA,15-19 ani, Masculin, Brasov, Anul 1999, Numar persoane,64
 41417 MANDRA,15-19 ani, Masculin, Brasov, Anul 2000, Numar persoane,64
 41417 MANDRA,15-19 ani, Masculin, Brasov, Anul 2001, Numar persoane,62
 41417 MANDRA,15-19 ani, Masculin, Brasov, Anul 2002, Numar persoane,64
 41417 MANDRA,15-19 ani, Masculin, Brasov, Anul 2003, Numar persoane,67
 41417 MANDRA,15-19 ani, Masculin, Brasov, Anul 2004, Numar persoane,72
 41417 MANDRA,15-19 ani, Feminin, Brasov, Anul 1992, Numar persoane,77
 41417 MANDRA,15-19 ani, Feminin, Brasov, Anul 1993, Numar persoane,71
 41417 MANDRA,15-19 ani, Feminin, Brasov, Anul 1994, Numar persoane,78
 41417 MANDRA,15-19 ani, Feminin, Brasov, Anul 1995, Numar persoane,70
 41417 MANDRA,15-19 ani, Feminin, Brasov, Anul 1996, Numar persoane,78
 41417 MANDRA,15-19 ani, Feminin, Brasov, Anul 1997, Numar persoane,73
 41417 MANDRA,15-19 ani, Feminin, Brasov, Anul 1998, Numar persoane,74
 41417 MANDRA,15-19 ani, Feminin, Brasov, Anul 1999, Numar persoane,73
 41417 MANDRA,15-19 ani, Feminin, Brasov, Anul 2000, Numar persoane,71
 41417 MANDRA,15-19 ani, Feminin, Brasov, Anul 2001, Numar persoane,75
 41417 MANDRA,15-19 ani, Feminin, Brasov, Anul 2002, Numar persoane,74
 41417 MANDRA,15-19 ani, Feminin, Brasov, Anul 2003, Numar persoane,81
 41417 MANDRA,15-19 ani, Feminin, Brasov, Anul 2004, Numar persoane,85
 41417 MANDRA,20-24 ani, Masculin, Brasov, Anul 1992, Numar persoane,114
 41417 MANDRA,20-24 ani, Masculin, Brasov, Anul 1993, Numar persoane,112
 41417 MANDRA,20-24 ani, Masculin, Brasov, Anul 1994, Numar persoane,107
 41417 MANDRA,20-24 ani, Masculin, Brasov, Anul 1995, Numar persoane,106
 41417 MANDRA,20-24 ani, Masculin, Brasov, Anul 1996, Numar persoane,98
 41417 MANDRA,20-24 ani, Masculin, Brasov, Anul 1997, Numar persoane,101
 41417 MANDRA,20-24 ani, Masculin, Brasov, Anul 1998, Numar persoane,83
 41417 MANDRA,20-24 ani, Masculin, Brasov, Anul 1999, Numar persoane,85
 41417 MANDRA,20-24 ani, Masculin, Brasov, Anul 2000, Numar persoane,84
 41417 MANDRA,20-24 ani, Masculin, Brasov, Anul 2001, Numar persoane,71
 41417 MANDRA,20-24 ani, Masculin, Brasov, Anul 2002, Numar persoane,66
 41417 MANDRA,20-24 ani, Masculin, Brasov, Anul 2003, Numar persoane,70
 41417 MANDRA,20-24 ani, Masculin, Brasov, Anul 2004, Numar persoane,76
 41417 MANDRA,20-24 ani, Feminin, Brasov, Anul 1992, Numar persoane,83
 41417 MANDRA,20-24 ani, Feminin, Brasov, Anul 1993, Numar persoane,81
 41417 MANDRA,20-24 ani, Feminin, Brasov, Anul 1994, Numar persoane,70
 41417 MANDRA,20-24 ani, Feminin, Brasov, Anul 1995, Numar persoane,69
 41417 MANDRA,20-24 ani, Feminin, Brasov, Anul 1996, Numar persoane,62
 41417 MANDRA,20-24 ani, Feminin, Brasov, Anul 1997, Numar persoane,74
 41417 MANDRA,20-24 ani, Feminin, Brasov, Anul 1998, Numar persoane,71
 41417 MANDRA,20-24 ani, Feminin, Brasov, Anul 1999, Numar persoane,83
 41417 MANDRA,20-24 ani, Feminin, Brasov, Anul 2000, Numar persoane,82
 41417 MANDRA,20-24 ani, Feminin, Brasov, Anul 2001, Numar persoane,87
 41417 MANDRA,20-24 ani, Feminin, Brasov, Anul 2002, Numar persoane,81
 41417 MANDRA,20-24 ani, Feminin, Brasov, Anul 2003, Numar persoane,88
 41417 MANDRA,20-24 ani, Feminin, Brasov, Anul 2004, Numar persoane,81
 41417 MANDRA,25-29 ani, Masculin, Brasov, Anul 1992, Numar persoane,86
 41417 MANDRA,25-29 ani, Masculin, Brasov, Anul 1993, Numar persoane,98
 41417 MANDRA,25-29 ani, Masculin, Brasov, Anul 1994, Numar persoane,95
 41417 MANDRA,25-29 ani, Masculin, Brasov, Anul 1995, Numar persoane,97
 41417 MANDRA,25-29 ani, Masculin, Brasov, Anul 1996, Numar persoane,101
 41417 MANDRA,25-29 ani, Masculin, Brasov, Anul 1997, Numar persoane,104
 41417 MANDRA,25-29 ani, Masculin, Brasov, Anul 1998, Numar persoane,99
 41417 MANDRA,25-29 ani, Masculin, Brasov, Anul 1999, Numar persoane,95
 41417 MANDRA,25-29 ani, Masculin, Brasov, Anul 2000, Numar persoane,104
 41417 MANDRA,25-29 ani, Masculin, Brasov, Anul 2001, Numar persoane,100
 41417 MANDRA,25-29 ani, Masculin, Brasov, Anul 2002, Numar persoane,107
 41417 MANDRA,25-29 ani, Masculin, Brasov, Anul 2003, Numar persoane,91
 41417 MANDRA,25-29 ani, Masculin, Brasov, Anul 2004, Numar persoane,82
 41417 MANDRA,25-29 ani, Feminin, Brasov, Anul 1992, Numar persoane,36
 41417 MANDRA,25-29 ani, Feminin, Brasov, Anul 1993, Numar persoane,37
 41417 MANDRA,25-29 ani, Feminin, Brasov, Anul 1994, Numar persoane,52
 41417 MANDRA,25-29 ani, Feminin, Brasov, Anul 1995, Numar persoane,61
 41417 MANDRA,25-29 ani, Feminin, Brasov, Anul 1996, Numar persoane,69
 41417 MANDRA,25-29 ani, Feminin, Brasov, Anul 1997, Numar persoane,70
 41417 MANDRA,25-29 ani, Feminin, Brasov, Anul 1998, Numar persoane,81
 41417 MANDRA,25-29 ani, Feminin, Brasov, Anul 1999, Numar persoane,66
 41417 MANDRA,25-29 ani, Feminin, Brasov, Anul 2000, Numar persoane,66
 41417 MANDRA,25-29 ani, Feminin, Brasov, Anul 2001, Numar persoane,60
 41417 MANDRA,25-29 ani, Feminin, Brasov, Anul 2002, Numar persoane,70
 41417 MANDRA,25-29 ani, Feminin, Brasov, Anul 2003, Numar persoane,73
 41417 MANDRA,25-29 ani, Feminin, Brasov, Anul 2004, Numar persoane,96
 41417 MANDRA,30-34 ani, Masculin, Brasov, Anul 1992, Numar persoane,71
 41417 MANDRA,30-34 ani, Masculin, Brasov, Anul 1993, Numar persoane,71
 41417 MANDRA,30-34 ani, Masculin, Brasov, Anul 1994, Numar persoane,68
 41417 MANDRA,30-34 ani, Masculin, Brasov, Anul 1995, Numar persoane,70
 41417 MANDRA,30-34 ani, Masculin, Brasov, Anul 1996, Numar persoane,78
 41417 MANDRA,30-34 ani, Masculin, Brasov, Anul 1997, Numar persoane,71
 41417 MANDRA,30-34 ani, Masculin, Brasov, Anul 1998, Numar persoane,83
 41417 MANDRA,30-34 ani, Masculin, Brasov, Anul 1999, Numar persoane,85
 41417 MANDRA,30-34 ani, Masculin, Brasov, Anul 2000, Numar persoane,86
 41417 MANDRA,30-34 ani, Masculin, Brasov, Anul 2001, Numar persoane,93
 41417 MANDRA,30-34 ani, Masculin, Brasov, Anul 2002, Numar persoane,101
 41417 MANDRA,30-34 ani, Masculin, Brasov, Anul 2003, Numar persoane,98
 41417 MANDRA,30-34 ani, Masculin, Brasov, Anul 2004, Numar persoane,111
 41417 MANDRA,30-34 ani, Feminin, Brasov, Anul 1992, Numar persoane,33
 41417 MANDRA,30-34 ani, Feminin, Brasov, Anul 1993, Numar persoane,35
 41417 MANDRA,30-34 ani, Feminin, Brasov, Anul 1994, Numar persoane,32
 41417 MANDRA,30-34 ani, Feminin, Brasov, Anul 1995, Numar persoane,33
 41417 MANDRA,30-34 ani, Feminin, Brasov, Anul 1996, Numar persoane,34
 41417 MANDRA,30-34 ani, Feminin, Brasov, Anul 1997, Numar persoane,31
 41417 MANDRA,30-34 ani, Feminin, Brasov, Anul 1998, Numar persoane,34
 41417 MANDRA,30-34 ani, Feminin, Brasov, Anul 1999, Numar persoane,54
 41417 MANDRA,30-34 ani, Feminin, Brasov, Anul 2000, Numar persoane,64
 41417 MANDRA,30-34 ani, Feminin, Brasov, Anul 2001, Numar persoane,75
 41417 MANDRA,30-34 ani, Feminin, Brasov, Anul 2002, Numar persoane,83
 41417 MANDRA,30-34 ani, Feminin, Brasov, Anul 2003, Numar persoane,84
 41417 MANDRA,30-34 ani, Feminin, Brasov, Anul 2004, Numar persoane,70
 41417 MANDRA,35-39 ani, Masculin, Brasov, Anul 1992, Numar persoane,60
 41417 MANDRA,35-39 ani, Masculin, Brasov, Anul 1993, Numar persoane,63
 41417 MANDRA,35-39 ani, Masculin, Brasov, Anul 1994, Numar persoane,71
 41417 MANDRA,35-39 ani, Masculin, Brasov, Anul 1995, Numar persoane,60
 41417 MANDRA,35-39 ani, Masculin, Brasov, Anul 1996, Numar persoane,60
 41417 MANDRA,35-39 ani, Masculin, Brasov, Anul 1997, Numar persoane,63
 41417 MANDRA,35-39 ani, Masculin, Brasov, Anul 1998, Numar persoane,67
 41417 MANDRA,35-39 ani, Masculin, Brasov, Anul 1999, Numar persoane,63
 41417 MANDRA,35-39 ani, Masculin, Brasov, Anul 2000, Numar persoane,66
 41417 MANDRA,35-39 ani, Masculin, Brasov, Anul 2001, Numar persoane,71
 41417 MANDRA,35-39 ani, Masculin, Brasov, Anul 2002, Numar persoane,68
 41417 MANDRA,35-39 ani, Masculin, Brasov, Anul 2003, Numar persoane,87
 41417 MANDRA,35-39 ani, Masculin, Brasov, Anul 2004, Numar persoane,89
 41417 MANDRA,35-39 ani, Feminin, Brasov, Anul 1992, Numar persoane,55
 41417 MANDRA,35-39 ani, Feminin, Brasov, Anul 1993, Numar persoane,51
 41417 MANDRA,35-39 ani, Feminin, Brasov, Anul 1994, Numar persoane,49
 41417 MANDRA,35-39 ani, Feminin, Brasov, Anul 1995, Numar persoane,39
 41417 MANDRA,35-39 ani, Feminin, Brasov, Anul 1996, Numar persoane,32
 41417 MANDRA,35-39 ani, Feminin, Brasov, Anul 1997, Numar persoane,33
 41417 MANDRA,35-39 ani, Feminin, Brasov, Anul 1998, Numar persoane,35
 41417 MANDRA,35-39 ani, Feminin, Brasov, Anul 1999, Numar persoane,35
 41417 MANDRA,35-39 ani, Feminin, Brasov, Anul 2000, Numar persoane,46
 41417 MANDRA,35-39 ani, Feminin, Brasov, Anul 2001, Numar persoane,45
 41417 MANDRA,35-39 ani, Feminin, Brasov, Anul 2002, Numar persoane,37
 41417 MANDRA,35-39 ani, Feminin, Brasov, Anul 2003, Numar persoane,44
 41417 MANDRA,35-39 ani, Feminin, Brasov, Anul 2004, Numar persoane,63
 41417 MANDRA,40-44 ani, Masculin, Brasov, Anul 1992, Numar persoane,69
 41417 MANDRA,40-44 ani, Masculin, Brasov, Anul 1993, Numar persoane,65
 41417 MANDRA,40-44 ani, Masculin, Brasov, Anul 1994, Numar persoane,51
 41417 MANDRA,40-44 ani, Masculin, Brasov, Anul 1995, Numar persoane,59
 41417 MANDRA,40-44 ani, Masculin, Brasov, Anul 1996, Numar persoane,62
 41417 MANDRA,40-44 ani, Masculin, Brasov, Anul 1997, Numar persoane,62
 41417 MANDRA,40-44 ani, Masculin, Brasov, Anul 1998, Numar persoane,66
 41417 MANDRA,40-44 ani, Masculin, Brasov, Anul 1999, Numar persoane,79
 41417 MANDRA,40-44 ani, Masculin, Brasov, Anul 2000, Numar persoane,69
 41417 MANDRA,40-44 ani, Masculin, Brasov, Anul 2001, Numar persoane,72
 41417 MANDRA,40-44 ani, Masculin, Brasov, Anul 2002, Numar persoane,68
 41417 MANDRA,40-44 ani, Masculin, Brasov, Anul 2003, Numar persoane,65
 41417 MANDRA,40-44 ani, Masculin, Brasov, Anul 2004, Numar persoane,70
 41417 MANDRA,40-44 ani, Feminin, Brasov, Anul 1992, Numar persoane,61
 41417 MANDRA,40-44 ani, Feminin, Brasov, Anul 1993, Numar persoane,55
 41417 MANDRA,40-44 ani, Feminin, Brasov, Anul 1994, Numar persoane,51
 41417 MANDRA,40-44 ani, Feminin, Brasov, Anul 1995, Numar persoane,61
 41417 MANDRA,40-44 ani, Feminin, Brasov, Anul 1996, Numar persoane,64
 41417 MANDRA,40-44 ani, Feminin, Brasov, Anul 1997, Numar persoane,58
 41417 MANDRA,40-44 ani, Feminin, Brasov, Anul 1998, Numar persoane,59
 41417 MANDRA,40-44 ani, Feminin, Brasov, Anul 1999, Numar persoane,58
 41417 MANDRA,40-44 ani, Feminin, Brasov, Anul 2000, Numar persoane,51
 41417 MANDRA,40-44 ani, Feminin, Brasov, Anul 2001, Numar persoane,41
 41417 MANDRA,40-44 ani, Feminin, Brasov, Anul 2002, Numar persoane,51
 41417 MANDRA,40-44 ani, Feminin, Brasov, Anul 2003, Numar persoane,46
 41417 MANDRA,40-44 ani, Feminin, Brasov, Anul 2004, Numar persoane,48
 41417 MANDRA,45-49 ani, Masculin, Brasov, Anul 1992, Numar persoane,68
 41417 MANDRA,45-49 ani, Masculin, Brasov, Anul 1993, Numar persoane,70
 41417 MANDRA,45-49 ani, Masculin, Brasov, Anul 1994, Numar persoane,78
 41417 MANDRA,45-49 ani, Masculin, Brasov, Anul 1995, Numar persoane,73
 41417 MANDRA,45-49 ani, Masculin, Brasov, Anul 1996, Numar persoane,70
 41417 MANDRA,45-49 ani, Masculin, Brasov, Anul 1997, Numar persoane,67
 41417 MANDRA,45-49 ani, Masculin, Brasov, Anul 1998, Numar persoane,61
 41417 MANDRA,45-49 ani, Masculin, Brasov, Anul 1999, Numar persoane,53
 41417 MANDRA,45-49 ani, Masculin, Brasov, Anul 2000, Numar persoane,64
 41417 MANDRA,45-49 ani, Masculin, Brasov, Anul 2001, Numar persoane,66
 41417 MANDRA,45-49 ani, Masculin, Brasov, Anul 2002, Numar persoane,69
 41417 MANDRA,45-49 ani, Masculin, Brasov, Anul 2003, Numar persoane,76
 41417 MANDRA,45-49 ani, Masculin, Brasov, Anul 2004, Numar persoane,88
 41417 MANDRA,45-49 ani, Feminin, Brasov, Anul 1992, Numar persoane,82
 41417 MANDRA,45-49 ani, Feminin, Brasov, Anul 1993, Numar persoane,81
 41417 MANDRA,45-49 ani, Feminin, Brasov, Anul 1994, Numar persoane,81
 41417 MANDRA,45-49 ani, Feminin, Brasov, Anul 1995, Numar persoane,67
 41417 MANDRA,45-49 ani, Feminin, Brasov, Anul 1996, Numar persoane,63
 41417 MANDRA,45-49 ani, Feminin, Brasov, Anul 1997, Numar persoane,62
 41417 MANDRA,45-49 ani, Feminin, Brasov, Anul 1998, Numar persoane,56
 41417 MANDRA,45-49 ani, Feminin, Brasov, Anul 1999, Numar persoane,52
 41417 MANDRA,45-49 ani, Feminin, Brasov, Anul 2000, Numar persoane,57
 41417 MANDRA,45-49 ani, Feminin, Brasov, Anul 2001, Numar persoane,71
 41417 MANDRA,45-49 ani, Feminin, Brasov, Anul 2002, Numar persoane,66
 41417 MANDRA,45-49 ani, Feminin, Brasov, Anul 2003, Numar persoane,70
 41417 MANDRA,45-49 ani, Feminin, Brasov, Anul 2004, Numar persoane,71
 41417 MANDRA,50-54 ani, Masculin, Brasov, Anul 1992, Numar persoane,77
 41417 MANDRA,50-54 ani, Masculin, Brasov, Anul 1993, Numar persoane,71
 41417 MANDRA,50-54 ani, Masculin, Brasov, Anul 1994, Numar persoane,62
 41417 MANDRA,50-54 ani, Masculin, Brasov, Anul 1995, Numar persoane,60
 41417 MANDRA,50-54 ani, Masculin, Brasov, Anul 1996, Numar persoane,64
 41417 MANDRA,50-54 ani, Masculin, Brasov, Anul 1997, Numar persoane,73
 41417 MANDRA,50-54 ani, Masculin, Brasov, Anul 1998, Numar persoane,74
 41417 MANDRA,50-54 ani, Masculin, Brasov, Anul 1999, Numar persoane,78
 41417 MANDRA,50-54 ani, Masculin, Brasov, Anul 2000, Numar persoane,76
 41417 MANDRA,50-54 ani, Masculin, Brasov, Anul 2001, Numar persoane,74
 41417 MANDRA,50-54 ani, Masculin, Brasov, Anul 2002, Numar persoane,70
 41417 MANDRA,50-54 ani, Masculin, Brasov, Anul 2003, Numar persoane,68
 41417 MANDRA,50-54 ani, Masculin, Brasov, Anul 2004, Numar persoane,64
 41417 MANDRA,50-54 ani, Feminin, Brasov, Anul 1992, Numar persoane,121
 41417 MANDRA,50-54 ani, Feminin, Brasov, Anul 1993, Numar persoane,109
 41417 MANDRA,50-54 ani, Feminin, Brasov, Anul 1994, Numar persoane,94
 41417 MANDRA,50-54 ani, Feminin, Brasov, Anul 1995, Numar persoane,98
 41417 MANDRA,50-54 ani, Feminin, Brasov, Anul 1996, Numar persoane,86
 41417 MANDRA,50-54 ani, Feminin, Brasov, Anul 1997, Numar persoane,79
 41417 MANDRA,50-54 ani, Feminin, Brasov, Anul 1998, Numar persoane,81
 41417 MANDRA,50-54 ani, Feminin, Brasov, Anul 1999, Numar persoane,84
 41417 MANDRA,50-54 ani, Feminin, Brasov, Anul 2000, Numar persoane,73
 41417 MANDRA,50-54 ani, Feminin, Brasov, Anul 2001, Numar persoane,68
 41417 MANDRA,50-54 ani, Feminin, Brasov, Anul 2002, Numar persoane,67
 41417 MANDRA,50-54 ani, Feminin, Brasov, Anul 2003, Numar persoane,66
 41417 MANDRA,50-54 ani, Feminin, Brasov, Anul 2004, Numar persoane,66
 41417 MANDRA,55-59 ani, Masculin, Brasov, Anul 1992, Numar persoane,128
 41417 MANDRA,55-59 ani, Masculin, Brasov, Anul 1993, Numar persoane,118
 41417 MANDRA,55-59 ani, Masculin, Brasov, Anul 1994, Numar persoane,108
 41417 MANDRA,55-59 ani, Masculin, Brasov, Anul 1995, Numar persoane,94
 41417 MANDRA,55-59 ani, Masculin, Brasov, Anul 1996, Numar persoane,74
