 Localitati ,Varste si grupe de varsta, Sexe, Judete, Ani, UM: Numar persoane, Valoare
 41541 ORMENIS,0- 4 ani, Masculin, Brasov, Anul 1992, Numar persoane,171
 41541 ORMENIS,0- 4 ani, Masculin, Brasov, Anul 1993, Numar persoane,167
 41541 ORMENIS,0- 4 ani, Masculin, Brasov, Anul 1994, Numar persoane,161
 41541 ORMENIS,0- 4 ani, Masculin, Brasov, Anul 1995, Numar persoane,148
 41541 ORMENIS,0- 4 ani, Masculin, Brasov, Anul 1996, Numar persoane,153
 41541 ORMENIS,0- 4 ani, Masculin, Brasov, Anul 1997, Numar persoane,142
 41541 ORMENIS,0- 4 ani, Masculin, Brasov, Anul 1998, Numar persoane,147
 41541 ORMENIS,0- 4 ani, Masculin, Brasov, Anul 1999, Numar persoane,155
 41541 ORMENIS,0- 4 ani, Masculin, Brasov, Anul 2000, Numar persoane,155
 41541 ORMENIS,0- 4 ani, Masculin, Brasov, Anul 2001, Numar persoane,155
 41541 ORMENIS,0- 4 ani, Masculin, Brasov, Anul 2002, Numar persoane,159
 41541 ORMENIS,0- 4 ani, Masculin, Brasov, Anul 2003, Numar persoane,154
 41541 ORMENIS,0- 4 ani, Masculin, Brasov, Anul 2004, Numar persoane,159
 41541 ORMENIS,0- 4 ani, Feminin, Brasov, Anul 1992, Numar persoane,164
 41541 ORMENIS,0- 4 ani, Feminin, Brasov, Anul 1993, Numar persoane,160
 41541 ORMENIS,0- 4 ani, Feminin, Brasov, Anul 1994, Numar persoane,138
 41541 ORMENIS,0- 4 ani, Feminin, Brasov, Anul 1995, Numar persoane,121
 41541 ORMENIS,0- 4 ani, Feminin, Brasov, Anul 1996, Numar persoane,115
 41541 ORMENIS,0- 4 ani, Feminin, Brasov, Anul 1997, Numar persoane,119
 41541 ORMENIS,0- 4 ani, Feminin, Brasov, Anul 1998, Numar persoane,118
 41541 ORMENIS,0- 4 ani, Feminin, Brasov, Anul 1999, Numar persoane,129
 41541 ORMENIS,0- 4 ani, Feminin, Brasov, Anul 2000, Numar persoane,140
 41541 ORMENIS,0- 4 ani, Feminin, Brasov, Anul 2001, Numar persoane,142
 41541 ORMENIS,0- 4 ani, Feminin, Brasov, Anul 2002, Numar persoane,145
