 Localitati ,Varste si grupe de varsta, Sexe, Judete, Ani, UM: Numar persoane, Valoare
 41818 SERCAIA,0- 4 ani, Masculin, Brasov, Anul 1992, Numar persoane,82
 41818 SERCAIA,0- 4 ani, Masculin, Brasov, Anul 1993, Numar persoane,82
 41818 SERCAIA,0- 4 ani, Masculin, Brasov, Anul 1994, Numar persoane,83
 41818 SERCAIA,0- 4 ani, Masculin, Brasov, Anul 1995, Numar persoane,79
 41818 SERCAIA,0- 4 ani, Masculin, Brasov, Anul 1996, Numar persoane,76
 41818 SERCAIA,0- 4 ani, Masculin, Brasov, Anul 1997, Numar persoane,81
 41818 SERCAIA,0- 4 ani, Masculin, Brasov, Anul 1998, Numar persoane,84
 41818 SERCAIA,0- 4 ani, Masculin, Brasov, Anul 1999, Numar persoane,91
 41818 SERCAIA,0- 4 ani, Masculin, Brasov, Anul 2000, Numar persoane,96
 41818 SERCAIA,0- 4 ani, Masculin, Brasov, Anul 2001, Numar persoane,103
 41818 SERCAIA,0- 4 ani, Masculin, Brasov, Anul 2002, Numar persoane,99
 41818 SERCAIA,0- 4 ani, Masculin, Brasov, Anul 2003, Numar persoane,95
 41818 SERCAIA,0- 4 ani, Masculin, Brasov, Anul 2004, Numar persoane,97
 41818 SERCAIA,0- 4 ani, Feminin, Brasov, Anul 1992, Numar persoane,72
 41818 SERCAIA,0- 4 ani, Feminin, Brasov, Anul 1993, Numar persoane,79
 41818 SERCAIA,0- 4 ani, Feminin, Brasov, Anul 1994, Numar persoane,77
 41818 SERCAIA,0- 4 ani, Feminin, Brasov, Anul 1995, Numar persoane,73
 41818 SERCAIA,0- 4 ani, Feminin, Brasov, Anul 1996, Numar persoane,69
 41818 SERCAIA,0- 4 ani, Feminin, Brasov, Anul 1997, Numar persoane,81
 41818 SERCAIA,0- 4 ani, Feminin, Brasov, Anul 1998, Numar persoane,77
 41818 SERCAIA,0- 4 ani, Feminin, Brasov, Anul 1999, Numar persoane,77
 41818 SERCAIA,0- 4 ani, Feminin, Brasov, Anul 2000, Numar persoane,82
 41818 SERCAIA,0- 4 ani, Feminin, Brasov, Anul 2001, Numar persoane,90
 41818 SERCAIA,0- 4 ani, Feminin, Brasov, Anul 2002, Numar persoane,95
 41818 SERCAIA,0- 4 ani, Feminin, Brasov, Anul 2003, Numar persoane,97
 41818 SERCAIA,0- 4 ani, Feminin, Brasov, Anul 2004, Numar persoane,101
 41818 SERCAIA,5- 9 ani, Masculin, Brasov, Anul 1992, Numar persoane,84
 41818 SERCAIA,5- 9 ani, Masculin, Brasov, Anul 1993, Numar persoane,84
 41818 SERCAIA,5- 9 ani, Masculin, Brasov, Anul 1994, Numar persoane,83
 41818 SERCAIA,5- 9 ani, Masculin, Brasov, Anul 1995, Numar persoane,86
 41818 SERCAIA,5- 9 ani, Masculin, Brasov, Anul 1996, Numar persoane,84
 41818 SERCAIA,5- 9 ani, Masculin, Brasov, Anul 1997, Numar persoane,82
 41818 SERCAIA,5- 9 ani, Masculin, Brasov, Anul 1998, Numar persoane,82
 41818 SERCAIA,5- 9 ani, Masculin, Brasov, Anul 1999, Numar persoane,88
 41818 SERCAIA,5- 9 ani, Masculin, Brasov, Anul 2000, Numar persoane,82
 41818 SERCAIA,5- 9 ani, Masculin, Brasov, Anul 2001, Numar persoane,85
 41818 SERCAIA,5- 9 ani, Masculin, Brasov, Anul 2002, Numar persoane,92
 41818 SERCAIA,5- 9 ani, Masculin, Brasov, Anul 2003, Numar persoane,92
 41818 SERCAIA,5- 9 ani, Masculin, Brasov, Anul 2004, Numar persoane,91
 41818 SERCAIA,5- 9 ani, Feminin, Brasov, Anul 1992, Numar persoane,87
 41818 SERCAIA,5- 9 ani, Feminin, Brasov, Anul 1993, Numar persoane,70
 41818 SERCAIA,5- 9 ani, Feminin, Brasov, Anul 1994, Numar persoane,76
 41818 SERCAIA,5- 9 ani, Feminin, Brasov, Anul 1995, Numar persoane,85
 41818 SERCAIA,5- 9 ani, Feminin, Brasov, Anul 1996, Numar persoane,78
 41818 SERCAIA,5- 9 ani, Feminin, Brasov, Anul 1997, Numar persoane,74
 41818 SERCAIA,5- 9 ani, Feminin, Brasov, Anul 1998, Numar persoane,85
 41818 SERCAIA,5- 9 ani, Feminin, Brasov, Anul 1999, Numar persoane,82
 41818 SERCAIA,5- 9 ani, Feminin, Brasov, Anul 2000, Numar persoane,80
 41818 SERCAIA,5- 9 ani, Feminin, Brasov, Anul 2001, Numar persoane,71
 41818 SERCAIA,5- 9 ani, Feminin, Brasov, Anul 2002, Numar persoane,80
 41818 SERCAIA,5- 9 ani, Feminin, Brasov, Anul 2003, Numar persoane,75
 41818 SERCAIA,5- 9 ani, Feminin, Brasov, Anul 2004, Numar persoane,78
 41818 SERCAIA,10-14 ani, Masculin, Brasov, Anul 1992, Numar persoane,87
 41818 SERCAIA,10-14 ani, Masculin, Brasov, Anul 1993, Numar persoane,77
 41818 SERCAIA,10-14 ani, Masculin, Brasov, Anul 1994, Numar persoane,83
 41818 SERCAIA,10-14 ani, Masculin, Brasov, Anul 1995, Numar persoane,85
 41818 SERCAIA,10-14 ani, Masculin, Brasov, Anul 1996, Numar persoane,90
 41818 SERCAIA,10-14 ani, Masculin, Brasov, Anul 1997, Numar persoane,86
 41818 SERCAIA,10-14 ani, Masculin, Brasov, Anul 1998, Numar persoane,83
 41818 SERCAIA,10-14 ani, Masculin, Brasov, Anul 1999, Numar persoane,87
 41818 SERCAIA,10-14 ani, Masculin, Brasov, Anul 2000, Numar persoane,93
 41818 SERCAIA,10-14 ani, Masculin, Brasov, Anul 2001, Numar persoane,92
 41818 SERCAIA,10-14 ani, Masculin, Brasov, Anul 2002, Numar persoane,93
 41818 SERCAIA,10-14 ani, Masculin, Brasov, Anul 2003, Numar persoane,94
 41818 SERCAIA,10-14 ani, Masculin, Brasov, Anul 2004, Numar persoane,100
 41818 SERCAIA,10-14 ani, Feminin, Brasov, Anul 1992, Numar persoane,100
 41818 SERCAIA,10-14 ani, Feminin, Brasov, Anul 1993, Numar persoane,99
 41818 SERCAIA,10-14 ani, Feminin, Brasov, Anul 1994, Numar persoane,90
 41818 SERCAIA,10-14 ani, Feminin, Brasov, Anul 1995, Numar persoane,78
 41818 SERCAIA,10-14 ani, Feminin, Brasov, Anul 1996, Numar persoane,86
 41818 SERCAIA,10-14 ani, Feminin, Brasov, Anul 1997, Numar persoane,85
 41818 SERCAIA,10-14 ani, Feminin, Brasov, Anul 1998, Numar persoane,74
 41818 SERCAIA,10-14 ani, Feminin, Brasov, Anul 1999, Numar persoane,84
 41818 SERCAIA,10-14 ani, Feminin, Brasov, Anul 2000, Numar persoane,94
 41818 SERCAIA,10-14 ani, Feminin, Brasov, Anul 2001, Numar persoane,91
 41818 SERCAIA,10-14 ani, Feminin, Brasov, Anul 2002, Numar persoane,91
 41818 SERCAIA,10-14 ani, Feminin, Brasov, Anul 2003, Numar persoane,99
 41818 SERCAIA,10-14 ani, Feminin, Brasov, Anul 2004, Numar persoane,90
 41818 SERCAIA,15-19 ani, Masculin, Brasov, Anul 1992, Numar persoane,103
 41818 SERCAIA,15-19 ani, Masculin, Brasov, Anul 1993, Numar persoane,111
 41818 SERCAIA,15-19 ani, Masculin, Brasov, Anul 1994, Numar persoane,99
 41818 SERCAIA,15-19 ani, Masculin, Brasov, Anul 1995, Numar persoane,87
 41818 SERCAIA,15-19 ani, Masculin, Brasov, Anul 1996, Numar persoane,82
 41818 SERCAIA,15-19 ani, Masculin, Brasov, Anul 1997, Numar persoane,89
 41818 SERCAIA,15-19 ani, Masculin, Brasov, Anul 1998, Numar persoane,81
 41818 SERCAIA,15-19 ani, Masculin, Brasov, Anul 1999, Numar persoane,90
 41818 SERCAIA,15-19 ani, Masculin, Brasov, Anul 2000, Numar persoane,89
 41818 SERCAIA,15-19 ani, Masculin, Brasov, Anul 2001, Numar persoane,94
 41818 SERCAIA,15-19 ani, Masculin, Brasov, Anul 2002, Numar persoane,93
 41818 SERCAIA,15-19 ani, Masculin, Brasov, Anul 2003, Numar persoane,94
 41818 SERCAIA,15-19 ani, Masculin, Brasov, Anul 2004, Numar persoane,99
 41818 SERCAIA,15-19 ani, Feminin, Brasov, Anul 1992, Numar persoane,98
 41818 SERCAIA,15-19 ani, Feminin, Brasov, Anul 1993, Numar persoane,102
 41818 SERCAIA,15-19 ani, Feminin, Brasov, Anul 1994, Numar persoane,110
 41818 SERCAIA,15-19 ani, Feminin, Brasov, Anul 1995, Numar persoane,116
 41818 SERCAIA,15-19 ani, Feminin, Brasov, Anul 1996, Numar persoane,112
 41818 SERCAIA,15-19 ani, Feminin, Brasov, Anul 1997, Numar persoane,102
 41818 SERCAIA,15-19 ani, Feminin, Brasov, Anul 1998, Numar persoane,100
 41818 SERCAIA,15-19 ani, Feminin, Brasov, Anul 1999, Numar persoane,92
 41818 SERCAIA,15-19 ani, Feminin, Brasov, Anul 2000, Numar persoane,82
 41818 SERCAIA,15-19 ani, Feminin, Brasov, Anul 2001, Numar persoane,93
 41818 SERCAIA,15-19 ani, Feminin, Brasov, Anul 2002, Numar persoane,96
 41818 SERCAIA,15-19 ani, Feminin, Brasov, Anul 2003, Numar persoane,82
 41818 SERCAIA,15-19 ani, Feminin, Brasov, Anul 2004, Numar persoane,99
 41818 SERCAIA,20-24 ani, Masculin, Brasov, Anul 1992, Numar persoane,116
 41818 SERCAIA,20-24 ani, Masculin, Brasov, Anul 1993, Numar persoane,101
 41818 SERCAIA,20-24 ani, Masculin, Brasov, Anul 1994, Numar persoane,100
 41818 SERCAIA,20-24 ani, Masculin, Brasov, Anul 1995, Numar persoane,100
 41818 SERCAIA,20-24 ani, Masculin, Brasov, Anul 1996, Numar persoane,101
 41818 SERCAIA,20-24 ani, Masculin, Brasov, Anul 1997, Numar persoane,106
 41818 SERCAIA,20-24 ani, Masculin, Brasov, Anul 1998, Numar persoane,117
 41818 SERCAIA,20-24 ani, Masculin, Brasov, Anul 1999, Numar persoane,102
 41818 SERCAIA,20-24 ani, Masculin, Brasov, Anul 2000, Numar persoane,99
 41818 SERCAIA,20-24 ani, Masculin, Brasov, Anul 2001, Numar persoane,94
 41818 SERCAIA,20-24 ani, Masculin, Brasov, Anul 2002, Numar persoane,100
 41818 SERCAIA,20-24 ani, Masculin, Brasov, Anul 2003, Numar persoane,86
 41818 SERCAIA,20-24 ani, Masculin, Brasov, Anul 2004, Numar persoane,92
 41818 SERCAIA,20-24 ani, Feminin, Brasov, Anul 1992, Numar persoane,99
 41818 SERCAIA,20-24 ani, Feminin, Brasov, Anul 1993, Numar persoane,109
 41818 SERCAIA,20-24 ani, Feminin, Brasov, Anul 1994, Numar persoane,111
 41818 SERCAIA,20-24 ani, Feminin, Brasov, Anul 1995, Numar persoane,98
 41818 SERCAIA,20-24 ani, Feminin, Brasov, Anul 1996, Numar persoane,93
 41818 SERCAIA,20-24 ani, Feminin, Brasov, Anul 1997, Numar persoane,97
 41818 SERCAIA,20-24 ani, Feminin, Brasov, Anul 1998, Numar persoane,101
 41818 SERCAIA,20-24 ani, Feminin, Brasov, Anul 1999, Numar persoane,107
 41818 SERCAIA,20-24 ani, Feminin, Brasov, Anul 2000, Numar persoane,114
 41818 SERCAIA,20-24 ani, Feminin, Brasov, Anul 2001, Numar persoane,113
 41818 SERCAIA,20-24 ani, Feminin, Brasov, Anul 2002, Numar persoane,105
 41818 SERCAIA,20-24 ani, Feminin, Brasov, Anul 2003, Numar persoane,107
 41818 SERCAIA,20-24 ani, Feminin, Brasov, Anul 2004, Numar persoane,95
 41818 SERCAIA,25-29 ani, Masculin, Brasov, Anul 1992, Numar persoane,66
 41818 SERCAIA,25-29 ani, Masculin, Brasov, Anul 1993, Numar persoane,87
 41818 SERCAIA,25-29 ani, Masculin, Brasov, Anul 1994, Numar persoane,97
 41818 SERCAIA,25-29 ani, Masculin, Brasov, Anul 1995, Numar persoane,110
 41818 SERCAIA,25-29 ani, Masculin, Brasov, Anul 1996, Numar persoane,108
 41818 SERCAIA,25-29 ani, Masculin, Brasov, Anul 1997, Numar persoane,104
 41818 SERCAIA,25-29 ani, Masculin, Brasov, Anul 1998, Numar persoane,96
 41818 SERCAIA,25-29 ani, Masculin, Brasov, Anul 1999, Numar persoane,104
 41818 SERCAIA,25-29 ani, Masculin, Brasov, Anul 2000, Numar persoane,106
 41818 SERCAIA,25-29 ani, Masculin, Brasov, Anul 2001, Numar persoane,110
 41818 SERCAIA,25-29 ani, Masculin, Brasov, Anul 2002, Numar persoane,111
 41818 SERCAIA,25-29 ani, Masculin, Brasov, Anul 2003, Numar persoane,120
 41818 SERCAIA,25-29 ani, Masculin, Brasov, Anul 2004, Numar persoane,113
 41818 SERCAIA,25-29 ani, Feminin, Brasov, Anul 1992, Numar persoane,47
 41818 SERCAIA,25-29 ani, Feminin, Brasov, Anul 1993, Numar persoane,52
