 Localitati ,Varste si grupe de varsta, Sexe, Judete, Ani, UM: Numar persoane, Valoare
 42003 TARLUNGENI,0- 4 ani, Masculin, Brasov, Anul 1992, Numar persoane,349
 42003 TARLUNGENI,0- 4 ani, Masculin, Brasov, Anul 1993, Numar persoane,329
 42003 TARLUNGENI,0- 4 ani, Masculin, Brasov, Anul 1994, Numar persoane,311
 42003 TARLUNGENI,0- 4 ani, Masculin, Brasov, Anul 1995, Numar persoane,284
 42003 TARLUNGENI,0- 4 ani, Masculin, Brasov, Anul 1996, Numar persoane,269
 42003 TARLUNGENI,0- 4 ani, Masculin, Brasov, Anul 1997, Numar persoane,261
 42003 TARLUNGENI,0- 4 ani, Masculin, Brasov, Anul 1998, Numar persoane,274
 42003 TARLUNGENI,0- 4 ani, Masculin, Brasov, Anul 1999, Numar persoane,276
 42003 TARLUNGENI,0- 4 ani, Masculin, Brasov, Anul 2000, Numar persoane,294
 42003 TARLUNGENI,0- 4 ani, Masculin, Brasov, Anul 2001, Numar persoane,285
 42003 TARLUNGENI,0- 4 ani, Masculin, Brasov, Anul 2002, Numar persoane,297
 42003 TARLUNGENI,0- 4 ani, Masculin, Brasov, Anul 2003, Numar persoane,318
 42003 TARLUNGENI,0- 4 ani, Masculin, Brasov, Anul 2004, Numar persoane,350
 42003 TARLUNGENI,0- 4 ani, Feminin, Brasov, Anul 1992, Numar persoane,314
 42003 TARLUNGENI,0- 4 ani, Feminin, Brasov, Anul 1993, Numar persoane,299
 42003 TARLUNGENI,0- 4 ani, Feminin, Brasov, Anul 1994, Numar persoane,282
 42003 TARLUNGENI,0- 4 ani, Feminin, Brasov, Anul 1995, Numar persoane,271
 42003 TARLUNGENI,0- 4 ani, Feminin, Brasov, Anul 1996, Numar persoane,255
 42003 TARLUNGENI,0- 4 ani, Feminin, Brasov, Anul 1997, Numar persoane,261
 42003 TARLUNGENI,0- 4 ani, Feminin, Brasov, Anul 1998, Numar persoane,270
 42003 TARLUNGENI,0- 4 ani, Feminin, Brasov, Anul 1999, Numar persoane,268
 42003 TARLUNGENI,0- 4 ani, Feminin, Brasov, Anul 2000, Numar persoane,271
 42003 TARLUNGENI,0- 4 ani, Feminin, Brasov, Anul 2001, Numar persoane,294
 42003 TARLUNGENI,0- 4 ani, Feminin, Brasov, Anul 2002, Numar persoane,299
