 Localitati ,Varste si grupe de varsta, Sexe, Judete, Ani, UM: Numar persoane, Valoare
 42307 VOILA,0- 4 ani, Masculin, Brasov, Anul 1992, Numar persoane,151
 42307 VOILA,0- 4 ani, Masculin, Brasov, Anul 1993, Numar persoane,159
 42307 VOILA,0- 4 ani, Masculin, Brasov, Anul 1994, Numar persoane,160
 42307 VOILA,0- 4 ani, Masculin, Brasov, Anul 1995, Numar persoane,149
 42307 VOILA,0- 4 ani, Masculin, Brasov, Anul 1996, Numar persoane,147
 42307 VOILA,0- 4 ani, Masculin, Brasov, Anul 1997, Numar persoane,141
 42307 VOILA,0- 4 ani, Masculin, Brasov, Anul 1998, Numar persoane,138
 42307 VOILA,0- 4 ani, Masculin, Brasov, Anul 1999, Numar persoane,138
 42307 VOILA,0- 4 ani, Masculin, Brasov, Anul 2000, Numar persoane,133
 42307 VOILA,0- 4 ani, Masculin, Brasov, Anul 2001, Numar persoane,128
 42307 VOILA,0- 4 ani, Masculin, Brasov, Anul 2002, Numar persoane,125
 42307 VOILA,0- 4 ani, Masculin, Brasov, Anul 2003, Numar persoane,118
 42307 VOILA,0- 4 ani, Masculin, Brasov, Anul 2004, Numar persoane,75
 42307 VOILA,0- 4 ani, Feminin, Brasov, Anul 1992, Numar persoane,148
 42307 VOILA,0- 4 ani, Feminin, Brasov, Anul 1993, Numar persoane,151
 42307 VOILA,0- 4 ani, Feminin, Brasov, Anul 1994, Numar persoane,143
 42307 VOILA,0- 4 ani, Feminin, Brasov, Anul 1995, Numar persoane,134
 42307 VOILA,0- 4 ani, Feminin, Brasov, Anul 1996, Numar persoane,112
 42307 VOILA,0- 4 ani, Feminin, Brasov, Anul 1997, Numar persoane,104
 42307 VOILA,0- 4 ani, Feminin, Brasov, Anul 1998, Numar persoane,110
 42307 VOILA,0- 4 ani, Feminin, Brasov, Anul 1999, Numar persoane,104
 42307 VOILA,0- 4 ani, Feminin, Brasov, Anul 2000, Numar persoane,108
