 Localitati ,Varste si grupe de varsta, Sexe, Judete, Ani, UM: Numar persoane, Valoare
 42398 VULCAN,0- 4 ani, Masculin, Brasov, Anul 1992, Numar persoane,257
 42398 VULCAN,0- 4 ani, Masculin, Brasov, Anul 1993, Numar persoane,246
 42398 VULCAN,0- 4 ani, Masculin, Brasov, Anul 1994, Numar persoane,228
 42398 VULCAN,0- 4 ani, Masculin, Brasov, Anul 1995, Numar persoane,227
 42398 VULCAN,0- 4 ani, Masculin, Brasov, Anul 1996, Numar persoane,213
 42398 VULCAN,0- 4 ani, Masculin, Brasov, Anul 1997, Numar persoane,212
 42398 VULCAN,0- 4 ani, Masculin, Brasov, Anul 1998, Numar persoane,212
 42398 VULCAN,0- 4 ani, Masculin, Brasov, Anul 1999, Numar persoane,191
 42398 VULCAN,0- 4 ani, Masculin, Brasov, Anul 2000, Numar persoane,186
 42398 VULCAN,0- 4 ani, Masculin, Brasov, Anul 2001, Numar persoane,196
 42398 VULCAN,0- 4 ani, Masculin, Brasov, Anul 2002, Numar persoane,209
 42398 VULCAN,0- 4 ani, Masculin, Brasov, Anul 2003, Numar persoane,221
 42398 VULCAN,0- 4 ani, Masculin, Brasov, Anul 2004, Numar persoane,223
 42398 VULCAN,0- 4 ani, Feminin, Brasov, Anul 1992, Numar persoane,254
 42398 VULCAN,0- 4 ani, Feminin, Brasov, Anul 1993, Numar persoane,252
 42398 VULCAN,0- 4 ani, Feminin, Brasov, Anul 1994, Numar persoane,233
 42398 VULCAN,0- 4 ani, Feminin, Brasov, Anul 1995, Numar persoane,212
 42398 VULCAN,0- 4 ani, Feminin, Brasov, Anul 1996, Numar persoane,189
 42398 VULCAN,0- 4 ani, Feminin, Brasov, Anul 1997, Numar persoane,192
 42398 VULCAN,0- 4 ani, Feminin, Brasov, Anul 1998, Numar persoane,194
 42398 VULCAN,0- 4 ani, Feminin, Brasov, Anul 1999, Numar persoane,199
 42398 VULCAN,0- 4 ani, Feminin, Brasov, Anul 2000, Numar persoane,202
 42398 VULCAN,0- 4 ani, Feminin, Brasov, Anul 2001, Numar persoane,221
 42398 VULCAN,0- 4 ani, Feminin, Brasov, Anul 2002, Numar persoane,235
 42398 VULCAN,0- 4 ani, Feminin, Brasov, Anul 2003, Numar persoane,229
 42398 VULCAN,0- 4 ani, Feminin, Brasov, Anul 2004, Numar persoane,220
 42398 VULCAN,5- 9 ani, Masculin, Brasov, Anul 1992, Numar persoane,243
 42398 VULCAN,5- 9 ani, Masculin, Brasov, Anul 1993, Numar persoane,239
 42398 VULCAN,5- 9 ani, Masculin, Brasov, Anul 1994, Numar persoane,251
 42398 VULCAN,5- 9 ani, Masculin, Brasov, Anul 1995, Numar persoane,258
 42398 VULCAN,5- 9 ani, Masculin, Brasov, Anul 1996, Numar persoane,255
 42398 VULCAN,5- 9 ani, Masculin, Brasov, Anul 1997, Numar persoane,254
 42398 VULCAN,5- 9 ani, Masculin, Brasov, Anul 1998, Numar persoane,243
 42398 VULCAN,5- 9 ani, Masculin, Brasov, Anul 1999, Numar persoane,223
 42398 VULCAN,5- 9 ani, Masculin, Brasov, Anul 2000, Numar persoane,220
 42398 VULCAN,5- 9 ani, Masculin, Brasov, Anul 2001, Numar persoane,212
 42398 VULCAN,5- 9 ani, Masculin, Brasov, Anul 2002, Numar persoane,211
 42398 VULCAN,5- 9 ani, Masculin, Brasov, Anul 2003, Numar persoane,212
 42398 VULCAN,5- 9 ani, Masculin, Brasov, Anul 2004, Numar persoane,198
 42398 VULCAN,5- 9 ani, Feminin, Brasov, Anul 1992, Numar persoane,260
 42398 VULCAN,5- 9 ani, Feminin, Brasov, Anul 1993, Numar persoane,261
 42398 VULCAN,5- 9 ani, Feminin, Brasov, Anul 1994, Numar persoane,257
 42398 VULCAN,5- 9 ani, Feminin, Brasov, Anul 1995, Numar persoane,264
 42398 VULCAN,5- 9 ani, Feminin, Brasov, Anul 1996, Numar persoane,260
 42398 VULCAN,5- 9 ani, Feminin, Brasov, Anul 1997, Numar persoane,249
 42398 VULCAN,5- 9 ani, Feminin, Brasov, Anul 1998, Numar persoane,251
 42398 VULCAN,5- 9 ani, Feminin, Brasov, Anul 1999, Numar persoane,237
 42398 VULCAN,5- 9 ani, Feminin, Brasov, Anul 2000, Numar persoane,220
 42398 VULCAN,5- 9 ani, Feminin, Brasov, Anul 2001, Numar persoane,200
 42398 VULCAN,5- 9 ani, Feminin, Brasov, Anul 2002, Numar persoane,193
 42398 VULCAN,5- 9 ani, Feminin, Brasov, Anul 2003, Numar persoane,201
 42398 VULCAN,5- 9 ani, Feminin, Brasov, Anul 2004, Numar persoane,208
 42398 VULCAN,10-14 ani, Masculin, Brasov, Anul 1992, Numar persoane,284
 42398 VULCAN,10-14 ani, Masculin, Brasov, Anul 1993, Numar persoane,273
 42398 VULCAN,10-14 ani, Masculin, Brasov, Anul 1994, Numar persoane,275
 42398 VULCAN,10-14 ani, Masculin, Brasov, Anul 1995, Numar persoane,260
 42398 VULCAN,10-14 ani, Masculin, Brasov, Anul 1996, Numar persoane,250
 42398 VULCAN,10-14 ani, Masculin, Brasov, Anul 1997, Numar persoane,248
 42398 VULCAN,10-14 ani, Masculin, Brasov, Anul 1998, Numar persoane,249
 42398 VULCAN,10-14 ani, Masculin, Brasov, Anul 1999, Numar persoane,261
 42398 VULCAN,10-14 ani, Masculin, Brasov, Anul 2000, Numar persoane,268
 42398 VULCAN,10-14 ani, Masculin, Brasov, Anul 2001, Numar persoane,266
