 Localitati ,Varste si grupe de varsta, Sexe, Judete, Ani, UM: Numar persoane, Valoare
 42456 CRIZBAV,0- 4 ani, Masculin, Brasov, Anul 2003, Numar persoane,120
 42456 CRIZBAV,0- 4 ani, Masculin, Brasov, Anul 2004, Numar persoane,124
 42456 CRIZBAV,0- 4 ani, Feminin, Brasov, Anul 2003, Numar persoane,128
 42456 CRIZBAV,0- 4 ani, Feminin, Brasov, Anul 2004, Numar persoane,133
 42456 CRIZBAV,5- 9 ani, Masculin, Brasov, Anul 2003, Numar persoane,111
 42456 CRIZBAV,5- 9 ani, Masculin, Brasov, Anul 2004, Numar persoane,111
 42456 CRIZBAV,5- 9 ani, Feminin, Brasov, Anul 2003, Numar persoane,97
 42456 CRIZBAV,5- 9 ani, Feminin, Brasov, Anul 2004, Numar persoane,86
 42456 CRIZBAV,10-14 ani, Masculin, Brasov, Anul 2003, Numar persoane,102
 42456 CRIZBAV,10-14 ani, Masculin, Brasov, Anul 2004, Numar persoane,104
 42456 CRIZBAV,10-14 ani, Feminin, Brasov, Anul 2003, Numar persoane,116
 42456 CRIZBAV,10-14 ani, Feminin, Brasov, Anul 2004, Numar persoane,124
 42456 CRIZBAV,15-19 ani, Masculin, Brasov, Anul 2003, Numar persoane,95
 42456 CRIZBAV,15-19 ani, Masculin, Brasov, Anul 2004, Numar persoane,93
 42456 CRIZBAV,15-19 ani, Feminin, Brasov, Anul 2003, Numar persoane,95
 42456 CRIZBAV,15-19 ani, Feminin, Brasov, Anul 2004, Numar persoane,93
 42456 CRIZBAV,20-24 ani, Masculin, Brasov, Anul 2003, Numar persoane,105
 42456 CRIZBAV,20-24 ani, Masculin, Brasov, Anul 2004, Numar persoane,118
 42456 CRIZBAV,20-24 ani, Feminin, Brasov, Anul 2003, Numar persoane,95
 42456 CRIZBAV,20-24 ani, Feminin, Brasov, Anul 2004, Numar persoane,104
 42456 CRIZBAV,25-29 ani, Masculin, Brasov, Anul 2003, Numar persoane,91
 42456 CRIZBAV,25-29 ani, Masculin, Brasov, Anul 2004, Numar persoane,87
 42456 CRIZBAV,25-29 ani, Feminin, Brasov, Anul 2003, Numar persoane,89
 42456 CRIZBAV,25-29 ani, Feminin, Brasov, Anul 2004, Numar persoane,89
 42456 CRIZBAV,30-34 ani, Masculin, Brasov, Anul 2003, Numar persoane,81
 42456 CRIZBAV,30-34 ani, Masculin, Brasov, Anul 2004, Numar persoane,78
 42456 CRIZBAV,30-34 ani, Feminin, Brasov, Anul 2003, Numar persoane,56
 42456 CRIZBAV,30-34 ani, Feminin, Brasov, Anul 2004, Numar persoane,64
 42456 CRIZBAV,35-39 ani, Masculin, Brasov, Anul 2003, Numar persoane,45
 42456 CRIZBAV,35-39 ani, Masculin, Brasov, Anul 2004, Numar persoane,55
 42456 CRIZBAV,35-39 ani, Feminin, Brasov, Anul 2003, Numar persoane,42
 42456 CRIZBAV,35-39 ani, Feminin, Brasov, Anul 2004, Numar persoane,43
 42456 CRIZBAV,40-44 ani, Masculin, Brasov, Anul 2003, Numar persoane,47
 42456 CRIZBAV,40-44 ani, Masculin, Brasov, Anul 2004, Numar persoane,50
 42456 CRIZBAV,40-44 ani, Feminin, Brasov, Anul 2003, Numar persoane,46
 42456 CRIZBAV,40-44 ani, Feminin, Brasov, Anul 2004, Numar persoane,45
 42456 CRIZBAV,45-49 ani, Masculin, Brasov, Anul 2003, Numar persoane,54
 42456 CRIZBAV,45-49 ani, Masculin, Brasov, Anul 2004, Numar persoane,43
 42456 CRIZBAV,45-49 ani, Feminin, Brasov, Anul 2003, Numar persoane,60
 42456 CRIZBAV,45-49 ani, Feminin, Brasov, Anul 2004, Numar persoane,52
 42456 CRIZBAV,50-54 ani, Masculin, Brasov, Anul 2003, Numar persoane,51
 42456 CRIZBAV,50-54 ani, Masculin, Brasov, Anul 2004, Numar persoane,60
 42456 CRIZBAV,50-54 ani, Feminin, Brasov, Anul 2003, Numar persoane,48
 42456 CRIZBAV,50-54 ani, Feminin, Brasov, Anul 2004, Numar persoane,54
 42456 CRIZBAV,55-59 ani, Masculin, Brasov, Anul 2003, Numar persoane,28
 42456 CRIZBAV,55-59 ani, Masculin, Brasov, Anul 2004, Numar persoane,29
 42456 CRIZBAV,55-59 ani, Feminin, Brasov, Anul 2003, Numar persoane,36
 42456 CRIZBAV,55-59 ani, Feminin, Brasov, Anul 2004, Numar persoane,44
 42456 CRIZBAV,60-64 ani, Masculin, Brasov, Anul 2003, Numar persoane,37
 42456 CRIZBAV,60-64 ani, Masculin, Brasov, Anul 2004, Numar persoane,33
 42456 CRIZBAV,60-64 ani, Feminin, Brasov, Anul 2003, Numar persoane,39
 42456 CRIZBAV,60-64 ani, Feminin, Brasov, Anul 2004, Numar persoane,32
 42456 CRIZBAV,65-69 ani, Masculin, Brasov, Anul 2003, Numar persoane,27
 42456 CRIZBAV,65-69 ani, Masculin, Brasov, Anul 2004, Numar persoane,28
 42456 CRIZBAV,65-69 ani, Feminin, Brasov, Anul 2003, Numar persoane,33
 42456 CRIZBAV,65-69 ani, Feminin, Brasov, Anul 2004, Numar persoane,36
 42456 CRIZBAV,70-74 ani, Masculin, Brasov, Anul 2003, Numar persoane,24
 42456 CRIZBAV,70-74 ani, Masculin, Brasov, Anul 2004, Numar persoane,24
 42456 CRIZBAV,70-74 ani, Feminin, Brasov, Anul 2003, Numar persoane,38
 42456 CRIZBAV,70-74 ani, Feminin, Brasov, Anul 2004, Numar persoane,30
 42456 CRIZBAV,75-79 ani, Masculin, Brasov, Anul 2003, Numar persoane,24
 42456 CRIZBAV,75-79 ani, Masculin, Brasov, Anul 2004, Numar persoane,24
 42456 CRIZBAV,75-79 ani, Feminin, Brasov, Anul 2003, Numar persoane,26
 42456 CRIZBAV,75-79 ani, Feminin, Brasov, Anul 2004, Numar persoane,28
 42456 CRIZBAV,80-84 ani, Masculin, Brasov, Anul 2003, Numar persoane,8
 42456 CRIZBAV,80-84 ani, Masculin, Brasov, Anul 2004, Numar persoane,7
 42456 CRIZBAV,80-84 ani, Feminin, Brasov, Anul 2003, Numar persoane,22
 42456 CRIZBAV,80-84 ani, Feminin, Brasov, Anul 2004, Numar persoane,18
 42456 CRIZBAV,85 ani si peste, Masculin, Brasov, Anul 2003, Numar persoane,5
 42456 CRIZBAV,85 ani si peste, Masculin, Brasov, Anul 2004, Numar persoane,5
 42456 CRIZBAV,85 ani si peste, Feminin, Brasov, Anul 2003, Numar persoane,8
 42456 CRIZBAV,85 ani si peste, Feminin, Brasov, Anul 2004, Numar persoane,8
 42456 CRIZBAV,0- 4 ani, Masculin, Brasov, Anul 2005, Numar persoane,130
 42456 CRIZBAV,0- 4 ani, Masculin, Brasov, Anul 2006, Numar persoane,148
 42456 CRIZBAV,0- 4 ani, Masculin, Brasov, Anul 2007, Numar persoane,157
 42456 CRIZBAV,0- 4 ani, Masculin, Brasov, Anul 2008, Numar persoane,163
 42456 CRIZBAV,0- 4 ani, Masculin, Brasov, Anul 2009, Numar persoane,169
 42456 CRIZBAV,0- 4 ani, Masculin, Brasov, Anul 2010, Numar persoane,164
 42456 CRIZBAV,0- 4 ani, Masculin, Brasov, Anul 2011, Numar persoane,154
 42456 CRIZBAV,0- 4 ani, Masculin, Brasov, Anul 2012, Numar persoane,141
 42456 CRIZBAV,0- 4 ani, Masculin, Brasov, Anul 2013, Numar persoane,136
 42456 CRIZBAV,0- 4 ani, Masculin, Brasov, Anul 2014, Numar persoane,126
 42456 CRIZBAV,0- 4 ani, Masculin, Brasov, Anul 2015, Numar persoane,129
 42456 CRIZBAV,0- 4 ani, Masculin, Brasov, Anul 2016, Numar persoane,145
 42456 CRIZBAV,0- 4 ani, Masculin, Brasov, Anul 2017, Numar persoane,155
 42456 CRIZBAV,0- 4 ani, Feminin, Brasov, Anul 2005, Numar persoane,137
 42456 CRIZBAV,0- 4 ani, Feminin, Brasov, Anul 2006, Numar persoane,142
 42456 CRIZBAV,0- 4 ani, Feminin, Brasov, Anul 2007, Numar persoane,141
 42456 CRIZBAV,0- 4 ani, Feminin, Brasov, Anul 2008, Numar persoane,146
 42456 CRIZBAV,0- 4 ani, Feminin, Brasov, Anul 2009, Numar persoane,147
 42456 CRIZBAV,0- 4 ani, Feminin, Brasov, Anul 2010, Numar persoane,133
 42456 CRIZBAV,0- 4 ani, Feminin, Brasov, Anul 2011, Numar persoane,135
 42456 CRIZBAV,0- 4 ani, Feminin, Brasov, Anul 2012, Numar persoane,133
 42456 CRIZBAV,0- 4 ani, Feminin, Brasov, Anul 2013, Numar persoane,128
 42456 CRIZBAV,0- 4 ani, Feminin, Brasov, Anul 2014, Numar persoane,123
 42456 CRIZBAV,0- 4 ani, Feminin, Brasov, Anul 2015, Numar persoane,118
 42456 CRIZBAV,0- 4 ani, Feminin, Brasov, Anul 2016, Numar persoane,120
 42456 CRIZBAV,0- 4 ani, Feminin, Brasov, Anul 2017, Numar persoane,118
 42456 CRIZBAV,5- 9 ani, Masculin, Brasov, Anul 2005, Numar persoane,122
 42456 CRIZBAV,5- 9 ani, Masculin, Brasov, Anul 2006, Numar persoane,113
 42456 CRIZBAV,5- 9 ani, Masculin, Brasov, Anul 2007, Numar persoane,116
 42456 CRIZBAV,5- 9 ani, Masculin, Brasov, Anul 2008, Numar persoane,124
 42456 CRIZBAV,5- 9 ani, Masculin, Brasov, Anul 2009, Numar persoane,121
 42456 CRIZBAV,5- 9 ani, Masculin, Brasov, Anul 2010, Numar persoane,132
 42456 CRIZBAV,5- 9 ani, Masculin, Brasov, Anul 2011, Numar persoane,154
 42456 CRIZBAV,5- 9 ani, Masculin, Brasov, Anul 2012, Numar persoane,157
 42456 CRIZBAV,5- 9 ani, Masculin, Brasov, Anul 2013, Numar persoane,157
 42456 CRIZBAV,5- 9 ani, Masculin, Brasov, Anul 2014, Numar persoane,168
 42456 CRIZBAV,5- 9 ani, Masculin, Brasov, Anul 2015, Numar persoane,161
 42456 CRIZBAV,5- 9 ani, Masculin, Brasov, Anul 2016, Numar persoane,152
