 Localitati ,Varste si grupe de varsta, Sexe, Judete, Ani, UM: Numar persoane, Valoare
 54975 MUNICIPIUL CLUJ-NAPOCA,0- 4 ani, Masculin, Cluj, Anul 1992, Numar persoane,10218
 54975 MUNICIPIUL CLUJ-NAPOCA,0- 4 ani, Masculin, Cluj, Anul 1993, Numar persoane,9676
 54975 MUNICIPIUL CLUJ-NAPOCA,0- 4 ani, Masculin, Cluj, Anul 1994, Numar persoane,8835
 54975 MUNICIPIUL CLUJ-NAPOCA,0- 4 ani, Masculin, Cluj, Anul 1995, Numar persoane,8162
 54975 MUNICIPIUL CLUJ-NAPOCA,0- 4 ani, Masculin, Cluj, Anul 1996, Numar persoane,7512
 54975 MUNICIPIUL CLUJ-NAPOCA,0- 4 ani, Masculin, Cluj, Anul 1997, Numar persoane,6879
 54975 MUNICIPIUL CLUJ-NAPOCA,0- 4 ani, Masculin, Cluj, Anul 1998, Numar persoane,6589
 54975 MUNICIPIUL CLUJ-NAPOCA,0- 4 ani, Masculin, Cluj, Anul 1999, Numar persoane,6383
 54975 MUNICIPIUL CLUJ-NAPOCA,0- 4 ani, Masculin, Cluj, Anul 2000, Numar persoane,6095
 54975 MUNICIPIUL CLUJ-NAPOCA,0- 4 ani, Feminin, Cluj, Anul 1992, Numar persoane,9709
 54975 MUNICIPIUL CLUJ-NAPOCA,0- 4 ani, Feminin, Cluj, Anul 1993, Numar persoane,9092
 54975 MUNICIPIUL CLUJ-NAPOCA,0- 4 ani, Feminin, Cluj, Anul 1994, Numar persoane,8214
 54975 MUNICIPIUL CLUJ-NAPOCA,0- 4 ani, Feminin, Cluj, Anul 1995, Numar persoane,7479
 54975 MUNICIPIUL CLUJ-NAPOCA,0- 4 ani, Feminin, Cluj, Anul 1996, Numar persoane,6880
 54975 MUNICIPIUL CLUJ-NAPOCA,0- 4 ani, Feminin, Cluj, Anul 1997, Numar persoane,6459
