 Localitati ,Varste si grupe de varsta, Sexe, Judete, Ani, UM: Numar persoane, Valoare
 55311 SANDULESTI,0- 4 ani, Masculin, Cluj, Anul 1992, Numar persoane,57
 55311 SANDULESTI,0- 4 ani, Masculin, Cluj, Anul 1993, Numar persoane,56
 55311 SANDULESTI,0- 4 ani, Masculin, Cluj, Anul 1994, Numar persoane,57
 55311 SANDULESTI,0- 4 ani, Masculin, Cluj, Anul 1995, Numar persoane,50
 55311 SANDULESTI,0- 4 ani, Masculin, Cluj, Anul 1996, Numar persoane,47
 55311 SANDULESTI,0- 4 ani, Masculin, Cluj, Anul 1997, Numar persoane,45
 55311 SANDULESTI,0- 4 ani, Masculin, Cluj, Anul 1998, Numar persoane,42
 55311 SANDULESTI,0- 4 ani, Masculin, Cluj, Anul 1999, Numar persoane,38
 55311 SANDULESTI,0- 4 ani, Masculin, Cluj, Anul 2000, Numar persoane,45
 55311 SANDULESTI,0- 4 ani, Feminin, Cluj, Anul 1992, Numar persoane,46
 55311 SANDULESTI,0- 4 ani, Feminin, Cluj, Anul 1993, Numar persoane,50
 55311 SANDULESTI,0- 4 ani, Feminin, Cluj, Anul 1994, Numar persoane,46
 55311 SANDULESTI,0- 4 ani, Feminin, Cluj, Anul 1995, Numar persoane,45
 55311 SANDULESTI,0- 4 ani, Feminin, Cluj, Anul 1996, Numar persoane,43
 55311 SANDULESTI,0- 4 ani, Feminin, Cluj, Anul 1997, Numar persoane,37
 55311 SANDULESTI,0- 4 ani, Feminin, Cluj, Anul 1998, Numar persoane,38
 55311 SANDULESTI,0- 4 ani, Feminin, Cluj, Anul 1999, Numar persoane,37
 55311 SANDULESTI,0- 4 ani, Feminin, Cluj, Anul 2000, Numar persoane,37
 55311 SANDULESTI,5- 9 ani, Masculin, Cluj, Anul 1992, Numar persoane,36
 55311 SANDULESTI,5- 9 ani, Masculin, Cluj, Anul 1993, Numar persoane,37
 55311 SANDULESTI,5- 9 ani, Masculin, Cluj, Anul 1994, Numar persoane,34
 55311 SANDULESTI,5- 9 ani, Masculin, Cluj, Anul 1995, Numar persoane,41
 55311 SANDULESTI,5- 9 ani, Masculin, Cluj, Anul 1996, Numar persoane,47
 55311 SANDULESTI,5- 9 ani, Masculin, Cluj, Anul 1997, Numar persoane,51
 55311 SANDULESTI,5- 9 ani, Masculin, Cluj, Anul 1998, Numar persoane,54
 55311 SANDULESTI,5- 9 ani, Masculin, Cluj, Anul 1999, Numar persoane,67
 55311 SANDULESTI,5- 9 ani, Masculin, Cluj, Anul 2000, Numar persoane,56
 55311 SANDULESTI,5- 9 ani, Feminin, Cluj, Anul 1992, Numar persoane,30
 55311 SANDULESTI,5- 9 ani, Feminin, Cluj, Anul 1993, Numar persoane,34
 55311 SANDULESTI,5- 9 ani, Feminin, Cluj, Anul 1994, Numar persoane,37
 55311 SANDULESTI,5- 9 ani, Feminin, Cluj, Anul 1995, Numar persoane,44
 55311 SANDULESTI,5- 9 ani, Feminin, Cluj, Anul 1996, Numar persoane,47
 55311 SANDULESTI,5- 9 ani, Feminin, Cluj, Anul 1997, Numar persoane,53
 55311 SANDULESTI,5- 9 ani, Feminin, Cluj, Anul 1998, Numar persoane,57
 55311 SANDULESTI,5- 9 ani, Feminin, Cluj, Anul 1999, Numar persoane,48
 55311 SANDULESTI,5- 9 ani, Feminin, Cluj, Anul 2000, Numar persoane,44
 55311 SANDULESTI,10-14 ani, Masculin, Cluj, Anul 1992, Numar persoane,60
 55311 SANDULESTI,10-14 ani, Masculin, Cluj, Anul 1993, Numar persoane,54
 55311 SANDULESTI,10-14 ani, Masculin, Cluj, Anul 1994, Numar persoane,44
