 Localitati ,Varste si grupe de varsta, Sexe, Judete, Ani, UM: Numar persoane, Valoare
 56265 BORSA,0- 4 ani, Masculin, Cluj, Anul 1992, Numar persoane,63
 56265 BORSA,0- 4 ani, Masculin, Cluj, Anul 1993, Numar persoane,56
 56265 BORSA,0- 4 ani, Masculin, Cluj, Anul 1994, Numar persoane,60
 56265 BORSA,0- 4 ani, Masculin, Cluj, Anul 1995, Numar persoane,44
 56265 BORSA,0- 4 ani, Masculin, Cluj, Anul 1996, Numar persoane,37
 56265 BORSA,0- 4 ani, Masculin, Cluj, Anul 1997, Numar persoane,37
 56265 BORSA,0- 4 ani, Masculin, Cluj, Anul 1998, Numar persoane,48
 56265 BORSA,0- 4 ani, Masculin, Cluj, Anul 1999, Numar persoane,45
 56265 BORSA,0- 4 ani, Masculin, Cluj, Anul 2000, Numar persoane,54
 56265 BORSA,0- 4 ani, Feminin, Cluj, Anul 1992, Numar persoane,65
 56265 BORSA,0- 4 ani, Feminin, Cluj, Anul 1993, Numar persoane,64
 56265 BORSA,0- 4 ani, Feminin, Cluj, Anul 1994, Numar persoane,66
 56265 BORSA,0- 4 ani, Feminin, Cluj, Anul 1995, Numar persoane,55
 56265 BORSA,0- 4 ani, Feminin, Cluj, Anul 1996, Numar persoane,53
 56265 BORSA,0- 4 ani, Feminin, Cluj, Anul 1997, Numar persoane,53
 56265 BORSA,0- 4 ani, Feminin, Cluj, Anul 1998, Numar persoane,47
 56265 BORSA,0- 4 ani, Feminin, Cluj, Anul 1999, Numar persoane,41
 56265 BORSA,0- 4 ani, Feminin, Cluj, Anul 2000, Numar persoane,41
 56265 BORSA,5- 9 ani, Masculin, Cluj, Anul 1992, Numar persoane,42
 56265 BORSA,5- 9 ani, Masculin, Cluj, Anul 1993, Numar persoane,42
 56265 BORSA,5- 9 ani, Masculin, Cluj, Anul 1994, Numar persoane,47
 56265 BORSA,5- 9 ani, Masculin, Cluj, Anul 1995, Numar persoane,59
 56265 BORSA,5- 9 ani, Masculin, Cluj, Anul 1996, Numar persoane,58
 56265 BORSA,5- 9 ani, Masculin, Cluj, Anul 1997, Numar persoane,56
 56265 BORSA,5- 9 ani, Masculin, Cluj, Anul 1998, Numar persoane,51
 56265 BORSA,5- 9 ani, Masculin, Cluj, Anul 1999, Numar persoane,55
 56265 BORSA,5- 9 ani, Masculin, Cluj, Anul 2000, Numar persoane,47
 56265 BORSA,5- 9 ani, Feminin, Cluj, Anul 1992, Numar persoane,35
 56265 BORSA,5- 9 ani, Feminin, Cluj, Anul 1993, Numar persoane,41
 56265 BORSA,5- 9 ani, Feminin, Cluj, Anul 1994, Numar persoane,47
 56265 BORSA,5- 9 ani, Feminin, Cluj, Anul 1995, Numar persoane,55
 56265 BORSA,5- 9 ani, Feminin, Cluj, Anul 1996, Numar persoane,56
 56265 BORSA,5- 9 ani, Feminin, Cluj, Anul 1997, Numar persoane,57
 56265 BORSA,5- 9 ani, Feminin, Cluj, Anul 1998, Numar persoane,59
 56265 BORSA,5- 9 ani, Feminin, Cluj, Anul 1999, Numar persoane,59
 56265 BORSA,5- 9 ani, Feminin, Cluj, Anul 2000, Numar persoane,52
 56265 BORSA,10-14 ani, Masculin, Cluj, Anul 1992, Numar persoane,53
 56265 BORSA,10-14 ani, Masculin, Cluj, Anul 1993, Numar persoane,46
