 Localitati ,Varste si grupe de varsta, Sexe, Judete, Ani, UM: Numar persoane, Valoare
 56461 CALATELE,0- 4 ani, Masculin, Cluj, Anul 1992, Numar persoane,83
 56461 CALATELE,0- 4 ani, Masculin, Cluj, Anul 1993, Numar persoane,77
 56461 CALATELE,0- 4 ani, Masculin, Cluj, Anul 1994, Numar persoane,80
 56461 CALATELE,0- 4 ani, Masculin, Cluj, Anul 1995, Numar persoane,82
 56461 CALATELE,0- 4 ani, Masculin, Cluj, Anul 1996, Numar persoane,79
 56461 CALATELE,0- 4 ani, Masculin, Cluj, Anul 1997, Numar persoane,86
 56461 CALATELE,0- 4 ani, Masculin, Cluj, Anul 1998, Numar persoane,78
 56461 CALATELE,0- 4 ani, Masculin, Cluj, Anul 1999, Numar persoane,76
 56461 CALATELE,0- 4 ani, Masculin, Cluj, Anul 2000, Numar persoane,75
 56461 CALATELE,0- 4 ani, Feminin, Cluj, Anul 1992, Numar persoane,99
 56461 CALATELE,0- 4 ani, Feminin, Cluj, Anul 1993, Numar persoane,97
 56461 CALATELE,0- 4 ani, Feminin, Cluj, Anul 1994, Numar persoane,86
 56461 CALATELE,0- 4 ani, Feminin, Cluj, Anul 1995, Numar persoane,77
 56461 CALATELE,0- 4 ani, Feminin, Cluj, Anul 1996, Numar persoane,81
 56461 CALATELE,0- 4 ani, Feminin, Cluj, Anul 1997, Numar persoane,77
 56461 CALATELE,0- 4 ani, Feminin, Cluj, Anul 1998, Numar persoane,79
 56461 CALATELE,0- 4 ani, Feminin, Cluj, Anul 1999, Numar persoane,83
 56461 CALATELE,0- 4 ani, Feminin, Cluj, Anul 2000, Numar persoane,86
 56461 CALATELE,5- 9 ani, Masculin, Cluj, Anul 1992, Numar persoane,98
 56461 CALATELE,5- 9 ani, Masculin, Cluj, Anul 1993, Numar persoane,95
 56461 CALATELE,5- 9 ani, Masculin, Cluj, Anul 1994, Numar persoane,85
 56461 CALATELE,5- 9 ani, Masculin, Cluj, Anul 1995, Numar persoane,87
 56461 CALATELE,5- 9 ani, Masculin, Cluj, Anul 1996, Numar persoane,82
 56461 CALATELE,5- 9 ani, Masculin, Cluj, Anul 1997, Numar persoane,69
 56461 CALATELE,5- 9 ani, Masculin, Cluj, Anul 1998, Numar persoane,71
 56461 CALATELE,5- 9 ani, Masculin, Cluj, Anul 1999, Numar persoane,77
 56461 CALATELE,5- 9 ani, Masculin, Cluj, Anul 2000, Numar persoane,83
 56461 CALATELE,5- 9 ani, Feminin, Cluj, Anul 1992, Numar persoane,94
 56461 CALATELE,5- 9 ani, Feminin, Cluj, Anul 1993, Numar persoane,90
 56461 CALATELE,5- 9 ani, Feminin, Cluj, Anul 1994, Numar persoane,95
 56461 CALATELE,5- 9 ani, Feminin, Cluj, Anul 1995, Numar persoane,99
 56461 CALATELE,5- 9 ani, Feminin, Cluj, Anul 1996, Numar persoane,95
 56461 CALATELE,5- 9 ani, Feminin, Cluj, Anul 1997, Numar persoane,92
 56461 CALATELE,5- 9 ani, Feminin, Cluj, Anul 1998, Numar persoane,92
 56461 CALATELE,5- 9 ani, Feminin, Cluj, Anul 1999, Numar persoane,82
 56461 CALATELE,5- 9 ani, Feminin, Cluj, Anul 2000, Numar persoane,75
 56461 CALATELE,10-14 ani, Masculin, Cluj, Anul 1992, Numar persoane,110
 56461 CALATELE,10-14 ani, Masculin, Cluj, Anul 1993, Numar persoane,112
 56461 CALATELE,10-14 ani, Masculin, Cluj, Anul 1994, Numar persoane,97
 56461 CALATELE,10-14 ani, Masculin, Cluj, Anul 1995, Numar persoane,85
 56461 CALATELE,10-14 ani, Masculin, Cluj, Anul 1996, Numar persoane,89
 56461 CALATELE,10-14 ani, Masculin, Cluj, Anul 1997, Numar persoane,87
 56461 CALATELE,10-14 ani, Masculin, Cluj, Anul 1998, Numar persoane,85
 56461 CALATELE,10-14 ani, Masculin, Cluj, Anul 1999, Numar persoane,80
 56461 CALATELE,10-14 ani, Masculin, Cluj, Anul 2000, Numar persoane,82
 56461 CALATELE,10-14 ani, Feminin, Cluj, Anul 1992, Numar persoane,99
 56461 CALATELE,10-14 ani, Feminin, Cluj, Anul 1993, Numar persoane,91
 56461 CALATELE,10-14 ani, Feminin, Cluj, Anul 1994, Numar persoane,95
 56461 CALATELE,10-14 ani, Feminin, Cluj, Anul 1995, Numar persoane,96
 56461 CALATELE,10-14 ani, Feminin, Cluj, Anul 1996, Numar persoane,96
 56461 CALATELE,10-14 ani, Feminin, Cluj, Anul 1997, Numar persoane,86
 56461 CALATELE,10-14 ani, Feminin, Cluj, Anul 1998, Numar persoane,86
 56461 CALATELE,10-14 ani, Feminin, Cluj, Anul 1999, Numar persoane,95
 56461 CALATELE,10-14 ani, Feminin, Cluj, Anul 2000, Numar persoane,100
 56461 CALATELE,15-19 ani, Masculin, Cluj, Anul 1992, Numar persoane,135
 56461 CALATELE,15-19 ani, Masculin, Cluj, Anul 1993, Numar persoane,124
 56461 CALATELE,15-19 ani, Masculin, Cluj, Anul 1994, Numar persoane,119
 56461 CALATELE,15-19 ani, Masculin, Cluj, Anul 1995, Numar persoane,117
 56461 CALATELE,15-19 ani, Masculin, Cluj, Anul 1996, Numar persoane,104
 56461 CALATELE,15-19 ani, Masculin, Cluj, Anul 1997, Numar persoane,107
 56461 CALATELE,15-19 ani, Masculin, Cluj, Anul 1998, Numar persoane,108
 56461 CALATELE,15-19 ani, Masculin, Cluj, Anul 1999, Numar persoane,95
 56461 CALATELE,15-19 ani, Masculin, Cluj, Anul 2000, Numar persoane,84
 56461 CALATELE,15-19 ani, Feminin, Cluj, Anul 1992, Numar persoane,140
 56461 CALATELE,15-19 ani, Feminin, Cluj, Anul 1993, Numar persoane,125
 56461 CALATELE,15-19 ani, Feminin, Cluj, Anul 1994, Numar persoane,114
 56461 CALATELE,15-19 ani, Feminin, Cluj, Anul 1995, Numar persoane,102
 56461 CALATELE,15-19 ani, Feminin, Cluj, Anul 1996, Numar persoane,93
 56461 CALATELE,15-19 ani, Feminin, Cluj, Anul 1997, Numar persoane,94
 56461 CALATELE,15-19 ani, Feminin, Cluj, Anul 1998, Numar persoane,85
 56461 CALATELE,15-19 ani, Feminin, Cluj, Anul 1999, Numar persoane,88
 56461 CALATELE,15-19 ani, Feminin, Cluj, Anul 2000, Numar persoane,92
 56461 CALATELE,20-24 ani, Masculin, Cluj, Anul 1992, Numar persoane,165
 56461 CALATELE,20-24 ani, Masculin, Cluj, Anul 1993, Numar persoane,166
 56461 CALATELE,20-24 ani, Masculin, Cluj, Anul 1994, Numar persoane,166
 56461 CALATELE,20-24 ani, Masculin, Cluj, Anul 1995, Numar persoane,148
 56461 CALATELE,20-24 ani, Masculin, Cluj, Anul 1996, Numar persoane,148
 56461 CALATELE,20-24 ani, Masculin, Cluj, Anul 1997, Numar persoane,132
 56461 CALATELE,20-24 ani, Masculin, Cluj, Anul 1998, Numar persoane,122
 56461 CALATELE,20-24 ani, Masculin, Cluj, Anul 1999, Numar persoane,118
 56461 CALATELE,20-24 ani, Masculin, Cluj, Anul 2000, Numar persoane,115
 56461 CALATELE,20-24 ani, Feminin, Cluj, Anul 1992, Numar persoane,130
 56461 CALATELE,20-24 ani, Feminin, Cluj, Anul 1993, Numar persoane,127
 56461 CALATELE,20-24 ani, Feminin, Cluj, Anul 1994, Numar persoane,123
 56461 CALATELE,20-24 ani, Feminin, Cluj, Anul 1995, Numar persoane,123
 56461 CALATELE,20-24 ani, Feminin, Cluj, Anul 1996, Numar persoane,130
 56461 CALATELE,20-24 ani, Feminin, Cluj, Anul 1997, Numar persoane,122
 56461 CALATELE,20-24 ani, Feminin, Cluj, Anul 1998, Numar persoane,111
 56461 CALATELE,20-24 ani, Feminin, Cluj, Anul 1999, Numar persoane,104
 56461 CALATELE,20-24 ani, Feminin, Cluj, Anul 2000, Numar persoane,99
 56461 CALATELE,25-29 ani, Masculin, Cluj, Anul 1992, Numar persoane,123
 56461 CALATELE,25-29 ani, Masculin, Cluj, Anul 1993, Numar persoane,124
 56461 CALATELE,25-29 ani, Masculin, Cluj, Anul 1994, Numar persoane,124
 56461 CALATELE,25-29 ani, Masculin, Cluj, Anul 1995, Numar persoane,130
 56461 CALATELE,25-29 ani, Masculin, Cluj, Anul 1996, Numar persoane,130
 56461 CALATELE,25-29 ani, Masculin, Cluj, Anul 1997, Numar persoane,137
 56461 CALATELE,25-29 ani, Masculin, Cluj, Anul 1998, Numar persoane,133
 56461 CALATELE,25-29 ani, Masculin, Cluj, Anul 1999, Numar persoane,137
 56461 CALATELE,25-29 ani, Masculin, Cluj, Anul 2000, Numar persoane,128
 56461 CALATELE,25-29 ani, Feminin, Cluj, Anul 1992, Numar persoane,66
 56461 CALATELE,25-29 ani, Feminin, Cluj, Anul 1993, Numar persoane,85
 56461 CALATELE,25-29 ani, Feminin, Cluj, Anul 1994, Numar persoane,94
 56461 CALATELE,25-29 ani, Feminin, Cluj, Anul 1995, Numar persoane,103
 56461 CALATELE,25-29 ani, Feminin, Cluj, Anul 1996, Numar persoane,95
 56461 CALATELE,25-29 ani, Feminin, Cluj, Anul 1997, Numar persoane,99
 56461 CALATELE,25-29 ani, Feminin, Cluj, Anul 1998, Numar persoane,108
 56461 CALATELE,25-29 ani, Feminin, Cluj, Anul 1999, Numar persoane,100
 56461 CALATELE,25-29 ani, Feminin, Cluj, Anul 2000, Numar persoane,109
 56461 CALATELE,30-34 ani, Masculin, Cluj, Anul 1992, Numar persoane,84
 56461 CALATELE,30-34 ani, Masculin, Cluj, Anul 1993, Numar persoane,83
 56461 CALATELE,30-34 ani, Masculin, Cluj, Anul 1994, Numar persoane,92
 56461 CALATELE,30-34 ani, Masculin, Cluj, Anul 1995, Numar persoane,99
 56461 CALATELE,30-34 ani, Masculin, Cluj, Anul 1996, Numar persoane,99
 56461 CALATELE,30-34 ani, Masculin, Cluj, Anul 1997, Numar persoane,106
 56461 CALATELE,30-34 ani, Masculin, Cluj, Anul 1998, Numar persoane,112
 56461 CALATELE,30-34 ani, Masculin, Cluj, Anul 1999, Numar persoane,106
 56461 CALATELE,30-34 ani, Masculin, Cluj, Anul 2000, Numar persoane,118
 56461 CALATELE,30-34 ani, Feminin, Cluj, Anul 1992, Numar persoane,80
 56461 CALATELE,30-34 ani, Feminin, Cluj, Anul 1993, Numar persoane,59
 56461 CALATELE,30-34 ani, Feminin, Cluj, Anul 1994, Numar persoane,52
 56461 CALATELE,30-34 ani, Feminin, Cluj, Anul 1995, Numar persoane,41
