 Localitati ,Varste si grupe de varsta, Sexe, Judete, Ani, UM: Numar persoane, Valoare
 57350 COJOCNA,0- 4 ani, Masculin, Cluj, Anul 1992, Numar persoane,142
 57350 COJOCNA,0- 4 ani, Masculin, Cluj, Anul 1993, Numar persoane,148
 57350 COJOCNA,0- 4 ani, Masculin, Cluj, Anul 1994, Numar persoane,151
 57350 COJOCNA,0- 4 ani, Masculin, Cluj, Anul 1995, Numar persoane,151
 57350 COJOCNA,0- 4 ani, Masculin, Cluj, Anul 1996, Numar persoane,145
 57350 COJOCNA,0- 4 ani, Masculin, Cluj, Anul 1997, Numar persoane,134
 57350 COJOCNA,0- 4 ani, Masculin, Cluj, Anul 1998, Numar persoane,124
 57350 COJOCNA,0- 4 ani, Masculin, Cluj, Anul 1999, Numar persoane,115
 57350 COJOCNA,0- 4 ani, Masculin, Cluj, Anul 2000, Numar persoane,117
 57350 COJOCNA,0- 4 ani, Feminin, Cluj, Anul 1992, Numar persoane,179
 57350 COJOCNA,0- 4 ani, Feminin, Cluj, Anul 1993, Numar persoane,154
 57350 COJOCNA,0- 4 ani, Feminin, Cluj, Anul 1994, Numar persoane,138
 57350 COJOCNA,0- 4 ani, Feminin, Cluj, Anul 1995, Numar persoane,133
 57350 COJOCNA,0- 4 ani, Feminin, Cluj, Anul 1996, Numar persoane,123
 57350 COJOCNA,0- 4 ani, Feminin, Cluj, Anul 1997, Numar persoane,102
 57350 COJOCNA,0- 4 ani, Feminin, Cluj, Anul 1998, Numar persoane,96
 57350 COJOCNA,0- 4 ani, Feminin, Cluj, Anul 1999, Numar persoane,95
 57350 COJOCNA,0- 4 ani, Feminin, Cluj, Anul 2000, Numar persoane,104
 57350 COJOCNA,5- 9 ani, Masculin, Cluj, Anul 1992, Numar persoane,141
 57350 COJOCNA,5- 9 ani, Masculin, Cluj, Anul 1993, Numar persoane,137
 57350 COJOCNA,5- 9 ani, Masculin, Cluj, Anul 1994, Numar persoane,141
 57350 COJOCNA,5- 9 ani, Masculin, Cluj, Anul 1995, Numar persoane,147
 57350 COJOCNA,5- 9 ani, Masculin, Cluj, Anul 1996, Numar persoane,147
 57350 COJOCNA,5- 9 ani, Masculin, Cluj, Anul 1997, Numar persoane,143
 57350 COJOCNA,5- 9 ani, Masculin, Cluj, Anul 1998, Numar persoane,153
 57350 COJOCNA,5- 9 ani, Masculin, Cluj, Anul 1999, Numar persoane,153
 57350 COJOCNA,5- 9 ani, Masculin, Cluj, Anul 2000, Numar persoane,155
 57350 COJOCNA,5- 9 ani, Feminin, Cluj, Anul 1992, Numar persoane,130
 57350 COJOCNA,5- 9 ani, Feminin, Cluj, Anul 1993, Numar persoane,136
 57350 COJOCNA,5- 9 ani, Feminin, Cluj, Anul 1994, Numar persoane,142
 57350 COJOCNA,5- 9 ani, Feminin, Cluj, Anul 1995, Numar persoane,137
 57350 COJOCNA,5- 9 ani, Feminin, Cluj, Anul 1996, Numar persoane,143
 57350 COJOCNA,5- 9 ani, Feminin, Cluj, Anul 1997, Numar persoane,166
 57350 COJOCNA,5- 9 ani, Feminin, Cluj, Anul 1998, Numar persoane,158
 57350 COJOCNA,5- 9 ani, Feminin, Cluj, Anul 1999, Numar persoane,146
 57350 COJOCNA,5- 9 ani, Feminin, Cluj, Anul 2000, Numar persoane,142
 57350 COJOCNA,10-14 ani, Masculin, Cluj, Anul 1992, Numar persoane,183
 57350 COJOCNA,10-14 ani, Masculin, Cluj, Anul 1993, Numar persoane,171
 57350 COJOCNA,10-14 ani, Masculin, Cluj, Anul 1994, Numar persoane,159
 57350 COJOCNA,10-14 ani, Masculin, Cluj, Anul 1995, Numar persoane,136
 57350 COJOCNA,10-14 ani, Masculin, Cluj, Anul 1996, Numar persoane,133
