 Localitati ,Varste si grupe de varsta, Sexe, Judete, Ani, UM: Numar persoane, Valoare
 57546 DABICA,0- 4 ani, Masculin, Cluj, Anul 1992, Numar persoane,45
 57546 DABICA,0- 4 ani, Masculin, Cluj, Anul 1993, Numar persoane,48
 57546 DABICA,0- 4 ani, Masculin, Cluj, Anul 1994, Numar persoane,43
 57546 DABICA,0- 4 ani, Masculin, Cluj, Anul 1995, Numar persoane,43
 57546 DABICA,0- 4 ani, Masculin, Cluj, Anul 1996, Numar persoane,36
 57546 DABICA,0- 4 ani, Masculin, Cluj, Anul 1997, Numar persoane,36
 57546 DABICA,0- 4 ani, Masculin, Cluj, Anul 1998, Numar persoane,38
 57546 DABICA,0- 4 ani, Masculin, Cluj, Anul 1999, Numar persoane,47
 57546 DABICA,0- 4 ani, Masculin, Cluj, Anul 2000, Numar persoane,42
 57546 DABICA,0- 4 ani, Feminin, Cluj, Anul 1992, Numar persoane,44
 57546 DABICA,0- 4 ani, Feminin, Cluj, Anul 1993, Numar persoane,43
 57546 DABICA,0- 4 ani, Feminin, Cluj, Anul 1994, Numar persoane,44
 57546 DABICA,0- 4 ani, Feminin, Cluj, Anul 1995, Numar persoane,32
 57546 DABICA,0- 4 ani, Feminin, Cluj, Anul 1996, Numar persoane,27
 57546 DABICA,0- 4 ani, Feminin, Cluj, Anul 1997, Numar persoane,26
 57546 DABICA,0- 4 ani, Feminin, Cluj, Anul 1998, Numar persoane,26
 57546 DABICA,0- 4 ani, Feminin, Cluj, Anul 1999, Numar persoane,28
 57546 DABICA,0- 4 ani, Feminin, Cluj, Anul 2000, Numar persoane,29
 57546 DABICA,5- 9 ani, Masculin, Cluj, Anul 1992, Numar persoane,39
 57546 DABICA,5- 9 ani, Masculin, Cluj, Anul 1993, Numar persoane,40
 57546 DABICA,5- 9 ani, Masculin, Cluj, Anul 1994, Numar persoane,39
 57546 DABICA,5- 9 ani, Masculin, Cluj, Anul 1995, Numar persoane,38
 57546 DABICA,5- 9 ani, Masculin, Cluj, Anul 1996, Numar persoane,48
 57546 DABICA,5- 9 ani, Masculin, Cluj, Anul 1997, Numar persoane,47
 57546 DABICA,5- 9 ani, Masculin, Cluj, Anul 1998, Numar persoane,46
 57546 DABICA,5- 9 ani, Masculin, Cluj, Anul 1999, Numar persoane,43
 57546 DABICA,5- 9 ani, Masculin, Cluj, Anul 2000, Numar persoane,46
 57546 DABICA,5- 9 ani, Feminin, Cluj, Anul 1992, Numar persoane,32
 57546 DABICA,5- 9 ani, Feminin, Cluj, Anul 1993, Numar persoane,26
 57546 DABICA,5- 9 ani, Feminin, Cluj, Anul 1994, Numar persoane,27
 57546 DABICA,5- 9 ani, Feminin, Cluj, Anul 1995, Numar persoane,38
 57546 DABICA,5- 9 ani, Feminin, Cluj, Anul 1996, Numar persoane,42
