 Localitati ,Varste si grupe de varsta, Sexe, Judete, Ani, UM: Numar persoane, Valoare
 58357 MAGURI-RACATAU,0- 4 ani, Masculin, Cluj, Anul 1992, Numar persoane,142
 58357 MAGURI-RACATAU,0- 4 ani, Masculin, Cluj, Anul 1993, Numar persoane,140
 58357 MAGURI-RACATAU,0- 4 ani, Masculin, Cluj, Anul 1994, Numar persoane,126
 58357 MAGURI-RACATAU,0- 4 ani, Masculin, Cluj, Anul 1995, Numar persoane,116
 58357 MAGURI-RACATAU,0- 4 ani, Masculin, Cluj, Anul 1996, Numar persoane,109
 58357 MAGURI-RACATAU,0- 4 ani, Masculin, Cluj, Anul 1997, Numar persoane,87
 58357 MAGURI-RACATAU,0- 4 ani, Masculin, Cluj, Anul 1998, Numar persoane,86
 58357 MAGURI-RACATAU,0- 4 ani, Masculin, Cluj, Anul 1999, Numar persoane,84
 58357 MAGURI-RACATAU,0- 4 ani, Masculin, Cluj, Anul 2000, Numar persoane,90
 58357 MAGURI-RACATAU,0- 4 ani, Feminin, Cluj, Anul 1992, Numar persoane,133
 58357 MAGURI-RACATAU,0- 4 ani, Feminin, Cluj, Anul 1993, Numar persoane,125
 58357 MAGURI-RACATAU,0- 4 ani, Feminin, Cluj, Anul 1994, Numar persoane,111
 58357 MAGURI-RACATAU,0- 4 ani, Feminin, Cluj, Anul 1995, Numar persoane,111
 58357 MAGURI-RACATAU,0- 4 ani, Feminin, Cluj, Anul 1996, Numar persoane,106
 58357 MAGURI-RACATAU,0- 4 ani, Feminin, Cluj, Anul 1997, Numar persoane,99
 58357 MAGURI-RACATAU,0- 4 ani, Feminin, Cluj, Anul 1998, Numar persoane,116
 58357 MAGURI-RACATAU,0- 4 ani, Feminin, Cluj, Anul 1999, Numar persoane,114
 58357 MAGURI-RACATAU,0- 4 ani, Feminin, Cluj, Anul 2000, Numar persoane,104
 58357 MAGURI-RACATAU,5- 9 ani, Masculin, Cluj, Anul 1992, Numar persoane,133
 58357 MAGURI-RACATAU,5- 9 ani, Masculin, Cluj, Anul 1993, Numar persoane,128
 58357 MAGURI-RACATAU,5- 9 ani, Masculin, Cluj, Anul 1994, Numar persoane,127
 58357 MAGURI-RACATAU,5- 9 ani, Masculin, Cluj, Anul 1995, Numar persoane,124
 58357 MAGURI-RACATAU,5- 9 ani, Masculin, Cluj, Anul 1996, Numar persoane,122
 58357 MAGURI-RACATAU,5- 9 ani, Masculin, Cluj, Anul 1997, Numar persoane,120
 58357 MAGURI-RACATAU,5- 9 ani, Masculin, Cluj, Anul 1998, Numar persoane,122
 58357 MAGURI-RACATAU,5- 9 ani, Masculin, Cluj, Anul 1999, Numar persoane,115
 58357 MAGURI-RACATAU,5- 9 ani, Masculin, Cluj, Anul 2000, Numar persoane,105
 58357 MAGURI-RACATAU,5- 9 ani, Feminin, Cluj, Anul 1992, Numar persoane,93
 58357 MAGURI-RACATAU,5- 9 ani, Feminin, Cluj, Anul 1993, Numar persoane,87
 58357 MAGURI-RACATAU,5- 9 ani, Feminin, Cluj, Anul 1994, Numar persoane,87
 58357 MAGURI-RACATAU,5- 9 ani, Feminin, Cluj, Anul 1995, Numar persoane,82
 58357 MAGURI-RACATAU,5- 9 ani, Feminin, Cluj, Anul 1996, Numar persoane,90
 58357 MAGURI-RACATAU,5- 9 ani, Feminin, Cluj, Anul 1997, Numar persoane,103
 58357 MAGURI-RACATAU,5- 9 ani, Feminin, Cluj, Anul 1998, Numar persoane,98
 58357 MAGURI-RACATAU,5- 9 ani, Feminin, Cluj, Anul 1999, Numar persoane,93
 58357 MAGURI-RACATAU,5- 9 ani, Feminin, Cluj, Anul 2000, Numar persoane,104
 58357 MAGURI-RACATAU,10-14 ani, Masculin, Cluj, Anul 1992, Numar persoane,146
 58357 MAGURI-RACATAU,10-14 ani, Masculin, Cluj, Anul 1993, Numar persoane,140
 58357 MAGURI-RACATAU,10-14 ani, Masculin, Cluj, Anul 1994, Numar persoane,129
 58357 MAGURI-RACATAU,10-14 ani, Masculin, Cluj, Anul 1995, Numar persoane,125
