 Localitati ,Varste si grupe de varsta, Sexe, Judete, Ani, UM: Numar persoane, Valoare
 58464 MARGAU,0- 4 ani, Masculin, Cluj, Anul 1992, Numar persoane,64
 58464 MARGAU,0- 4 ani, Masculin, Cluj, Anul 1993, Numar persoane,64
 58464 MARGAU,0- 4 ani, Masculin, Cluj, Anul 1994, Numar persoane,59
 58464 MARGAU,0- 4 ani, Masculin, Cluj, Anul 1995, Numar persoane,49
 58464 MARGAU,0- 4 ani, Masculin, Cluj, Anul 1996, Numar persoane,44
 58464 MARGAU,0- 4 ani, Masculin, Cluj, Anul 1997, Numar persoane,47
 58464 MARGAU,0- 4 ani, Masculin, Cluj, Anul 1998, Numar persoane,42
 58464 MARGAU,0- 4 ani, Masculin, Cluj, Anul 1999, Numar persoane,40
 58464 MARGAU,0- 4 ani, Masculin, Cluj, Anul 2000, Numar persoane,38
 58464 MARGAU,0- 4 ani, Feminin, Cluj, Anul 1992, Numar persoane,45
 58464 MARGAU,0- 4 ani, Feminin, Cluj, Anul 1993, Numar persoane,36
 58464 MARGAU,0- 4 ani, Feminin, Cluj, Anul 1994, Numar persoane,35
 58464 MARGAU,0- 4 ani, Feminin, Cluj, Anul 1995, Numar persoane,34
 58464 MARGAU,0- 4 ani, Feminin, Cluj, Anul 1996, Numar persoane,32
 58464 MARGAU,0- 4 ani, Feminin, Cluj, Anul 1997, Numar persoane,40
 58464 MARGAU,0- 4 ani, Feminin, Cluj, Anul 1998, Numar persoane,44
 58464 MARGAU,0- 4 ani, Feminin, Cluj, Anul 1999, Numar persoane,50
 58464 MARGAU,0- 4 ani, Feminin, Cluj, Anul 2000, Numar persoane,49
 58464 MARGAU,5- 9 ani, Masculin, Cluj, Anul 1992, Numar persoane,57
 58464 MARGAU,5- 9 ani, Masculin, Cluj, Anul 1993, Numar persoane,55
 58464 MARGAU,5- 9 ani, Masculin, Cluj, Anul 1994, Numar persoane,54
 58464 MARGAU,5- 9 ani, Masculin, Cluj, Anul 1995, Numar persoane,54
 58464 MARGAU,5- 9 ani, Masculin, Cluj, Anul 1996, Numar persoane,53
 58464 MARGAU,5- 9 ani, Masculin, Cluj, Anul 1997, Numar persoane,55
 58464 MARGAU,5- 9 ani, Masculin, Cluj, Anul 1998, Numar persoane,55
 58464 MARGAU,5- 9 ani, Masculin, Cluj, Anul 1999, Numar persoane,49
 58464 MARGAU,5- 9 ani, Masculin, Cluj, Anul 2000, Numar persoane,41
 58464 MARGAU,5- 9 ani, Feminin, Cluj, Anul 1992, Numar persoane,64
 58464 MARGAU,5- 9 ani, Feminin, Cluj, Anul 1993, Numar persoane,54
 58464 MARGAU,5- 9 ani, Feminin, Cluj, Anul 1994, Numar persoane,55
 58464 MARGAU,5- 9 ani, Feminin, Cluj, Anul 1995, Numar persoane,50
 58464 MARGAU,5- 9 ani, Feminin, Cluj, Anul 1996, Numar persoane,53
 58464 MARGAU,5- 9 ani, Feminin, Cluj, Anul 1997, Numar persoane,41
 58464 MARGAU,5- 9 ani, Feminin, Cluj, Anul 1998, Numar persoane,38
 58464 MARGAU,5- 9 ani, Feminin, Cluj, Anul 1999, Numar persoane,38
 58464 MARGAU,5- 9 ani, Feminin, Cluj, Anul 2000, Numar persoane,39
 58464 MARGAU,10-14 ani, Masculin, Cluj, Anul 1992, Numar persoane,77
 58464 MARGAU,10-14 ani, Masculin, Cluj, Anul 1993, Numar persoane,61
 58464 MARGAU,10-14 ani, Masculin, Cluj, Anul 1994, Numar persoane,59
 58464 MARGAU,10-14 ani, Masculin, Cluj, Anul 1995, Numar persoane,57
 58464 MARGAU,10-14 ani, Masculin, Cluj, Anul 1996, Numar persoane,51
 58464 MARGAU,10-14 ani, Masculin, Cluj, Anul 1997, Numar persoane,50
 58464 MARGAU,10-14 ani, Masculin, Cluj, Anul 1998, Numar persoane,52
 58464 MARGAU,10-14 ani, Masculin, Cluj, Anul 1999, Numar persoane,53
 58464 MARGAU,10-14 ani, Masculin, Cluj, Anul 2000, Numar persoane,53
 58464 MARGAU,10-14 ani, Feminin, Cluj, Anul 1992, Numar persoane,84
 58464 MARGAU,10-14 ani, Feminin, Cluj, Anul 1993, Numar persoane,73
 58464 MARGAU,10-14 ani, Feminin, Cluj, Anul 1994, Numar persoane,70
