 Localitati ,Varste si grupe de varsta, Sexe, Judete, Ani, UM: Numar persoane, Valoare
 58534 MARISEL,0- 4 ani, Masculin, Cluj, Anul 1992, Numar persoane,79
 58534 MARISEL,0- 4 ani, Masculin, Cluj, Anul 1993, Numar persoane,76
 58534 MARISEL,0- 4 ani, Masculin, Cluj, Anul 1994, Numar persoane,78
 58534 MARISEL,0- 4 ani, Masculin, Cluj, Anul 1995, Numar persoane,72
 58534 MARISEL,0- 4 ani, Masculin, Cluj, Anul 1996, Numar persoane,72
 58534 MARISEL,0- 4 ani, Masculin, Cluj, Anul 1997, Numar persoane,72
 58534 MARISEL,0- 4 ani, Masculin, Cluj, Anul 1998, Numar persoane,76
 58534 MARISEL,0- 4 ani, Masculin, Cluj, Anul 1999, Numar persoane,70
 58534 MARISEL,0- 4 ani, Masculin, Cluj, Anul 2000, Numar persoane,64
 58534 MARISEL,0- 4 ani, Feminin, Cluj, Anul 1992, Numar persoane,79
 58534 MARISEL,0- 4 ani, Feminin, Cluj, Anul 1993, Numar persoane,63
 58534 MARISEL,0- 4 ani, Feminin, Cluj, Anul 1994, Numar persoane,60
 58534 MARISEL,0- 4 ani, Feminin, Cluj, Anul 1995, Numar persoane,54
 58534 MARISEL,0- 4 ani, Feminin, Cluj, Anul 1996, Numar persoane,46
 58534 MARISEL,0- 4 ani, Feminin, Cluj, Anul 1997, Numar persoane,47
 58534 MARISEL,0- 4 ani, Feminin, Cluj, Anul 1998, Numar persoane,51
 58534 MARISEL,0- 4 ani, Feminin, Cluj, Anul 1999, Numar persoane,57
 58534 MARISEL,0- 4 ani, Feminin, Cluj, Anul 2000, Numar persoane,47
 58534 MARISEL,5- 9 ani, Masculin, Cluj, Anul 1992, Numar persoane,84
 58534 MARISEL,5- 9 ani, Masculin, Cluj, Anul 1993, Numar persoane,76
 58534 MARISEL,5- 9 ani, Masculin, Cluj, Anul 1994, Numar persoane,78
 58534 MARISEL,5- 9 ani, Masculin, Cluj, Anul 1995, Numar persoane,81
 58534 MARISEL,5- 9 ani, Masculin, Cluj, Anul 1996, Numar persoane,79
 58534 MARISEL,5- 9 ani, Masculin, Cluj, Anul 1997, Numar persoane,71
 58534 MARISEL,5- 9 ani, Masculin, Cluj, Anul 1998, Numar persoane,72
