 Localitati ,Varste si grupe de varsta, Sexe, Judete, Ani, UM: Numar persoane, Valoare
 58552 MINTIU GHERLII,0- 4 ani, Masculin, Cluj, Anul 1992, Numar persoane,110
 58552 MINTIU GHERLII,0- 4 ani, Masculin, Cluj, Anul 1993, Numar persoane,106
 58552 MINTIU GHERLII,0- 4 ani, Masculin, Cluj, Anul 1994, Numar persoane,88
 58552 MINTIU GHERLII,0- 4 ani, Masculin, Cluj, Anul 1995, Numar persoane,89
 58552 MINTIU GHERLII,0- 4 ani, Masculin, Cluj, Anul 1996, Numar persoane,106
 58552 MINTIU GHERLII,0- 4 ani, Masculin, Cluj, Anul 1997, Numar persoane,101
 58552 MINTIU GHERLII,0- 4 ani, Masculin, Cluj, Anul 1998, Numar persoane,95
 58552 MINTIU GHERLII,0- 4 ani, Masculin, Cluj, Anul 1999, Numar persoane,98
 58552 MINTIU GHERLII,0- 4 ani, Masculin, Cluj, Anul 2000, Numar persoane,87
 58552 MINTIU GHERLII,0- 4 ani, Feminin, Cluj, Anul 1992, Numar persoane,95
 58552 MINTIU GHERLII,0- 4 ani, Feminin, Cluj, Anul 1993, Numar persoane,93
 58552 MINTIU GHERLII,0- 4 ani, Feminin, Cluj, Anul 1994, Numar persoane,80
 58552 MINTIU GHERLII,0- 4 ani, Feminin, Cluj, Anul 1995, Numar persoane,89
 58552 MINTIU GHERLII,0- 4 ani, Feminin, Cluj, Anul 1996, Numar persoane,90
 58552 MINTIU GHERLII,0- 4 ani, Feminin, Cluj, Anul 1997, Numar persoane,90
 58552 MINTIU GHERLII,0- 4 ani, Feminin, Cluj, Anul 1998, Numar persoane,87
 58552 MINTIU GHERLII,0- 4 ani, Feminin, Cluj, Anul 1999, Numar persoane,85
 58552 MINTIU GHERLII,0- 4 ani, Feminin, Cluj, Anul 2000, Numar persoane,82
 58552 MINTIU GHERLII,5- 9 ani, Masculin, Cluj, Anul 1992, Numar persoane,106
 58552 MINTIU GHERLII,5- 9 ani, Masculin, Cluj, Anul 1993, Numar persoane,107
 58552 MINTIU GHERLII,5- 9 ani, Masculin, Cluj, Anul 1994, Numar persoane,119
 58552 MINTIU GHERLII,5- 9 ani, Masculin, Cluj, Anul 1995, Numar persoane,123
 58552 MINTIU GHERLII,5- 9 ani, Masculin, Cluj, Anul 1996, Numar persoane,120
 58552 MINTIU GHERLII,5- 9 ani, Masculin, Cluj, Anul 1997, Numar persoane,124
 58552 MINTIU GHERLII,5- 9 ani, Masculin, Cluj, Anul 1998, Numar persoane,127
 58552 MINTIU GHERLII,5- 9 ani, Masculin, Cluj, Anul 1999, Numar persoane,105
 58552 MINTIU GHERLII,5- 9 ani, Masculin, Cluj, Anul 2000, Numar persoane,108
 58552 MINTIU GHERLII,5- 9 ani, Feminin, Cluj, Anul 1992, Numar persoane,79
 58552 MINTIU GHERLII,5- 9 ani, Feminin, Cluj, Anul 1993, Numar persoane,84
 58552 MINTIU GHERLII,5- 9 ani, Feminin, Cluj, Anul 1994, Numar persoane,96
 58552 MINTIU GHERLII,5- 9 ani, Feminin, Cluj, Anul 1995, Numar persoane,97
 58552 MINTIU GHERLII,5- 9 ani, Feminin, Cluj, Anul 1996, Numar persoane,113
 58552 MINTIU GHERLII,5- 9 ani, Feminin, Cluj, Anul 1997, Numar persoane,101
 58552 MINTIU GHERLII,5- 9 ani, Feminin, Cluj, Anul 1998, Numar persoane,105
 58552 MINTIU GHERLII,5- 9 ani, Feminin, Cluj, Anul 1999, Numar persoane,110
 58552 MINTIU GHERLII,5- 9 ani, Feminin, Cluj, Anul 2000, Numar persoane,106
 58552 MINTIU GHERLII,10-14 ani, Masculin, Cluj, Anul 1992, Numar persoane,114
 58552 MINTIU GHERLII,10-14 ani, Masculin, Cluj, Anul 1993, Numar persoane,107
