 Localitati ,Varste si grupe de varsta, Sexe, Judete, Ani, UM: Numar persoane, Valoare
 59498 SANMARTIN,0- 4 ani, Masculin, Cluj, Anul 1992, Numar persoane,75
 59498 SANMARTIN,0- 4 ani, Masculin, Cluj, Anul 1993, Numar persoane,65
 59498 SANMARTIN,0- 4 ani, Masculin, Cluj, Anul 1994, Numar persoane,60
 59498 SANMARTIN,0- 4 ani, Masculin, Cluj, Anul 1995, Numar persoane,50
 59498 SANMARTIN,0- 4 ani, Masculin, Cluj, Anul 1996, Numar persoane,42
 59498 SANMARTIN,0- 4 ani, Masculin, Cluj, Anul 1997, Numar persoane,42
 59498 SANMARTIN,0- 4 ani, Masculin, Cluj, Anul 1998, Numar persoane,47
 59498 SANMARTIN,0- 4 ani, Masculin, Cluj, Anul 1999, Numar persoane,49
 59498 SANMARTIN,0- 4 ani, Masculin, Cluj, Anul 2000, Numar persoane,47
 59498 SANMARTIN,0- 4 ani, Feminin, Cluj, Anul 1992, Numar persoane,42
 59498 SANMARTIN,0- 4 ani, Feminin, Cluj, Anul 1993, Numar persoane,39
 59498 SANMARTIN,0- 4 ani, Feminin, Cluj, Anul 1994, Numar persoane,46
 59498 SANMARTIN,0- 4 ani, Feminin, Cluj, Anul 1995, Numar persoane,43
 59498 SANMARTIN,0- 4 ani, Feminin, Cluj, Anul 1996, Numar persoane,51
 59498 SANMARTIN,0- 4 ani, Feminin, Cluj, Anul 1997, Numar persoane,54
 59498 SANMARTIN,0- 4 ani, Feminin, Cluj, Anul 1998, Numar persoane,48
 59498 SANMARTIN,0- 4 ani, Feminin, Cluj, Anul 1999, Numar persoane,39
 59498 SANMARTIN,0- 4 ani, Feminin, Cluj, Anul 2000, Numar persoane,38
 59498 SANMARTIN,5- 9 ani, Masculin, Cluj, Anul 1992, Numar persoane,57
 59498 SANMARTIN,5- 9 ani, Masculin, Cluj, Anul 1993, Numar persoane,56
 59498 SANMARTIN,5- 9 ani, Masculin, Cluj, Anul 1994, Numar persoane,61
 59498 SANMARTIN,5- 9 ani, Masculin, Cluj, Anul 1995, Numar persoane,67
 59498 SANMARTIN,5- 9 ani, Masculin, Cluj, Anul 1996, Numar persoane,74
 59498 SANMARTIN,5- 9 ani, Masculin, Cluj, Anul 1997, Numar persoane,66
 59498 SANMARTIN,5- 9 ani, Masculin, Cluj, Anul 1998, Numar persoane,52
 59498 SANMARTIN,5- 9 ani, Masculin, Cluj, Anul 1999, Numar persoane,46
 59498 SANMARTIN,5- 9 ani, Masculin, Cluj, Anul 2000, Numar persoane,41
 59498 SANMARTIN,5- 9 ani, Feminin, Cluj, Anul 1992, Numar persoane,44
 59498 SANMARTIN,5- 9 ani, Feminin, Cluj, Anul 1993, Numar persoane,44
 59498 SANMARTIN,5- 9 ani, Feminin, Cluj, Anul 1994, Numar persoane,40
 59498 SANMARTIN,5- 9 ani, Feminin, Cluj, Anul 1995, Numar persoane,44
 59498 SANMARTIN,5- 9 ani, Feminin, Cluj, Anul 1996, Numar persoane,39
 59498 SANMARTIN,5- 9 ani, Feminin, Cluj, Anul 1997, Numar persoane,38
 59498 SANMARTIN,5- 9 ani, Feminin, Cluj, Anul 1998, Numar persoane,43
 59498 SANMARTIN,5- 9 ani, Feminin, Cluj, Anul 1999, Numar persoane,44
 59498 SANMARTIN,5- 9 ani, Feminin, Cluj, Anul 2000, Numar persoane,37
 59498 SANMARTIN,10-14 ani, Masculin, Cluj, Anul 1992, Numar persoane,58
 59498 SANMARTIN,10-14 ani, Masculin, Cluj, Anul 1993, Numar persoane,65
 59498 SANMARTIN,10-14 ani, Masculin, Cluj, Anul 1994, Numar persoane,59
