 Localitati ,Varste si grupe de varsta, Sexe, Judete, Ani, UM: Numar persoane, Valoare
 60062 VIISOARA,0- 4 ani, Masculin, Cluj, Anul 1992, Numar persoane,192
 60062 VIISOARA,0- 4 ani, Masculin, Cluj, Anul 1993, Numar persoane,183
 60062 VIISOARA,0- 4 ani, Masculin, Cluj, Anul 1994, Numar persoane,172
 60062 VIISOARA,0- 4 ani, Masculin, Cluj, Anul 1995, Numar persoane,174
 60062 VIISOARA,0- 4 ani, Masculin, Cluj, Anul 1996, Numar persoane,170
 60062 VIISOARA,0- 4 ani, Masculin, Cluj, Anul 1997, Numar persoane,186
 60062 VIISOARA,0- 4 ani, Masculin, Cluj, Anul 1998, Numar persoane,191
 60062 VIISOARA,0- 4 ani, Masculin, Cluj, Anul 1999, Numar persoane,184
 60062 VIISOARA,0- 4 ani, Masculin, Cluj, Anul 2000, Numar persoane,201
 60062 VIISOARA,0- 4 ani, Feminin, Cluj, Anul 1992, Numar persoane,209
 60062 VIISOARA,0- 4 ani, Feminin, Cluj, Anul 1993, Numar persoane,198
 60062 VIISOARA,0- 4 ani, Feminin, Cluj, Anul 1994, Numar persoane,199
 60062 VIISOARA,0- 4 ani, Feminin, Cluj, Anul 1995, Numar persoane,193
 60062 VIISOARA,0- 4 ani, Feminin, Cluj, Anul 1996, Numar persoane,158
 60062 VIISOARA,0- 4 ani, Feminin, Cluj, Anul 1997, Numar persoane,152
 60062 VIISOARA,0- 4 ani, Feminin, Cluj, Anul 1998, Numar persoane,152
 60062 VIISOARA,0- 4 ani, Feminin, Cluj, Anul 1999, Numar persoane,151
 60062 VIISOARA,0- 4 ani, Feminin, Cluj, Anul 2000, Numar persoane,145
 60062 VIISOARA,5- 9 ani, Masculin, Cluj, Anul 1992, Numar persoane,203
 60062 VIISOARA,5- 9 ani, Masculin, Cluj, Anul 1993, Numar persoane,219
 60062 VIISOARA,5- 9 ani, Masculin, Cluj, Anul 1994, Numar persoane,229
 60062 VIISOARA,5- 9 ani, Masculin, Cluj, Anul 1995, Numar persoane,214
 60062 VIISOARA,5- 9 ani, Masculin, Cluj, Anul 1996, Numar persoane,207
 60062 VIISOARA,5- 9 ani, Masculin, Cluj, Anul 1997, Numar persoane,188
 60062 VIISOARA,5- 9 ani, Masculin, Cluj, Anul 1998, Numar persoane,176
 60062 VIISOARA,5- 9 ani, Masculin, Cluj, Anul 1999, Numar persoane,164
 60062 VIISOARA,5- 9 ani, Masculin, Cluj, Anul 2000, Numar persoane,186
 60062 VIISOARA,5- 9 ani, Feminin, Cluj, Anul 1992, Numar persoane,192
 60062 VIISOARA,5- 9 ani, Feminin, Cluj, Anul 1993, Numar persoane,196
 60062 VIISOARA,5- 9 ani, Feminin, Cluj, Anul 1994, Numar persoane,199
 60062 VIISOARA,5- 9 ani, Feminin, Cluj, Anul 1995, Numar persoane,197
 60062 VIISOARA,5- 9 ani, Feminin, Cluj, Anul 1996, Numar persoane,201
 60062 VIISOARA,5- 9 ani, Feminin, Cluj, Anul 1997, Numar persoane,194
 60062 VIISOARA,5- 9 ani, Feminin, Cluj, Anul 1998, Numar persoane,196
 60062 VIISOARA,5- 9 ani, Feminin, Cluj, Anul 1999, Numar persoane,208
 60062 VIISOARA,5- 9 ani, Feminin, Cluj, Anul 2000, Numar persoane,201
 60062 VIISOARA,10-14 ani, Masculin, Cluj, Anul 1992, Numar persoane,252
 60062 VIISOARA,10-14 ani, Masculin, Cluj, Anul 1993, Numar persoane,229
 60062 VIISOARA,10-14 ani, Masculin, Cluj, Anul 1994, Numar persoane,212
 60062 VIISOARA,10-14 ani, Masculin, Cluj, Anul 1995, Numar persoane,196
 60062 VIISOARA,10-14 ani, Masculin, Cluj, Anul 1996, Numar persoane,197
 60062 VIISOARA,10-14 ani, Masculin, Cluj, Anul 1997, Numar persoane,202
 60062 VIISOARA,10-14 ani, Masculin, Cluj, Anul 1998, Numar persoane,219
 60062 VIISOARA,10-14 ani, Masculin, Cluj, Anul 1999, Numar persoane,233
 60062 VIISOARA,10-14 ani, Masculin, Cluj, Anul 2000, Numar persoane,230
 60062 VIISOARA,10-14 ani, Feminin, Cluj, Anul 1992, Numar persoane,225
 60062 VIISOARA,10-14 ani, Feminin, Cluj, Anul 1993, Numar persoane,210
 60062 VIISOARA,10-14 ani, Feminin, Cluj, Anul 1994, Numar persoane,187
 60062 VIISOARA,10-14 ani, Feminin, Cluj, Anul 1995, Numar persoane,174
 60062 VIISOARA,10-14 ani, Feminin, Cluj, Anul 1996, Numar persoane,180
 60062 VIISOARA,10-14 ani, Feminin, Cluj, Anul 1997, Numar persoane,183
 60062 VIISOARA,10-14 ani, Feminin, Cluj, Anul 1998, Numar persoane,190
 60062 VIISOARA,10-14 ani, Feminin, Cluj, Anul 1999, Numar persoane,199
 60062 VIISOARA,10-14 ani, Feminin, Cluj, Anul 2000, Numar persoane,209
