 Localitati ,Varste si grupe de varsta, Sexe, Judete, Ani, UM: Numar persoane, Valoare
 60099 VULTURENI,0- 4 ani, Masculin, Cluj, Anul 1992, Numar persoane,52
 60099 VULTURENI,0- 4 ani, Masculin, Cluj, Anul 1993, Numar persoane,43
 60099 VULTURENI,0- 4 ani, Masculin, Cluj, Anul 1994, Numar persoane,34
 60099 VULTURENI,0- 4 ani, Masculin, Cluj, Anul 1995, Numar persoane,34
 60099 VULTURENI,0- 4 ani, Masculin, Cluj, Anul 1996, Numar persoane,33
 60099 VULTURENI,0- 4 ani, Masculin, Cluj, Anul 1997, Numar persoane,31
 60099 VULTURENI,0- 4 ani, Masculin, Cluj, Anul 1998, Numar persoane,32
 60099 VULTURENI,0- 4 ani, Masculin, Cluj, Anul 1999, Numar persoane,32
 60099 VULTURENI,0- 4 ani, Masculin, Cluj, Anul 2000, Numar persoane,36
 60099 VULTURENI,0- 4 ani, Feminin, Cluj, Anul 1992, Numar persoane,58
 60099 VULTURENI,0- 4 ani, Feminin, Cluj, Anul 1993, Numar persoane,61
 60099 VULTURENI,0- 4 ani, Feminin, Cluj, Anul 1994, Numar persoane,58
 60099 VULTURENI,0- 4 ani, Feminin, Cluj, Anul 1995, Numar persoane,52
 60099 VULTURENI,0- 4 ani, Feminin, Cluj, Anul 1996, Numar persoane,43
 60099 VULTURENI,0- 4 ani, Feminin, Cluj, Anul 1997, Numar persoane,48
 60099 VULTURENI,0- 4 ani, Feminin, Cluj, Anul 1998, Numar persoane,45
 60099 VULTURENI,0- 4 ani, Feminin, Cluj, Anul 1999, Numar persoane,35
 60099 VULTURENI,0- 4 ani, Feminin, Cluj, Anul 2000, Numar persoane,45
 60099 VULTURENI,5- 9 ani, Masculin, Cluj, Anul 1992, Numar persoane,43
 60099 VULTURENI,5- 9 ani, Masculin, Cluj, Anul 1993, Numar persoane,45
 60099 VULTURENI,5- 9 ani, Masculin, Cluj, Anul 1994, Numar persoane,43
 60099 VULTURENI,5- 9 ani, Masculin, Cluj, Anul 1995, Numar persoane,47
 60099 VULTURENI,5- 9 ani, Masculin, Cluj, Anul 1996, Numar persoane,44
 60099 VULTURENI,5- 9 ani, Masculin, Cluj, Anul 1997, Numar persoane,39
 60099 VULTURENI,5- 9 ani, Masculin, Cluj, Anul 1998, Numar persoane,35
 60099 VULTURENI,5- 9 ani, Masculin, Cluj, Anul 1999, Numar persoane,34
 60099 VULTURENI,5- 9 ani, Masculin, Cluj, Anul 2000, Numar persoane,34
 60099 VULTURENI,5- 9 ani, Feminin, Cluj, Anul 1992, Numar persoane,47
 60099 VULTURENI,5- 9 ani, Feminin, Cluj, Anul 1993, Numar persoane,41
 60099 VULTURENI,5- 9 ani, Feminin, Cluj, Anul 1994, Numar persoane,42
 60099 VULTURENI,5- 9 ani, Feminin, Cluj, Anul 1995, Numar persoane,44
 60099 VULTURENI,5- 9 ani, Feminin, Cluj, Anul 1996, Numar persoane,52
 60099 VULTURENI,5- 9 ani, Feminin, Cluj, Anul 1997, Numar persoane,54
 60099 VULTURENI,5- 9 ani, Feminin, Cluj, Anul 1998, Numar persoane,55
 60099 VULTURENI,5- 9 ani, Feminin, Cluj, Anul 1999, Numar persoane,53
 60099 VULTURENI,5- 9 ani, Feminin, Cluj, Anul 2000, Numar persoane,49
 60099 VULTURENI,10-14 ani, Masculin, Cluj, Anul 1992, Numar persoane,51
 60099 VULTURENI,10-14 ani, Masculin, Cluj, Anul 1993, Numar persoane,49
 60099 VULTURENI,10-14 ani, Masculin, Cluj, Anul 1994, Numar persoane,44
 60099 VULTURENI,10-14 ani, Masculin, Cluj, Anul 1995, Numar persoane,40
 60099 VULTURENI,10-14 ani, Masculin, Cluj, Anul 1996, Numar persoane,36
 60099 VULTURENI,10-14 ani, Masculin, Cluj, Anul 1997, Numar persoane,39
 60099 VULTURENI,10-14 ani, Masculin, Cluj, Anul 1998, Numar persoane,39
 60099 VULTURENI,10-14 ani, Masculin, Cluj, Anul 1999, Numar persoane,41
 60099 VULTURENI,10-14 ani, Masculin, Cluj, Anul 2000, Numar persoane,49
 60099 VULTURENI,10-14 ani, Feminin, Cluj, Anul 1992, Numar persoane,60
 60099 VULTURENI,10-14 ani, Feminin, Cluj, Anul 1993, Numar persoane,58
