 Localitati ,Varste si grupe de varsta, Sexe, Judete, Ani, UM: Numar persoane, Valoare
 64194 CERNAT,0- 4 ani, Feminin, Covasna, Anul 1992, Numar persoane,165
 64194 CERNAT,0- 4 ani, Feminin, Covasna, Anul 1993, Numar persoane,151
 64194 CERNAT,0- 4 ani, Feminin, Covasna, Anul 1994, Numar persoane,138
 64194 CERNAT,0- 4 ani, Feminin, Covasna, Anul 1995, Numar persoane,132
 64194 CERNAT,0- 4 ani, Feminin, Covasna, Anul 1996, Numar persoane,119
 64194 CERNAT,0- 4 ani, Feminin, Covasna, Anul 1997, Numar persoane,110
 64194 CERNAT,0- 4 ani, Feminin, Covasna, Anul 1998, Numar persoane,104
 64194 CERNAT,0- 4 ani, Feminin, Covasna, Anul 1999, Numar persoane,99
 64194 CERNAT,0- 4 ani, Feminin, Covasna, Anul 2000, Numar persoane,102
 64194 CERNAT,0- 4 ani, Feminin, Covasna, Anul 2001, Numar persoane,101
 64194 CERNAT,0- 4 ani, Feminin, Covasna, Anul 2002, Numar persoane,98
 64194 CERNAT,0- 4 ani, Feminin, Covasna, Anul 2003, Numar persoane,94
 64194 CERNAT,0- 4 ani, Feminin, Covasna, Anul 2004, Numar persoane,96
 64194 CERNAT,0- 4 ani, Feminin, Covasna, Anul 2005, Numar persoane,100
 64194 CERNAT,0- 4 ani, Feminin, Covasna, Anul 2006, Numar persoane,109
 64194 CERNAT,0- 4 ani, Feminin, Covasna, Anul 2007, Numar persoane,112
 64194 CERNAT,0- 4 ani, Feminin, Covasna, Anul 2008, Numar persoane,110
 64194 CERNAT,0- 4 ani, Feminin, Covasna, Anul 2009, Numar persoane,111
 64194 CERNAT,0- 4 ani, Feminin, Covasna, Anul 2010, Numar persoane,105
 64194 CERNAT,0- 4 ani, Feminin, Covasna, Anul 2011, Numar persoane,99
 64194 CERNAT,0- 4 ani, Feminin, Covasna, Anul 2012, Numar persoane,94
 64194 CERNAT,0- 4 ani, Feminin, Covasna, Anul 2013, Numar persoane,96
 64194 CERNAT,0- 4 ani, Feminin, Covasna, Anul 2014, Numar persoane,102
 64194 CERNAT,0- 4 ani, Feminin, Covasna, Anul 2015, Numar persoane,95
 64194 CERNAT,0- 4 ani, Feminin, Covasna, Anul 2016, Numar persoane,97
 64194 CERNAT,0- 4 ani, Feminin, Covasna, Anul 2017, Numar persoane,101
 64194 CERNAT,5- 9 ani, Feminin, Covasna, Anul 1992, Numar persoane,147
