 Localitati ,Varste si grupe de varsta, Sexe, Judete, Ani, UM: Numar persoane, Valoare
 64461 LEMNIA,0- 4 ani, Feminin, Covasna, Anul 1992, Numar persoane,98
 64461 LEMNIA,0- 4 ani, Feminin, Covasna, Anul 1993, Numar persoane,101
 64461 LEMNIA,0- 4 ani, Feminin, Covasna, Anul 1994, Numar persoane,103
 64461 LEMNIA,0- 4 ani, Feminin, Covasna, Anul 1995, Numar persoane,100
 64461 LEMNIA,0- 4 ani, Feminin, Covasna, Anul 1996, Numar persoane,105
 64461 LEMNIA,0- 4 ani, Feminin, Covasna, Anul 1997, Numar persoane,100
 64461 LEMNIA,0- 4 ani, Feminin, Covasna, Anul 1998, Numar persoane,105
 64461 LEMNIA,0- 4 ani, Feminin, Covasna, Anul 1999, Numar persoane,108
 64461 LEMNIA,0- 4 ani, Feminin, Covasna, Anul 2000, Numar persoane,112
 64461 LEMNIA,0- 4 ani, Feminin, Covasna, Anul 2001, Numar persoane,107
 64461 LEMNIA,0- 4 ani, Feminin, Covasna, Anul 2002, Numar persoane,104
 64461 LEMNIA,0- 4 ani, Feminin, Covasna, Anul 2003, Numar persoane,103
 64461 LEMNIA,0- 4 ani, Feminin, Covasna, Anul 2004, Numar persoane,97
 64461 LEMNIA,0- 4 ani, Feminin, Covasna, Anul 2005, Numar persoane,50
 64461 LEMNIA,0- 4 ani, Feminin, Covasna, Anul 2006, Numar persoane,46
 64461 LEMNIA,0- 4 ani, Feminin, Covasna, Anul 2007, Numar persoane,47
 64461 LEMNIA,0- 4 ani, Feminin, Covasna, Anul 2008, Numar persoane,44
 64461 LEMNIA,0- 4 ani, Feminin, Covasna, Anul 2009, Numar persoane,44
 64461 LEMNIA,0- 4 ani, Feminin, Covasna, Anul 2010, Numar persoane,46
 64461 LEMNIA,0- 4 ani, Feminin, Covasna, Anul 2011, Numar persoane,49
 64461 LEMNIA,0- 4 ani, Feminin, Covasna, Anul 2012, Numar persoane,51
 64461 LEMNIA,0- 4 ani, Feminin, Covasna, Anul 2013, Numar persoane,47
 64461 LEMNIA,0- 4 ani, Feminin, Covasna, Anul 2014, Numar persoane,44
 64461 LEMNIA,0- 4 ani, Feminin, Covasna, Anul 2015, Numar persoane,46
 64461 LEMNIA,0- 4 ani, Feminin, Covasna, Anul 2016, Numar persoane,44
 64461 LEMNIA,0- 4 ani, Feminin, Covasna, Anul 2017, Numar persoane,37
 64461 LEMNIA,5- 9 ani, Feminin, Covasna, Anul 1992, Numar persoane,88
 64461 LEMNIA,5- 9 ani, Feminin, Covasna, Anul 1993, Numar persoane,76
 64461 LEMNIA,5- 9 ani, Feminin, Covasna, Anul 1994, Numar persoane,78
 64461 LEMNIA,5- 9 ani, Feminin, Covasna, Anul 1995, Numar persoane,95
 64461 LEMNIA,5- 9 ani, Feminin, Covasna, Anul 1996, Numar persoane,111
 64461 LEMNIA,5- 9 ani, Feminin, Covasna, Anul 1997, Numar persoane,119
 64461 LEMNIA,5- 9 ani, Feminin, Covasna, Anul 1998, Numar persoane,124
 64461 LEMNIA,5- 9 ani, Feminin, Covasna, Anul 1999, Numar persoane,116
 64461 LEMNIA,5- 9 ani, Feminin, Covasna, Anul 2000, Numar persoane,110
 64461 LEMNIA,5- 9 ani, Feminin, Covasna, Anul 2001, Numar persoane,113
 64461 LEMNIA,5- 9 ani, Feminin, Covasna, Anul 2002, Numar persoane,103
 64461 LEMNIA,5- 9 ani, Feminin, Covasna, Anul 2003, Numar persoane,110
 64461 LEMNIA,5- 9 ani, Feminin, Covasna, Anul 2004, Numar persoane,112
 64461 LEMNIA,5- 9 ani, Feminin, Covasna, Anul 2005, Numar persoane,63
 64461 LEMNIA,5- 9 ani, Feminin, Covasna, Anul 2006, Numar persoane,59
 64461 LEMNIA,5- 9 ani, Feminin, Covasna, Anul 2007, Numar persoane,61
 64461 LEMNIA,5- 9 ani, Feminin, Covasna, Anul 2008, Numar persoane,58
 64461 LEMNIA,5- 9 ani, Feminin, Covasna, Anul 2009, Numar persoane,58
 64461 LEMNIA,5- 9 ani, Feminin, Covasna, Anul 2010, Numar persoane,51
 64461 LEMNIA,5- 9 ani, Feminin, Covasna, Anul 2011, Numar persoane,53
 64461 LEMNIA,5- 9 ani, Feminin, Covasna, Anul 2012, Numar persoane,50
 64461 LEMNIA,5- 9 ani, Feminin, Covasna, Anul 2013, Numar persoane,47
 64461 LEMNIA,5- 9 ani, Feminin, Covasna, Anul 2014, Numar persoane,48
 64461 LEMNIA,5- 9 ani, Feminin, Covasna, Anul 2015, Numar persoane,46
 64461 LEMNIA,5- 9 ani, Feminin, Covasna, Anul 2016, Numar persoane,50
 64461 LEMNIA,5- 9 ani, Feminin, Covasna, Anul 2017, Numar persoane,54
 64461 LEMNIA,10-14 ani, Feminin, Covasna, Anul 1992, Numar persoane,104
 64461 LEMNIA,10-14 ani, Feminin, Covasna, Anul 1993, Numar persoane,106
 64461 LEMNIA,10-14 ani, Feminin, Covasna, Anul 1994, Numar persoane,98
 64461 LEMNIA,10-14 ani, Feminin, Covasna, Anul 1995, Numar persoane,93
 64461 LEMNIA,10-14 ani, Feminin, Covasna, Anul 1996, Numar persoane,94
 64461 LEMNIA,10-14 ani, Feminin, Covasna, Anul 1997, Numar persoane,96
 64461 LEMNIA,10-14 ani, Feminin, Covasna, Anul 1998, Numar persoane,91
 64461 LEMNIA,10-14 ani, Feminin, Covasna, Anul 1999, Numar persoane,100
 64461 LEMNIA,10-14 ani, Feminin, Covasna, Anul 2000, Numar persoane,109
 64461 LEMNIA,10-14 ani, Feminin, Covasna, Anul 2001, Numar persoane,116
 64461 LEMNIA,10-14 ani, Feminin, Covasna, Anul 2002, Numar persoane,121
 64461 LEMNIA,10-14 ani, Feminin, Covasna, Anul 2003, Numar persoane,122
 64461 LEMNIA,10-14 ani, Feminin, Covasna, Anul 2004, Numar persoane,116
 64461 LEMNIA,10-14 ani, Feminin, Covasna, Anul 2005, Numar persoane,70
 64461 LEMNIA,10-14 ani, Feminin, Covasna, Anul 2006, Numar persoane,71
 64461 LEMNIA,10-14 ani, Feminin, Covasna, Anul 2007, Numar persoane,68
 64461 LEMNIA,10-14 ani, Feminin, Covasna, Anul 2008, Numar persoane,68
 64461 LEMNIA,10-14 ani, Feminin, Covasna, Anul 2009, Numar persoane,66
