 Localitati ,Varste si grupe de varsta, Sexe, Judete, Ani, UM: Numar persoane, Valoare
 64906 VALEA CRISULUI,0- 4 ani, Feminin, Covasna, Anul 1992, Numar persoane,110
 64906 VALEA CRISULUI,0- 4 ani, Feminin, Covasna, Anul 1993, Numar persoane,106
 64906 VALEA CRISULUI,0- 4 ani, Feminin, Covasna, Anul 1994, Numar persoane,98
 64906 VALEA CRISULUI,0- 4 ani, Feminin, Covasna, Anul 1995, Numar persoane,80
 64906 VALEA CRISULUI,0- 4 ani, Feminin, Covasna, Anul 1996, Numar persoane,78
 64906 VALEA CRISULUI,0- 4 ani, Feminin, Covasna, Anul 1997, Numar persoane,85
 64906 VALEA CRISULUI,0- 4 ani, Feminin, Covasna, Anul 1998, Numar persoane,85
 64906 VALEA CRISULUI,0- 4 ani, Feminin, Covasna, Anul 1999, Numar persoane,90
 64906 VALEA CRISULUI,0- 4 ani, Feminin, Covasna, Anul 2000, Numar persoane,94
 64906 VALEA CRISULUI,0- 4 ani, Feminin, Covasna, Anul 2001, Numar persoane,101
 64906 VALEA CRISULUI,0- 4 ani, Feminin, Covasna, Anul 2002, Numar persoane,100
 64906 VALEA CRISULUI,0- 4 ani, Feminin, Covasna, Anul 2003, Numar persoane,103
 64906 VALEA CRISULUI,0- 4 ani, Feminin, Covasna, Anul 2004, Numar persoane,104
 64906 VALEA CRISULUI,0- 4 ani, Feminin, Covasna, Anul 2005, Numar persoane,91
 64906 VALEA CRISULUI,0- 4 ani, Feminin, Covasna, Anul 2006, Numar persoane,94
 64906 VALEA CRISULUI,0- 4 ani, Feminin, Covasna, Anul 2007, Numar persoane,101
 64906 VALEA CRISULUI,0- 4 ani, Feminin, Covasna, Anul 2008, Numar persoane,95
 64906 VALEA CRISULUI,0- 4 ani, Feminin, Covasna, Anul 2009, Numar persoane,93
 64906 VALEA CRISULUI,0- 4 ani, Feminin, Covasna, Anul 2010, Numar persoane,82
 64906 VALEA CRISULUI,0- 4 ani, Feminin, Covasna, Anul 2011, Numar persoane,87
 64906 VALEA CRISULUI,0- 4 ani, Feminin, Covasna, Anul 2012, Numar persoane,84
 64906 VALEA CRISULUI,0- 4 ani, Feminin, Covasna, Anul 2013, Numar persoane,83
 64906 VALEA CRISULUI,0- 4 ani, Feminin, Covasna, Anul 2014, Numar persoane,76
 64906 VALEA CRISULUI,0- 4 ani, Feminin, Covasna, Anul 2015, Numar persoane,75
 64906 VALEA CRISULUI,0- 4 ani, Feminin, Covasna, Anul 2016, Numar persoane,81
 64906 VALEA CRISULUI,0- 4 ani, Feminin, Covasna, Anul 2017, Numar persoane,79
 64906 VALEA CRISULUI,5- 9 ani, Feminin, Covasna, Anul 1992, Numar persoane,89
 64906 VALEA CRISULUI,5- 9 ani, Feminin, Covasna, Anul 1993, Numar persoane,100
 64906 VALEA CRISULUI,5- 9 ani, Feminin, Covasna, Anul 1994, Numar persoane,109
 64906 VALEA CRISULUI,5- 9 ani, Feminin, Covasna, Anul 1995, Numar persoane,119
 64906 VALEA CRISULUI,5- 9 ani, Feminin, Covasna, Anul 1996, Numar persoane,127
 64906 VALEA CRISULUI,5- 9 ani, Feminin, Covasna, Anul 1997, Numar persoane,116
 64906 VALEA CRISULUI,5- 9 ani, Feminin, Covasna, Anul 1998, Numar persoane,110
 64906 VALEA CRISULUI,5- 9 ani, Feminin, Covasna, Anul 1999, Numar persoane,99
 64906 VALEA CRISULUI,5- 9 ani, Feminin, Covasna, Anul 2000, Numar persoane,84
 64906 VALEA CRISULUI,5- 9 ani, Feminin, Covasna, Anul 2001, Numar persoane,82
 64906 VALEA CRISULUI,5- 9 ani, Feminin, Covasna, Anul 2002, Numar persoane,91
 64906 VALEA CRISULUI,5- 9 ani, Feminin, Covasna, Anul 2003, Numar persoane,94
 64906 VALEA CRISULUI,5- 9 ani, Feminin, Covasna, Anul 2004, Numar persoane,99
 64906 VALEA CRISULUI,5- 9 ani, Feminin, Covasna, Anul 2005, Numar persoane,67
 64906 VALEA CRISULUI,5- 9 ani, Feminin, Covasna, Anul 2006, Numar persoane,75
 64906 VALEA CRISULUI,5- 9 ani, Feminin, Covasna, Anul 2007, Numar persoane,69
 64906 VALEA CRISULUI,5- 9 ani, Feminin, Covasna, Anul 2008, Numar persoane,78
 64906 VALEA CRISULUI,5- 9 ani, Feminin, Covasna, Anul 2009, Numar persoane,80
 64906 VALEA CRISULUI,5- 9 ani, Feminin, Covasna, Anul 2010, Numar persoane,91
 64906 VALEA CRISULUI,5- 9 ani, Feminin, Covasna, Anul 2011, Numar persoane,96
 64906 VALEA CRISULUI,5- 9 ani, Feminin, Covasna, Anul 2012, Numar persoane,101
