 Localitati ,Varste si grupe de varsta, Sexe, Judete, Ani, UM: Numar persoane, Valoare
 65105 MERENI,0- 4 ani, Feminin, Covasna, Anul 2005, Numar persoane,34
 65105 MERENI,0- 4 ani, Feminin, Covasna, Anul 2006, Numar persoane,35
 65105 MERENI,0- 4 ani, Feminin, Covasna, Anul 2007, Numar persoane,31
 65105 MERENI,0- 4 ani, Feminin, Covasna, Anul 2008, Numar persoane,30
 65105 MERENI,0- 4 ani, Feminin, Covasna, Anul 2009, Numar persoane,30
 65105 MERENI,0- 4 ani, Feminin, Covasna, Anul 2010, Numar persoane,32
 65105 MERENI,0- 4 ani, Feminin, Covasna, Anul 2011, Numar persoane,35
 65105 MERENI,0- 4 ani, Feminin, Covasna, Anul 2012, Numar persoane,32
 65105 MERENI,0- 4 ani, Feminin, Covasna, Anul 2013, Numar persoane,34
 65105 MERENI,0- 4 ani, Feminin, Covasna, Anul 2014, Numar persoane,32
 65105 MERENI,0- 4 ani, Feminin, Covasna, Anul 2015, Numar persoane,35
 65105 MERENI,0- 4 ani, Feminin, Covasna, Anul 2016, Numar persoane,32
 65105 MERENI,0- 4 ani, Feminin, Covasna, Anul 2017, Numar persoane,31
 65105 MERENI,5- 9 ani, Feminin, Covasna, Anul 2005, Numar persoane,46
 65105 MERENI,5- 9 ani, Feminin, Covasna, Anul 2006, Numar persoane,41
 65105 MERENI,5- 9 ani, Feminin, Covasna, Anul 2007, Numar persoane,41
 65105 MERENI,5- 9 ani, Feminin, Covasna, Anul 2008, Numar persoane,41
 65105 MERENI,5- 9 ani, Feminin, Covasna, Anul 2009, Numar persoane,37
 65105 MERENI,5- 9 ani, Feminin, Covasna, Anul 2010, Numar persoane,29
 65105 MERENI,5- 9 ani, Feminin, Covasna, Anul 2011, Numar persoane,30
 65105 MERENI,5- 9 ani, Feminin, Covasna, Anul 2012, Numar persoane,28
 65105 MERENI,5- 9 ani, Feminin, Covasna, Anul 2013, Numar persoane,27
 65105 MERENI,5- 9 ani, Feminin, Covasna, Anul 2014, Numar persoane,28
 65105 MERENI,5- 9 ani, Feminin, Covasna, Anul 2015, Numar persoane,30
 65105 MERENI,5- 9 ani, Feminin, Covasna, Anul 2016, Numar persoane,34
 65105 MERENI,5- 9 ani, Feminin, Covasna, Anul 2017, Numar persoane,33
 65105 MERENI,10-14 ani, Feminin, Covasna, Anul 2005, Numar persoane,39
 65105 MERENI,10-14 ani, Feminin, Covasna, Anul 2006, Numar persoane,42
 65105 MERENI,10-14 ani, Feminin, Covasna, Anul 2007, Numar persoane,37
 65105 MERENI,10-14 ani, Feminin, Covasna, Anul 2008, Numar persoane,37
 65105 MERENI,10-14 ani, Feminin, Covasna, Anul 2009, Numar persoane,41
 65105 MERENI,10-14 ani, Feminin, Covasna, Anul 2010, Numar persoane,43
 65105 MERENI,10-14 ani, Feminin, Covasna, Anul 2011, Numar persoane,33
 65105 MERENI,10-14 ani, Feminin, Covasna, Anul 2012, Numar persoane,33
 65105 MERENI,10-14 ani, Feminin, Covasna, Anul 2013, Numar persoane,38
 65105 MERENI,10-14 ani, Feminin, Covasna, Anul 2014, Numar persoane,33
 65105 MERENI,10-14 ani, Feminin, Covasna, Anul 2015, Numar persoane,27
 65105 MERENI,10-14 ani, Feminin, Covasna, Anul 2016, Numar persoane,27
 65105 MERENI,10-14 ani, Feminin, Covasna, Anul 2017, Numar persoane,27
 65105 MERENI,15-19 ani, Feminin, Covasna, Anul 2005, Numar persoane,41
 65105 MERENI,15-19 ani, Feminin, Covasna, Anul 2006, Numar persoane,44
 65105 MERENI,15-19 ani, Feminin, Covasna, Anul 2007, Numar persoane,47
 65105 MERENI,15-19 ani, Feminin, Covasna, Anul 2008, Numar persoane,47
 65105 MERENI,15-19 ani, Feminin, Covasna, Anul 2009, Numar persoane,37
 65105 MERENI,15-19 ani, Feminin, Covasna, Anul 2010, Numar persoane,37
 65105 MERENI,15-19 ani, Feminin, Covasna, Anul 2011, Numar persoane,38
 65105 MERENI,15-19 ani, Feminin, Covasna, Anul 2012, Numar persoane,32
 65105 MERENI,15-19 ani, Feminin, Covasna, Anul 2013, Numar persoane,31
 65105 MERENI,15-19 ani, Feminin, Covasna, Anul 2014, Numar persoane,34
 65105 MERENI,15-19 ani, Feminin, Covasna, Anul 2015, Numar persoane,37
 65105 MERENI,15-19 ani, Feminin, Covasna, Anul 2016, Numar persoane,34
 65105 MERENI,15-19 ani, Feminin, Covasna, Anul 2017, Numar persoane,34
 65105 MERENI,20-24 ani, Feminin, Covasna, Anul 2005, Numar persoane,39
 65105 MERENI,20-24 ani, Feminin, Covasna, Anul 2006, Numar persoane,39
 65105 MERENI,20-24 ani, Feminin, Covasna, Anul 2007, Numar persoane,43
 65105 MERENI,20-24 ani, Feminin, Covasna, Anul 2008, Numar persoane,38
 65105 MERENI,20-24 ani, Feminin, Covasna, Anul 2009, Numar persoane,44
 65105 MERENI,20-24 ani, Feminin, Covasna, Anul 2010, Numar persoane,43
 65105 MERENI,20-24 ani, Feminin, Covasna, Anul 2011, Numar persoane,49
 65105 MERENI,20-24 ani, Feminin, Covasna, Anul 2012, Numar persoane,47
 65105 MERENI,20-24 ani, Feminin, Covasna, Anul 2013, Numar persoane,45
 65105 MERENI,20-24 ani, Feminin, Covasna, Anul 2014, Numar persoane,39
 65105 MERENI,20-24 ani, Feminin, Covasna, Anul 2015, Numar persoane,34
 65105 MERENI,20-24 ani, Feminin, Covasna, Anul 2016, Numar persoane,35
 65105 MERENI,20-24 ani, Feminin, Covasna, Anul 2017, Numar persoane,32
 65105 MERENI,25-29 ani, Feminin, Covasna, Anul 2005, Numar persoane,50
 65105 MERENI,25-29 ani, Feminin, Covasna, Anul 2006, Numar persoane,44
 65105 MERENI,25-29 ani, Feminin, Covasna, Anul 2007, Numar persoane,36
 65105 MERENI,25-29 ani, Feminin, Covasna, Anul 2008, Numar persoane,42
 65105 MERENI,25-29 ani, Feminin, Covasna, Anul 2009, Numar persoane,44
 65105 MERENI,25-29 ani, Feminin, Covasna, Anul 2010, Numar persoane,37
 65105 MERENI,25-29 ani, Feminin, Covasna, Anul 2011, Numar persoane,43
 65105 MERENI,25-29 ani, Feminin, Covasna, Anul 2012, Numar persoane,47
 65105 MERENI,25-29 ani, Feminin, Covasna, Anul 2013, Numar persoane,43
 65105 MERENI,25-29 ani, Feminin, Covasna, Anul 2014, Numar persoane,42
 65105 MERENI,25-29 ani, Feminin, Covasna, Anul 2015, Numar persoane,43
 65105 MERENI,25-29 ani, Feminin, Covasna, Anul 2016, Numar persoane,45
 65105 MERENI,25-29 ani, Feminin, Covasna, Anul 2017, Numar persoane,49
 65105 MERENI,30-34 ani, Feminin, Covasna, Anul 2005, Numar persoane,57
 65105 MERENI,30-34 ani, Feminin, Covasna, Anul 2006, Numar persoane,54
 65105 MERENI,30-34 ani, Feminin, Covasna, Anul 2007, Numar persoane,55
 65105 MERENI,30-34 ani, Feminin, Covasna, Anul 2008, Numar persoane,49
 65105 MERENI,30-34 ani, Feminin, Covasna, Anul 2009, Numar persoane,39
 65105 MERENI,30-34 ani, Feminin, Covasna, Anul 2010, Numar persoane,41
 65105 MERENI,30-34 ani, Feminin, Covasna, Anul 2011, Numar persoane,41
 65105 MERENI,30-34 ani, Feminin, Covasna, Anul 2012, Numar persoane,35
 65105 MERENI,30-34 ani, Feminin, Covasna, Anul 2013, Numar persoane,41
 65105 MERENI,30-34 ani, Feminin, Covasna, Anul 2014, Numar persoane,46
 65105 MERENI,30-34 ani, Feminin, Covasna, Anul 2015, Numar persoane,39
 65105 MERENI,30-34 ani, Feminin, Covasna, Anul 2016, Numar persoane,40
 65105 MERENI,30-34 ani, Feminin, Covasna, Anul 2017, Numar persoane,43
 65105 MERENI,35-39 ani, Feminin, Covasna, Anul 2005, Numar persoane,44
 65105 MERENI,35-39 ani, Feminin, Covasna, Anul 2006, Numar persoane,46
 65105 MERENI,35-39 ani, Feminin, Covasna, Anul 2007, Numar persoane,46
 65105 MERENI,35-39 ani, Feminin, Covasna, Anul 2008, Numar persoane,41
 65105 MERENI,35-39 ani, Feminin, Covasna, Anul 2009, Numar persoane,47
 65105 MERENI,35-39 ani, Feminin, Covasna, Anul 2010, Numar persoane,52
 65105 MERENI,35-39 ani, Feminin, Covasna, Anul 2011, Numar persoane,54
 65105 MERENI,35-39 ani, Feminin, Covasna, Anul 2012, Numar persoane,52
 65105 MERENI,35-39 ani, Feminin, Covasna, Anul 2013, Numar persoane,46
