 Localitati ,Varste si grupe de varsta, Sexe, Judete, Ani, UM: Numar persoane, Valoare
 65113 ARCUS,0- 4 ani, Feminin, Covasna, Anul 2005, Numar persoane,32
 65113 ARCUS,0- 4 ani, Feminin, Covasna, Anul 2006, Numar persoane,31
 65113 ARCUS,0- 4 ani, Feminin, Covasna, Anul 2007, Numar persoane,27
 65113 ARCUS,0- 4 ani, Feminin, Covasna, Anul 2008, Numar persoane,32
 65113 ARCUS,0- 4 ani, Feminin, Covasna, Anul 2009, Numar persoane,37
 65113 ARCUS,0- 4 ani, Feminin, Covasna, Anul 2010, Numar persoane,38
 65113 ARCUS,0- 4 ani, Feminin, Covasna, Anul 2011, Numar persoane,33
 65113 ARCUS,0- 4 ani, Feminin, Covasna, Anul 2012, Numar persoane,33
 65113 ARCUS,0- 4 ani, Feminin, Covasna, Anul 2013, Numar persoane,39
 65113 ARCUS,0- 4 ani, Feminin, Covasna, Anul 2014, Numar persoane,38
 65113 ARCUS,0- 4 ani, Feminin, Covasna, Anul 2015, Numar persoane,38
 65113 ARCUS,0- 4 ani, Feminin, Covasna, Anul 2016, Numar persoane,42
 65113 ARCUS,0- 4 ani, Feminin, Covasna, Anul 2017, Numar persoane,45
 65113 ARCUS,5- 9 ani, Feminin, Covasna, Anul 2005, Numar persoane,30
 65113 ARCUS,5- 9 ani, Feminin, Covasna, Anul 2006, Numar persoane,33
 65113 ARCUS,5- 9 ani, Feminin, Covasna, Anul 2007, Numar persoane,36
 65113 ARCUS,5- 9 ani, Feminin, Covasna, Anul 2008, Numar persoane,32
 65113 ARCUS,5- 9 ani, Feminin, Covasna, Anul 2009, Numar persoane,31
 65113 ARCUS,5- 9 ani, Feminin, Covasna, Anul 2010, Numar persoane,35
 65113 ARCUS,5- 9 ani, Feminin, Covasna, Anul 2011, Numar persoane,36
 65113 ARCUS,5- 9 ani, Feminin, Covasna, Anul 2012, Numar persoane,38
 65113 ARCUS,5- 9 ani, Feminin, Covasna, Anul 2013, Numar persoane,40
 65113 ARCUS,5- 9 ani, Feminin, Covasna, Anul 2014, Numar persoane,43
 65113 ARCUS,5- 9 ani, Feminin, Covasna, Anul 2015, Numar persoane,41
 65113 ARCUS,5- 9 ani, Feminin, Covasna, Anul 2016, Numar persoane,41
 65113 ARCUS,5- 9 ani, Feminin, Covasna, Anul 2017, Numar persoane,41
 65113 ARCUS,10-14 ani, Feminin, Covasna, Anul 2005, Numar persoane,27
 65113 ARCUS,10-14 ani, Feminin, Covasna, Anul 2006, Numar persoane,25
 65113 ARCUS,10-14 ani, Feminin, Covasna, Anul 2007, Numar persoane,30
 65113 ARCUS,10-14 ani, Feminin, Covasna, Anul 2008, Numar persoane,37
 65113 ARCUS,10-14 ani, Feminin, Covasna, Anul 2009, Numar persoane,37
 65113 ARCUS,10-14 ani, Feminin, Covasna, Anul 2010, Numar persoane,38
 65113 ARCUS,10-14 ani, Feminin, Covasna, Anul 2011, Numar persoane,36
 65113 ARCUS,10-14 ani, Feminin, Covasna, Anul 2012, Numar persoane,36
 65113 ARCUS,10-14 ani, Feminin, Covasna, Anul 2013, Numar persoane,38
 65113 ARCUS,10-14 ani, Feminin, Covasna, Anul 2014, Numar persoane,34
 65113 ARCUS,10-14 ani, Feminin, Covasna, Anul 2015, Numar persoane,40
 65113 ARCUS,10-14 ani, Feminin, Covasna, Anul 2016, Numar persoane,39
 65113 ARCUS,10-14 ani, Feminin, Covasna, Anul 2017, Numar persoane,42
 65113 ARCUS,15-19 ani, Feminin, Covasna, Anul 2005, Numar persoane,46
 65113 ARCUS,15-19 ani, Feminin, Covasna, Anul 2006, Numar persoane,47
 65113 ARCUS,15-19 ani, Feminin, Covasna, Anul 2007, Numar persoane,40
 65113 ARCUS,15-19 ani, Feminin, Covasna, Anul 2008, Numar persoane,38
 65113 ARCUS,15-19 ani, Feminin, Covasna, Anul 2009, Numar persoane,33
 65113 ARCUS,15-19 ani, Feminin, Covasna, Anul 2010, Numar persoane,29
 65113 ARCUS,15-19 ani, Feminin, Covasna, Anul 2011, Numar persoane,30
 65113 ARCUS,15-19 ani, Feminin, Covasna, Anul 2012, Numar persoane,36
 65113 ARCUS,15-19 ani, Feminin, Covasna, Anul 2013, Numar persoane,42
 65113 ARCUS,15-19 ani, Feminin, Covasna, Anul 2014, Numar persoane,40
 65113 ARCUS,15-19 ani, Feminin, Covasna, Anul 2015, Numar persoane,42
 65113 ARCUS,15-19 ani, Feminin, Covasna, Anul 2016, Numar persoane,44
 65113 ARCUS,15-19 ani, Feminin, Covasna, Anul 2017, Numar persoane,46
 65113 ARCUS,20-24 ani, Feminin, Covasna, Anul 2005, Numar persoane,32
 65113 ARCUS,20-24 ani, Feminin, Covasna, Anul 2006, Numar persoane,36
 65113 ARCUS,20-24 ani, Feminin, Covasna, Anul 2007, Numar persoane,33
 65113 ARCUS,20-24 ani, Feminin, Covasna, Anul 2008, Numar persoane,37
 65113 ARCUS,20-24 ani, Feminin, Covasna, Anul 2009, Numar persoane,43
 65113 ARCUS,20-24 ani, Feminin, Covasna, Anul 2010, Numar persoane,47
 65113 ARCUS,20-24 ani, Feminin, Covasna, Anul 2011, Numar persoane,44
 65113 ARCUS,20-24 ani, Feminin, Covasna, Anul 2012, Numar persoane,38
 65113 ARCUS,20-24 ani, Feminin, Covasna, Anul 2013, Numar persoane,41
 65113 ARCUS,20-24 ani, Feminin, Covasna, Anul 2014, Numar persoane,40
 65113 ARCUS,20-24 ani, Feminin, Covasna, Anul 2015, Numar persoane,31
 65113 ARCUS,20-24 ani, Feminin, Covasna, Anul 2016, Numar persoane,35
 65113 ARCUS,20-24 ani, Feminin, Covasna, Anul 2017, Numar persoane,39
 65113 ARCUS,25-29 ani, Feminin, Covasna, Anul 2005, Numar persoane,46
 65113 ARCUS,25-29 ani, Feminin, Covasna, Anul 2006, Numar persoane,45
 65113 ARCUS,25-29 ani, Feminin, Covasna, Anul 2007, Numar persoane,45
 65113 ARCUS,25-29 ani, Feminin, Covasna, Anul 2008, Numar persoane,49
 65113 ARCUS,25-29 ani, Feminin, Covasna, Anul 2009, Numar persoane,48
