 Localitati ,Varste si grupe de varsta, Sexe, Judete, Ani, UM: Numar persoane, Valoare
 83133 MUNICIPIUL ODORHEIU SECUIESC,0- 4 ani, Masculin, Harghita, Anul 2009, Numar persoane,1087
 83133 MUNICIPIUL ODORHEIU SECUIESC,0- 4 ani, Masculin, Harghita, Anul 2010, Numar persoane,1058
 83133 MUNICIPIUL ODORHEIU SECUIESC,0- 4 ani, Masculin, Harghita, Anul 2011, Numar persoane,1052
 83133 MUNICIPIUL ODORHEIU SECUIESC,0- 4 ani, Masculin, Harghita, Anul 2012, Numar persoane,1003
 83133 MUNICIPIUL ODORHEIU SECUIESC,0- 4 ani, Masculin, Harghita, Anul 2013, Numar persoane,943
 83133 MUNICIPIUL ODORHEIU SECUIESC,0- 4 ani, Masculin, Harghita, Anul 2014, Numar persoane,943
 83133 MUNICIPIUL ODORHEIU SECUIESC,0- 4 ani, Masculin, Harghita, Anul 2015, Numar persoane,928
 83133 MUNICIPIUL ODORHEIU SECUIESC,0- 4 ani, Masculin, Harghita, Anul 2016, Numar persoane,914
 83133 MUNICIPIUL ODORHEIU SECUIESC,0- 4 ani, Masculin, Harghita, Anul 2017, Numar persoane,903
 83133 MUNICIPIUL ODORHEIU SECUIESC,5- 9 ani, Masculin, Harghita, Anul 2009, Numar persoane,930
 83133 MUNICIPIUL ODORHEIU SECUIESC,5- 9 ani, Masculin, Harghita, Anul 2010, Numar persoane,938
 83133 MUNICIPIUL ODORHEIU SECUIESC,5- 9 ani, Masculin, Harghita, Anul 2011, Numar persoane,948
 83133 MUNICIPIUL ODORHEIU SECUIESC,5- 9 ani, Masculin, Harghita, Anul 2012, Numar persoane,971
 83133 MUNICIPIUL ODORHEIU SECUIESC,5- 9 ani, Masculin, Harghita, Anul 2013, Numar persoane,1044
 83133 MUNICIPIUL ODORHEIU SECUIESC,5- 9 ani, Masculin, Harghita, Anul 2014, Numar persoane,1054
 83133 MUNICIPIUL ODORHEIU SECUIESC,5- 9 ani, Masculin, Harghita, Anul 2015, Numar persoane,1033
 83133 MUNICIPIUL ODORHEIU SECUIESC,5- 9 ani, Masculin, Harghita, Anul 2016, Numar persoane,1019
 83133 MUNICIPIUL ODORHEIU SECUIESC,5- 9 ani, Masculin, Harghita, Anul 2017, Numar persoane,974
