 Localitati ,Varste si grupe de varsta, Sexe, Judete, Ani, UM: Numar persoane, Valoare
 83464 ORAS BALAN,0- 4 ani, Masculin, Harghita, Anul 2009, Numar persoane,220
 83464 ORAS BALAN,0- 4 ani, Masculin, Harghita, Anul 2010, Numar persoane,221
 83464 ORAS BALAN,0- 4 ani, Masculin, Harghita, Anul 2011, Numar persoane,204
 83464 ORAS BALAN,0- 4 ani, Masculin, Harghita, Anul 2012, Numar persoane,184
 83464 ORAS BALAN,0- 4 ani, Masculin, Harghita, Anul 2013, Numar persoane,182
 83464 ORAS BALAN,0- 4 ani, Masculin, Harghita, Anul 2014, Numar persoane,149
 83464 ORAS BALAN,0- 4 ani, Masculin, Harghita, Anul 2015, Numar persoane,143
 83464 ORAS BALAN,0- 4 ani, Masculin, Harghita, Anul 2016, Numar persoane,134
 83464 ORAS BALAN,0- 4 ani, Masculin, Harghita, Anul 2017, Numar persoane,134
 83464 ORAS BALAN,5- 9 ani, Masculin, Harghita, Anul 2009, Numar persoane,241
 83464 ORAS BALAN,5- 9 ani, Masculin, Harghita, Anul 2010, Numar persoane,225
 83464 ORAS BALAN,5- 9 ani, Masculin, Harghita, Anul 2011, Numar persoane,207
 83464 ORAS BALAN,5- 9 ani, Masculin, Harghita, Anul 2012, Numar persoane,211
 83464 ORAS BALAN,5- 9 ani, Masculin, Harghita, Anul 2013, Numar persoane,190
 83464 ORAS BALAN,5- 9 ani, Masculin, Harghita, Anul 2014, Numar persoane,197
 83464 ORAS BALAN,5- 9 ani, Masculin, Harghita, Anul 2015, Numar persoane,198
 83464 ORAS BALAN,5- 9 ani, Masculin, Harghita, Anul 2016, Numar persoane,189
 83464 ORAS BALAN,5- 9 ani, Masculin, Harghita, Anul 2017, Numar persoane,166
 83464 ORAS BALAN,10-14 ani, Masculin, Harghita, Anul 2009, Numar persoane,295
 83464 ORAS BALAN,10-14 ani, Masculin, Harghita, Anul 2010, Numar persoane,278
 83464 ORAS BALAN,10-14 ani, Masculin, Harghita, Anul 2011, Numar persoane,267
 83464 ORAS BALAN,10-14 ani, Masculin, Harghita, Anul 2012, Numar persoane,255
 83464 ORAS BALAN,10-14 ani, Masculin, Harghita, Anul 2013, Numar persoane,239
 83464 ORAS BALAN,10-14 ani, Masculin, Harghita, Anul 2014, Numar persoane,208
 83464 ORAS BALAN,10-14 ani, Masculin, Harghita, Anul 2015, Numar persoane,194
 83464 ORAS BALAN,10-14 ani, Masculin, Harghita, Anul 2016, Numar persoane,190
 83464 ORAS BALAN,10-14 ani, Masculin, Harghita, Anul 2017, Numar persoane,198
 83464 ORAS BALAN,15-19 ani, Masculin, Harghita, Anul 2009, Numar persoane,370
 83464 ORAS BALAN,15-19 ani, Masculin, Harghita, Anul 2010, Numar persoane,324
 83464 ORAS BALAN,15-19 ani, Masculin, Harghita, Anul 2011, Numar persoane,294
 83464 ORAS BALAN,15-19 ani, Masculin, Harghita, Anul 2012, Numar persoane,273
 83464 ORAS BALAN,15-19 ani, Masculin, Harghita, Anul 2013, Numar persoane,260
 83464 ORAS BALAN,15-19 ani, Masculin, Harghita, Anul 2014, Numar persoane,260
 83464 ORAS BALAN,15-19 ani, Masculin, Harghita, Anul 2015, Numar persoane,244
 83464 ORAS BALAN,15-19 ani, Masculin, Harghita, Anul 2016, Numar persoane,241
 83464 ORAS BALAN,15-19 ani, Masculin, Harghita, Anul 2017, Numar persoane,228
 83464 ORAS BALAN,20-24 ani, Masculin, Harghita, Anul 2009, Numar persoane,475
 83464 ORAS BALAN,20-24 ani, Masculin, Harghita, Anul 2010, Numar persoane,467
 83464 ORAS BALAN,20-24 ani, Masculin, Harghita, Anul 2011, Numar persoane,447
 83464 ORAS BALAN,20-24 ani, Masculin, Harghita, Anul 2012, Numar persoane,417
 83464 ORAS BALAN,20-24 ani, Masculin, Harghita, Anul 2013, Numar persoane,375
 83464 ORAS BALAN,20-24 ani, Masculin, Harghita, Anul 2014, Numar persoane,343
 83464 ORAS BALAN,20-24 ani, Masculin, Harghita, Anul 2015, Numar persoane,304
 83464 ORAS BALAN,20-24 ani, Masculin, Harghita, Anul 2016, Numar persoane,279
 83464 ORAS BALAN,20-24 ani, Masculin, Harghita, Anul 2017, Numar persoane,259
 83464 ORAS BALAN,25-29 ani, Masculin, Harghita, Anul 2009, Numar persoane,389
 83464 ORAS BALAN,25-29 ani, Masculin, Harghita, Anul 2010, Numar persoane,407
 83464 ORAS BALAN,25-29 ani, Masculin, Harghita, Anul 2011, Numar persoane,394
 83464 ORAS BALAN,25-29 ani, Masculin, Harghita, Anul 2012, Numar persoane,391
 83464 ORAS BALAN,25-29 ani, Masculin, Harghita, Anul 2013, Numar persoane,402
 83464 ORAS BALAN,25-29 ani, Masculin, Harghita, Anul 2014, Numar persoane,405
 83464 ORAS BALAN,25-29 ani, Masculin, Harghita, Anul 2015, Numar persoane,408
 83464 ORAS BALAN,25-29 ani, Masculin, Harghita, Anul 2016, Numar persoane,393
 83464 ORAS BALAN,25-29 ani, Masculin, Harghita, Anul 2017, Numar persoane,376
 83464 ORAS BALAN,30-34 ani, Masculin, Harghita, Anul 2009, Numar persoane,435
 83464 ORAS BALAN,30-34 ani, Masculin, Harghita, Anul 2010, Numar persoane,396
 83464 ORAS BALAN,30-34 ani, Masculin, Harghita, Anul 2011, Numar persoane,395
 83464 ORAS BALAN,30-34 ani, Masculin, Harghita, Anul 2012, Numar persoane,378
 83464 ORAS BALAN,30-34 ani, Masculin, Harghita, Anul 2013, Numar persoane,376
 83464 ORAS BALAN,30-34 ani, Masculin, Harghita, Anul 2014, Numar persoane,349
 83464 ORAS BALAN,30-34 ani, Masculin, Harghita, Anul 2015, Numar persoane,362
 83464 ORAS BALAN,30-34 ani, Masculin, Harghita, Anul 2016, Numar persoane,345
 83464 ORAS BALAN,30-34 ani, Masculin, Harghita, Anul 2017, Numar persoane,353
 83464 ORAS BALAN,35-39 ani, Masculin, Harghita, Anul 2009, Numar persoane,412
 83464 ORAS BALAN,35-39 ani, Masculin, Harghita, Anul 2010, Numar persoane,425
 83464 ORAS BALAN,35-39 ani, Masculin, Harghita, Anul 2011, Numar persoane,407
 83464 ORAS BALAN,35-39 ani, Masculin, Harghita, Anul 2012, Numar persoane,397
 83464 ORAS BALAN,35-39 ani, Masculin, Harghita, Anul 2013, Numar persoane,379
 83464 ORAS BALAN,35-39 ani, Masculin, Harghita, Anul 2014, Numar persoane,386
 83464 ORAS BALAN,35-39 ani, Masculin, Harghita, Anul 2015, Numar persoane,345
 83464 ORAS BALAN,35-39 ani, Masculin, Harghita, Anul 2016, Numar persoane,356
 83464 ORAS BALAN,35-39 ani, Masculin, Harghita, Anul 2017, Numar persoane,340
 83464 ORAS BALAN,40-44 ani, Masculin, Harghita, Anul 2009, Numar persoane,355
 83464 ORAS BALAN,40-44 ani, Masculin, Harghita, Anul 2010, Numar persoane,367
 83464 ORAS BALAN,40-44 ani, Masculin, Harghita, Anul 2011, Numar persoane,396
 83464 ORAS BALAN,40-44 ani, Masculin, Harghita, Anul 2012, Numar persoane,413
 83464 ORAS BALAN,40-44 ani, Masculin, Harghita, Anul 2013, Numar persoane,400
 83464 ORAS BALAN,40-44 ani, Masculin, Harghita, Anul 2014, Numar persoane,375
 83464 ORAS BALAN,40-44 ani, Masculin, Harghita, Anul 2015, Numar persoane,391
 83464 ORAS BALAN,40-44 ani, Masculin, Harghita, Anul 2016, Numar persoane,373
 83464 ORAS BALAN,40-44 ani, Masculin, Harghita, Anul 2017, Numar persoane,369
 83464 ORAS BALAN,45-49 ani, Masculin, Harghita, Anul 2009, Numar persoane,301
 83464 ORAS BALAN,45-49 ani, Masculin, Harghita, Anul 2010, Numar persoane,293
 83464 ORAS BALAN,45-49 ani, Masculin, Harghita, Anul 2011, Numar persoane,267
 83464 ORAS BALAN,45-49 ani, Masculin, Harghita, Anul 2012, Numar persoane,266
 83464 ORAS BALAN,45-49 ani, Masculin, Harghita, Anul 2013, Numar persoane,295
 83464 ORAS BALAN,45-49 ani, Masculin, Harghita, Anul 2014, Numar persoane,325
 83464 ORAS BALAN,45-49 ani, Masculin, Harghita, Anul 2015, Numar persoane,337
 83464 ORAS BALAN,45-49 ani, Masculin, Harghita, Anul 2016, Numar persoane,361
 83464 ORAS BALAN,45-49 ani, Masculin, Harghita, Anul 2017, Numar persoane,381
 83464 ORAS BALAN,50-54 ani, Masculin, Harghita, Anul 2009, Numar persoane,302
 83464 ORAS BALAN,50-54 ani, Masculin, Harghita, Anul 2010, Numar persoane,283
 83464 ORAS BALAN,50-54 ani, Masculin, Harghita, Anul 2011, Numar persoane,283
 83464 ORAS BALAN,50-54 ani, Masculin, Harghita, Anul 2012, Numar persoane,275
 83464 ORAS BALAN,50-54 ani, Masculin, Harghita, Anul 2013, Numar persoane,272
 83464 ORAS BALAN,50-54 ani, Masculin, Harghita, Anul 2014, Numar persoane,270
 83464 ORAS BALAN,50-54 ani, Masculin, Harghita, Anul 2015, Numar persoane,262
 83464 ORAS BALAN,50-54 ani, Masculin, Harghita, Anul 2016, Numar persoane,246
 83464 ORAS BALAN,50-54 ani, Masculin, Harghita, Anul 2017, Numar persoane,245
 83464 ORAS BALAN,55-59 ani, Masculin, Harghita, Anul 2009, Numar persoane,289
 83464 ORAS BALAN,55-59 ani, Masculin, Harghita, Anul 2010, Numar persoane,286
 83464 ORAS BALAN,55-59 ani, Masculin, Harghita, Anul 2011, Numar persoane,268
 83464 ORAS BALAN,55-59 ani, Masculin, Harghita, Anul 2012, Numar persoane,257
 83464 ORAS BALAN,55-59 ani, Masculin, Harghita, Anul 2013, Numar persoane,264
 83464 ORAS BALAN,55-59 ani, Masculin, Harghita, Anul 2014, Numar persoane,261
 83464 ORAS BALAN,55-59 ani, Masculin, Harghita, Anul 2015, Numar persoane,247
 83464 ORAS BALAN,55-59 ani, Masculin, Harghita, Anul 2016, Numar persoane,248
 83464 ORAS BALAN,55-59 ani, Masculin, Harghita, Anul 2017, Numar persoane,241
 83464 ORAS BALAN,60-64 ani, Masculin, Harghita, Anul 2009, Numar persoane,179
 83464 ORAS BALAN,60-64 ani, Masculin, Harghita, Anul 2010, Numar persoane,195
 83464 ORAS BALAN,60-64 ani, Masculin, Harghita, Anul 2011, Numar persoane,225
 83464 ORAS BALAN,60-64 ani, Masculin, Harghita, Anul 2012, Numar persoane,239
 83464 ORAS BALAN,60-64 ani, Masculin, Harghita, Anul 2013, Numar persoane,238
 83464 ORAS BALAN,60-64 ani, Masculin, Harghita, Anul 2014, Numar persoane,243
 83464 ORAS BALAN,60-64 ani, Masculin, Harghita, Anul 2015, Numar persoane,239
 83464 ORAS BALAN,60-64 ani, Masculin, Harghita, Anul 2016, Numar persoane,231
 83464 ORAS BALAN,60-64 ani, Masculin, Harghita, Anul 2017, Numar persoane,227
 83464 ORAS BALAN,65-69 ani, Masculin, Harghita, Anul 2009, Numar persoane,130
 83464 ORAS BALAN,65-69 ani, Masculin, Harghita, Anul 2010, Numar persoane,138
 83464 ORAS BALAN,65-69 ani, Masculin, Harghita, Anul 2011, Numar persoane,132
 83464 ORAS BALAN,65-69 ani, Masculin, Harghita, Anul 2012, Numar persoane,131
 83464 ORAS BALAN,65-69 ani, Masculin, Harghita, Anul 2013, Numar persoane,149
 83464 ORAS BALAN,65-69 ani, Masculin, Harghita, Anul 2014, Numar persoane,148
 83464 ORAS BALAN,65-69 ani, Masculin, Harghita, Anul 2015, Numar persoane,169
 83464 ORAS BALAN,65-69 ani, Masculin, Harghita, Anul 2016, Numar persoane,193
 83464 ORAS BALAN,65-69 ani, Masculin, Harghita, Anul 2017, Numar persoane,205
 83464 ORAS BALAN,70-74 ani, Masculin, Harghita, Anul 2009, Numar persoane,70
 83464 ORAS BALAN,70-74 ani, Masculin, Harghita, Anul 2010, Numar persoane,73
 83464 ORAS BALAN,70-74 ani, Masculin, Harghita, Anul 2011, Numar persoane,89
