 Localitati ,Varste si grupe de varsta, Sexe, Judete, Ani, UM: Numar persoane, Valoare
 83561 MUNICIPIUL  GHEORGHENI,0- 4 ani, Masculin, Harghita, Anul 2009, Numar persoane,511
 83561 MUNICIPIUL  GHEORGHENI,0- 4 ani, Masculin, Harghita, Anul 2010, Numar persoane,547
 83561 MUNICIPIUL  GHEORGHENI,0- 4 ani, Masculin, Harghita, Anul 2011, Numar persoane,560
 83561 MUNICIPIUL  GHEORGHENI,0- 4 ani, Masculin, Harghita, Anul 2012, Numar persoane,537
 83561 MUNICIPIUL  GHEORGHENI,0- 4 ani, Masculin, Harghita, Anul 2013, Numar persoane,513
 83561 MUNICIPIUL  GHEORGHENI,0- 4 ani, Masculin, Harghita, Anul 2014, Numar persoane,508
 83561 MUNICIPIUL  GHEORGHENI,0- 4 ani, Masculin, Harghita, Anul 2015, Numar persoane,462
 83561 MUNICIPIUL  GHEORGHENI,0- 4 ani, Masculin, Harghita, Anul 2016, Numar persoane,434
 83561 MUNICIPIUL  GHEORGHENI,0- 4 ani, Masculin, Harghita, Anul 2017, Numar persoane,454
 83561 MUNICIPIUL  GHEORGHENI,5- 9 ani, Masculin, Harghita, Anul 2009, Numar persoane,448
 83561 MUNICIPIUL  GHEORGHENI,5- 9 ani, Masculin, Harghita, Anul 2010, Numar persoane,470
 83561 MUNICIPIUL  GHEORGHENI,5- 9 ani, Masculin, Harghita, Anul 2011, Numar persoane,471
 83561 MUNICIPIUL  GHEORGHENI,5- 9 ani, Masculin, Harghita, Anul 2012, Numar persoane,480
 83561 MUNICIPIUL  GHEORGHENI,5- 9 ani, Masculin, Harghita, Anul 2013, Numar persoane,488
 83561 MUNICIPIUL  GHEORGHENI,5- 9 ani, Masculin, Harghita, Anul 2014, Numar persoane,491
 83561 MUNICIPIUL  GHEORGHENI,5- 9 ani, Masculin, Harghita, Anul 2015, Numar persoane,534
 83561 MUNICIPIUL  GHEORGHENI,5- 9 ani, Masculin, Harghita, Anul 2016, Numar persoane,549
 83561 MUNICIPIUL  GHEORGHENI,5- 9 ani, Masculin, Harghita, Anul 2017, Numar persoane,530
 83561 MUNICIPIUL  GHEORGHENI,10-14 ani, Masculin, Harghita, Anul 2009, Numar persoane,509
 83561 MUNICIPIUL  GHEORGHENI,10-14 ani, Masculin, Harghita, Anul 2010, Numar persoane,474
 83561 MUNICIPIUL  GHEORGHENI,10-14 ani, Masculin, Harghita, Anul 2011, Numar persoane,475
 83561 MUNICIPIUL  GHEORGHENI,10-14 ani, Masculin, Harghita, Anul 2012, Numar persoane,466
 83561 MUNICIPIUL  GHEORGHENI,10-14 ani, Masculin, Harghita, Anul 2013, Numar persoane,442
 83561 MUNICIPIUL  GHEORGHENI,10-14 ani, Masculin, Harghita, Anul 2014, Numar persoane,446
 83561 MUNICIPIUL  GHEORGHENI,10-14 ani, Masculin, Harghita, Anul 2015, Numar persoane,456
 83561 MUNICIPIUL  GHEORGHENI,10-14 ani, Masculin, Harghita, Anul 2016, Numar persoane,460
 83561 MUNICIPIUL  GHEORGHENI,10-14 ani, Masculin, Harghita, Anul 2017, Numar persoane,466
 83561 MUNICIPIUL  GHEORGHENI,15-19 ani, Masculin, Harghita, Anul 2009, Numar persoane,696
 83561 MUNICIPIUL  GHEORGHENI,15-19 ani, Masculin, Harghita, Anul 2010, Numar persoane,658
 83561 MUNICIPIUL  GHEORGHENI,15-19 ani, Masculin, Harghita, Anul 2011, Numar persoane,591
 83561 MUNICIPIUL  GHEORGHENI,15-19 ani, Masculin, Harghita, Anul 2012, Numar persoane,557
