 Localitati ,Varste si grupe de varsta, Sexe, Judete, Ani, UM: Numar persoane, Valoare
 83749 ORAS VLAHITA,0- 4 ani, Masculin, Harghita, Anul 2009, Numar persoane,243
 83749 ORAS VLAHITA,0- 4 ani, Masculin, Harghita, Anul 2010, Numar persoane,272
 83749 ORAS VLAHITA,0- 4 ani, Masculin, Harghita, Anul 2011, Numar persoane,275
 83749 ORAS VLAHITA,0- 4 ani, Masculin, Harghita, Anul 2012, Numar persoane,255
 83749 ORAS VLAHITA,0- 4 ani, Masculin, Harghita, Anul 2013, Numar persoane,225
 83749 ORAS VLAHITA,0- 4 ani, Masculin, Harghita, Anul 2014, Numar persoane,216
 83749 ORAS VLAHITA,0- 4 ani, Masculin, Harghita, Anul 2015, Numar persoane,204
 83749 ORAS VLAHITA,0- 4 ani, Masculin, Harghita, Anul 2016, Numar persoane,198
 83749 ORAS VLAHITA,0- 4 ani, Masculin, Harghita, Anul 2017, Numar persoane,190
 83749 ORAS VLAHITA,5- 9 ani, Masculin, Harghita, Anul 2009, Numar persoane,207
 83749 ORAS VLAHITA,5- 9 ani, Masculin, Harghita, Anul 2010, Numar persoane,200
 83749 ORAS VLAHITA,5- 9 ani, Masculin, Harghita, Anul 2011, Numar persoane,210
 83749 ORAS VLAHITA,5- 9 ani, Masculin, Harghita, Anul 2012, Numar persoane,220
 83749 ORAS VLAHITA,5- 9 ani, Masculin, Harghita, Anul 2013, Numar persoane,228
 83749 ORAS VLAHITA,5- 9 ani, Masculin, Harghita, Anul 2014, Numar persoane,240
 83749 ORAS VLAHITA,5- 9 ani, Masculin, Harghita, Anul 2015, Numar persoane,260
 83749 ORAS VLAHITA,5- 9 ani, Masculin, Harghita, Anul 2016, Numar persoane,254
 83749 ORAS VLAHITA,5- 9 ani, Masculin, Harghita, Anul 2017, Numar persoane,239
 83749 ORAS VLAHITA,10-14 ani, Masculin, Harghita, Anul 2009, Numar persoane,224
 83749 ORAS VLAHITA,10-14 ani, Masculin, Harghita, Anul 2010, Numar persoane,221
 83749 ORAS VLAHITA,10-14 ani, Masculin, Harghita, Anul 2011, Numar persoane,232
 83749 ORAS VLAHITA,10-14 ani, Masculin, Harghita, Anul 2012, Numar persoane,243
 83749 ORAS VLAHITA,10-14 ani, Masculin, Harghita, Anul 2013, Numar persoane,247
 83749 ORAS VLAHITA,10-14 ani, Masculin, Harghita, Anul 2014, Numar persoane,220
 83749 ORAS VLAHITA,10-14 ani, Masculin, Harghita, Anul 2015, Numar persoane,198
 83749 ORAS VLAHITA,10-14 ani, Masculin, Harghita, Anul 2016, Numar persoane,198
 83749 ORAS VLAHITA,10-14 ani, Masculin, Harghita, Anul 2017, Numar persoane,211
 83749 ORAS VLAHITA,15-19 ani, Masculin, Harghita, Anul 2009, Numar persoane,256
 83749 ORAS VLAHITA,15-19 ani, Masculin, Harghita, Anul 2010, Numar persoane,243
 83749 ORAS VLAHITA,15-19 ani, Masculin, Harghita, Anul 2011, Numar persoane,214
 83749 ORAS VLAHITA,15-19 ani, Masculin, Harghita, Anul 2012, Numar persoane,203
 83749 ORAS VLAHITA,15-19 ani, Masculin, Harghita, Anul 2013, Numar persoane,199
 83749 ORAS VLAHITA,15-19 ani, Masculin, Harghita, Anul 2014, Numar persoane,216
