 Localitati ,Varste si grupe de varsta, Sexe, Judete, Ani, UM: Numar persoane, Valoare
 83963 CAPILNITA,0- 4 ani, Masculin, Harghita, Anul 2009, Numar persoane,74
 83963 CAPILNITA,0- 4 ani, Masculin, Harghita, Anul 2010, Numar persoane,80
 83963 CAPILNITA,0- 4 ani, Masculin, Harghita, Anul 2011, Numar persoane,76
 83963 CAPILNITA,0- 4 ani, Masculin, Harghita, Anul 2012, Numar persoane,70
 83963 CAPILNITA,0- 4 ani, Masculin, Harghita, Anul 2013, Numar persoane,78
 83963 CAPILNITA,0- 4 ani, Masculin, Harghita, Anul 2014, Numar persoane,66
 83963 CAPILNITA,0- 4 ani, Masculin, Harghita, Anul 2015, Numar persoane,64
 83963 CAPILNITA,0- 4 ani, Masculin, Harghita, Anul 2016, Numar persoane,71
 83963 CAPILNITA,0- 4 ani, Masculin, Harghita, Anul 2017, Numar persoane,77
 83963 CAPILNITA,5- 9 ani, Masculin, Harghita, Anul 2009, Numar persoane,67
 83963 CAPILNITA,5- 9 ani, Masculin, Harghita, Anul 2010, Numar persoane,70
 83963 CAPILNITA,5- 9 ani, Masculin, Harghita, Anul 2011, Numar persoane,74
 83963 CAPILNITA,5- 9 ani, Masculin, Harghita, Anul 2012, Numar persoane,70
 83963 CAPILNITA,5- 9 ani, Masculin, Harghita, Anul 2013, Numar persoane,72
 83963 CAPILNITA,5- 9 ani, Masculin, Harghita, Anul 2014, Numar persoane,73
 83963 CAPILNITA,5- 9 ani, Masculin, Harghita, Anul 2015, Numar persoane,76
 83963 CAPILNITA,5- 9 ani, Masculin, Harghita, Anul 2016, Numar persoane,73
 83963 CAPILNITA,5- 9 ani, Masculin, Harghita, Anul 2017, Numar persoane,72
 83963 CAPILNITA,10-14 ani, Masculin, Harghita, Anul 2009, Numar persoane,77
 83963 CAPILNITA,10-14 ani, Masculin, Harghita, Anul 2010, Numar persoane,75
 83963 CAPILNITA,10-14 ani, Masculin, Harghita, Anul 2011, Numar persoane,65
 83963 CAPILNITA,10-14 ani, Masculin, Harghita, Anul 2012, Numar persoane,68
 83963 CAPILNITA,10-14 ani, Masculin, Harghita, Anul 2013, Numar persoane,73
 83963 CAPILNITA,10-14 ani, Masculin, Harghita, Anul 2014, Numar persoane,65
 83963 CAPILNITA,10-14 ani, Masculin, Harghita, Anul 2015, Numar persoane,74
 83963 CAPILNITA,10-14 ani, Masculin, Harghita, Anul 2016, Numar persoane,75
 83963 CAPILNITA,10-14 ani, Masculin, Harghita, Anul 2017, Numar persoane,74
 83963 CAPILNITA,15-19 ani, Masculin, Harghita, Anul 2009, Numar persoane,73
 83963 CAPILNITA,15-19 ani, Masculin, Harghita, Anul 2010, Numar persoane,70
 83963 CAPILNITA,15-19 ani, Masculin, Harghita, Anul 2011, Numar persoane,75
 83963 CAPILNITA,15-19 ani, Masculin, Harghita, Anul 2012, Numar persoane,74
 83963 CAPILNITA,15-19 ani, Masculin, Harghita, Anul 2013, Numar persoane,65
 83963 CAPILNITA,15-19 ani, Masculin, Harghita, Anul 2014, Numar persoane,74
 83963 CAPILNITA,15-19 ani, Masculin, Harghita, Anul 2015, Numar persoane,69
 83963 CAPILNITA,15-19 ani, Masculin, Harghita, Anul 2016, Numar persoane,65
 83963 CAPILNITA,15-19 ani, Masculin, Harghita, Anul 2017, Numar persoane,68
 83963 CAPILNITA,20-24 ani, Masculin, Harghita, Anul 2009, Numar persoane,80
 83963 CAPILNITA,20-24 ani, Masculin, Harghita, Anul 2010, Numar persoane,80
 83963 CAPILNITA,20-24 ani, Masculin, Harghita, Anul 2011, Numar persoane,72
 83963 CAPILNITA,20-24 ani, Masculin, Harghita, Anul 2012, Numar persoane,70
 83963 CAPILNITA,20-24 ani, Masculin, Harghita, Anul 2013, Numar persoane,74
 83963 CAPILNITA,20-24 ani, Masculin, Harghita, Anul 2014, Numar persoane,72
 83963 CAPILNITA,20-24 ani, Masculin, Harghita, Anul 2015, Numar persoane,70
 83963 CAPILNITA,20-24 ani, Masculin, Harghita, Anul 2016, Numar persoane,75
 83963 CAPILNITA,20-24 ani, Masculin, Harghita, Anul 2017, Numar persoane,72
 83963 CAPILNITA,25-29 ani, Masculin, Harghita, Anul 2009, Numar persoane,89
 83963 CAPILNITA,25-29 ani, Masculin, Harghita, Anul 2010, Numar persoane,85
 83963 CAPILNITA,25-29 ani, Masculin, Harghita, Anul 2011, Numar persoane,82
 83963 CAPILNITA,25-29 ani, Masculin, Harghita, Anul 2012, Numar persoane,78
 83963 CAPILNITA,25-29 ani, Masculin, Harghita, Anul 2013, Numar persoane,79
 83963 CAPILNITA,25-29 ani, Masculin, Harghita, Anul 2014, Numar persoane,81
 83963 CAPILNITA,25-29 ani, Masculin, Harghita, Anul 2015, Numar persoane,78
 83963 CAPILNITA,25-29 ani, Masculin, Harghita, Anul 2016, Numar persoane,67
 83963 CAPILNITA,25-29 ani, Masculin, Harghita, Anul 2017, Numar persoane,68
 83963 CAPILNITA,30-34 ani, Masculin, Harghita, Anul 2009, Numar persoane,90
 83963 CAPILNITA,30-34 ani, Masculin, Harghita, Anul 2010, Numar persoane,95
 83963 CAPILNITA,30-34 ani, Masculin, Harghita, Anul 2011, Numar persoane,99
 83963 CAPILNITA,30-34 ani, Masculin, Harghita, Anul 2012, Numar persoane,94
 83963 CAPILNITA,30-34 ani, Masculin, Harghita, Anul 2013, Numar persoane,92
 83963 CAPILNITA,30-34 ani, Masculin, Harghita, Anul 2014, Numar persoane,86
 83963 CAPILNITA,30-34 ani, Masculin, Harghita, Anul 2015, Numar persoane,84
 83963 CAPILNITA,30-34 ani, Masculin, Harghita, Anul 2016, Numar persoane,85
 83963 CAPILNITA,30-34 ani, Masculin, Harghita, Anul 2017, Numar persoane,80
 83963 CAPILNITA,35-39 ani, Masculin, Harghita, Anul 2009, Numar persoane,95
 83963 CAPILNITA,35-39 ani, Masculin, Harghita, Anul 2010, Numar persoane,100
 83963 CAPILNITA,35-39 ani, Masculin, Harghita, Anul 2011, Numar persoane,96
 83963 CAPILNITA,35-39 ani, Masculin, Harghita, Anul 2012, Numar persoane,93
 83963 CAPILNITA,35-39 ani, Masculin, Harghita, Anul 2013, Numar persoane,85
 83963 CAPILNITA,35-39 ani, Masculin, Harghita, Anul 2014, Numar persoane,85
 83963 CAPILNITA,35-39 ani, Masculin, Harghita, Anul 2015, Numar persoane,86
 83963 CAPILNITA,35-39 ani, Masculin, Harghita, Anul 2016, Numar persoane,91
 83963 CAPILNITA,35-39 ani, Masculin, Harghita, Anul 2017, Numar persoane,88
 83963 CAPILNITA,40-44 ani, Masculin, Harghita, Anul 2009, Numar persoane,82
 83963 CAPILNITA,40-44 ani, Masculin, Harghita, Anul 2010, Numar persoane,87
 83963 CAPILNITA,40-44 ani, Masculin, Harghita, Anul 2011, Numar persoane,87
 83963 CAPILNITA,40-44 ani, Masculin, Harghita, Anul 2012, Numar persoane,95
 83963 CAPILNITA,40-44 ani, Masculin, Harghita, Anul 2013, Numar persoane,93
 83963 CAPILNITA,40-44 ani, Masculin, Harghita, Anul 2014, Numar persoane,91
 83963 CAPILNITA,40-44 ani, Masculin, Harghita, Anul 2015, Numar persoane,94
 83963 CAPILNITA,40-44 ani, Masculin, Harghita, Anul 2016, Numar persoane,89
 83963 CAPILNITA,40-44 ani, Masculin, Harghita, Anul 2017, Numar persoane,88
 83963 CAPILNITA,45-49 ani, Masculin, Harghita, Anul 2009, Numar persoane,69
 83963 CAPILNITA,45-49 ani, Masculin, Harghita, Anul 2010, Numar persoane,63
 83963 CAPILNITA,45-49 ani, Masculin, Harghita, Anul 2011, Numar persoane,71
 83963 CAPILNITA,45-49 ani, Masculin, Harghita, Anul 2012, Numar persoane,62
 83963 CAPILNITA,45-49 ani, Masculin, Harghita, Anul 2013, Numar persoane,67
 83963 CAPILNITA,45-49 ani, Masculin, Harghita, Anul 2014, Numar persoane,76
 83963 CAPILNITA,45-49 ani, Masculin, Harghita, Anul 2015, Numar persoane,83
 83963 CAPILNITA,45-49 ani, Masculin, Harghita, Anul 2016, Numar persoane,82
 83963 CAPILNITA,45-49 ani, Masculin, Harghita, Anul 2017, Numar persoane,93
 83963 CAPILNITA,50-54 ani, Masculin, Harghita, Anul 2009, Numar persoane,75
