 Localitati ,Varste si grupe de varsta, Sexe, Judete, Ani, UM: Numar persoane, Valoare
 84594 LAZAREA,0- 4 ani, Masculin, Harghita, Anul 2009, Numar persoane,103
 84594 LAZAREA,0- 4 ani, Masculin, Harghita, Anul 2010, Numar persoane,99
 84594 LAZAREA,0- 4 ani, Masculin, Harghita, Anul 2011, Numar persoane,92
 84594 LAZAREA,0- 4 ani, Masculin, Harghita, Anul 2012, Numar persoane,85
 84594 LAZAREA,0- 4 ani, Masculin, Harghita, Anul 2013, Numar persoane,87
 84594 LAZAREA,0- 4 ani, Masculin, Harghita, Anul 2014, Numar persoane,76
 84594 LAZAREA,0- 4 ani, Masculin, Harghita, Anul 2015, Numar persoane,80
 84594 LAZAREA,0- 4 ani, Masculin, Harghita, Anul 2016, Numar persoane,79
 84594 LAZAREA,0- 4 ani, Masculin, Harghita, Anul 2017, Numar persoane,82
 84594 LAZAREA,5- 9 ani, Masculin, Harghita, Anul 2009, Numar persoane,99
 84594 LAZAREA,5- 9 ani, Masculin, Harghita, Anul 2010, Numar persoane,101
 84594 LAZAREA,5- 9 ani, Masculin, Harghita, Anul 2011, Numar persoane,96
 84594 LAZAREA,5- 9 ani, Masculin, Harghita, Anul 2012, Numar persoane,97
 84594 LAZAREA,5- 9 ani, Masculin, Harghita, Anul 2013, Numar persoane,89
 84594 LAZAREA,5- 9 ani, Masculin, Harghita, Anul 2014, Numar persoane,103
 84594 LAZAREA,5- 9 ani, Masculin, Harghita, Anul 2015, Numar persoane,101
 84594 LAZAREA,5- 9 ani, Masculin, Harghita, Anul 2016, Numar persoane,93
 84594 LAZAREA,5- 9 ani, Masculin, Harghita, Anul 2017, Numar persoane,90
 84594 LAZAREA,10-14 ani, Masculin, Harghita, Anul 2009, Numar persoane,100
 84594 LAZAREA,10-14 ani, Masculin, Harghita, Anul 2010, Numar persoane,100
 84594 LAZAREA,10-14 ani, Masculin, Harghita, Anul 2011, Numar persoane,99
 84594 LAZAREA,10-14 ani, Masculin, Harghita, Anul 2012, Numar persoane,98
 84594 LAZAREA,10-14 ani, Masculin, Harghita, Anul 2013, Numar persoane,96
 84594 LAZAREA,10-14 ani, Masculin, Harghita, Anul 2014, Numar persoane,89
 84594 LAZAREA,10-14 ani, Masculin, Harghita, Anul 2015, Numar persoane,93
 84594 LAZAREA,10-14 ani, Masculin, Harghita, Anul 2016, Numar persoane,93
 84594 LAZAREA,10-14 ani, Masculin, Harghita, Anul 2017, Numar persoane,94
 84594 LAZAREA,15-19 ani, Masculin, Harghita, Anul 2009, Numar persoane,116
 84594 LAZAREA,15-19 ani, Masculin, Harghita, Anul 2010, Numar persoane,92
 84594 LAZAREA,15-19 ani, Masculin, Harghita, Anul 2011, Numar persoane,80
 84594 LAZAREA,15-19 ani, Masculin, Harghita, Anul 2012, Numar persoane,86
 84594 LAZAREA,15-19 ani, Masculin, Harghita, Anul 2013, Numar persoane,91
 84594 LAZAREA,15-19 ani, Masculin, Harghita, Anul 2014, Numar persoane,98
 84594 LAZAREA,15-19 ani, Masculin, Harghita, Anul 2015, Numar persoane,96
 84594 LAZAREA,15-19 ani, Masculin, Harghita, Anul 2016, Numar persoane,102
 84594 LAZAREA,15-19 ani, Masculin, Harghita, Anul 2017, Numar persoane,103
 84594 LAZAREA,20-24 ani, Masculin, Harghita, Anul 2009, Numar persoane,113
 84594 LAZAREA,20-24 ani, Masculin, Harghita, Anul 2010, Numar persoane,127
 84594 LAZAREA,20-24 ani, Masculin, Harghita, Anul 2011, Numar persoane,130
 84594 LAZAREA,20-24 ani, Masculin, Harghita, Anul 2012, Numar persoane,116
 84594 LAZAREA,20-24 ani, Masculin, Harghita, Anul 2013, Numar persoane,114
 84594 LAZAREA,20-24 ani, Masculin, Harghita, Anul 2014, Numar persoane,112
 84594 LAZAREA,20-24 ani, Masculin, Harghita, Anul 2015, Numar persoane,94
 84594 LAZAREA,20-24 ani, Masculin, Harghita, Anul 2016, Numar persoane,82
 84594 LAZAREA,20-24 ani, Masculin, Harghita, Anul 2017, Numar persoane,87
 84594 LAZAREA,25-29 ani, Masculin, Harghita, Anul 2009, Numar persoane,138
 84594 LAZAREA,25-29 ani, Masculin, Harghita, Anul 2010, Numar persoane,135
 84594 LAZAREA,25-29 ani, Masculin, Harghita, Anul 2011, Numar persoane,131
 84594 LAZAREA,25-29 ani, Masculin, Harghita, Anul 2012, Numar persoane,139
 84594 LAZAREA,25-29 ani, Masculin, Harghita, Anul 2013, Numar persoane,128
 84594 LAZAREA,25-29 ani, Masculin, Harghita, Anul 2014, Numar persoane,116
 84594 LAZAREA,25-29 ani, Masculin, Harghita, Anul 2015, Numar persoane,130
 84594 LAZAREA,25-29 ani, Masculin, Harghita, Anul 2016, Numar persoane,131
 84594 LAZAREA,25-29 ani, Masculin, Harghita, Anul 2017, Numar persoane,121
 84594 LAZAREA,30-34 ani, Masculin, Harghita, Anul 2009, Numar persoane,179
 84594 LAZAREA,30-34 ani, Masculin, Harghita, Anul 2010, Numar persoane,168
 84594 LAZAREA,30-34 ani, Masculin, Harghita, Anul 2011, Numar persoane,169
 84594 LAZAREA,30-34 ani, Masculin, Harghita, Anul 2012, Numar persoane,147
 84594 LAZAREA,30-34 ani, Masculin, Harghita, Anul 2013, Numar persoane,142
 84594 LAZAREA,30-34 ani, Masculin, Harghita, Anul 2014, Numar persoane,138
 84594 LAZAREA,30-34 ani, Masculin, Harghita, Anul 2015, Numar persoane,136
 84594 LAZAREA,30-34 ani, Masculin, Harghita, Anul 2016, Numar persoane,131
 84594 LAZAREA,30-34 ani, Masculin, Harghita, Anul 2017, Numar persoane,140
 84594 LAZAREA,35-39 ani, Masculin, Harghita, Anul 2009, Numar persoane,162
 84594 LAZAREA,35-39 ani, Masculin, Harghita, Anul 2010, Numar persoane,164
 84594 LAZAREA,35-39 ani, Masculin, Harghita, Anul 2011, Numar persoane,156
 84594 LAZAREA,35-39 ani, Masculin, Harghita, Anul 2012, Numar persoane,170
 84594 LAZAREA,35-39 ani, Masculin, Harghita, Anul 2013, Numar persoane,174
 84594 LAZAREA,35-39 ani, Masculin, Harghita, Anul 2014, Numar persoane,174
 84594 LAZAREA,35-39 ani, Masculin, Harghita, Anul 2015, Numar persoane,167
 84594 LAZAREA,35-39 ani, Masculin, Harghita, Anul 2016, Numar persoane,170
 84594 LAZAREA,35-39 ani, Masculin, Harghita, Anul 2017, Numar persoane,154
 84594 LAZAREA,40-44 ani, Masculin, Harghita, Anul 2009, Numar persoane,150
 84594 LAZAREA,40-44 ani, Masculin, Harghita, Anul 2010, Numar persoane,166
 84594 LAZAREA,40-44 ani, Masculin, Harghita, Anul 2011, Numar persoane,182
 84594 LAZAREA,40-44 ani, Masculin, Harghita, Anul 2012, Numar persoane,180
 84594 LAZAREA,40-44 ani, Masculin, Harghita, Anul 2013, Numar persoane,168
 84594 LAZAREA,40-44 ani, Masculin, Harghita, Anul 2014, Numar persoane,162
 84594 LAZAREA,40-44 ani, Masculin, Harghita, Anul 2015, Numar persoane,166
 84594 LAZAREA,40-44 ani, Masculin, Harghita, Anul 2016, Numar persoane,158
 84594 LAZAREA,40-44 ani, Masculin, Harghita, Anul 2017, Numar persoane,167
 84594 LAZAREA,45-49 ani, Masculin, Harghita, Anul 2009, Numar persoane,93
 84594 LAZAREA,45-49 ani, Masculin, Harghita, Anul 2010, Numar persoane,92
 84594 LAZAREA,45-49 ani, Masculin, Harghita, Anul 2011, Numar persoane,96
 84594 LAZAREA,45-49 ani, Masculin, Harghita, Anul 2012, Numar persoane,101
 84594 LAZAREA,45-49 ani, Masculin, Harghita, Anul 2013, Numar persoane,124
 84594 LAZAREA,45-49 ani, Masculin, Harghita, Anul 2014, Numar persoane,151
 84594 LAZAREA,45-49 ani, Masculin, Harghita, Anul 2015, Numar persoane,165
 84594 LAZAREA,45-49 ani, Masculin, Harghita, Anul 2016, Numar persoane,179
 84594 LAZAREA,45-49 ani, Masculin, Harghita, Anul 2017, Numar persoane,182
 84594 LAZAREA,50-54 ani, Masculin, Harghita, Anul 2009, Numar persoane,109
 84594 LAZAREA,50-54 ani, Masculin, Harghita, Anul 2010, Numar persoane,108
 84594 LAZAREA,50-54 ani, Masculin, Harghita, Anul 2011, Numar persoane,100
 84594 LAZAREA,50-54 ani, Masculin, Harghita, Anul 2012, Numar persoane,100
 84594 LAZAREA,50-54 ani, Masculin, Harghita, Anul 2013, Numar persoane,94
 84594 LAZAREA,50-54 ani, Masculin, Harghita, Anul 2014, Numar persoane,88
 84594 LAZAREA,50-54 ani, Masculin, Harghita, Anul 2015, Numar persoane,91
 84594 LAZAREA,50-54 ani, Masculin, Harghita, Anul 2016, Numar persoane,94
 84594 LAZAREA,50-54 ani, Masculin, Harghita, Anul 2017, Numar persoane,98
 84594 LAZAREA,55-59 ani, Masculin, Harghita, Anul 2009, Numar persoane,116
 84594 LAZAREA,55-59 ani, Masculin, Harghita, Anul 2010, Numar persoane,105
 84594 LAZAREA,55-59 ani, Masculin, Harghita, Anul 2011, Numar persoane,104
 84594 LAZAREA,55-59 ani, Masculin, Harghita, Anul 2012, Numar persoane,105
 84594 LAZAREA,55-59 ani, Masculin, Harghita, Anul 2013, Numar persoane,103
 84594 LAZAREA,55-59 ani, Masculin, Harghita, Anul 2014, Numar persoane,101
 84594 LAZAREA,55-59 ani, Masculin, Harghita, Anul 2015, Numar persoane,97
 84594 LAZAREA,55-59 ani, Masculin, Harghita, Anul 2016, Numar persoane,92
 84594 LAZAREA,55-59 ani, Masculin, Harghita, Anul 2017, Numar persoane,93
 84594 LAZAREA,60-64 ani, Masculin, Harghita, Anul 2009, Numar persoane,95
 84594 LAZAREA,60-64 ani, Masculin, Harghita, Anul 2010, Numar persoane,96
 84594 LAZAREA,60-64 ani, Masculin, Harghita, Anul 2011, Numar persoane,107
 84594 LAZAREA,60-64 ani, Masculin, Harghita, Anul 2012, Numar persoane,103
 84594 LAZAREA,60-64 ani, Masculin, Harghita, Anul 2013, Numar persoane,107
 84594 LAZAREA,60-64 ani, Masculin, Harghita, Anul 2014, Numar persoane,111
 84594 LAZAREA,60-64 ani, Masculin, Harghita, Anul 2015, Numar persoane,102
 84594 LAZAREA,60-64 ani, Masculin, Harghita, Anul 2016, Numar persoane,97
 84594 LAZAREA,60-64 ani, Masculin, Harghita, Anul 2017, Numar persoane,98
 84594 LAZAREA,65-69 ani, Masculin, Harghita, Anul 2009, Numar persoane,79
 84594 LAZAREA,65-69 ani, Masculin, Harghita, Anul 2010, Numar persoane,85
 84594 LAZAREA,65-69 ani, Masculin, Harghita, Anul 2011, Numar persoane,76
 84594 LAZAREA,65-69 ani, Masculin, Harghita, Anul 2012, Numar persoane,80
 84594 LAZAREA,65-69 ani, Masculin, Harghita, Anul 2013, Numar persoane,81
 84594 LAZAREA,65-69 ani, Masculin, Harghita, Anul 2014, Numar persoane,81
 84594 LAZAREA,65-69 ani, Masculin, Harghita, Anul 2015, Numar persoane,84
 84594 LAZAREA,65-69 ani, Masculin, Harghita, Anul 2016, Numar persoane,97
 84594 LAZAREA,65-69 ani, Masculin, Harghita, Anul 2017, Numar persoane,94
 84594 LAZAREA,70-74 ani, Masculin, Harghita, Anul 2009, Numar persoane,61
 84594 LAZAREA,70-74 ani, Masculin, Harghita, Anul 2010, Numar persoane,52
 84594 LAZAREA,70-74 ani, Masculin, Harghita, Anul 2011, Numar persoane,59
 84594 LAZAREA,70-74 ani, Masculin, Harghita, Anul 2012, Numar persoane,61
 84594 LAZAREA,70-74 ani, Masculin, Harghita, Anul 2013, Numar persoane,54
 84594 LAZAREA,70-74 ani, Masculin, Harghita, Anul 2014, Numar persoane,63
 84594 LAZAREA,70-74 ani, Masculin, Harghita, Anul 2015, Numar persoane,70
 84594 LAZAREA,70-74 ani, Masculin, Harghita, Anul 2016, Numar persoane,63
 84594 LAZAREA,70-74 ani, Masculin, Harghita, Anul 2017, Numar persoane,63
 84594 LAZAREA,75-79 ani, Masculin, Harghita, Anul 2009, Numar persoane,55
 84594 LAZAREA,75-79 ani, Masculin, Harghita, Anul 2010, Numar persoane,56
 84594 LAZAREA,75-79 ani, Masculin, Harghita, Anul 2011, Numar persoane,49
 84594 LAZAREA,75-79 ani, Masculin, Harghita, Anul 2012, Numar persoane,40
 84594 LAZAREA,75-79 ani, Masculin, Harghita, Anul 2013, Numar persoane,49
 84594 LAZAREA,75-79 ani, Masculin, Harghita, Anul 2014, Numar persoane,43
 84594 LAZAREA,75-79 ani, Masculin, Harghita, Anul 2015, Numar persoane,37
 84594 LAZAREA,75-79 ani, Masculin, Harghita, Anul 2016, Numar persoane,38
 84594 LAZAREA,75-79 ani, Masculin, Harghita, Anul 2017, Numar persoane,39
