 Localitati ,Varste si grupe de varsta, Sexe, Judete, Ani, UM: Numar persoane, Valoare
 84754 LUNCA DE SUS,0- 4 ani, Masculin, Harghita, Anul 2009, Numar persoane,105
 84754 LUNCA DE SUS,0- 4 ani, Masculin, Harghita, Anul 2010, Numar persoane,99
 84754 LUNCA DE SUS,0- 4 ani, Masculin, Harghita, Anul 2011, Numar persoane,100
 84754 LUNCA DE SUS,0- 4 ani, Masculin, Harghita, Anul 2012, Numar persoane,100
 84754 LUNCA DE SUS,0- 4 ani, Masculin, Harghita, Anul 2013, Numar persoane,102
 84754 LUNCA DE SUS,0- 4 ani, Masculin, Harghita, Anul 2014, Numar persoane,92
 84754 LUNCA DE SUS,0- 4 ani, Masculin, Harghita, Anul 2015, Numar persoane,86
 84754 LUNCA DE SUS,0- 4 ani, Masculin, Harghita, Anul 2016, Numar persoane,93
 84754 LUNCA DE SUS,0- 4 ani, Masculin, Harghita, Anul 2017, Numar persoane,95
 84754 LUNCA DE SUS,5- 9 ani, Masculin, Harghita, Anul 2009, Numar persoane,123
 84754 LUNCA DE SUS,5- 9 ani, Masculin, Harghita, Anul 2010, Numar persoane,120
 84754 LUNCA DE SUS,5- 9 ani, Masculin, Harghita, Anul 2011, Numar persoane,110
 84754 LUNCA DE SUS,5- 9 ani, Masculin, Harghita, Anul 2012, Numar persoane,112
 84754 LUNCA DE SUS,5- 9 ani, Masculin, Harghita, Anul 2013, Numar persoane,99
 84754 LUNCA DE SUS,5- 9 ani, Masculin, Harghita, Anul 2014, Numar persoane,99
 84754 LUNCA DE SUS,5- 9 ani, Masculin, Harghita, Anul 2015, Numar persoane,94
 84754 LUNCA DE SUS,5- 9 ani, Masculin, Harghita, Anul 2016, Numar persoane,95
 84754 LUNCA DE SUS,5- 9 ani, Masculin, Harghita, Anul 2017, Numar persoane,93
 84754 LUNCA DE SUS,10-14 ani, Masculin, Harghita, Anul 2009, Numar persoane,111
 84754 LUNCA DE SUS,10-14 ani, Masculin, Harghita, Anul 2010, Numar persoane,104
 84754 LUNCA DE SUS,10-14 ani, Masculin, Harghita, Anul 2011, Numar persoane,98
 84754 LUNCA DE SUS,10-14 ani, Masculin, Harghita, Anul 2012, Numar persoane,97
 84754 LUNCA DE SUS,10-14 ani, Masculin, Harghita, Anul 2013, Numar persoane,112
 84754 LUNCA DE SUS,10-14 ani, Masculin, Harghita, Anul 2014, Numar persoane,120
 84754 LUNCA DE SUS,10-14 ani, Masculin, Harghita, Anul 2015, Numar persoane,117
 84754 LUNCA DE SUS,10-14 ani, Masculin, Harghita, Anul 2016, Numar persoane,110
 84754 LUNCA DE SUS,10-14 ani, Masculin, Harghita, Anul 2017, Numar persoane,105
 84754 LUNCA DE SUS,15-19 ani, Masculin, Harghita, Anul 2009, Numar persoane,130
