 Localitati ,Varste si grupe de varsta, Sexe, Judete, Ani, UM: Numar persoane, Valoare
 85056 MERESTI,0- 4 ani, Masculin, Harghita, Anul 2009, Numar persoane,18
 85056 MERESTI,0- 4 ani, Masculin, Harghita, Anul 2010, Numar persoane,26
 85056 MERESTI,0- 4 ani, Masculin, Harghita, Anul 2011, Numar persoane,26
 85056 MERESTI,0- 4 ani, Masculin, Harghita, Anul 2012, Numar persoane,26
 85056 MERESTI,0- 4 ani, Masculin, Harghita, Anul 2013, Numar persoane,30
 85056 MERESTI,0- 4 ani, Masculin, Harghita, Anul 2014, Numar persoane,38
 85056 MERESTI,0- 4 ani, Masculin, Harghita, Anul 2015, Numar persoane,36
 85056 MERESTI,0- 4 ani, Masculin, Harghita, Anul 2016, Numar persoane,39
 85056 MERESTI,0- 4 ani, Masculin, Harghita, Anul 2017, Numar persoane,40
 85056 MERESTI,5- 9 ani, Masculin, Harghita, Anul 2009, Numar persoane,31
 85056 MERESTI,5- 9 ani, Masculin, Harghita, Anul 2010, Numar persoane,25
 85056 MERESTI,5- 9 ani, Masculin, Harghita, Anul 2011, Numar persoane,23
 85056 MERESTI,5- 9 ani, Masculin, Harghita, Anul 2012, Numar persoane,24
 85056 MERESTI,5- 9 ani, Masculin, Harghita, Anul 2013, Numar persoane,22
 85056 MERESTI,5- 9 ani, Masculin, Harghita, Anul 2014, Numar persoane,20
 85056 MERESTI,5- 9 ani, Masculin, Harghita, Anul 2015, Numar persoane,32
 85056 MERESTI,5- 9 ani, Masculin, Harghita, Anul 2016, Numar persoane,31
 85056 MERESTI,5- 9 ani, Masculin, Harghita, Anul 2017, Numar persoane,31
 85056 MERESTI,10-14 ani, Masculin, Harghita, Anul 2009, Numar persoane,32
 85056 MERESTI,10-14 ani, Masculin, Harghita, Anul 2010, Numar persoane,33
 85056 MERESTI,10-14 ani, Masculin, Harghita, Anul 2011, Numar persoane,38
 85056 MERESTI,10-14 ani, Masculin, Harghita, Anul 2012, Numar persoane,37
 85056 MERESTI,10-14 ani, Masculin, Harghita, Anul 2013, Numar persoane,38
 85056 MERESTI,10-14 ani, Masculin, Harghita, Anul 2014, Numar persoane,31
 85056 MERESTI,10-14 ani, Masculin, Harghita, Anul 2015, Numar persoane,27
 85056 MERESTI,10-14 ani, Masculin, Harghita, Anul 2016, Numar persoane,27
 85056 MERESTI,10-14 ani, Masculin, Harghita, Anul 2017, Numar persoane,25
 85056 MERESTI,15-19 ani, Masculin, Harghita, Anul 2009, Numar persoane,53
 85056 MERESTI,15-19 ani, Masculin, Harghita, Anul 2010, Numar persoane,46
 85056 MERESTI,15-19 ani, Masculin, Harghita, Anul 2011, Numar persoane,41
 85056 MERESTI,15-19 ani, Masculin, Harghita, Anul 2012, Numar persoane,40
 85056 MERESTI,15-19 ani, Masculin, Harghita, Anul 2013, Numar persoane,35
 85056 MERESTI,15-19 ani, Masculin, Harghita, Anul 2014, Numar persoane,41
 85056 MERESTI,15-19 ani, Masculin, Harghita, Anul 2015, Numar persoane,38
 85056 MERESTI,15-19 ani, Masculin, Harghita, Anul 2016, Numar persoane,37
 85056 MERESTI,15-19 ani, Masculin, Harghita, Anul 2017, Numar persoane,39
 85056 MERESTI,20-24 ani, Masculin, Harghita, Anul 2009, Numar persoane,57
 85056 MERESTI,20-24 ani, Masculin, Harghita, Anul 2010, Numar persoane,55
 85056 MERESTI,20-24 ani, Masculin, Harghita, Anul 2011, Numar persoane,58
 85056 MERESTI,20-24 ani, Masculin, Harghita, Anul 2012, Numar persoane,59
