 Localitati ,Varste si grupe de varsta, Sexe, Judete, Ani, UM: Numar persoane, Valoare
 85840 SINSIMION,0- 4 ani, Masculin, Harghita, Anul 2009, Numar persoane,127
 85840 SINSIMION,0- 4 ani, Masculin, Harghita, Anul 2010, Numar persoane,129
 85840 SINSIMION,0- 4 ani, Masculin, Harghita, Anul 2011, Numar persoane,134
 85840 SINSIMION,0- 4 ani, Masculin, Harghita, Anul 2012, Numar persoane,129
 85840 SINSIMION,0- 4 ani, Masculin, Harghita, Anul 2013, Numar persoane,123
 85840 SINSIMION,0- 4 ani, Masculin, Harghita, Anul 2014, Numar persoane,122
 85840 SINSIMION,0- 4 ani, Masculin, Harghita, Anul 2015, Numar persoane,111
 85840 SINSIMION,0- 4 ani, Masculin, Harghita, Anul 2016, Numar persoane,108
 85840 SINSIMION,0- 4 ani, Masculin, Harghita, Anul 2017, Numar persoane,112
 85840 SINSIMION,5- 9 ani, Masculin, Harghita, Anul 2009, Numar persoane,148
 85840 SINSIMION,5- 9 ani, Masculin, Harghita, Anul 2010, Numar persoane,146
 85840 SINSIMION,5- 9 ani, Masculin, Harghita, Anul 2011, Numar persoane,142
 85840 SINSIMION,5- 9 ani, Masculin, Harghita, Anul 2012, Numar persoane,148
 85840 SINSIMION,5- 9 ani, Masculin, Harghita, Anul 2013, Numar persoane,134
 85840 SINSIMION,5- 9 ani, Masculin, Harghita, Anul 2014, Numar persoane,141
 85840 SINSIMION,5- 9 ani, Masculin, Harghita, Anul 2015, Numar persoane,147
 85840 SINSIMION,5- 9 ani, Masculin, Harghita, Anul 2016, Numar persoane,139
 85840 SINSIMION,5- 9 ani, Masculin, Harghita, Anul 2017, Numar persoane,127
 85840 SINSIMION,10-14 ani, Masculin, Harghita, Anul 2009, Numar persoane,107
 85840 SINSIMION,10-14 ani, Masculin, Harghita, Anul 2010, Numar persoane,113
 85840 SINSIMION,10-14 ani, Masculin, Harghita, Anul 2011, Numar persoane,127
 85840 SINSIMION,10-14 ani, Masculin, Harghita, Anul 2012, Numar persoane,130
 85840 SINSIMION,10-14 ani, Masculin, Harghita, Anul 2013, Numar persoane,150
 85840 SINSIMION,10-14 ani, Masculin, Harghita, Anul 2014, Numar persoane,150
 85840 SINSIMION,10-14 ani, Masculin, Harghita, Anul 2015, Numar persoane,151
 85840 SINSIMION,10-14 ani, Masculin, Harghita, Anul 2016, Numar persoane,152
 85840 SINSIMION,10-14 ani, Masculin, Harghita, Anul 2017, Numar persoane,160
 85840 SINSIMION,15-19 ani, Masculin, Harghita, Anul 2009, Numar persoane,105
 85840 SINSIMION,15-19 ani, Masculin, Harghita, Anul 2010, Numar persoane,100
 85840 SINSIMION,15-19 ani, Masculin, Harghita, Anul 2011, Numar persoane,100
 85840 SINSIMION,15-19 ani, Masculin, Harghita, Anul 2012, Numar persoane,96
 85840 SINSIMION,15-19 ani, Masculin, Harghita, Anul 2013, Numar persoane,103
 85840 SINSIMION,15-19 ani, Masculin, Harghita, Anul 2014, Numar persoane,112
