 Localitati ,Varste si grupe de varsta, Sexe, Judete, Ani, UM: Numar persoane, Valoare
 85877 SUBCETATE,0- 4 ani, Masculin, Harghita, Anul 2009, Numar persoane,40
 85877 SUBCETATE,0- 4 ani, Masculin, Harghita, Anul 2010, Numar persoane,43
 85877 SUBCETATE,0- 4 ani, Masculin, Harghita, Anul 2011, Numar persoane,42
 85877 SUBCETATE,0- 4 ani, Masculin, Harghita, Anul 2012, Numar persoane,44
 85877 SUBCETATE,0- 4 ani, Masculin, Harghita, Anul 2013, Numar persoane,48
 85877 SUBCETATE,0- 4 ani, Masculin, Harghita, Anul 2014, Numar persoane,56
 85877 SUBCETATE,0- 4 ani, Masculin, Harghita, Anul 2015, Numar persoane,51
 85877 SUBCETATE,0- 4 ani, Masculin, Harghita, Anul 2016, Numar persoane,51
 85877 SUBCETATE,0- 4 ani, Masculin, Harghita, Anul 2017, Numar persoane,40
 85877 SUBCETATE,5- 9 ani, Masculin, Harghita, Anul 2009, Numar persoane,46
 85877 SUBCETATE,5- 9 ani, Masculin, Harghita, Anul 2010, Numar persoane,50
 85877 SUBCETATE,5- 9 ani, Masculin, Harghita, Anul 2011, Numar persoane,49
 85877 SUBCETATE,5- 9 ani, Masculin, Harghita, Anul 2012, Numar persoane,45
 85877 SUBCETATE,5- 9 ani, Masculin, Harghita, Anul 2013, Numar persoane,43
 85877 SUBCETATE,5- 9 ani, Masculin, Harghita, Anul 2014, Numar persoane,37
 85877 SUBCETATE,5- 9 ani, Masculin, Harghita, Anul 2015, Numar persoane,38
 85877 SUBCETATE,5- 9 ani, Masculin, Harghita, Anul 2016, Numar persoane,32
 85877 SUBCETATE,5- 9 ani, Masculin, Harghita, Anul 2017, Numar persoane,39
 85877 SUBCETATE,10-14 ani, Masculin, Harghita, Anul 2009, Numar persoane,67
 85877 SUBCETATE,10-14 ani, Masculin, Harghita, Anul 2010, Numar persoane,65
 85877 SUBCETATE,10-14 ani, Masculin, Harghita, Anul 2011, Numar persoane,54
 85877 SUBCETATE,10-14 ani, Masculin, Harghita, Anul 2012, Numar persoane,50
 85877 SUBCETATE,10-14 ani, Masculin, Harghita, Anul 2013, Numar persoane,45
 85877 SUBCETATE,10-14 ani, Masculin, Harghita, Anul 2014, Numar persoane,38
 85877 SUBCETATE,10-14 ani, Masculin, Harghita, Anul 2015, Numar persoane,41
 85877 SUBCETATE,10-14 ani, Masculin, Harghita, Anul 2016, Numar persoane,47
 85877 SUBCETATE,10-14 ani, Masculin, Harghita, Anul 2017, Numar persoane,38
 85877 SUBCETATE,15-19 ani, Masculin, Harghita, Anul 2009, Numar persoane,69
 85877 SUBCETATE,15-19 ani, Masculin, Harghita, Anul 2010, Numar persoane,60
 85877 SUBCETATE,15-19 ani, Masculin, Harghita, Anul 2011, Numar persoane,65
 85877 SUBCETATE,15-19 ani, Masculin, Harghita, Anul 2012, Numar persoane,66
 85877 SUBCETATE,15-19 ani, Masculin, Harghita, Anul 2013, Numar persoane,66
 85877 SUBCETATE,15-19 ani, Masculin, Harghita, Anul 2014, Numar persoane,66
 85877 SUBCETATE,15-19 ani, Masculin, Harghita, Anul 2015, Numar persoane,62
 85877 SUBCETATE,15-19 ani, Masculin, Harghita, Anul 2016, Numar persoane,54
 85877 SUBCETATE,15-19 ani, Masculin, Harghita, Anul 2017, Numar persoane,56
