 Localitati ,Varste si grupe de varsta, Sexe, Judete, Ani, UM: Numar persoane, Valoare
 85984 SIMONESTI,0- 4 ani, Masculin, Harghita, Anul 2009, Numar persoane,129
 85984 SIMONESTI,0- 4 ani, Masculin, Harghita, Anul 2010, Numar persoane,131
 85984 SIMONESTI,0- 4 ani, Masculin, Harghita, Anul 2011, Numar persoane,121
 85984 SIMONESTI,0- 4 ani, Masculin, Harghita, Anul 2012, Numar persoane,117
 85984 SIMONESTI,0- 4 ani, Masculin, Harghita, Anul 2013, Numar persoane,106
 85984 SIMONESTI,0- 4 ani, Masculin, Harghita, Anul 2014, Numar persoane,102
 85984 SIMONESTI,0- 4 ani, Masculin, Harghita, Anul 2015, Numar persoane,103
 85984 SIMONESTI,0- 4 ani, Masculin, Harghita, Anul 2016, Numar persoane,99
 85984 SIMONESTI,0- 4 ani, Masculin, Harghita, Anul 2017, Numar persoane,86
 85984 SIMONESTI,5- 9 ani, Masculin, Harghita, Anul 2009, Numar persoane,114
 85984 SIMONESTI,5- 9 ani, Masculin, Harghita, Anul 2010, Numar persoane,111
 85984 SIMONESTI,5- 9 ani, Masculin, Harghita, Anul 2011, Numar persoane,114
 85984 SIMONESTI,5- 9 ani, Masculin, Harghita, Anul 2012, Numar persoane,122
 85984 SIMONESTI,5- 9 ani, Masculin, Harghita, Anul 2013, Numar persoane,125
 85984 SIMONESTI,5- 9 ani, Masculin, Harghita, Anul 2014, Numar persoane,136
 85984 SIMONESTI,5- 9 ani, Masculin, Harghita, Anul 2015, Numar persoane,133
 85984 SIMONESTI,5- 9 ani, Masculin, Harghita, Anul 2016, Numar persoane,125
 85984 SIMONESTI,5- 9 ani, Masculin, Harghita, Anul 2017, Numar persoane,121
 85984 SIMONESTI,10-14 ani, Masculin, Harghita, Anul 2009, Numar persoane,124
 85984 SIMONESTI,10-14 ani, Masculin, Harghita, Anul 2010, Numar persoane,127
 85984 SIMONESTI,10-14 ani, Masculin, Harghita, Anul 2011, Numar persoane,132
 85984 SIMONESTI,10-14 ani, Masculin, Harghita, Anul 2012, Numar persoane,128
 85984 SIMONESTI,10-14 ani, Masculin, Harghita, Anul 2013, Numar persoane,122
 85984 SIMONESTI,10-14 ani, Masculin, Harghita, Anul 2014, Numar persoane,118
 85984 SIMONESTI,10-14 ani, Masculin, Harghita, Anul 2015, Numar persoane,109
 85984 SIMONESTI,10-14 ani, Masculin, Harghita, Anul 2016, Numar persoane,110
 85984 SIMONESTI,10-14 ani, Masculin, Harghita, Anul 2017, Numar persoane,115
 85984 SIMONESTI,15-19 ani, Masculin, Harghita, Anul 2009, Numar persoane,130
 85984 SIMONESTI,15-19 ani, Masculin, Harghita, Anul 2010, Numar persoane,134
 85984 SIMONESTI,15-19 ani, Masculin, Harghita, Anul 2011, Numar persoane,134
 85984 SIMONESTI,15-19 ani, Masculin, Harghita, Anul 2012, Numar persoane,133
 85984 SIMONESTI,15-19 ani, Masculin, Harghita, Anul 2013, Numar persoane,139
 85984 SIMONESTI,15-19 ani, Masculin, Harghita, Anul 2014, Numar persoane,135
 85984 SIMONESTI,15-19 ani, Masculin, Harghita, Anul 2015, Numar persoane,135
 85984 SIMONESTI,15-19 ani, Masculin, Harghita, Anul 2016, Numar persoane,133
 85984 SIMONESTI,15-19 ani, Masculin, Harghita, Anul 2017, Numar persoane,129
 85984 SIMONESTI,20-24 ani, Masculin, Harghita, Anul 2009, Numar persoane,164
 85984 SIMONESTI,20-24 ani, Masculin, Harghita, Anul 2010, Numar persoane,162
 85984 SIMONESTI,20-24 ani, Masculin, Harghita, Anul 2011, Numar persoane,145
 85984 SIMONESTI,20-24 ani, Masculin, Harghita, Anul 2012, Numar persoane,138
 85984 SIMONESTI,20-24 ani, Masculin, Harghita, Anul 2013, Numar persoane,131
 85984 SIMONESTI,20-24 ani, Masculin, Harghita, Anul 2014, Numar persoane,127
 85984 SIMONESTI,20-24 ani, Masculin, Harghita, Anul 2015, Numar persoane,134
 85984 SIMONESTI,20-24 ani, Masculin, Harghita, Anul 2016, Numar persoane,135
 85984 SIMONESTI,20-24 ani, Masculin, Harghita, Anul 2017, Numar persoane,136
 85984 SIMONESTI,25-29 ani, Masculin, Harghita, Anul 2009, Numar persoane,150
 85984 SIMONESTI,25-29 ani, Masculin, Harghita, Anul 2010, Numar persoane,147
 85984 SIMONESTI,25-29 ani, Masculin, Harghita, Anul 2011, Numar persoane,144
 85984 SIMONESTI,25-29 ani, Masculin, Harghita, Anul 2012, Numar persoane,145
 85984 SIMONESTI,25-29 ani, Masculin, Harghita, Anul 2013, Numar persoane,151
 85984 SIMONESTI,25-29 ani, Masculin, Harghita, Anul 2014, Numar persoane,166
 85984 SIMONESTI,25-29 ani, Masculin, Harghita, Anul 2015, Numar persoane,163
 85984 SIMONESTI,25-29 ani, Masculin, Harghita, Anul 2016, Numar persoane,152
 85984 SIMONESTI,25-29 ani, Masculin, Harghita, Anul 2017, Numar persoane,140
 85984 SIMONESTI,30-34 ani, Masculin, Harghita, Anul 2009, Numar persoane,180
 85984 SIMONESTI,30-34 ani, Masculin, Harghita, Anul 2010, Numar persoane,173
 85984 SIMONESTI,30-34 ani, Masculin, Harghita, Anul 2011, Numar persoane,155
 85984 SIMONESTI,30-34 ani, Masculin, Harghita, Anul 2012, Numar persoane,161
 85984 SIMONESTI,30-34 ani, Masculin, Harghita, Anul 2013, Numar persoane,158
 85984 SIMONESTI,30-34 ani, Masculin, Harghita, Anul 2014, Numar persoane,149
 85984 SIMONESTI,30-34 ani, Masculin, Harghita, Anul 2015, Numar persoane,146
 85984 SIMONESTI,30-34 ani, Masculin, Harghita, Anul 2016, Numar persoane,149
 85984 SIMONESTI,30-34 ani, Masculin, Harghita, Anul 2017, Numar persoane,152
 85984 SIMONESTI,35-39 ani, Masculin, Harghita, Anul 2009, Numar persoane,170
 85984 SIMONESTI,35-39 ani, Masculin, Harghita, Anul 2010, Numar persoane,171
 85984 SIMONESTI,35-39 ani, Masculin, Harghita, Anul 2011, Numar persoane,186
 85984 SIMONESTI,35-39 ani, Masculin, Harghita, Anul 2012, Numar persoane,175
 85984 SIMONESTI,35-39 ani, Masculin, Harghita, Anul 2013, Numar persoane,175
 85984 SIMONESTI,35-39 ani, Masculin, Harghita, Anul 2014, Numar persoane,182
 85984 SIMONESTI,35-39 ani, Masculin, Harghita, Anul 2015, Numar persoane,179
 85984 SIMONESTI,35-39 ani, Masculin, Harghita, Anul 2016, Numar persoane,162
 85984 SIMONESTI,35-39 ani, Masculin, Harghita, Anul 2017, Numar persoane,160
 85984 SIMONESTI,40-44 ani, Masculin, Harghita, Anul 2009, Numar persoane,139
 85984 SIMONESTI,40-44 ani, Masculin, Harghita, Anul 2010, Numar persoane,157
 85984 SIMONESTI,40-44 ani, Masculin, Harghita, Anul 2011, Numar persoane,170
 85984 SIMONESTI,40-44 ani, Masculin, Harghita, Anul 2012, Numar persoane,186
 85984 SIMONESTI,40-44 ani, Masculin, Harghita, Anul 2013, Numar persoane,184
 85984 SIMONESTI,40-44 ani, Masculin, Harghita, Anul 2014, Numar persoane,178
 85984 SIMONESTI,40-44 ani, Masculin, Harghita, Anul 2015, Numar persoane,178
 85984 SIMONESTI,40-44 ani, Masculin, Harghita, Anul 2016, Numar persoane,190
 85984 SIMONESTI,40-44 ani, Masculin, Harghita, Anul 2017, Numar persoane,179
 85984 SIMONESTI,45-49 ani, Masculin, Harghita, Anul 2009, Numar persoane,107
 85984 SIMONESTI,45-49 ani, Masculin, Harghita, Anul 2010, Numar persoane,108
 85984 SIMONESTI,45-49 ani, Masculin, Harghita, Anul 2011, Numar persoane,102
 85984 SIMONESTI,45-49 ani, Masculin, Harghita, Anul 2012, Numar persoane,115
 85984 SIMONESTI,45-49 ani, Masculin, Harghita, Anul 2013, Numar persoane,130
 85984 SIMONESTI,45-49 ani, Masculin, Harghita, Anul 2014, Numar persoane,140
 85984 SIMONESTI,45-49 ani, Masculin, Harghita, Anul 2015, Numar persoane,155
 85984 SIMONESTI,45-49 ani, Masculin, Harghita, Anul 2016, Numar persoane,169
 85984 SIMONESTI,45-49 ani, Masculin, Harghita, Anul 2017, Numar persoane,181
 85984 SIMONESTI,50-54 ani, Masculin, Harghita, Anul 2009, Numar persoane,123
 85984 SIMONESTI,50-54 ani, Masculin, Harghita, Anul 2010, Numar persoane,129
 85984 SIMONESTI,50-54 ani, Masculin, Harghita, Anul 2011, Numar persoane,125
 85984 SIMONESTI,50-54 ani, Masculin, Harghita, Anul 2012, Numar persoane,109
 85984 SIMONESTI,50-54 ani, Masculin, Harghita, Anul 2013, Numar persoane,107
 85984 SIMONESTI,50-54 ani, Masculin, Harghita, Anul 2014, Numar persoane,101
 85984 SIMONESTI,50-54 ani, Masculin, Harghita, Anul 2015, Numar persoane,99
 85984 SIMONESTI,50-54 ani, Masculin, Harghita, Anul 2016, Numar persoane,100
 85984 SIMONESTI,50-54 ani, Masculin, Harghita, Anul 2017, Numar persoane,112
 85984 SIMONESTI,55-59 ani, Masculin, Harghita, Anul 2009, Numar persoane,108
 85984 SIMONESTI,55-59 ani, Masculin, Harghita, Anul 2010, Numar persoane,105
 85984 SIMONESTI,55-59 ani, Masculin, Harghita, Anul 2011, Numar persoane,116
 85984 SIMONESTI,55-59 ani, Masculin, Harghita, Anul 2012, Numar persoane,128
 85984 SIMONESTI,55-59 ani, Masculin, Harghita, Anul 2013, Numar persoane,118
 85984 SIMONESTI,55-59 ani, Masculin, Harghita, Anul 2014, Numar persoane,124
 85984 SIMONESTI,55-59 ani, Masculin, Harghita, Anul 2015, Numar persoane,129
 85984 SIMONESTI,55-59 ani, Masculin, Harghita, Anul 2016, Numar persoane,120
 85984 SIMONESTI,55-59 ani, Masculin, Harghita, Anul 2017, Numar persoane,100
 85984 SIMONESTI,60-64 ani, Masculin, Harghita, Anul 2009, Numar persoane,89
 85984 SIMONESTI,60-64 ani, Masculin, Harghita, Anul 2010, Numar persoane,99
 85984 SIMONESTI,60-64 ani, Masculin, Harghita, Anul 2011, Numar persoane,97
 85984 SIMONESTI,60-64 ani, Masculin, Harghita, Anul 2012, Numar persoane,106
 85984 SIMONESTI,60-64 ani, Masculin, Harghita, Anul 2013, Numar persoane,109
 85984 SIMONESTI,60-64 ani, Masculin, Harghita, Anul 2014, Numar persoane,103
